index	V7-arm-healthy-BA7	V7-arm-healthy-BB3	V7-arm-healthy-BB7	V7-arm-healthy-BB6	V7-arm-psoriasis-BB9	V7-arm-healthy-BA5	V7-arm-healthy-BA3	V7-arm-healthy-BA4	V7-arm-healthy-BB4	V7-arm-healthy-BA6	V7-arm-healthy-BA8	V7-arm-healthy-BB8	V7-arm-psoriasis-BB10	V7-arm-psoriasis-BA10	V7-arm-psoriasis-BA9	V7-arm-healthy-BB12	GROUP_MEAN_DESCRIPTION_2_healthy	GROUP_MEAN_Sex_female	GROUP_MEAN_DESCRIPTION_arm	GROUP_MEAN_Body_side_right	GROUP_MEAN_Body_side_left	GROUP_MEAN_Batch_3	GROUP_MEAN_DESCRIPTION_2_psoriasis	GROUP_MEDIAN_DESCRIPTION_2_healthy	GROUP_MEDIAN_Sex_female	GROUP_MEDIAN_DESCRIPTION_arm	GROUP_MEDIAN_Body_side_right	GROUP_MEDIAN_Body_side_left	GROUP_MEDIAN_Batch_3	GROUP_MEDIAN_DESCRIPTION_2_psoriasis	GROUP_SUM_DESCRIPTION_2_healthy	GROUP_SUM_Sex_female	GROUP_SUM_DESCRIPTION_arm	GROUP_SUM_Body_side_right	GROUP_SUM_Body_side_left	GROUP_SUM_Batch_3	GROUP_SUM_DESCRIPTION_2_psoriasis
939.599__7.91_3785	21725975.591249272	104048756.73259814	14553453.418041103	22683110.447388776	36176478.1668483	1496369341.2631311	161944403.13114828	2107655108.9139662	92897838.29032364	97638935.25552692	1944902196.4153376	52025982.47953123	49470726.43125991	78493906.65397474	71253788.3498051	4705661.280208772	510095896.93487096	397284103.9262712	397284103.9262712	47070250.90577498	747497956.9467674	397284103.9262712	58848724.900472015	95268386.77292529	74873847.50188991	74873847.50188991	42823602.2990541	129791669.19333759	74873847.50188991	60362257.39053251	6121150763.2184515	6356545662.820339	6356545662.820339	376562007.24619985	5979983655.57414	6356545662.820339	235394899.60188806
936.681__7.2_2484	208235665.331949	95815184.67218027	33280560.76696835	58413684.22547	19719513.81057843	104280470.70336756	88534643.91573583	93331856.0763186	33824992.452473454	144043942.5471777	184453582.01603308	65522873.3287377	36205806.21838535	134567653.2335327	106201784.3216123	711875.4696639052	92537444.29217295	87946505.56813651	87946505.56813651	42936811.36805718	132956199.76821585	87946505.56813651	74173689.39602719	90933249.99602722	90933249.99602722	90933249.99602722	35015399.3354294	120384718.7775725	90933249.99602722	71203795.26999882	1110449331.5060754	1407144089.0901842	1407144089.0901842	343494490.9444574	1063649598.1457268	1407144089.0901842	296694757.58410877
931.69__8.48_3471	86117744.2840586	358617342.62206256	22343646.571510654	10992172.578633575	7694238.398005099	290782261.27975345	183412264.27808696	472984841.9290266	58221919.34212604	139688049.92267156	307981050.65678596	16882361.429374903	16059482.469663257	83436339.63898307	69750691.70665534	3331926.5639191344	162612965.12150082	133018520.85445729	133018520.85445729	61767886.246911906	204269155.4620027	133018520.85445729	44235188.053326696	112902897.10336508	76593515.6728192	76593515.6728192	16470921.94951908	161550157.10037926	76593515.6728192	42905087.0881593	1951355581.45801	2128296333.6713166	2128296333.6713166	494143089.97529525	1634153243.6960216	2128296333.6713166	176940752.21330678
929.491__6.01_4603	359287207.52966744	23618792.862899084	12398034.983467955	39498374.939661704	35886396.47030194	118522387.49311396	92626707.87050177	65104799.74866703	41838449.38301616	198506457.98109666	219651622.68974683	25488539.266845897	15911221.568228217	216164387.2976039	87864052.67307073	406433.1645819989	99745650.65943886	97048366.62015444	97048366.62015444	24380780.329875365	169715952.91043353	97048366.62015444	88956514.5023012	53471624.5658416	53471624.5658416	53471624.5658416	24553666.06487249	158514422.7371053	53471624.5658416	61875224.571686335	1196947807.9132664	1552773865.922471	1552773865.922471	195046242.63900292	1357727623.2834682	1552773865.922471	355826058.0092048
927.494__6.39_3864	296683684.7622522	7625307.639294649	27917786.674030524	46998373.48861413	52487201.26972107	96828860.76901986	113656535.403704	80758588.30026709	57853225.4155365	271581946.99244416	191690119.9802384	45980102.18249418	39006748.52599292	219831420.36482662	119969841.50162067	429165.5544377998	103166974.7635278	104331181.80153093	104331181.80153093	34787238.84376522	173875124.75929663	104331181.80153093	107823802.91554031	69305906.8579018	69305906.8579018	69305906.8579018	42493425.35424355	155829980.74092954	69305906.8579018	86228521.38567087	1238003697.1623335	1669298908.8244948	1669298908.8244948	278297910.7501218	1391000998.074373	1669298908.8244948	431295211.66216123
925.623__8.48_2415	98506529.17167202	62025380.20982395	4404339.864307744	17806919.067386847	15307933.425180139	147855688.1391505	125651769.96428286	162226305.6464935	76817201.58612116	132236148.69801722	151758735.09042093	60302812.73657814	63262468.267010294	101987791.30339237	72932629.73413716	575067.6551384169	86680574.8191161	80853607.53494458	80853607.53494458	37562765.351443335	124144449.71844582	80853607.53494458	63372705.68243	87661865.3788966	74874915.66012916	74874915.66012916	39054865.90198249	128943959.33115004	74874915.66012916	68097549.00057372	1040166897.8293933	1293657720.5591133	1293657720.5591133	300502122.8115467	993155597.7475666	1293657720.5591133	253490822.72972
921.486__3.14_5302	69289625.51970896	102472035.17441112	74755541.8663542	64528169.03418264	61551005.30992546	100665703.16134106	78182966.83259079	84374427.06110878	135195366.72607568	93131769.27333607	73656011.20787008	96006735.22020741	79123427.12051067	64378371.12790913	63366510.47601982	337136.1538050209	81049623.93591599	77563425.07908481	77563425.07908481	76746177.07568403	78380673.08248559	77563425.07908481	67104828.50859127	81278696.9468498	76469254.3494725	76469254.3494725	76939484.49343243	75919489.02023044	76469254.3494725	63872440.80196448	972595487.2309918	1241014801.265357	1241014801.265357	613969416.6054722	627045384.6598847	1241014801.265357	268419314.0343651
920.686__7.8_1762	68362925.54668666	108812429.48706129	12865565.097002232	17257131.101844434	12918941.146149423	199133035.9093281	130752599.38022773	223112172.37917978	82925956.00166036	113526100.23444824	211927718.6405243	54216067.48692705	58561074.5148608	118261066.66907886	100137199.83977328	24399.378491993426	101909675.05361517	94549648.92582777	94549648.92582777	43447695.5267497	145651602.32490587	94549648.92582777	72469570.5424656	95869192.74436083	91531577.92071682	91531577.92071682	35736599.29438574	124506833.02465329	91531577.92071682	79349137.17731704	1222916100.643382	1512794382.8132443	1512794382.8132443	347581564.2139976	1165212818.599247	1512794382.8132443	289878282.1698624
919.579__6.12_4756	384055025.02326494	38771463.83718431	25187790.941556416	46074942.287681915	19215576.813553616	153764852.2592148	170985674.1184504	98548926.21276897	80094301.6434039	225845966.44832543	237335872.73785323	17850878.27368039	31142817.60046513	216972980.10000214	133344426.7307259	298525.9156783247	123234518.30825526	117468126.30898811	117468126.30898811	32329537.1641505	202606715.45382574	117468126.30898811	100168950.3111867	89321613.92808643	89321613.92808643	89321613.92808643	28165304.27101077	193979327.1092263	89321613.92808643	82243622.16559552	1478814219.699063	1879490020.9438097	1879490020.9438097	258636297.313204	1620853723.630606	1879490020.9438097	400675801.2447468
918.671__8.11_3974	257952467.24832344	55452816.74378871	26256400.124651972	105483505.2716937	38447395.090273485	93646664.56232734	31338664.13574488	198438727.581407	37332189.801589936	82201044.81934372	152530628.22214502	55854356.49448626	50290541.465043575	90087795.37050293	99601909.81696042	4425591.27191812	91742754.689785	86208793.62626253	86208793.62626253	46692849.532930724	125724737.71959434	86208793.62626253	69606910.43569511	69027700.65691498	69027700.65691498	69027700.65691498	44368968.27765853	96624287.18964389	69027700.65691498	70189168.41777325	1100913056.27742	1379340698.0202005	1379340698.0202005	373542796.2634458	1005797901.7567548	1379340698.0202005	278427641.74278045
917.581__6.53_4296	275186206.515887	3984937.0777663374	46457373.88925888	39332411.62561749	38519199.01155335	77048637.09843144	98096261.59526521	67941183.34084111	35503083.93284295	194362800.77591482	159053476.12334538	35030813.15586893	58065302.89220589	176660708.0086765	100358505.03605363	187642.81642582268	86015402.32895544	87861783.93099718	87861783.93099718	32135095.550192453	143588472.31180188	87861783.93099718	93400928.73712236	57199278.615049995	63003243.116523504	63003243.116523504	37011141.47219814	129705990.5796995	63003243.116523504	79211903.96412976	1032184827.9474653	1405788542.8959548	1405788542.8959548	257080764.40153962	1148707778.494415	1405788542.8959548	373603714.9484894
917.558__7.56_4102	50923571.3729194	24147148.722113602	10294871.294147413	16010447.604813304	11975466.880602377	296850591.4751881	207862812.5130223	343476674.7233664	144577340.21000805	188933810.92301562	325617064.46512985	71007997.01493672	24377727.282122917	105426065.73240244	105502281.20789713	41460.12106662354	139978649.2033106	120439083.22142202	120439083.22142202	37804057.39122637	203074109.05161762	120439083.22142202	61820385.27575622	107792668.61247239	88217031.37366958	88217031.37366958	20078798.16346345	198398311.71801895	88217031.37366958	64901896.50726268	1679743790.4397273	1927025331.5427523	1927025331.5427523	302432459.129811	1624592872.412941	1927025331.5427523	247281541.10302487
