#SampleID	V7-arm-healthy-BA7	V7-arm-healthy-BB3	V7-arm-healthy-BB7	V7-arm-healthy-BB6	V7-arm-psoriasis-BB9	V7-arm-healthy-BA5	V7-arm-healthy-BA3	V7-arm-healthy-BA4	V7-arm-healthy-BB4	V7-arm-healthy-BA6	V7-arm-healthy-BA8	V7-arm-healthy-BB8	V7-arm-psoriasis-BB10	V7-arm-psoriasis-BA10	V7-arm-psoriasis-BA9	V7-arm-healthy-BB12
372.383_C23H49NO2_6.99_756	161308816.41586983	92223982.29592057	47172537.09656559	38695907.15608758	24191341.8032113	58584574.110140696	31947629.22247188	278838163.0146864	132909748.66352376	32103286.120644353	31831564.497005306	61691113.37813915	95379876.19016884	39686181.51779435	76996543.41535251	17089337.636187647
372.223__2.69_4688	87492905.00899123	4799978110.1065	99915636.43213253	101586916.23238416	77738582.12094548	100321465.5407395	793313513.8012015	38862392.96189812	116024192.55842867	31557335.96447896	32278132.34682369	736505018.9243263	69824007.95774809	22252127.405519694	24981045.52295386	3772435.366262983
371.363_C22H46N2O2_5.96_2620	119535412.29065734	27561109.65623321	14714957.796449104	7434493.1590494625	11870664.124818396	393526415.29670954	310585251.87012905	293908016.35760194	44256628.67697664	336708544.2364537	835356017.5699044	23781350.479201905	39430042.23916285	23391352.15133934	155754939.74871752	13518501.704543235
371.327_C21H42N2O3_5.34_77	157236589.70365292	55280984.74199558	24596657.466836065	28811713.34969672	22239769.56876385	138374878.87329757	85843042.43711784	107145395.22374175	82459649.97504902	136286427.47997904	185304629.37375423	57181639.09838796	49649065.72943831	154630688.04847804	101138683.08703224	139019.001610531
371.315__8.18_4623	82743982.02434503	86844949.03462356	44374515.45860279	139079946.78737697	38926393.30061072	211243050.73511103	93869029.69983011	56389627.24304804	53608920.67213673	95960676.38911538	50592944.90476214	73352103.92999506	64487481.12236748	48409761.00459194	41992707.39378397	6786344.137092638
371.227_C16H34O9_2.57_1841	79859595.88772883	435916611.13975185	469053259.49350846	374356528.3896721	405923893.3300662	99042071.78151844	122671165.07198095	83770864.44564691	125289957.68234783	90773708.10319702	3390651.144532195	548005946.4446568	418946278.1447745	38732553.59673574	63946198.88332416	203185.67694906594
370.368__6.32_6169	156856342.71835557	18149459.975147333	3047400.658337085	4320234.250210412	1730775.5792106574	290441844.49149907	370000062.1403585	886071105.7423432	19378358.056690887	116986318.620783	574539648.1073967	3355669.3460288257	5286816.042261745	134654945.97614467	212512255.60791272	812738.6007388864
370.331_C22H43NO3_7.64_3172	700846441.7958561	39339509.45990501	38704914.43471215	74344896.36080435	27106895.35942933	287195117.9533308	208163263.21347955	65019069.30081941	115697014.12385362	89140911.17388253	5045528613.129881	75173329.22937801	59106511.78953584	95066246.04194684	108420032.11518209	14184447.789414555
370.331_C22H43NO3_6.89_2455	345578331.11406493	27327497.105854474	33976472.52702862	37861730.07613929	9269456.107180048	341224018.46857667	210903180.0049392	270604504.68934834	97276706.03941008	225285480.29894784	109082358.1283573	78524229.04815654	19883132.523479976	120300487.19163825	123336362.61569616	616687.6028783919
370.297__4.54_5401	50615477.39750451	27449793783.800747	95717287.86389309	45323097.0824509	31789033.35213381	56369517.5167857	120154515.81019782	87708011.5324718	54541751.01682875	96872105.6718046	46751515.82239882	68860663.14622642	26.731893701654762	158722196.03530353	159313772.84292117	60562147.72495323
369.384_C23H48N2O_6.92_3258	238405406.6447292	40132928.38198855	88651616.37225649	36612941.06183602	258747273.05781463	93498030.47803968	40830708.82254934	136964999.5766216	122384268.06239176	734788907.464015	38028793.67195651	60118136.27486069	975411356.3210484	103892099.2115995	34669376.37649765	14369130.254078088
369.384_C22H48BNO2_6.48_1162	355078707.73627394	46343082.15916213	77387188.32085158	101008017.6750997	6897437.77335148	153565409.06592023	31030657.095258117	760192419.593904	136418885.80121988	35047361.84190457	89817929.46916027	109173159.33009852	39080403.63317708	164919732.85045275	60783161.25064521	760272.8710155784
369.352_C27H44_9.64_164	90909186.35200071	75466505.69048727	48577451.55911258	103170820.17121528	32630626.39816588	189506168.18487296	289370702.2248785	334535752.42660916	78627884.28940043	47340606.68849072	97417586.890559	37226154.22229792	35471171.63560473	44075911.50673302	56836869.9396499	26617352.508318525
369.298_C22H40O4_7.42_81	177718945.31738934	28344948.44369821	42542810.83747113	56850104.53333397	24284915.04940163	144474419.66924536	48759622.75826835	131950094.57812442	109455500.51449512	96165211.51727097	174482044.40264967	97552348.06832896	54841263.86492799	139908285.84880075	66428868.42040302	470541.4743157621
369.23_C19H33N2O3P_6.15_2817	137861084.23382273	51845479.13685516	122145347.8860845	81689036.55493455	101931719.72842582	24585335.181964986	66821194.08155861	28294854.80510762	51765148.07251343	130119360.83496828	116307843.23244102	72377528.2462067	42120487.39832142	60131976.24003781	85028190.99407338	11453438.931204906
