index	V9-arm-healthy-BG3	V9-arm-healthy-BG5	V9-arm-psoriasis-BG9	V9-arm-healthy-BG6	V9-arm-healthy-BG4	V9-arm-healthy-BG8	V9-arm-psoriasis-BG10	V9-arm-healthy-BG7	V9-arm-psoriasis-BG11	GROUP_MEAN_DESCRIPTION_2_healthy	GROUP_MEAN_DESCRIPTION_arm	GROUP_MEAN_Sex_male	GROUP_MEAN_Body_side_right	GROUP_MEAN_Batch_3	GROUP_MEAN_DESCRIPTION_2_psoriasis	GROUP_MEDIAN_DESCRIPTION_2_healthy	GROUP_MEDIAN_DESCRIPTION_arm	GROUP_MEDIAN_Sex_male	GROUP_MEDIAN_Body_side_right	GROUP_MEDIAN_Batch_3	GROUP_MEDIAN_DESCRIPTION_2_psoriasis	GROUP_SUM_DESCRIPTION_2_healthy	GROUP_SUM_DESCRIPTION_arm	GROUP_SUM_Sex_male	GROUP_SUM_Body_side_right	GROUP_SUM_Batch_3	GROUP_SUM_DESCRIPTION_2_psoriasis
962.698__8.06_4795	106762122.12923485	68617159.6124788	44541013.53562204	57600080.28305842	83366650.0	52936038.12275861	57698199.71101909	56906677.74724653	46240869.58453458	71031454.64912952	63852090.08066143	63852090.08066143	63852090.08066143	63852090.08066143	49493360.943725236	63108619.947768606	57600080.28305842	57600080.28305842	57600080.28305842	57600080.28305842	46240869.58453458	426188727.8947772	574668810.7259529	574668810.7259529	574668810.7259529	574668810.7259529	148480082.8311757
961.584__7.56_4092	26056737.778999552	66990035.82134803	62118392.03460907	217466708.4719902	164231320.22765633	28922382.499558162	45492595.38656267	28970731.523988888	22762798.999999996	88772986.05392353	73667966.97163476	73667966.97163476	73667966.97163476	73667966.97163476	43457928.80705725	47980383.67266846	45492595.38656267	45492595.38656267	45492595.38656267	45492595.38656267	45492595.38656267	532637916.32354116	663011702.7447128	663011702.7447128	663011702.7447128	663011702.7447128	130373786.42117174
957.631__7.62_4085	56203551.592692025	65427937.858403735	26999088.8923079	170473672.6235969	81426202.53816557	42425784.5242808	36406338.10414049	63070179.0	29560277.297829956	79837888.0228565	63554781.381268606	63554781.381268606	63554781.381268606	63554781.381268606	30988568.098092783	64249058.42920187	56203551.592692025	56203551.592692025	56203551.592692025	56203551.592692025	29560277.297829956	479027328.137139	571993032.4314175	571993032.4314175	571993032.4314175	571993032.4314175	92965704.29427835
956.655__7.73_4299	21354608.715282053	71426882.38364622	67405696.84787142	130900796.43403606	76049792.06117782	52991990.0	29693584.23414449	93893420.46462527	11928410.040708717	74436248.3431279	61738353.46461022	61738353.46461022	61738353.46461022	61738353.46461022	36342563.70757488	73738337.22241202	67405696.84787142	67405696.84787142	67405696.84787142	67405696.84787142	29693584.23414449	446617490.05876744	555645181.181492	555645181.181492	555645181.181492	555645181.181492	109027691.12272464
955.525__7.06_3916	23066988.233583733	63339356.210268155	45126312.25484255	37215912.83453891	69028063.09052108	52991990.0	49380955.485579774	71308427.51631904	41058259.84099621	52825122.98087182	50279585.05184994	50279585.05184994	50279585.05184994	50279585.05184994	45188509.19380618	58165673.10513408	49380955.485579774	49380955.485579774	49380955.485579774	49380955.485579774	45126312.25484255	316950737.8852309	452516265.4666495	452516265.4666495	452516265.4666495	452516265.4666495	135565527.58141854
954.678__8.37_2186	31701220.43785268	99277849.07799685	31034179.0	153752841.0565277	42554085.73234928	186669295.43996003	29601213.64118538	118427555.80245562	19583820.717507716	105397141.25785702	79178006.76731503	79178006.76731503	79178006.76731503	79178006.76731503	26739737.78623103	108852702.44022623	42554085.73234928	42554085.73234928	42554085.73234928	42554085.73234928	29601213.64118538	632382847.5471421	712602060.9058353	712602060.9058353	712602060.9058353	712602060.9058353	80219213.3586931
953.674__8.39_629	61651987.63178532	69508651.11422786	29511921.80345795	117295782.05099687	83849635.96946801	52991990.00000001	10904434.214230983	69367149.79234347	6954753.185179605	75777532.7598036	55781811.75129889	55781811.75129889	55781811.75129889	55781811.75129889	15790369.734289512	69437900.45328566	61651987.63178532	61651987.63178532	61651987.63178532	61651987.63178532	10904434.214230983	454665196.55882156	502036305.76169	502036305.76169	502036305.76169	502036305.76169	47371109.202868536
952.672__6.62_2982	37884208.52685234	118271613.15980747	15861336.040538132	77931989.0	80869768.62610923	64366506.53783133	15079373.769469444	76392451.2538277	21854378.169990737	75952756.18407135	56501291.67604737	56501291.67604737	56501291.67604737	56501291.67604737	17598362.659999438	77162220.12691385	64366506.53783133	64366506.53783133	64366506.53783133	64366506.53783133	15861336.040538132	455716537.10442805	508511625.08442634	508511625.08442634	508511625.08442634	508511625.08442634	52795087.97999831
948.718__8.39_340	34771105.0	66306689.23137993	21568669.217235193	178564506.7270582	147055493.482661	101196346.33524765	11991003.802148579	112614747.14881577	6578389.571278426	106751481.32086043	75627438.94620274	75627438.94620274	75627438.94620274	75627438.94620274	13379354.196887398	106905546.74203171	66306689.23137993	66306689.23137993	66306689.23137993	66306689.23137993	11991003.802148579	640508887.9251626	680646950.5158247	680646950.5158247	680646950.5158247	680646950.5158247	40138062.5906622
946.704__8.02_2967	128058265.39413509	45190295.29596764	12024255.465790035	77931989.0	110285857.39174725	73418200.48059334	6060651.309850864	218440322.33590972	2968779.6023875815	108887488.31639218	74930957.36404239	74930957.36404239	74930957.36404239	74930957.36404239	7017895.459342826	94108923.19587362	73418200.48059334	73418200.48059334	73418200.48059334	73418200.48059334	6060651.309850864	653324929.8983531	674378616.2763815	674378616.2763815	674378616.2763815	674378616.2763815	21053686.37802848
