index	V5-leg-psoriasis-4B8	V5-leg-psoriasis-4B9	V5-leg-psoriasis-4A6	V5-forehead-psoriasis-4C6	V5-leg-psoriasis-4C1	V5-leg-psoriasis-4A11	V5-leg-healthy-4A3	V5-leg-psoriasis-4A9	V5-forehead-psoriasis-4C11	V5-leg-psoriasis-4B12	V5-forehead-psoriasis-4C5	V5-forehead-healthy-4C10	V5-leg-healthy-4B3	V5-leg-healthy-4B4	V5-forehead-healthy-4C9	V5-leg-healthy-4B10	V5-forehead-psoriasis-4C7	V5-leg-psoriasis-4B7	V5-leg-healthy-4A10	V5-leg-psoriasis-4A8	V5-forehead-healthy-4C4	V5-forehead-healthy-4C8	V5-leg-healthy-4B5	V5-leg-psoriasis-4A12	V5-leg-psoriasis-4A7	V5-leg-healthy-4B1	V5-leg-healthy-4B11	V5-leg-healthy-4B6	V5-leg-healthy-4A5	V5-leg-healthy-4A4	V5-leg-healthy-4B2	V5-forehead-healthy-4C2	GROUP_MEAN_DESCRIPTION_2_healthy	GROUP_MEAN_DESCRIPTION_leg	GROUP_MEAN_Sex_male	GROUP_MEAN_Body_side_right	GROUP_MEAN_Body_side_left	GROUP_MEAN_Body_side_middle	GROUP_MEAN_Batch_2	GROUP_MEAN_DESCRIPTION_forehead	GROUP_MEAN_DESCRIPTION_2_psoriasis	GROUP_MEDIAN_DESCRIPTION_2_healthy	GROUP_MEDIAN_DESCRIPTION_leg	GROUP_MEDIAN_Sex_male	GROUP_MEDIAN_Body_side_right	GROUP_MEDIAN_Body_side_left	GROUP_MEDIAN_Body_side_middle	GROUP_MEDIAN_Batch_2	GROUP_MEDIAN_DESCRIPTION_forehead	GROUP_MEDIAN_DESCRIPTION_2_psoriasis	GROUP_SUM_DESCRIPTION_2_healthy	GROUP_SUM_DESCRIPTION_leg	GROUP_SUM_Sex_male	GROUP_SUM_Body_side_right	GROUP_SUM_Body_side_left	GROUP_SUM_Body_side_middle	GROUP_SUM_Batch_2	GROUP_SUM_DESCRIPTION_forehead	GROUP_SUM_DESCRIPTION_2_psoriasis
671.29_C25H52N6O8SSe_4.99_10	28947217.560773656	22377133.961021546	13643464.243479995	110125657.5017256	48037333.97387019	18383308.751269884	37343832.21167549	18800991.56870242	118804862.38657862	65834669.70203446	99203557.59560405	112782085.80923797	35685033.73016787	89471534.94886968	115873316.90256232	39819177.33638978	50567643.549612015	19758887.622082654	28029636.772583146	15394853.185435504	105117168.35297489	106520025.77518609	63298815.67229125	15140262.74667566	18518143.878866646	27101936.920175098	26758682.915252015	94028209.29861917	71284391.73306175	45713584.95258294	15761198.958023572	12464941.185771778	60414916.0867897	37353578.375821926	52830986.30322368	27092967.160211008	48546972.42921566	92384362.11769481	52830986.30322368	92384362.11769481	44235865.881848864	45713584.95258294	28029636.772583146	38581504.77403264	18659567.723784532	39819177.33638978	106520025.77518609	38581504.77403264	106520025.77518609	22377133.961021546	1027053573.4754249	859132302.6439043	1690591561.7031577	325115605.9225321	534016696.7213723	831459259.0592533	1690591561.7031577	831459259.0592533	663537988.227733
671.008__9.86_5733	29834209.352216523	38201661.176243074	48378608.32734576	26083059.634469487	23723509.019592352	108078052.07121198	26092237.347219124	24265343.698973328	1485227156.510906	84738171.44455446	2474326430.602849	51227807.39877366	40958816.52947093	19241988.180550367	23574047.782294806	24024629.774907958	52050480.088293545	35522643.12122987	30393171.39172408	24788565.102830157	1429896732.329129	39703659.422812305	66943106.4933967	85202214.08253376	51709851.46476045	30640274.75199896	31943422.55565938	36645295.907480754	49023233.38952267	47135683.80068058	36446178.873868264	71090388.1451151	120881216.12203558	43214385.55904224	207722207.1803942	46846117.85855576	39252495.777754754	628131084.6571825	207722207.1803942	628131084.6571825	306141997.04653394	36645295.907480754	36446178.873868264	38952660.29952769	41790931.33727442	35522643.12122987	52050480.088293545	38952660.29952769	52050480.088293545	48378608.32734576	2054980674.0746047	993930867.8579714	6647110629.7726145	562153414.302669	431777453.5553023	5653179761.914642	6647110629.7726145	5653179761.914642	4592129955.6980095
670.957__8.04_1577	94082365.99545655	42811784.47031223	55088069.99750101	37300299.69928485	38537685.6540099	63422586.804821	4933968.631296638	25679870.47380612	112976556.83133362	66102804.94717145	77924995.03573436	118006971.22037391	21493311.03308595	42196011.62530813	88860596.59472704	37072339.89615902	32424449.496405013	57261638.07019427	26033644.4444353	18085975.19650609	16593207.496711489	60769259.20147513	37863655.71628884	78001114.84637314	30325606.839928385	15680812.765738595	75376139.35543172	25609521.165099647	19054730.505978793	20592923.252476994	30735638.8980529	16111706.480251843	38646143.42840541	40262704.37327968	46469070.08255406	32302911.888076246	48946114.357137986	62329782.4506997	46469070.08255406	62329782.4506997	55335053.62392254	26033644.4444353	37072339.89615902	37581977.70778684	25856757.45912071	42196011.62530813	60769259.20147513	37581977.70778684	60769259.20147513	55088069.99750101	656984438.282892	926042200.5854326	1487010242.6417298	387634942.65691495	538407257.9285178	560968042.0562973	1487010242.6417298	560968042.0562973	830025804.3588381
670.879__3.69_5642	29011419.288195863	20710753.990714904	51582299.225620635	60132866.69896001	26819568.21299465	47267791.51932021	62266995.70752745	32627352.586497467	83291323.56904948	38806517.38394191	151934293.15415472	36618401.50140477	22439169.92943675	68060813.12846139	39341361.40017413	32362687.50630008	36130251.84013144	43735722.18964298	26625338.194462694	50089373.844394974	96546721.9354273	61528139.02530975	28208170.55244425	34048949.12781307	22763331.29278335	32730070.384759557	18146628.713327445	26958392.873676144	24725725.92530403	39299647.30210068	43974067.50153243	96229675.22477417	44474235.69449547	35793947.23396752	46406681.89783245	39000078.551009715	32296349.433557846	73528114.92770952	46406681.89783245	73528114.92770952	48596787.59494771	36618401.50140477	32627352.586497467	37712459.44267334	36674298.21495688	28208170.55244425	61528139.02530975	37712459.44267334	61528139.02530975	38806517.38394191	756062006.806423	823260786.3812529	1485013820.7306385	468000942.6121166	355259843.7691363	661753034.3493857	1485013820.7306385	661753034.3493857	728951813.9242157
670.561__8.73_5868	42813984.77186979	30233050.898059506	47667983.27112421	37287274.5303472	4.997115898590025	108425421.92124692	33516255.985751126	26774541.987529453	29235126.853111077	43564556.57695392	40002912.19139286	29073615.070152752	63921102.731288254	37106583.81657009	32345931.44230134	42859263.63902692	33776500.78463379	4.997115898590025	47484094.40317199	35488712.57612668	26945448.34837713	42548238.14838278	58161426.94657339	60330275.18887944	27473943.325812012	42559636.56974746	70692199.77099364	84150427.3119604	60024956.404591486	22893581.896048494	37866340.32067581	27786557.899311904	44702097.688525	44522102.187314466	41344061.111757606	45875478.65422543	43045691.49613888	33222400.58533454	41344061.111757606	33222400.58533454	37538286.32475457	42548238.14838278	42813984.77186979	37576807.42551151	40212988.445211634	42859263.63902692	32345931.44230134	37576807.42551151	32345931.44230134	35488712.57612668	759935660.704925	1024008350.3082327	1323009955.5762434	550505743.8507051	473502606.4575277	299001605.26801085	1323009955.5762434	299001605.26801085	563074294.8713186
670.543_C28H69BN9O8_7.97_4277	39905475.17321026	33611317.30287246	13893940.0151057	48538569.66316147	27377221.70464177	25757822.85107109	76543016.72313756	25621190.70564347	56389327.66260785	57378644.076018825	140946086.3763256	28339170.41996419	27352015.867404427	40999164.06983149	19501315.009654555	52626994.55752303	29303404.803146925	19751087.714167684	37232954.853000216	46549400.54241121	86394562.65495746	46771300.7971833	32840221.8538862	23375141.088242248	26360096.33226365	45583070.963689856	29784537.88774288	33568140.4020834	54338769.31257601	37685580.58011615	36526366.03029391	177916446.56302407	50823742.855651096	36724442.20030146	46211323.57990497	37455612.49979592	35926801.87358022	70455575.99444728	46211323.57990497	70455575.99444728	40983915.067392685	37685580.58011615	33611317.30287246	36879660.44164707	36879660.44164707	33568140.4020834	48538569.66316147	36879660.44164707	48538569.66316147	29303404.803146925	864003628.5460687	844662170.6069336	1478762354.5569592	449467349.9975511	395194820.6093824	634100183.9500254	1478762354.5569592	634100183.9500254	614758726.0108902
670.438__7.73_4388	21238647.622585397	64270293.09811453	25781017.345334876	99160605.40018749	24605220.96565014	23137036.552393794	28767878.32025505	29434235.918224875	227154881.7235804	39465963.05308229	227257374.66812396	28622287.330283407	42572394.086734965	23003462.870976817	115111462.18641874	50233776.2735502	53989487.790983774	24449603.304026503	36752212.706158355	48187719.26141026	116329792.48967314	53033417.95584353	28099231.81405512	29543729.593417477	28667200.940313257	61781975.35591213	11167840.45967458	39676051.975532316	31878720.743612774	29853328.747136716	38726857.51062812	154795165.46991572	52376815.07625657	33969321.674729586	58023402.297930956	34375992.74956647	33525680.502180256	119494941.66833445	58023402.297930956	119494941.66833445	64422867.81582859	38726857.51062812	29543729.593417477	37739535.10839324	29698529.170277096	28099231.81405512	115111462.18641874	37739535.10839324	115111462.18641874	29543729.593417477	890405856.2963617	781294398.5187805	1856748873.5337906	412511912.99479765	368782485.5239828	1075454475.01501	1856748873.5337906	1075454475.01501	966343017.2374289
670.387__3.82_5019	46767119.85745145	38039050.59681543	47967690.57652306	46018710.05157937	27237520.026718903	36024438.341556445	30719626.15844452	25242298.754013676	208775460.3063055	32973993.81970972	116046429.52114415	40384430.22523313	55713151.665337585	68752317.0316394	27891336.661846325	26852602.38545114	38760045.67174063	34630173.90406055	16518236.73670751	18256231.88691684	39186885.005748	46040197.27313233	39454981.3160439	31156718.23135669	40119482.90430275	43602018.16301053	23248371.036743894	40057120.56588754	41486082.5440492	31552873.442517094	43436600.51674194	147005255.3815892	44817769.771183714	36513421.759217374	48434920.33000995	33840191.52134502	39429672.92780542	78900972.2331465	48434920.33000995	78900972.2331465	52534357.63001301	40057120.56588754	36024438.341556445	39320933.16089595	33788655.892036766	38039050.59681543	46018710.05157937	39320933.16089595	46018710.05157937	38039050.59681543	761902086.1101232	839808700.4619997	1549917450.5603185	406082298.25614023	433726402.20585954	710108750.0983186	1549917450.5603185	710108750.0983186	788015364.4501952
670.364_C30H55NO15_4.47_1758	27621805.716682974	6830113.773129222	4502647.962377688	167946958.60104823	46916568.52418428	15568899.55645086	20257827.61356135	25899601.106639333	188091857.80239332	55565990.86003831	137201925.8776207	203795527.12389538	37706804.780225664	168771425.77609628	248934520.00530824	40610253.174068525	35343385.71163186	13145335.009919625	27875776.782487884	12630188.153704733	230475468.05897012	232164756.8415754	60058788.031853974	10777425.972499296	20169549.80034732	26785733.312507544	31329233.28976062	136247546.14558926	80321152.85943623	47399253.91100028	31131995.995729584	7569282.932931484	95966785.09617634	41222779.04818655	74988987.53323954	26943337.75222851	56800351.37104988	161280409.21726385	74988987.53323954	161280409.21726385	51214150.29524452	47399253.91100028	27875776.782487884	36525095.245928764	23078714.360100344	40610253.174068525	188091857.80239332	36525095.245928764	188091857.80239332	25899601.106639333	1631435346.6349978	948123918.1082907	2399647601.0636654	323320053.0267421	624803865.0815487	1451523682.9553747	2399647601.0636654	1451523682.9553747	768212254.4286678
669.994__8.91_5419	50546110.312892936	39122074.99093829	29768176.27328815	29325338.37623546	32487406.37402807	35764307.21295625	29398973.727866177	39518262.977362506	600818670.6717741	32541547.511180833	47133090.48291561	54431081.67027868	27086908.81423576	33058867.779226933	50966725.656716496	27029703.08441398	425962121.62769115	29640399.78450467	38760963.82143828	22523474.947336435	2243421608.9460096	30326698.287217796	72458118.15156363	35298233.74454216	25467356.716230657	19980888.819314804	25107862.9706393	47639429.2938977	23835716.502697736	34245627.03392781	32818212.127134398	244779738.29291886	178549830.88114694	34091244.47702685	140976990.5307305	30615016.158674613	37883493.551592916	414129452.66797304	140976990.5307305	414129452.66797304	98394438.13359183	33058867.779226933	32541547.511180833	33652247.40657737	31293194.20021127	32541547.511180833	54431081.67027868	33652247.40657737	54431081.67027868	35298233.74454216	3035347124.979498	784098622.9716176	4511263696.983376	367380193.90409535	416718429.06752205	3727165074.0117574	4511263696.983376	3727165074.0117574	1475916572.0038774
669.968__9.38_82	30139019.198834814	24651551.057571024	39961713.64071807	19624685.749916516	26430740.049177524	45552185.9194181	74175474.87713817	26428808.660750337	37164328.817073025	30541857.553052858	42134343.34045014	36280720.60672433	52552203.79894757	59645813.11040833	25408096.32953346	24470522.5080315	30748444.526220914	25390432.305295702	35353548.26696433	43531293.13226643	37501128.83099162	42817421.024550065	53496099.41909872	49240333.86429629	9473954.501430359	78641263.85224916	27471286.715708137	65472323.446867734	38524490.44522137	84146398.4400253	71157962.37767708	78037039.47697893	52067752.560418576	44193446.83222387	42692671.43261212	49682285.66484625	38205622.651181266	38857356.52249321	42692671.43261212	38857356.52249321	32067579.48776481	52552203.79894757	39961713.64071807	38012809.638106495	44541739.525842264	30139019.198834814	37164328.817073025	38012809.638106495	37164328.817073025	30541857.553052858	885151793.5271158	1016449277.1411489	1366165485.8435879	596187427.978155	420261849.1629939	349716208.70243895	1366165485.8435879	349716208.70243895	481013692.3164721
669.956_C13H24NO20P5_7.64_1605	22437372.44364417	24892836.970394984	44698270.73941972	31575446.801570438	12337926.503380185	40786907.63269224	92830740.29814932	17099643.343893558	78127744.29038477	44815877.606159404	34562449.56672824	59173242.05972816	62177889.38239742	51871245.47039172	94710657.84297912	25459297.11102261	49659411.29331826	20366581.14114617	21918476.767036673	36405752.0090964	79095824.47317736	75149793.09151533	50793897.43204639	31010510.893909764	14563490.065157834	70073684.24125269	13084098.684587292	37220633.19783327	46590908.80381011	61344708.22655581	37133786.135471806	74764928.6767353	56081988.934981786	38257153.699976064	45522938.537362084	42871406.596370496	33223423.267545786	64091055.344015226	45522938.537362084	64091055.344015226	33556014.75339308	59173242.05972816	37133786.135471806	42742589.18605598	38960346.88408202	25459297.11102261	74764928.6767353	42742589.18605598	74764928.6767353	31575446.801570438	953393811.8946904	879914535.0994495	1456734033.1955867	514456879.156446	365457655.94300365	576819498.096137	1456734033.1955867	576819498.096137	503340221.3008961
669.515_C23H60N18O5_9.63_3855	17157750.47126192	36664003.82961213	26744008.936438914	103056342.40278983	12232480.39541091	16363253.430579904	17569944.556242414	20800883.863967173	46575947.69938817	47857816.36481391	107879801.98942623	109981232.59825334	66569591.758476414	21049825.58967041	24153908.581455488	25283321.900381595	116476743.1454654	58633540.33279441	63772594.12304158	65679812.03383156	98652877.07520597	24151200.744063646	132807052.33387753	25860065.51225221	13251482.813089198	62863011.60870687	23821605.714431424	49358027.907275125	29116014.402312852	48777640.78049192	32604861.153065022	25843527.578987963	50375072.847408205	39775590.8613924	49112817.86334567	35283631.1011683	44675910.599818714	72974620.20167068	49112817.86334567	72974620.20167068	47682262.21474147	32604861.153065022	29116014.402312852	34634432.49133857	27930011.66937588	36664003.82961213	98652877.07520597	34634432.49133857	98652877.07520597	36664003.82961213	856376238.4059395	914838589.8120253	1571610171.6270614	423403573.2140196	491435016.59800583	656771581.815036	1571610171.6270614	656771581.815036	715233933.221122
669.513_C26H64N14O6_7.6_2895	10263231.22269968	31487196.108418636	43725455.593268216	9853955.131295858	12133340.527205395	11980454.647726944	95181811.4537177	29855525.84628818	13821423.042041376	30785687.1003413	10545811.98135625	11959429.542502647	64686438.51940208	69268262.59920327	12457750.787729152	24976525.96124938	15208997.605368935	30541493.650383968	42192963.40651683	26147683.772158682	20436802.504441835	5944745.679021783	77905984.95643784	36185940.40552317	9659190.566979434	60755391.21331145	26771274.043979615	55591573.3592324	54858414.49466652	75221456.06824486	47785399.78483594	26256537.98225296	45426515.43274978	42085247.621817015	34201442.17368132	44462473.93776982	39491909.82259578	14053939.361778978	34201442.17368132	14053939.361778978	21479692.4800704	47785399.78483594	36185940.40552317	28313399.9451339	42959209.49989252	30785687.1003413	12457750.787729152	28313399.9451339	12457750.787729152	15208997.605368935	772250762.3567462	967960695.3017914	1094446149.5578022	533549687.2532379	434411008.0485536	126485454.2560108	1094446149.5578022	126485454.2560108	322195387.201056
