index	V17-leg-psoriasis-GA6	V17-leg-psoriasis-GA4	V17-leg-healthy-GA5	V17-leg-psoriasis-GA3	V17-leg-healthy-GA8	V17-leg-healthy-GA2	V17-leg-healthy-GB4	V17-leg-psoriasis-GB3	V17-leg-healthy-GA1	V17-leg-healthy-GA12	V17-leg-psoriasis-GA7	V17-leg-psoriasis-GA10	V17-leg-psoriasis-GB2	V17-leg-psoriasis-GA11	V17-leg-healthy-GB1	V17-leg-healthy-GA9	GROUP_MEAN_DESCRIPTION_2_healthy	GROUP_MEAN_DESCRIPTION_leg	GROUP_MEAN_Sex_male	GROUP_MEAN_Batch_4	GROUP_MEAN_Body_side_left	GROUP_MEAN_DESCRIPTION_2_psoriasis	GROUP_MEDIAN_DESCRIPTION_2_healthy	GROUP_MEDIAN_DESCRIPTION_leg	GROUP_MEDIAN_Sex_male	GROUP_MEDIAN_Batch_4	GROUP_MEDIAN_Body_side_left	GROUP_MEDIAN_DESCRIPTION_2_psoriasis	GROUP_SUM_DESCRIPTION_2_healthy	GROUP_SUM_DESCRIPTION_leg	GROUP_SUM_Sex_male	GROUP_SUM_Batch_4	GROUP_SUM_Body_side_left	GROUP_SUM_DESCRIPTION_2_psoriasis
979.617__7.57_3001	1718874.8627525782	6294398.251204637	1846037.6502113454	1194634.6884934949	7853718.773617413	2340905.0236715027	4182397.3937592185	4272134.516200026	1471384.3600209544	3677236.6760190874	14078606.398931393	1244206.1138418142	2892341.8386703213	5144300.875922536	3238630.008089195	6192395.304430205	3850338.1487273653	4227637.670989732	4227637.670989732	4227637.670989732	4227637.670989732	4604937.193252101	3457933.342054141	3457933.342054141	3457933.342054141	3457933.342054141	3457933.342054141	3582238.1774351737	30802705.189818922	67642202.73583572	67642202.73583572	67642202.73583572	67642202.73583572	36839497.546016805
978.691__7.53_4572	1838587.2263404746	4305263.256710304	1642294.9090144173	5799735.892561189	2122677.96841531	1679875.3615746154	3435727.3280151193	4715909.814298327	2457586.8046343396	8585210.689176567	7165683.380656198	2845626.826418709	7241753.208350142	4503792.921909712	2826399.618132096	7008783.534610683	3719819.526696644	4260931.796301138	4260931.796301138	4260931.796301138	4260931.796301138	4802044.0659056315	2641993.211383218	3870495.2923627114	3870495.2923627114	3870495.2923627114	3870495.2923627114	4609851.36810402	29758556.21357315	68174908.7408182	68174908.7408182	68174908.7408182	68174908.7408182	38416352.52724505
975.718__8.45_3720	1193498.5217036516	6369692.7171863085	2208107.083550317	1059920.7350801001	8163210.847033622	1339389.7744089724	3185137.6668393174	7087473.0949435	1771004.9491626762	5669854.100682044	11180253.448270012	3774200.6300585433	2309515.33150724	6866220.163396449	2364047.2929521357	3720232.440367678	3552623.0193745955	4266359.92482141	4266359.92482141	4266359.92482141	4266359.92482141	4980096.830268226	2774592.479895727	3452685.053603498	3452685.053603498	3452685.053603498	3452685.053603498	5071946.673622426	28420984.154996764	68261758.79714257	68261758.79714257	68261758.79714257	68261758.79714257	39840774.642145805
974.658__7.53_3150	3362083.0459166444	2038226.7838325049	4176468.9775843453	2783438.0292531056	2148585.495530167	4245627.213252076	3016600.315941161	10363449.62540909	3681331.214443242	1676704.738972141	13191699.032863647	2274905.3818607065	2834142.8275135397	6497810.232359202	4732811.121268215	3516537.535613201	3399333.326575569	4408776.3482258115	4408776.3482258115	4408776.3482258115	4408776.3482258115	5418219.369876055	3598934.375028222	3439310.2907649227	3439310.2907649227	3439310.2907649227	3439310.2907649227	3098112.936715092	27194666.61260455	70540421.57161298	70540421.57161298	70540421.57161298	70540421.57161298	43345754.95900844
973.655__5.42_3754	1086721.437717149	3255955.2697094334	2674360.2596575855	3350898.3071548054	1250503.2003426752	2074584.448740541	2489358.117671406	3035760.990939416	7190967.830787744	2948514.784463895	15362024.564209653	8041101.873171244	3047872.9384696167	7369483.821374297	2645360.6200797465	2048232.84873332	2915235.2638096143	4241981.332076408	4241981.332076408	4241981.332076408	4241981.332076408	5568727.400343202	2567359.368875576	2992137.8877016557	2992137.8877016557	2992137.8877016557	2992137.8877016557	3303426.7884321194	23321882.110476915	67871701.31322253	67871701.31322253	67871701.31322253	67871701.31322253	44549819.20274562
970.671__7.82_2660	1567292.4154343822	3117448.51777949	1331738.8892992432	4738848.2808779245	2956135.5628683227	1891258.0876132085	4615949.773337175	5158163.964324872	1958717.5981232524	5665213.380010015	11174880.462334665	1124900.8710613109	2106946.818248786	4606669.492115476	1875086.8006773514	1976567.015043535	2783833.388371513	3491613.620571813	3491613.620571813	3491613.620571813	3491613.620571813	4199393.852772113	1967642.3065833938	2531541.1905585546	2531541.1905585546	2531541.1905585546	2531541.1905585546	3862059.004947483	22270667.106972106	55865817.92914901	55865817.92914901	55865817.92914901	55865817.92914901	33595150.8221769
969.668__7.79_1917	837860.0612101975	3771373.3274850645	1525982.1065898312	6025414.212241994	3735215.208161024	1671984.0693252883	6097814.759405941	5279409.741063212	1515512.0935397458	4648897.865080822	11120641.279085737	2070199.993037226	1345316.5107460376	5223657.689120133	1567763.5551887674	2658175.542437595	2927668.149966127	3693451.1258574137	3693451.1258574137	3693451.1258574137	3693451.1258574137	4459234.1017487	2165079.8058814416	3196695.3752993094	3196695.3752993094	3196695.3752993094	3196695.3752993094	4497515.508302599	23421345.199729014	59095218.01371862	59095218.01371862	59095218.01371862	59095218.01371862	35673872.8139896
967.654__8.04_3935	4932823.048068627	2669454.947601707	1741007.095099093	3904303.5633270945	3036105.7087275963	1565459.1549236674	6504855.517078058	7703046.653702224	1856329.727658347	2610758.538523253	8785364.374442989	2309128.6984392954	3933760.97490473	1748925.0801969112	2023843.8283125993	4964419.018346225	3037847.323583605	3768099.120584526	3768099.120584526	3768099.120584526	3768099.120584526	4498350.917585447	2317301.183417926	2852780.328164652	2852780.328164652	2852780.328164652	2852780.328164652	3919032.2691159123	24302778.58866884	60289585.92935242	60289585.92935242	60289585.92935242	60289585.92935242	35986807.34068358
965.799__6.18_5877	1972466.8750405477	372794266915.78845	1972466.8750405477	1972466.8750405477	509872824863.6064	1972466.8750405477	1972466.8750405477	435676510892.0811	343858177858.94366	1972466.8750405477	1972466.8750405477	1972466.8750405477	1972466.8750405477	1972466.8750405477	906703573118.6389	575051020282.4463	291936685748.8919	196498506162.51596	196498506162.51596	196498506162.51596	196498506162.51596	101060326576.13997	171930075162.90936	1972466.8750405477	1972466.8750405477	1972466.8750405477	1972466.8750405477	1972466.8750405477	2335493485991.1353	3143976098600.2554	3143976098600.2554	3143976098600.2554	3143976098600.2554	808482612609.1198
965.514__3.3_5490	11.772796574015299	1784508.7318926651	3873532.6199688097	2305054.7052093255	3013824.1501513426	1920013.620459581	4161977.9088287586	2536566.7498373366	3084708.1583234887	4455403.090639516	2757895.325428824	2913767.1520687863	11.772796574015299	5736871.997721082	9563749.024867069	4487719.417235188	4320115.998809218	3287226.0123890573	3287226.0123890573	3287226.0123890573	3287226.0123890573	2254336.0259688958	4017755.2643987844	2963795.6511100642	2963795.6511100642	2963795.6511100642	2963795.6511100642	2420810.727523331	34560927.99047375	52595616.19822492	52595616.19822492	52595616.19822492	52595616.19822492	18034688.207751166
