#SampleID	V21-hand-psoriasis-RF3	V21-hand-psoriasis-RF4	V21-hand-psoriasis-RE9	V21-hand-healthy-RE6	V21-hand-psoriasis-RE7	V21-arm-healthy-RD11	V21-hand-psoriasis-RF5	V21-arm-psoriasis-RE1	V21-arm-healthy-RE4	V21-hand-healthy-RF1	V21-hand-psoriasis-RF8	V21-hand-psoriasis-RF2	V21-hand-healthy-RE12	V21-arm-psoriasis-RD7	V21-arm-healthy-RD8	V21-hand-healthy-RE8	V21-hand-psoriasis-RF6	V21-arm-healthy-RD4	V21-hand-psoriasis-RE5	V21-arm-psoriasis-RD6	V21-arm-psoriasis-RD3	V21-hand-psoriasis-RE10	V21-hand-psoriasis-RF7	V21-hand-psoriasis-RF9	V21-arm-psoriasis-RD9	V21-arm-healthy-RD12	V21-arm-healthy-RD1	V21-arm-psoriasis-RE2	V21-arm-psoriasis-RD10	V21-hand-psoriasis-RE11	V21-hand-psoriasis-RF10	V21-arm-healthy-RD5	V21-arm-healthy-RE3	V21-arm-psoriasis-RD2
982.62__7.48_4896	1781189.7306793944	2303927.133925917	2681310.8831279846	1932238.1985025927	3763603.8559892937	2178631.406502971	5604918.245080263	2247797.6870209933	1316389.4438063793	1396883.1313748176	2234453.025636071	4357040.129085898	1715121.3764607925	1613865.688111886	1535307.3857897029	2875487.9866418387	945224.470547862	2124404.5972090014	3281902.514537731	1416269.7314726675	4370168.6560778385	1468534.9574121416	1256772.3737419604	1970831.2867041402	6282532.314716605	2521420.5537736723	1986078.585700017	2457710.0292967004	1828690.175682657	1863271.678559903	2543178.082667273	1675136.5137589762	1802675.4542000017	2554312.2786694164
98.513__6.8_3090	981375.4504969751	1113159.9340955876	1074452.6078225132	1110220.2609252715	1612650.709455317	1690099.038966831	938876.8583713195	1000970.6643834823	1902605.144475139	2210723.3050826793	2936602.5915220943	1865285.6350812512	1711250.454559354	1105902.0048824018	2355982.377065627	1961161.782770174	2483529.9725151085	9325034.926758464	2188164.0837024944	1956956.9420558263	2282582.236061824	1262497.829761192	2449986.0854802127	3515021.8533388493	2155398.025932176	2428522.560463509	2633494.694278005	2731933.550395891	2209082.3677863884	1770719.629980429	2980661.2962271627	1987178.7594104463	1965388.6764650675	4132042.956482324
98.513__3.11_2260	829563.3901073993	540605.789367253	1069323.5378986695	1171168.1726664156	2113452.095449334	1374911.3071339189	1372839.7725991118	3991528.3896762063	633071.8131223724	1157144.5922363736	3265877.1415867237	1144643.1096514692	1007301.1251096356	1071046.2808176524	3492396.080904353	3028321.356807462	2981044.990545907	1928234.75797209	2621441.553789207	2342469.317641627	9080818.771963062	3182151.6918925624	1873161.9282336056	1082508.2205558068	1627639.9586963125	3269687.959673841	1972443.1244145369	8310454.668114636	3599258.7123289537	3318121.8826051494	3645870.864288705	4252515.4917959515	3614614.8924788362	3899987.1311557004
98.512__5.19_2012	1400648.0779844432	1920319.4847554718	1426820.2546349422	2303006.3096556147	1760454.9021744654	1140643.3033622869	2351836.0632831035	1994355.6745437768	2026394.1502014103	2050498.2431688632	3905460.1262620618	1499988.395179366	1601104.9283846938	1489306.4700049309	2077607.4686631046	1811494.99164994	1057835.2775986432	1349583.2324427813	1024729.4346257728	1480723.4783806382	1487509.1795997196	3895856.359508639	2086254.5721511138	3035025.7940960415	978258.1089037444	2038055.2095321063	3599238.696014145	2017747.8719156082	3134782.584496748	2595839.1514926	4972750.697694097	2445346.45384506	2674044.8975978047	3311849.0783608593
98.512__3.65_1856	499127.5435341913	2513066.766346377	936735.9445577881	1378702.0226702276	491488.4650342838	1230640.582446518	1022017.2067381791	2178879.447501188	686754.4152861561	774955.6434152098	2127549.8297292693	1949166.143916776	910123.244268802	3017343.600766933	795354.4484377577	2434395.2598692486	2051869.5483624772	2127792.9460727395	861901.7787365167	1693430.075958088	6760259.44283843	1995929.50030693	911653.0408771095	2359755.651368429	2533783.801614594	3656390.837152687	2026000.4382286246	4768073.109734776	5275669.357591033	2779571.747960066	2415843.7321677986	1850566.6461419358	3778101.0034483806	5198869.488253607
98.512__1.43_3070	738463.1390124175	2252963.879049276	2064591.1875897397	1353847.8293683017	1838547.599427995	1715697.222185591	1145176.1076827787	1723320.148415741	987421.7675411628	1802475.6303511597	1145880.687852745	1174815.1411189758	1827880.439082933	3406105.627015016	1337635.337153379	3554012.1644939086	1026781.9572427628	3609847.8501109364	1474398.0706576812	2246749.573664287	1952569.1447550145	1780829.077062744	1099721.6501825743	3128523.429081405	2819512.9633060126	2228372.2238099845	1195155.57756858	1421508.5659810712	3630546.1064669183	2099045.886219013	5631108.705984696	3101195.8609884074	4511208.06316252	2101587.7158291163
98.512__0.79_1293	634729.6125467194	953082.88824439	881859.7466225713	1031458.26076997	1029192.0929485221	1313229.7505154177	543517.8282173444	527612.6280512408	1152640.900486291	264453.2458150494	1963552.1715985446	3961467.422463657	999607.7415802416	4793166.387097875	660785.9789226224	328977.02501173696	3977313.924968656	4973790.732494251	5227311.447657065	5201705.191334805	1536003.762698821	6692946.65313386	6945522.039827846	6382072.562830972	6056448.200564689	1466810.7001716832	6095731.011924433	3905695.7200976987	2671930.2709362684	575727.8756519754	2331660.0917704133	7514590.3879566975	7286455.823028267	7619539.534368474
98.013__7.04_2832	1546700.5786277931	1860320.2169481427	2306126.124512351	923885.3541140023	1965948.0038685773	1321579.3011991358	1123786.3856277312	2561902.462070202	1803760.0487420254	2574875.4832537347	3248622.411079088	1665142.3727585154	1400306.961913037	3447917.300219557	1912741.298662572	1867593.9254272592	1516920.882549332	5035043.639154336	3357657.1904559745	2197982.4531439445	2530831.761456487	1842027.3124418969	1557516.6775999859	1819448.9026369161	2918504.6794356517	1528250.2345440772	2521039.019737849	2813160.2837546626	2859573.471192835	1910944.9130836388	4156782.7001953814	2349832.9256138126	1651854.4724200428	2297846.3771332004
98.013__3.33_3707	728063.6952612605	920975.4927198415	997440.3433946432	873441.1844618719	2808310.671964632	2572759.8388961907	1185622.9269239195	2125101.858342288	1062594.1736291659	1740950.9590614229	1586466.1870013422	992278.6848851169	1655709.2131864415	1920778.713300816	1215651.8785745148	2530473.6780637917	2667333.7388123563	2643291.5499303504	1178729.7603151859	2259676.881928961	2718320.684598816	3795356.777429066	2697777.8372599646	1530436.937409497	4696294.518079755	2679504.459078116	5057733.428007375	3455230.466193092	2623604.942860338	1782640.346373116	1748823.1801997786	1617818.4190674156	3014033.2076677014	10241981.112626093
98.013__0.85_3287	85738.79273970948	1169440.7814520923	235903.7139126343	115163.30053766703	645271.1793376853	2009495.9008555284	1342534.904338503	1333457.3707916918	1245732.8822844122	823218.4414357778	167281.40706993875	2416089.740789252	1569938.8057819959	7554223.674359082	881474.9225930574	1908892.9584837612	3857521.22939588	5314804.660165005	9198177.555773497	8432296.461716974	605096.1687346264	8207561.3165744785	5765987.892269623	8847717.183724657	7964356.496767371	1184313.8661272721	8878075.16839618	1008327.6108618069	713196.0825514154	1393689.201877137	1563514.7449097887	7790283.046128215	8523739.338959405	8235024.817539808
98.013_H5N2O2S_7.49_2288	1508116.610444311	1813912.6982249676	831943.4327904059	2410076.9085142137	1916905.4960426984	1463354.019462403	1516498.3706816726	1560103.4804879453	1758763.4790807904	2510642.6801533243	3167582.327768053	2656480.702920644	1012948.0056525014	979852.3336823048	1375413.0822907023	1807459.0498663837	2636814.2687812964	2085805.6404301424	3273897.127262277	2543310.053386117	2467697.6723437663	1088905.7889024357	1822871.663929224	2331203.930632274	4532191.229005542	3433674.048006747	2458149.220205234	1585564.9961100838	2788238.596585935	1455953.2014945785	4053087.6646686736	2291214.030598709	5713282.5644306475	2302081.15160975
98.013_H5N2O2S_5.11_3747	853868.5106658286	1619980.5255955572	1673530.139889997	1308168.423433073	1900739.4858643338	1794683.382138008	936640.8492119472	2225113.24786799	1731480.6751373988	2900458.1716553867	857858.2729138432	1446524.8504581153	1987996.4999144229	4109780.996798909	1488676.2317653839	1275313.7972876865	961241.8450580064	4921539.2420279635	1175228.6316432178	2368257.389590649	1268295.165913221	1548330.7914232926	1302480.7280146251	2092202.3894684825	2959923.9028710243	2910903.125571086	3915957.737666355	3283696.154917442	3743309.151838626	2433244.8299327367	2876076.460451967	1320588.4619425414	1884460.646768427	5308765.464728015
98.013_CH6O3P_4.59_3833	551835.2188317834	1594891.9369306655	1234582.8787317893	1264385.9984752066	2174935.0987159377	1303898.1077783788	1695804.8596093424	976153.7441791685	1552357.387393944	2855538.8649979	1897524.2598989469	2350215.643093516	1517500.3757719083	4046132.944675833	1890350.4620231863	1199913.2703980438	1024308.8931382992	4845319.514882809	2141808.1942514	2347786.896477271	3921959.5258545377	2896145.409504689	2583556.724636109	2040640.4031006482	1122664.135738387	2865822.058232977	3855311.420406898	4977049.034287977	1839753.073411053	1248074.4162623999	2205646.7496009874	1300136.5489758116	2167025.1807237715	5766270.247236816
979.617__7.57_3001	2378167.672436511	1757752.9294599418	1816016.6606417247	1579873.8086285943	1871585.158048344	1237093.3778119064	3715889.9452114967	2810572.1174186803	1593838.8730399925	1241187.4836517696	1296740.2102346602	1191170.3161975078	1119569.1993887126	2589088.2460609926	1593340.5150101788	1562729.3461535738	1135688.5583213943	898179.9529733942	881965.9690983425	1663096.4454427643	3705836.045084714	3204820.6314726323	2801606.404129149	1084715.6789491985	4031558.752956888	2787366.927384879	7599825.902659755	1561404.5969603974	999917.5368445729	1736202.098835238	3200411.109158204	1866547.9569495288	3754243.011436318	1609822.6028886111
979.434__4.56_5212	2420184.9023031536	4793943.227833811	1346728.457965577	2064974.910387141	2107117.4335615737	1350646.0548403843	2594635.752893136	2452380.7429892113	1699573.9315005816	1818148.8569541103	8.725160077522366	1888822.6535820416	8.725160077522366	2277266.780233337	2774592.1794920345	1173970.2884306342	2321416.090225601	3418692.221574813	8.725160077522366	1735774.620662222	1921925.9109161613	1601415.880628455	5291722.33541654	1928164.40037159	2469647.8347826283	2268532.8949957374	3194228.7534204726	2447922.186189597	4170268.785492512	8.725160077522366	2792042.4996470795	2504461.223491942	1558749.8478493702	2524014.3072256697
