index	V11-arm-healthy-BF3	V11-arm-healthy-BH1	V11-arm-healthy-BF4	V11-arm-healthy-BH2	V11-arm-healthy-BF5	V11-arm-healthy-BH3	V11-arm-psoriasis-BF11	V11-arm-healthy-BF6	V11-arm-psoriasis-BH5	V11-arm-healthy-BH4	V11-arm-healthy-BF8	V11-arm-psoriasis-BF9	V11-arm-psoriasis-BF10	V11-arm-healthy-BF7	V11-arm-healthy-BF12	GROUP_MEAN_DESCRIPTION_2_healthy	GROUP_MEAN_DESCRIPTION_arm	GROUP_MEAN_Sex_male	GROUP_MEAN_Body_side_right	GROUP_MEAN_Body_side_left	GROUP_MEAN_Batch_3	GROUP_MEAN_DESCRIPTION_2_psoriasis	GROUP_MEDIAN_DESCRIPTION_2_healthy	GROUP_MEDIAN_DESCRIPTION_arm	GROUP_MEDIAN_Sex_male	GROUP_MEDIAN_Body_side_right	GROUP_MEDIAN_Body_side_left	GROUP_MEDIAN_Batch_3	GROUP_MEDIAN_DESCRIPTION_2_psoriasis	GROUP_SUM_DESCRIPTION_2_healthy	GROUP_SUM_DESCRIPTION_arm	GROUP_SUM_Sex_male	GROUP_SUM_Body_side_right	GROUP_SUM_Body_side_left	GROUP_SUM_Batch_3	GROUP_SUM_DESCRIPTION_2_psoriasis
98.512__4.61_1741	10628896.733831119	22966133.684936635	45525757.775745966	23227287.000000004	14737331.012086783	43910426.32594279	52459258.064298436	18104144.87080327	20584531.331059642	32931153.44084262	15191859.409046263	15381745.340161225	25399461.569328383	18923277.64385562	29625768.94926391	25070185.167850457	25973135.543413512	25973135.543413512	28723906.356556337	24597750.136842098	25973135.543413512	28456249.076211922	22966133.684936635	22966133.684936635	22966133.684936635	23227287.000000004	18513711.257329445	22966133.684936635	22991996.450194012	275772036.846355	389597033.1512027	389597033.1512027	143619531.7827817	245977501.368421	389597033.1512027	113824996.30484769
98.512__3.65_1856	21187271.271427788	21287592.492427528	34565237.60004396	24286538.339135364	9667972.689585166	32326697.95913647	33211155.03122866	33698817.5	20176495.437903967	21987790.217861176	8654970.858649889	20754993.26526761	24418441.778804205	23354270.5412032	14249784.01186908	22296994.861939963	22921868.599636268	22921868.599636268	24013022.889292903	22376291.454807956	22921868.599636268	24640271.378301114	21987790.217861176	21987790.217861176	21987790.217861176	21987790.217861176	22270770.906315494	21987790.217861176	22586717.522035908	245266943.4813396	343828028.994544	343828028.994544	120065114.44646451	223762914.54807955	343828028.994544	98561085.51320446
98.512__1.43_3070	53833939.47510591	40699817.96910395	47922518.67874239	19433739.495884277	12266779.516962573	19389681.769753728	33105864.21427258	75939274.45243613	35301376.87192581	26802203.8336128	37535617.242754914	19970807.170282494	23181613.783717323	38905152.0	11594913.122077009	34938512.505130336	33058886.639775462	33058886.639775462	28325363.988056112	35425647.965635136	33058886.639775462	27889915.51004955	37535617.242754914	33105864.21427258	33105864.21427258	26802203.8336128	35320740.72851375	33105864.21427258	28143738.998994954	384323637.5564337	495883299.59663194	495883299.59663194	141626819.94028056	354256479.6563513	495883299.59663194	111559662.0401982
98.013__7.04_2832	16173629.67025735	16729580.0	19931961.833314545	35623624.694432296	15556835.610836027	12773077.047857378	33469050.941519998	40929853.107042424	32782911.996478546	14603569.048101204	24873777.63773352	31827253.919598833	48438981.90745499	38697577.705875404	18027856.3203165	23083758.425069693	26695969.429387935	26695969.429387935	22502552.557373885	28792677.86539496	26695969.429387935	36629549.691263095	18027856.3203165	24873777.63773352	24873777.63773352	16729580.0	28350515.778666176	24873777.63773352	33125981.468999274	253921342.67576662	400439541.440819	400439541.440819	112512762.78686942	287926778.6539496	400439541.440819	146518198.76505238
98.013__0.85_3287	33845873.021151334	6781063.559099824	38692737.754772715	18186488.537212282	22973588.40923939	56342702.14632161	77393605.72560623	47926709.14340983	17502812.663213406	36706504.93681518	40102969.0	13026041.949331444	13428422.102666628	20668868.78102621	32047513.1261825	32206819.85593008	31708393.390403245	31708393.390403245	27103914.36853246	34010632.90133862	31708393.390403245	30337720.61020443	33845873.021151334	32047513.1261825	32047513.1261825	18186488.537212282	32946693.073666915	32047513.1261825	15465617.382940017	354275018.4152309	475625900.85604864	475625900.85604864	135519571.8426623	340106329.01338625	475625900.85604864	121350882.44081771
98.013_H5N2O2S_7.49_2288	11667733.18905422	18655150.52873867	35201075.936684676	25699051.890992474	24173026.256341215	9652081.7031612	24144732.162048176	52642054.35371984	30002735.975763377	13280190.57608339	15817440.369976826	22960332.0	34944111.39417517	27916616.179555617	13005381.092833614	22519072.916103795	23984114.24060856	23984114.24060856	19457842.13494782	26247250.293438934	23984114.24060856	28012977.882996682	18655150.52873867	24144732.162048176	24144732.162048176	18655150.52873867	24158879.209194697	24144732.162048176	27073734.06890578	247709802.07714173	359761713.6091284	359761713.6091284	97289210.67473911	262472502.93438935	359761713.6091284	112051911.53198673
98.013_H5N2O2S_5.11_3747	16741263.195763757	21485338.69096913	19769995.82682978	13805182.172844011	36443613.78421169	22746610.0	21951304.083886594	41463445.82643982	13655930.706174811	12781587.07538651	23808647.955849197	24117988.011186056	59264710.67897264	26043609.60836601	17070349.18157468	22923603.938021325	24743305.119896982	24743305.119896982	16894929.72907489	28667492.815308023	24743305.119896982	29747483.370055027	21485338.69096913	21951304.083886594	21951304.083886594	13805182.172844011	23963317.983517624	21951304.083886594	23034646.047536325	252159643.31823456	371149576.7984547	371149576.7984547	84474648.64537446	286674928.1530802	371149576.7984547	118989933.48022011
98.013_CH6O3P_7.94_2003	13495192.811198857	16306354.852045244	30769048.71462225	12766814.15595581	21129496.83126239	32044387.129611265	33910281.6079348	42622059.080740385	26225211.026806984	30837996.999999996	13825929.47328777	11833428.734392745	36047126.458632946	38495860.437483795	19211168.42247743	24682209.90078956	25301357.11576351	25301357.11576351	23636152.832883857	26133959.257203333	25301357.11576351	27004011.95694187	21129496.83126239	26225211.026806984	26225211.026806984	26225211.026806984	25949272.77294232	26225211.026806984	30067746.31737089	271504308.90868515	379520356.7364527	379520356.7364527	118180764.1644193	261339592.57203335	379520356.7364527	108016047.82776748
98.013_CH6O3P_4.59_3833	33021983.416236326	37333106.24603556	19769995.82682978	14706005.404928198	31991292.125014707	22746610.0	16208940.677897708	17023691.70757561	14507042.015639724	29566754.113438696	15749500.697941594	38251646.822767764	26356420.62804401	56575631.1918228	17070349.18157468	26868629.082854357	26058598.003716476	26058598.003716476	23771903.556008436	27201945.227570496	26058598.003716476	23831012.5360873	22746610.0	22746610.0	22746610.0	22746610.0	23063208.227436893	22746610.0	21282680.652970858	295554919.91139793	390878970.05574715	390878970.05574715	118859517.78004217	272019452.275705	390878970.05574715	95324050.1443492
975.718__8.45_3720	42920639.79467438	14357548.588342708	19847092.566313982	10699078.842687706	133615546.3264205	28287656.075522367	65621949.49505961	37847438.90636663	19466755.345581163	26155997.947705127	26738716.800259467	25836766.528041862	26209082.188101515	38905152.0	4492594.857537865	34897042.064166434	34733467.75084099	34733467.75084099	19793407.359967817	42203497.94627758	34733467.75084099	34283638.38919604	26738716.800259467	26209082.188101515	26209082.188101515	19466755.345581163	32293077.85331305	26209082.188101515	26022924.35807169	383867462.70583075	521002016.2626149	521002016.2626149	98967036.79983908	422034979.4627758	521002016.2626149	137134553.55678415
