index	V19-leg-healthy-GG9	V19-leg-psoriasis-GF8	V19-leg-psoriasis-GF9	V19-leg-healthy-GH2	V19-leg-psoriasis-GG8	V19-leg-psoriasis-GG1	V19-leg-psoriasis-GH6	V19-leg-psoriasis-partial-GF7	V19-leg-healthy-GG4	V19-leg-psoriasis-GH4	V19-leg-healthy-GF2	V19-leg-healthy-GF11	V19-leg-psoriasis-GG12	V19-leg-psoriasis-partial-GF4	V19-leg-psoriasis-GH1	V19-leg-psoriasis-GG2	V19-leg-psoriasis-GG10	V19-leg-psoriasis-GF10	V19-leg-healthy-GF1	V19-leg-psoriasis-GG5	V19-leg-psoriasis-GG6	V19-leg-psoriasis-GG7	V19-leg-psoriasis-partial-GF3	V19-leg-psoriasis-GF12	V19-leg-psoriasis-GG11	V19-leg-psoriasis-GG3	V19-leg-healthy-GH3	V19-leg-psoriasis-GH5	V19-leg-psoriasis-partial-GF5	GROUP_MEAN_DESCRIPTION_2_healthy	GROUP_MEAN_Batch_4	GROUP_MEAN_Sex_female	GROUP_MEAN_DESCRIPTION_leg	GROUP_MEAN_Body_side_right	GROUP_MEAN_DESCRIPTION_2_psoriasis	GROUP_MEDIAN_DESCRIPTION_2_healthy	GROUP_MEDIAN_Batch_4	GROUP_MEDIAN_Sex_female	GROUP_MEDIAN_DESCRIPTION_leg	GROUP_MEDIAN_Body_side_right	GROUP_MEDIAN_DESCRIPTION_2_psoriasis	GROUP_SUM_DESCRIPTION_2_healthy	GROUP_SUM_Batch_4	GROUP_SUM_Sex_female	GROUP_SUM_DESCRIPTION_leg	GROUP_SUM_Body_side_right	GROUP_SUM_DESCRIPTION_2_psoriasis
478.818__7.62_5861	1775187.3311922604	2084884.4891162126	502190.10612849076	2444685.3030939824	1569269.4989625048	3125511.8882412803	681386.452532942	1955616.7780553242	1007403.2972522897	1961125.9526849317	776505.2363770931	5160957.00445396	651623.9818669626	4449383.4571455	2270654.0565137514	8089785.391803127	708758.2994065791	1229967.9856733144	2960405.7034481843	405967.49848671077	2132587.5770191504	1504840.0	6290716.683583786	1049984.046072717	938487.898153655	10162552.680041764	4337270.758997132	3367577.46375375	0.9944358537197837	2637487.804973557	2537768.5453273514	2537768.5453273514	2537768.5453273514	2537768.5453273514	2506039.6899853777	2444685.3030939824	1955616.7780553242	1955616.7780553242	1955616.7780553242	1955616.7780553242	1762443.1385089145	18462414.6348149	73595287.8144932	73595287.8144932	73595287.8144932	73595287.8144932	55132873.179678306
478.228_C21H35NO11_2.7_961	823756.2329833269	1899584.1582012274	973213.7113205213	2202415.243039679	790308.0895675663	2657982.6439440665	2818719.0	751415.8628800523	1950812.4042153845	1060865.777968632	3109898.267422684	1840308.9607215184	823518.5394623409	1618547.831291163	3449171.989754365	717827.8997460647	896180.3642449039	1268482.2481471286	1896010.2616652367	1785811.2854082575	3691310.4710536595	2266814.767856093	1670455.575001377	3020254.7498345915	4332962.62822011	4305764.556881733	4295744.579317573	4136397.665377442	1150163.5357675387	2302706.564195058	2144989.6310791117	2144989.6310791117	2144989.6310791117	2144989.6310791117	2094806.9705422195	1950812.4042153845	1896010.2616652367	1896010.2616652367	1896010.2616652367	1896010.2616652367	1728133.430204817	16118945.949365404	62204699.30129424	62204699.30129424	62204699.30129424	62204699.30129424	46085753.35192883
478.185__3.09_5514	548379.1280993515	1874824.5167366022	679499.3456480945	1985792.689782193	1452115.319190665	5305962.955931601	2334924.3871440897	1006214.2297301615	2042082.0885034914	1109019.3405588453	1466325.0941608364	860749.560427197	3956886.3705623597	4737953.999430516	3425968.4997909577	6366666.313086066	1036186.6854457747	1923594.0035974772	1666801.106989523	1095276.8115741531	7199818.126806205	6303780.500452116	4247760.73905235	1978784.0	3007096.2163375462	1728972.3081162695	6026964.739113465	2554049.011805003	2605635.7171077398	2085299.2010108654	2776830.476040712	2776830.476040712	2776830.476040712	2776830.476040712	2996863.1544592995	1666801.106989523	1985792.689782193	1985792.689782193	1985792.689782193	1985792.689782193	2444486.699474546	14597094.407076057	80528083.80518065	80528083.80518065	80528083.80518065	80528083.80518065	65930989.39810459
477.355_C24H48N2O7_8.67_769	2713736.6559166666	5451279.784637473	2842119.11441167	1160079.357557958	8613419.37239827	324211.42983878084	5340845.615346221	5751984.395835139	2706520.6298358575	620315.0780388609	918093.9146410902	612520.5314484782	726415.6510359185	1660724.0625279099	722006.2013262879	524947.4316056984	3857600.410888804	65358153.10420778	1649105.0000000002	680809.8354524454	411996.6096390076	1038030.5486784729	3126146.8104153466	2620164.7229918144	2743823.7030602167	77939753.45608936	1092129.7353210798	2542382.0212680507	6621862.7393371435	1550312.260674447	7254178.549094888	7254178.549094888	7254178.549094888	7254178.549094888	9069045.095410483	1160079.357557958	2542382.0212680507	2542382.0212680507	2542382.0212680507	2542382.0212680507	2681994.2130260156	10852185.82472113	210371177.92375177	210371177.92375177	210371177.92375177	210371177.92375177	199518992.09903064
477.354_C25H44N6O3_8.4_2863	3494568.662687718	6376707.878659847	3525386.8185078152	1603220.0	10728638.371253278	431011.7171407095	3027621.7851760043	3123083.8341677976	3244179.415293665	824656.5122233757	861576.266000929	814294.3207610799	1911423.9019151877	114809929.76254855	959846.2730775092	697873.2798454632	1795749.6114482528	86888145.22238782	1803389.1037352572	905079.1835764659	547714.7004501395	1379973.9554305647	3399012.2409030003	1742478.962806969	1542146.9851549522	103614320.40609191	1451894.2555333117	1742068.5440564337	3764252.5892930003	1896160.2891445656	12655525.674487138	12655525.674487138	12655525.674487138	12655525.674487138	16078960.115277953	1603220.0	1795749.6114482528	1795749.6114482528	1795749.6114482528	1795749.6114482528	1853586.7566817203	13273122.024011958	367010244.560127	367010244.560127	367010244.560127	367010244.560127	353737122.536115
477.34__5.75_4693	2211981.552144698	2043024.6060382915	1199431.7843335788	2867358.03861377	1241272.427973122	1550890.0950386596	1122062.9700386599	1660251.599779087	4902101.200202503	1345340.0	2838894.6366439615	1780120.47740243	1101803.6158413107	2012808.943298969	2570340.5505798967	3854911.7755891015	1220112.1764543445	1681795.7388162739	1818323.4772183357	1471787.5951767305	2246794.5775036816	2160416.7899944773	1889559.3788199557	1832858.5731774669	2429543.6114690723	2653142.6116071427	3046376.552743004	1710525.385355302	4716228.436349411	2780736.562138386	2178622.73028287	2178622.73028287	2178622.73028287	2178622.73028287	1987041.0565106606	2838894.6366439615	1889559.3788199557	1889559.3788199557	1889559.3788199557	1889559.3788199557	1771691.9792663844	19465155.934968702	63180059.17820324	63180059.17820324	63180059.17820324	63180059.17820324	43714903.24323453
477.286_C22H48O5P2_7.69_2411	1913507.9314273447	8088090.222059135	1418575.7639071385	3515926.148160137	3339815.8055372173	1147464.4327220751	2698209.018937039	8581738.983219778	2036498.7458097516	688824.2980412391	1610069.081253966	1296144.0299775025	2799202.909298346	3355474.1893511605	2933106.808873392	1317116.4321836724	770952.6657351443	3763821.8701006942	4308229.903600249	746081.8478595281	2041282.6017036606	1456885.1683310154	4752271.979463777	4113439.939445702	2578110.0	3694983.3680464313	2798225.2070287215	3868175.751360429	5200990.501676099	2496943.0067510963	2994248.8139693225	2994248.8139693225	2994248.8139693225	2994248.8139693225	3152482.4799023946	2036498.7458097516	2798225.2070287215	2798225.2070287215	2798225.2070287215	2798225.2070287215	2866154.859085869	17478601.047257673	86833215.60511035	86833215.60511035	86833215.60511035	86833215.60511035	69354614.55785269
477.283_C25H42O7_6.53_2441	2311721.745320014	770099.742301448	1217781.3750293837	2138368.478392207	2273874.134139456	1017055.4052545899	1821254.6382443984	1152897.292627361	2126848.2345562116	1848237.2261925424	1700338.4175815003	3470684.139192369	2453057.571240578	1497737.309895141	867475.4385159375	1684518.2885345016	3479059.75519736	881021.6934287967	2618455.511695296	1447218.5081604542	2481969.180373608	1544928.280669533	3058673.233402829	2184048.5621826826	1645433.5173984969	4943755.841892162	2943210.0	3730067.440304229	3149895.4598040786	2472803.7895339425	2153782.2903974885	2153782.2903974885	2153782.2903974885	2153782.2903974885	2052275.4497631623	2311721.745320014	2126848.2345562116	2126848.2345562116	2126848.2345562116	2126848.2345562116	1752886.46338945	17309626.526737597	62459686.42152716	62459686.42152716	62459686.42152716	62459686.42152716	45150059.89478957
477.268_C15H36N9O7_4.32_1596	976305.4526722912	2195793.2818334014	1606956.0557351261	796488.1320197065	2603772.202790162	1510702.489950372	2818719.0	790615.7195209172	909952.4413577456	4020082.599219125	802608.0408307054	735722.5374504969	4240735.31140863	2014709.9800444238	2154701.3941183733	2339791.1362098455	1888621.85880605	923011.2467765093	1732826.6802142856	1113679.4057474188	1954161.8822344285	1248506.396773263	4074111.7941632867	6819280.8900852185	2050619.4449795496	2621045.9454047363	1694373.253185176	2480271.542997615	6144229.448611997	1092610.933961487	2250427.4332807194	2250427.4332807194	2250427.4332807194	2250427.4332807194	2618823.59215502	909952.4413577456	1954161.8822344285	1954161.8822344285	1954161.8822344285	1954161.8822344285	2175247.3379758876	7648276.537730408	65262395.56514086	65262395.56514086	65262395.56514086	65262395.56514086	57614119.02741045
477.231_C15H35N8O6P_2.69_3724	1236760.9814222571	1174765.8751614026	2310877.1303703976	1638031.9596900363	2624535.833265535	2202394.471871829	5422750.079923975	1694011.8186803104	1345912.2291710167	3557026.868264538	2993791.587278661	1101422.0693345668	3079722.1491582445	1623680.4601368145	4501642.617094069	2671302.0895614745	551208.1076450123	2307730.6884703278	1912395.7231231956	1814390.3049556315	1991227.1798306329	1465589.3095741684	1330768.1488898634	1379359.7210535917	2578110.0	5067651.258480027	2732696.612102022	2794452.3942510253	4743132.863224489	1851573.0231602509	2408528.983861556	2408528.983861556	2408528.983861556	2408528.983861556	2585742.2440846986	1638031.9596900363	2202394.471871829	2202394.471871829	2202394.471871829	2202394.471871829	2309303.9094203627	12961011.162121756	69847340.53198512	69847340.53198512	69847340.53198512	69847340.53198512	56886329.36986337
477.231_C13H28N14O6_3.73_3177	1518827.3528247157	791106.9824153543	548736.4139096212	1963965.6669382944	3472328.986342967	1994722.0042117473	720861.4257940921	1504142.2700669065	2170911.7302733264	1853091.728765228	583411.5525435682	1211935.1790466122	1397636.3362826249	5628882.8954614615	1558457.2738171173	878164.8222137791	737077.5508919455	2861120.0	3694584.430844036	963945.9248668302	13986107.21227286	7057657.026809545	10374139.660430158	803104.1426442502	9443361.803248532	2715859.6221230016	3781200.3632550007	2600666.664578157	3606495.821219673	2132119.4679607935	3118017.339451427	3118017.339451427	3118017.339451427	3118017.339451427	3431712.1167439017	1963965.6669382944	1963965.6669382944	1963965.6669382944	1963965.6669382944	1963965.6669382944	1923906.8664884877	14924836.275725555	90422502.84409139	90422502.84409139	90422502.84409139	90422502.84409139	75497666.56836584
476.611__3.75_5260	1837233.6306866417	2110132.996961447	1791009.342881241	1432531.8892603898	2321989.0	6.379283439884173	6.379283439884173	1401681.67454511	3830057.9844720582	1642021.1781427462	1779501.11555569	1472587.4099794226	2087173.9558613037	3524554.1005360056	1865934.0268826806	6.379283439884173	1899425.2649420726	6.379283439884173	1286057.1621972094	6.379283439884173	2739863.9617296127	2282660.7175931144	2992202.897477671	6.379283439884173	5748818.85752042	3055549.182035721	3000649.068752078	5232664.655115952	6.379283439884173	2091231.18012907	1908080.8526935403	1908080.8526935403	1908080.8526935403	1908080.8526935403	1849805.7485095083	1779501.11555569	1837233.6306866417	1837233.6306866417	1837233.6306866417	1837233.6306866417	1882679.6459123767	14638618.26090349	55334344.72811267	55334344.72811267	55334344.72811267	55334344.72811267	40695726.46720918
476.408_C21H49N9O3_8.82_2460	1084877.6384057044	2006166.285707457	714565.8108885898	1812581.4570568919	2218017.513111292	804716.952063096	1440802.4270122675	2317389.1222142554	4451942.446934412	1891639.9471521317	2105081.098484476	4949802.717224061	1818095.7386751527	6294673.825074729	3319612.5334754237	934978.9013688493	1240712.0005375869	1210147.5538330076	1387364.0747324342	1093461.3186200846	2082438.9999999998	1401886.1071840858	1606135.42558154	1635820.3689122868	7929771.501292238	5942292.957814817	5743607.009596024	2432426.7999404133	3431044.92915443	3076465.2060620002	2596622.5331740594	2596622.5331740594	2596622.5331740594	2596622.5331740594	2443945.3190733516	2105081.098484476	1891639.9471521317	1891639.9471521317	1891639.9471521317	1891639.9471521317	1854867.842913642	21535256.442434	75302053.46204773	75302053.46204773	75302053.46204773	75302053.46204773	53766797.019613735
476.408_C21H49N9O3_8.11_3745	1108432.161162491	953991.5746656704	665283.5981221122	1622498.9833254546	1200094.8191208313	755136.5197414568	2424425.3375127707	3064380.9859482455	1726312.9271565592	1952397.6177587337	2692841.69759946	2152943.9890151573	1461810.0	6431341.807352582	1775882.1488205064	1511150.7407096783	934123.4838801293	2363579.744849723	1271238.7728445842	1502755.4588168468	1986140.3538099085	707956.59586148	5986861.367530001	1549844.8262210463	3962556.335297885	6471193.622577349	3510491.4423348173	4552211.344380441	3807278.4496942614	2012108.5676340747	2417419.19676242	2417419.19676242	2417419.19676242	2417419.19676242	2546381.6696668933	1726312.9271565592	1775882.1488205064	1775882.1488205064	1775882.1488205064	1775882.1488205064	1864139.88328962	14084759.973438524	70105156.70611018	70105156.70611018	70105156.70611018	70105156.70611018	56020396.732671656
476.306_C18H43N4O10_2.8_810	1302878.5000731705	1217106.8105730445	2059036.1685828052	1716566.1752213377	3045716.2134466344	4956089.463838457	6140494.924221838	2413386.57890802	1958121.5503182716	1172431.765864723	2629244.148794449	1226183.4135230256	1461810.0	5862564.549081748	4900547.131179368	3360854.8241191558	685062.5123247245	2437830.117967541	1201448.4684440906	1570501.3446876183	21051429.163140696	10197175.887275841	1799335.6152576583	1799959.3407937083	2601236.4462726116	5241677.247798686	2557866.558242394	1440874.1313896556	3871192.0830684616	1798901.2592309625	3513055.901186542	3513055.901186542	3513055.901186542	3513055.901186542	4058468.7418087735	1716566.1752213377	2413386.57890802	2413386.57890802	2413386.57890802	2413386.57890802	2519533.282120076	12592308.814616738	101878621.13440973	101878621.13440973	101878621.13440973	101878621.13440973	89286312.31979302
475.326__1.31_6267	10.2755818119509	2712753.5983550376	2925355.386044302	2361431.4562044363	1480300.3158296468	10.2755818119509	10.2755818119509	2638605.0	10.2755818119509	10.2755818119509	2371758.415925447	1952617.4338159699	2204317.810299707	3745449.5704561034	3603636.265869369	2278343.1016730014	1730613.4887687706	2042261.6095434295	1767400.071655555	3383533.3034573807	1409809.8245996635	2326186.2105894447	3205981.525328681	2906962.09460091	8157979.636562247	2941375.0180891333	10.2755818119509	4389101.739574896	3002370.871724874	1207605.457763835	2259938.117326168	2259938.117326168	2259938.117326168	2259938.117326168	2594771.236277819	1767400.071655555	2326186.2105894447	2326186.2105894447	2326186.2105894447	2326186.2105894447	2675679.299177519	8453238.204346845	65538205.40245887	65538205.40245887	65538205.40245887	65538205.40245887	57084967.198112026
475.325__3.07_5493	1116649.869405581	1060095.8001587244	1312010.2567551513	1333297.2246110558	590190.1973244827	3728789.010926617	676875.3092075126	2638605.0	1026434.6584883832	1417793.2044130303	2657905.698799346	3667389.2924055257	3335310.052182113	3662484.337467517	1988469.0142766323	8777327.197051024	2912216.3866201662	2673534.623923286	2439802.0600723093	1540824.6866317254	11915195.044813149	7071023.2346942825	2478905.673093595	1295904.062241792	2160264.813873453	951573.4956503313	2165616.444009252	2312546.6966892644	3606560.5085682273	2058156.4639702078	2845296.3398052943	2845296.3398052943	2845296.3398052943	2845296.3398052943	3095749.9366619126	2165616.444009252	2312546.6966892644	2312546.6966892644	2312546.6966892644	2312546.6966892644	2395726.1848914297	14407095.247791454	82513593.85435353	82513593.85435353	82513593.85435353	82513593.85435353	68106498.60656208
475.297_C18H42N4O10_7.3_572	1552164.8033663698	1429133.805289767	1915997.6526595533	1856457.120163624	276319.61804314534	2080427.2731048213	273938.4730679934	1103960.0203289355	1290817.7819727	1345340.0	1819385.0782452214	2050489.7881852633	4369573.750263417	3655682.3940401752	865090.6864068272	3742486.7201922326	2986778.7347922698	1148436.62516989	5659972.143235895	2047259.1266397529	1462322.8441210529	2889912.1028253883	3262750.4125379813	1910091.4923685484	2653091.2840173095	4284578.022561933	1459705.7695752343	3280874.1946833623	3401267.119525455	2241284.640677758	2278424.304737383	2278424.304737383	2278424.304737383	2278424.304737383	2290241.4705745373	1819385.0782452214	1915997.6526595533	1915997.6526595533	1915997.6526595533	1915997.6526595533	2063843.199872287	15688992.484744307	66074304.83738411	66074304.83738411	66074304.83738411	66074304.83738411	50385312.35263982
475.296_C18H42N4O10_3.41_4073	1960008.2194848824	1037252.620380739	1200823.042236261	2424147.5348306536	1287619.6297407509	2414727.3975786516	4852195.017853747	2046278.939339517	1149060.6103234803	1345340.0	1147286.8729531576	2154650.313127258	2870040.6639903653	3848455.8006718922	5350473.092522555	7103477.064801707	960419.0929451287	1532318.638593674	1594655.2740603012	1223509.2569038009	12140717.80231993	3954536.0970229665	2091514.9273384183	10500351.838111939	4637697.867269538	1911884.2232035326	2991914.04500412	3374759.906737941	1985107.7402860825	1917388.9813976935	3141076.67343562	3141076.67343562	3141076.67343562	3141076.67343562	3530431.8481749613	1960008.2194848824	2091514.9273384183	2091514.9273384183	2091514.9273384183	2091514.9273384183	2253121.162458535	13421722.869783854	91091223.52963299	91091223.52963299	91091223.52963299	91091223.52963299	77669500.65984915
