index	V16-back-psoriasis-BG9	V16-back-healthy-BG3	V16-back-healthy-BH8	V16-back-healthy-BG10	V16-back-healthy-BG2	V16-back-healthy-BH9	V16-back-healthy-BH10	V16-back-healthy-BG4	V16-back-psoriasis-BH7	V16-back-psoriasis-BG12	V16-back-psoriasis-BH1	V16-back-psoriasis-BG6	V16-back-healthy-BG1	V16-back-healthy-BG5	V16-back-healthy-BH11	V16-back-psoriasis-BH2	V16-back-healthy-BH12	V16-back-psoriasis-BH5	V16-back-psoriasis-BG7	V16-back-healthy-BH3	V16-back-healthy-BF12	V16-back-healthy-BH4	V16-back-psoriasis-BG8	V16-back-psoriasis-BG11	V16-back-psoriasis-BH6	GROUP_MEAN_DESCRIPTION_2_healthy	GROUP_MEAN_Sex_male	GROUP_MEAN_Batch_4	GROUP_MEAN_DESCRIPTION_back	GROUP_MEAN_Body_side_middle	GROUP_MEAN_DESCRIPTION_2_psoriasis	GROUP_MEDIAN_DESCRIPTION_2_healthy	GROUP_MEDIAN_Sex_male	GROUP_MEDIAN_Batch_4	GROUP_MEDIAN_DESCRIPTION_back	GROUP_MEDIAN_Body_side_middle	GROUP_MEDIAN_DESCRIPTION_2_psoriasis	GROUP_SUM_DESCRIPTION_2_healthy	GROUP_SUM_Sex_male	GROUP_SUM_Batch_4	GROUP_SUM_DESCRIPTION_back	GROUP_SUM_Body_side_middle	GROUP_SUM_DESCRIPTION_2_psoriasis
291.108__3.32_5977	3030354.3246971574	1723819.0	1694898.8484926699	1975409.4872668455	2598779.645295616	707505.0582831464	2491822.049067096	2772288.195300491	1804987.7308690092	1633449.211697582	2191591.32749587	3942794.9919847087	965843.5809017024	2452685.915834997	2492204.684917808	1286446.942534758	5839339.473271847	700767.4045242848	3245493.062025661	3772168.569899282	3060058.533645353	1849420.9482618098	6933348.761507445	2503827.6196543695	2606160.4634495378	2456874.5707456195	2571018.633235162	2571018.633235162	2571018.633235162	2571018.633235162	2716292.8945854893	2472253.9824510464	2491822.049067096	2491822.049067096	2491822.049067096	2491822.049067096	2503827.6196543695	34396243.99043867	64275465.83087905	64275465.83087905	64275465.83087905	64275465.83087905	29879221.84044038
291.101_C19H14O3_3.14_2866	1819901.3406914591	1685156.5957841442	2260465.4674771563	2758739.1187219564	3105294.2717661783	653365.1144886062	5001281.398661556	2274929.593980395	1238818.80524232	1853441.9129112565	2088195.0000000002	2119435.71522022	3228058.355195031	3807818.7701622	1198983.9501379493	4557443.721540576	3748594.241660976	1812433.5837183732	3945930.058588545	3789530.2692480814	1844948.852574657	1382875.235904285	2970935.769647624	2942417.3050186313	3542944.9292401043	2624288.6596973687	2625277.5751032913	2625277.5751032913	2625277.5751032913	2625277.5751032913	2626536.194710828	2516834.3563511753	2274929.593980395	2274929.593980395	2274929.593980395	2274929.593980395	2119435.71522022	36740041.23576316	65631939.37758228	65631939.37758228	65631939.37758228	65631939.37758228	28891898.14181911
291.086_C7H20N2O6P2_2.24_616	2047230.428363329	2365766.419860797	2157665.1566056535	1653478.6722706612	2199790.91958178	1810134.9085249759	1837824.1319466676	918917.608368873	2556369.49990346	2328082.6371970326	2249466.25359639	3113721.9555069334	1964174.3057707178	2736213.291930528	2782455.8732266566	2423845.0	2623389.389234857	2801480.785422224	3686644.254832267	4532595.16617249	1981727.3769706711	3162204.8583476404	3378900.7082749163	2124695.4797846824	4008708.450062382	2337595.577058069	2537819.3412702633	2537819.3412702633	2537819.3412702633	2537819.3412702633	2792649.586631238	2178728.038093717	2365766.419860797	2365766.419860797	2365766.419860797	2365766.419860797	2556369.49990346	32726338.078812968	63445483.53175658	63445483.53175658	63445483.53175658	63445483.53175658	30719145.452943616
291.086_C11H16N4O3_1.72_2716	2582700.7689075633	2326428.718487395	2531340.0	3115111.953781513	3714007.481092437	2158618.9915966387	2184123.4033613447	818962.1659663866	852327.9831932774	372255.10714285716	3869716.953781513	3310781.9558823532	3965508.8886554623	1751826.724789916	2621941.9033613447	1228540.5378151261	1859937.5231092437	3922686.2836134457	2159083.342436975	520290.00000000006	1410517.2289915967	6955386.428571429	12030578.319327733	3467889.9075630256	3299246.829831933	2566714.386554622	2921192.3760504196	2921192.3760504196	2921192.3760504196	2921192.3760504196	3372346.1808632542	2255276.06092437	2531340.0	2531340.0	2531340.0	2531340.0	3299246.829831933	35934001.41176471	73029809.4012605	73029809.4012605	73029809.4012605	73029809.4012605	37095807.9894958
290.196_C14H27NO5_4.51_2223	1228283.6047642492	1431980.4640614646	1419091.950375949	1334111.4440452962	1374539.0635618204	1457512.9220141384	3837603.569084046	2023764.7910003222	3803967.907511078	3858344.823732502	3784694.06937277	1384645.9684409513	1801501.282244388	2791152.906939708	4061767.6474163765	2423845.0	1511085.4111125295	2296094.3116516834	2401524.3573004613	6454039.61949221	3454186.493347192	3309905.2696134746	5308806.485287235	17073226.084878765	22421255.022307724	2590160.202450637	4089877.218782253	4089877.218782253	4089877.218782253	4089877.218782253	5998607.966840674	1912633.0366223552	2423845.0	2423845.0	2423845.0	2423845.0	3784694.06937277	36262242.834308915	102246930.46955633	102246930.46955633	102246930.46955633	102246930.46955633	65984687.63524742
290.093__1.92_6186	1811791.4784549824	1869027.930621311	1658939.2630528545	1420050.9978896638	1602389.824187927	1666199.6196220613	2903147.8324223035	2243345.7538630976	3340203.710348039	1283775.0394237414	1696648.049140158	2791252.601996504	1939488.0148130078	2578355.4240519195	1755753.1774862974	1767377.4425460042	8346464.141551448	1828604.0679668703	2507268.7837293446	7947397.351139988	3234453.1268899706	4044941.954925288	4461294.0	4671717.93005954	3751004.6879474297	3086425.3151797955	2924835.68816519	2924835.68816519	2924835.68816519	2924835.68816519	2719176.162873874	2091416.8843380527	2243345.7538630976	2243345.7538630976	2243345.7538630976	2243345.7538630976	2507268.7837293446	43209954.41251714	73120892.20412976	73120892.20412976	73120892.20412976	73120892.20412976	29910937.791612614
289.273_C17H36O3_7.05_695	788876.5054249137	571535.727676089	2531340.0	4875999.239212378	1077650.5378114553	3867148.4102361724	6837325.381764432	2576700.384042412	3363694.134825967	324581.07721781585	950624.9086705968	2102789.874842123	1572098.9239732511	2811395.131511299	5509237.004980372	1590921.4330707917	2204621.29843422	4193741.1789006838	844973.4433834889	1016583.0629002199	1620494.1754014771	5095958.219745973	4669834.09372649	9433360.972007753	5345840.798605276	3012006.249834982	3031093.036734626	3031093.036734626	3031093.036734626	3031093.036734626	3055385.310970537	2554020.192021206	2531340.0	2531340.0	2531340.0	2531340.0	2102789.874842123	42168087.497689754	75777325.91836566	75777325.91836566	75777325.91836566	75777325.91836566	33609238.4206759
288.29_C17H37NO2_5.0_3977	1354506.1889446804	1339587.5823958053	4424798.518112054	2199344.0	2091586.2728310826	1765898.623987687	1986179.9377663275	2466710.712011529	2760040.7665926586	3471108.624604288	5058603.421351121	3346533.726388846	3452707.7395955767	2855343.2378545157	2117875.7669152985	3277552.0240139766	2620632.4133921894	2244712.1750286194	5554160.292853883	5072408.7500467235	2867961.175298681	2863394.5284671253	2638107.1437373185	4377541.765497595	2370878.4087968394	2723173.518476757	2983126.9518593764	2983126.9518593764	2983126.9518593764	2983126.9518593764	3313976.77616453	2543671.5627018595	2760040.7665926586	2760040.7665926586	2760040.7665926586	2760040.7665926586	3277552.0240139766	38124429.2586746	74578173.79648441	74578173.79648441	74578173.79648441	74578173.79648441	36453744.53780983
288.289_C17H37NO2_5.34_1559	1239225.04922278	1274574.3974185793	2122760.6269553234	1926299.7524223353	4053418.4556145915	3940013.2570024948	1955333.3164241759	448810.9209563256	2716638.140329362	3109140.5522942506	2243186.355772438	2222934.826334886	1644731.7202330898	2445731.7058461476	3759856.035838966	1849307.6332762279	1039564.0843925597	3486391.0198805956	1990892.81406169	1833231.6818762242	2767048.9999999995	5760438.806995738	4419894.556515312	6639859.15853269	4386456.02938737	2497986.697284039	2771029.5959033663	2771029.5959033663	2771029.5959033663	2771029.5959033663	3118538.739600691	2039046.9716897495	2243186.355772438	2243186.355772438	2243186.355772438	2243186.355772438	2716638.140329362	34971813.76197655	69275739.89758416	69275739.89758416	69275739.89758416	69275739.89758416	34303926.1356076
287.269_C16H34N2O2_4.62_2915	1306882.193617486	1640627.5126234374	2415676.071437913	3646378.811360942	3571365.361116013	1733029.4948022629	2283352.7934094956	2113816.81858512	2127505.56428448	1928827.928102346	2212158.3414569837	1538423.182080995	2853750.8970711567	4278107.516984464	2119556.2683682865	2287369.3551476602	2141650.9385023685	1844372.2931315687	2734747.3549798937	2895898.467570586	2298782.961890772	4925151.391471588	3855758.1518910653	5866073.208349732	4168079.0000000005	2779796.0932281716	2751493.675129465	2751493.675129465	2751493.675129465	2751493.675129465	2715472.41573111	2357229.5166643425	2287369.3551476602	2287369.3551476602	2287369.3551476602	2287369.3551476602	2212158.3414569837	38917145.3051944	68787341.87823662	68787341.87823662	68787341.87823662	68787341.87823662	29870196.57304221
287.24__3.18_6330	1981822.8117504602	9878244.369047262	3402343.811646152	21841171.125734765	12526296.53271062	2998142.6956449524	1476918.0240323266	557051.8363247372	791953.3289729756	7814807.736869466	1923205.3025001716	12558986.855321348	14133331.41184037	1928407.503391442	414692.08372567105	2423845.0	1715447.041866237	1489758.6387520628	5575236.894113886	25543691.272432696	3196823.8989392854	815209.3379758152	911517.3835302629	1037725.0306150968	1163444.8854874636	7173412.210379453	5524002.992529022	5524002.992529022	5524002.992529022	5524002.992529022	3424754.8970830175	3097483.297292119	1981822.8117504602	1981822.8117504602	1981822.8117504602	1981822.8117504602	1923205.3025001716	100427770.94531235	138100074.81322554	138100074.81322554	138100074.81322554	138100074.81322554	37672303.867913194
287.233_C15H30N2O3_3.36_2015	1095373.3715623042	2589384.218532807	3745596.6822396885	3315228.7890985715	4781724.074810586	3519382.4649863737	2378813.4604954966	2361181.0295117134	1585764.3353408934	1411712.2604033772	1300242.7331551386	2218074.0	4198230.627697831	3001563.2632840043	1640381.747428531	1154747.3244063016	1965059.9071932286	2245026.9064713023	1714786.7131939938	4174788.829052764	4418022.923454271	3997024.9746848666	2917895.6791173206	1477574.2724915966	2195979.58320292	3291884.499462195	2616142.4068726352	2616142.4068726352	2616142.4068726352	2616142.4068726352	1756107.0163041041	3417305.6270424724	2361181.0295117134	2361181.0295117134	2361181.0295117134	2361181.0295117134	1585764.3353408934	46086382.992470734	65403560.17181588	65403560.17181588	65403560.17181588	65403560.17181588	19317177.179345146
286.31_C18H39NO_6.18_824	1652879.0	1040341.907072838	4557707.897074396	2263662.6014183094	1514382.3956591513	967636.6583848356	5924686.482888793	1202188.4648584852	2472299.9288353757	2360313.6364234113	1525644.7705159069	1160140.0927169165	3931230.3695315043	1338830.4419681022	4244712.319549582	796187.6977041464	1275619.0213978766	3078103.614368545	1921705.189138952	799329.9899120806	4539354.508828054	6893513.567175749	4070288.4453958943	5157032.697162888	7563987.61363858	2892371.1875514113	2890071.172464815	2890071.172464815	2890071.172464815	2890071.172464815	2887143.88053642	1889022.4985387302	2263662.6014183094	2263662.6014183094	2263662.6014183094	2263662.6014183094	2360313.6364234113	40493196.625719756	72251779.31162037	72251779.31162037	72251779.31162037	72251779.31162037	31758582.685900617
286.274_C17H35NO2_6.47_2859	3308153.4692078093	889209.1057597933	671090.1922705626	671199.0902765322	3413735.232916013	1937332.9090966806	1031130.8383755122	408828.036341577	5982316.833969862	1570076.2801981536	6555496.883251274	2945628.2148671555	2688215.0	1062134.2632093935	1934201.9559797735	4854147.036652955	639222.6265435396	4751479.513611969	3569486.470508746	899229.3476523688	2207600.9646983664	3704466.3615797465	5734211.418816924	13673111.187008372	4007804.1952231145	1582685.423192847	3164380.297120648	3164380.297120648	3164380.297120648	3164380.297120648	5177446.500301485	1046632.5507924529	2688215.0	2688215.0	2688215.0	2688215.0	4751479.513611969	22157595.924699858	79109507.4280162	79109507.4280162	79109507.4280162	79109507.4280162	56951911.503316335
286.274_C17H35NO2_5.29_317	2002758.0825902882	1678862.7791327038	1992286.2451479211	2061675.0352988772	3427260.522368652	2627047.795449771	2532816.183361492	1525897.0630252552	2744655.5774877043	2180679.644824951	3268328.036528446	1521876.4918429826	4749415.208231755	1628464.2278678722	1782737.7471015498	4291682.426563729	1469979.3388194845	3064466.9352172576	2940735.8595684627	1227011.792806495	2054850.609213432	2366370.2513744407	6844205.468674922	3219168.7388811763	4168079.0000000005	2223191.057085693	2694852.442455185	2694852.442455185	2694852.442455185	2694852.442455185	3295148.7511072652	2023568.4271806767	2366370.2513744407	2366370.2513744407	2366370.2513744407	2366370.2513744407	3064466.9352172576	31124674.7991997	67371311.06137963	67371311.06137963	67371311.06137963	67371311.06137963	36246636.26217992
