index	V20-arm-psoriasis-RB7	V20-arm-healthy-RA3	V20-arm-psoriasis-RB6	V20-arm-healthy-RA1	V20-arm-healthy-RB4	V20-arm-healthy-RB8	V20-arm-psoriasis-RA6	V20-arm-healthy-RB12	V20-arm-psoriasis-RB2	V20-arm-healthy-RA4	V20-arm-healthy-RB3	V20-arm-healthy-RA2	V20-arm-psoriasis-RB10	V20-arm-healthy-RC6	V20-arm-healthy-RB9	V20-arm-healthy-RC5	V20-arm-healthy-RC4	V20-arm-psoriasis-RA12	V20-arm-psoriasis-RA8	V20-arm-healthy-RB11	V20-arm-healthy-RA11	V20-arm-psoriasis-RC2	V20-arm-healthy-RA10	V20-arm-psoriasis-RC3	V20-arm-psoriasis-RB1	V20-arm-psoriasis-RA7	V20-arm-healthy-RC1	V20-arm-psoriasis-RA9	V20-arm-healthy-RA5	V20-arm-psoriasis-RB5	GROUP_MEAN_DESCRIPTION_2_healthy	GROUP_MEAN_Batch_4	GROUP_MEAN_Sex_female	GROUP_MEAN_DESCRIPTION_arm	GROUP_MEAN_Body_side_right	GROUP_MEAN_DESCRIPTION_2_psoriasis	GROUP_MEDIAN_DESCRIPTION_2_healthy	GROUP_MEDIAN_Batch_4	GROUP_MEDIAN_Sex_female	GROUP_MEDIAN_DESCRIPTION_arm	GROUP_MEDIAN_Body_side_right	GROUP_MEDIAN_DESCRIPTION_2_psoriasis	GROUP_SUM_DESCRIPTION_2_healthy	GROUP_SUM_Batch_4	GROUP_SUM_Sex_female	GROUP_SUM_DESCRIPTION_arm	GROUP_SUM_Body_side_right	GROUP_SUM_DESCRIPTION_2_psoriasis
647.47_C35H66O10_7.6_496	15.695025569502558	16.215713621571364	10.711297071129707	17.554625755462578	17.554625755462578	10.860065086006509	21.496978149697817	13.686657368665736	14.579265457926546	9.07484890748489	6.099488609948861	5.876336587633659	17.703393770339378	7.066480706648071	18.521617852161786	17.257089725708973	13.612273361227336	8.554160855416086	10.413761041376105	10.190609019060902	13.240353324035333	29.381682938168293	6.545792654579266	24.91864249186425	9.372384937238493	9.8930729893073	6.843328684332868	7.884704788470479	9.521152952115296	9.298000929800093	11.748297645418	12.98744769874477	12.98744769874477	12.98744769874477	12.98744769874477	14.607874691556702	10.860065086006509	10.785681078568107	10.785681078568107	10.785681078568107	10.785681078568107	10.711297071129707	199.72105997210602	389.6234309623431	389.6234309623431	389.6234309623431	389.6234309623431	189.90237099023713
647.434_C35H65N2O3PS_6.17_3583	9.0	24.599999999999998	9.0	13.2	5.3999999999999995	18.0	12.0	18.0	13.799999999999999	11.4	16.2	10.799999999999999	9.6	6.0	16.8	9.0	7.8	5.3999999999999995	14.399999999999999	10.2	11.4	12.0	7.8	3.0	9.0	10.799999999999999	8.4	8.4	12.0	10.799999999999999	12.176470588235293	11.139999999999999	11.139999999999999	11.139999999999999	11.139999999999999	9.784615384615384	11.4	10.799999999999999	10.799999999999999	10.799999999999999	10.799999999999999	9.6	207.0	334.2	334.2	334.2	334.2	127.19999999999999
647.403_C27H55N10O6P_7.06_3010	15.041782729805016	17.84958217270195	8.022284122562676	13.43732590529248	6.818941504178274	16.04456824512535	8.022284122562676	11.431754874651812	22.061281337047355	17.84958217270195	9.426183844011144	7.420612813370474	9.426183844011144	12.033426183844012	11.832869080779945	19.454038997214486	3.409470752089137	6.41782729805014	8.423398328690809	3.6100278551532035	9.827298050139277	17.44846796657382	13.838440111420613	11.030640668523677	3.20891364902507	8.423398328690809	16.04456824512535	14.841225626740949	14.841225626740949	7.220055710306407	12.068818613796495	11.49192200557103	11.49192200557103	11.49192200557103	11.49192200557103	10.73751874866081	12.033426183844012	11.231197771587745	11.231197771587745	11.231197771587745	11.231197771587745	8.423398328690809	205.16991643454043	344.7576601671309	344.7576601671309	344.7576601671309	344.7576601671309	139.58774373259052
647.361_C27H48N10O7_6.3_3727	24.911764705882355	18.11764705882353	9.058823529411764	4.529411764705882	11.323529411764707	4.529411764705882	9.058823529411764	36.23529411764706	13.588235294117649	11.323529411764707	6.794117647058824	4.529411764705882	9.058823529411764	33.970588235294116	15.852941176470589	6.794117647058824	11.323529411764707	9.058823529411764	13.588235294117649	9.058823529411764	29.441176470588236	15.852941176470589	6.794117647058824	22.647058823529413	4.529411764705882	18.11764705882353	9.058823529411764	13.588235294117649	4.529411764705882	13.588235294117649	13.188581314878894	13.361764705882353	13.361764705882353	13.361764705882353	13.361764705882353	13.58823529411765	9.058823529411764	11.323529411764707	11.323529411764707	11.323529411764707	11.323529411764707	13.588235294117649	224.2058823529412	400.85294117647055	400.85294117647055	400.85294117647055	400.85294117647055	176.64705882352945
647.341_C25H52N10O5Se_7.0_405	13.80780047758026	13.244892544441496	14.387264526399576	12.450198991775007	10.595914035553198	13.542902626691431	12.781321305386045	11.539612629344655	11.009816927566995	13.923693287344124	12.81443353674715	13.642239320774742	11.175378084372513	9.403873706553464	8.244945608914833	10.79458742371982	11.506500397983551	10.049562218094986	10.380684531706024	11.042929158928098	9.420429822234015	9.254868665428496	13.195224197399842	10.380684531706024	11.738286017511276	12.20185725656673	7.284690899442824	8.327726187317591	9.569434863358982	7.284690899442824	11.30685312065925	11.166548156009549	11.166548156009549	11.166548156009549	11.166548156009549	10.983072433006102	11.506500397983551	11.109153621650306	11.109153621650306	11.109153621650306	11.109153621650306	11.009816927566995	192.21650305120724	334.99644468028646	334.99644468028646	334.99644468028646	334.99644468028646	142.77994162907933
646.935__7.97_4618	16.053392658509456	5.481646273637375	4.6985539488320365	23.10122358175751	7.047830923248054	20.360400444938822	23.49276974416018	14.487208008898778	11.35483870967742	22.70967741935484	15.661846496106786	3.132369299221357	9.005561735261402	47.7686318131257	7.439377085650723	16.836484983314797	10.571746384872082	7.047830923248054	3.9154616240266966	5.0901001112347055	10.96329254727475	18.794215795328146	27.799777530589548	10.96329254727475	3.9154616240266966	8.614015572858733	27.799777530589548	7.439377085650723	30.932146829810904	4.3070077864293665	17.48138454491919	14.226177233963664	14.226177233963664	14.226177233963664	14.226177233963664	9.969367673483358	15.661846496106786	10.96329254727475	10.96329254727475	10.96329254727475	10.96329254727475	8.614015572858733	297.18353726362625	426.78531701890995	426.78531701890995	426.78531701890995	426.78531701890995	129.60177975528364
646.498__5.79_6201	18.0	27.0	9.0	9.0	9.0	9.0	9.0	18.0	36.0	9.0	9.0	9.0	27.0	9.0	9.0	9.0	9.0	18.0	18.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	9.0	18.0	9.0	9.0	10.588235294117647	12.6	12.6	12.6	12.6	15.23076923076923	9.0	9.0	9.0	9.0	9.0	9.0	180.0	378.0	378.0	378.0	378.0	198.0
646.494_C34H67N3O8_8.46_1703	17.517857142857142	20.892857142857142	7.071428571428571	12.053571428571429	7.714285714285714	12.857142857142858	16.875	15.107142857142858	17.357142857142858	2.0892857142857144	8.517857142857142	7.875	8.517857142857142	9.964285714285714	6.428571428571429	18.964285714285715	15.107142857142858	10.446428571428571	10.607142857142858	7.071428571428571	9.0	8.035714285714285	6.428571428571429	6.910714285714286	9.321428571428571	16.875	12.053571428571429	11.892857142857142	4.660714285714286	11.089285714285714	10.399159663865547	10.976785714285715	10.976785714285715	10.976785714285715	10.976785714285715	11.73214285714286	9.0	10.205357142857142	10.205357142857142	10.205357142857142	10.205357142857142	10.607142857142858	176.78571428571428	329.30357142857144	329.30357142857144	329.30357142857144	329.30357142857144	152.51785714285717
646.474__2.58_6279	11.0	11.0	11.0	11.0	11.0	11.0	11.0	11.0	11.0	11.0	11.0	11.0	11.0	11.0	11.0	11.0	11.0	11.0	11.0	11.0	11.0	11.0	11.0	11.0	11.0	11.0	11.0	11.0	11.0	11.0	11.0	11.0	11.0	11.0	11.0	11.0	11.0	11.0	11.0	11.0	11.0	11.0	187.0	330.0	330.0	330.0	330.0	143.0
646.473__4.84_5598	25.222929936305732	43.439490445859875	14.012738853503185	11.210191082802549	4.203821656050955	9.80891719745223	11.210191082802549	22.420382165605098	23.821656050955415	9.80891719745223	2.802547770700637	15.414012738853504	7.006369426751593	1.4012738853503186	9.80891719745223	14.012738853503185	12.611464968152866	7.006369426751593	26.624203821656053	15.414012738853504	7.006369426751593	7.006369426751593	2.802547770700637	4.203821656050955	18.21656050955414	14.012738853503185	8.40764331210191	11.210191082802549	7.006369426751593	8.40764331210191	11.62233046084676	12.518046709129514	12.518046709129514	12.518046709129514	12.518046709129514	13.68936795688388	9.80891719745223	10.509554140127388	10.509554140127388	10.509554140127388	10.509554140127388	11.210191082802549	197.57961783439492	375.5414012738854	375.5414012738854	375.5414012738854	375.5414012738854	177.96178343949043
