index	V17-leg-psoriasis-GA6	V17-leg-psoriasis-GA4	V17-leg-healthy-GA5	V17-leg-psoriasis-GA3	V17-leg-healthy-GA8	V17-leg-healthy-GA2	V17-leg-healthy-GB4	V17-leg-psoriasis-GB3	V17-leg-healthy-GA1	V17-leg-healthy-GA12	V17-leg-psoriasis-GA7	V17-leg-psoriasis-GA10	V17-leg-psoriasis-GB2	V17-leg-psoriasis-GA11	V17-leg-healthy-GB1	V17-leg-healthy-GA9	GROUP_MEAN_DESCRIPTION_2_healthy	GROUP_MEAN_DESCRIPTION_leg	GROUP_MEAN_Sex_male	GROUP_MEAN_Batch_4	GROUP_MEAN_Body_side_left	GROUP_MEAN_DESCRIPTION_2_psoriasis	GROUP_MEDIAN_DESCRIPTION_2_healthy	GROUP_MEDIAN_DESCRIPTION_leg	GROUP_MEDIAN_Sex_male	GROUP_MEDIAN_Batch_4	GROUP_MEDIAN_Body_side_left	GROUP_MEDIAN_DESCRIPTION_2_psoriasis	GROUP_SUM_DESCRIPTION_2_healthy	GROUP_SUM_DESCRIPTION_leg	GROUP_SUM_Sex_male	GROUP_SUM_Batch_4	GROUP_SUM_Body_side_left	GROUP_SUM_DESCRIPTION_2_psoriasis
98.013__10.03_149	5.454545454545454	5.454545454545454	5.454545454545454	5.454545454545454	5.454545454545454	5.454545454545454	5.454545454545454	10.909090909090908	43.63636363636363	5.454545454545454	5.454545454545454	5.454545454545454	5.454545454545454	5.454545454545454	5.454545454545454	5.454545454545454	10.227272727272727	8.181818181818182	8.181818181818182	8.181818181818182	8.181818181818182	6.136363636363637	5.454545454545454	5.454545454545454	5.454545454545454	5.454545454545454	5.454545454545454	5.454545454545454	81.81818181818181	130.9090909090909	130.9090909090909	130.9090909090909	130.9090909090909	49.09090909090909
979.617__7.57_3001	3.230769230769231	16.153846153846153	3.230769230769231	3.230769230769231	19.384615384615383	3.230769230769231	9.692307692307692	6.461538461538462	3.230769230769231	6.461538461538462	29.076923076923077	3.230769230769231	3.230769230769231	9.692307692307692	3.230769230769231	9.692307692307692	7.269230769230768	8.278846153846153	8.278846153846153	8.278846153846153	8.278846153846153	9.288461538461538	4.846153846153847	4.846153846153847	4.846153846153847	4.846153846153847	4.846153846153847	4.846153846153847	58.153846153846146	132.46153846153845	132.46153846153845	132.46153846153845	132.46153846153845	74.3076923076923
975.718__8.45_3720	2.2857142857142856	16.0	4.571428571428571	2.2857142857142856	18.285714285714285	2.2857142857142856	6.857142857142857	13.714285714285714	2.2857142857142856	11.428571428571429	22.857142857142858	6.857142857142857	4.571428571428571	11.428571428571429	2.2857142857142856	4.571428571428571	6.571428571428571	8.285714285714285	8.285714285714285	8.285714285714285	8.285714285714285	10.0	4.571428571428571	5.7142857142857135	5.7142857142857135	5.7142857142857135	5.7142857142857135	9.142857142857142	52.57142857142857	132.57142857142856	132.57142857142856	132.57142857142856	132.57142857142856	80.0
974.658__7.53_3150	5.0	5.0	5.0	5.0	5.0	5.0	5.0	15.0	5.0	5.0	20.0	5.0	5.0	10.0	5.0	5.0	5.0	6.875	6.875	6.875	6.875	8.75	5.0	5.0	5.0	5.0	5.0	5.0	40.0	110.0	110.0	110.0	110.0	70.0
973.655__5.42_3754	5.454545454545454	5.454545454545454	5.454545454545454	5.454545454545454	5.454545454545454	5.454545454545454	5.454545454545454	5.454545454545454	10.909090909090908	5.454545454545454	21.818181818181817	10.909090909090908	5.454545454545454	5.454545454545454	5.454545454545454	5.454545454545454	6.136363636363637	7.159090909090908	7.159090909090908	7.159090909090908	7.159090909090908	8.181818181818182	5.454545454545454	5.454545454545454	5.454545454545454	5.454545454545454	5.454545454545454	5.454545454545454	49.09090909090909	114.54545454545453	114.54545454545453	114.54545454545453	114.54545454545453	65.45454545454545
971.361__7.54_5821	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	48.0	96.0	96.0	96.0	96.0	48.0
970.671__7.82_2660	3.878787878787879	6.4646464646464645	2.585858585858586	9.373737373737374	5.818181818181818	3.393939393939394	8.242424242424242	8.565656565656566	3.2323232323232323	9.373737373737374	18.424242424242426	1.7777777777777777	3.2323232323232323	6.787878787878788	2.7474747474747474	2.7474747474747474	4.767676767676768	6.040404040404041	6.040404040404041	6.040404040404041	6.040404040404041	7.313131313131313	3.313131313131313	4.848484848484849	4.848484848484849	4.848484848484849	4.848484848484849	6.626262626262626	38.141414141414145	96.64646464646465	96.64646464646465	96.64646464646465	96.64646464646465	58.505050505050505
969.668__7.79_1917	1.925	7.2625	2.8874999999999997	11.2	6.9125	2.8874999999999997	10.15	8.225	2.3625	7.2625	17.15	3.0625	1.925	7.2625	2.1	3.5	4.7578125	6.0046875	6.0046875	6.0046875	6.0046875	7.2515624999999995	3.1937499999999996	5.20625	5.20625	5.20625	5.20625	7.2625	38.0625	96.075	96.075	96.075	96.075	58.012499999999996
969.111__7.53_5447	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	48.0	96.0	96.0	96.0	96.0	48.0
967.654__8.04_3935	15.0	6.0	3.0	9.0	6.0	3.0	15.0	15.0	3.0	3.0	18.0	3.0	6.0	3.0	3.0	9.0	5.625	7.5	7.5	7.5	7.5	9.375	3.0	6.0	6.0	6.0	6.0	7.5	45.0	120.0	120.0	120.0	120.0	75.0
