index	V9-arm-healthy-BG3	V9-arm-healthy-BG5	V9-arm-psoriasis-BG9	V9-arm-healthy-BG6	V9-arm-healthy-BG4	V9-arm-healthy-BG8	V9-arm-psoriasis-BG10	V9-arm-healthy-BG7	V9-arm-psoriasis-BG11	GROUP_MEAN_DESCRIPTION_2_healthy	GROUP_MEAN_DESCRIPTION_arm	GROUP_MEAN_Sex_male	GROUP_MEAN_Body_side_right	GROUP_MEAN_Batch_3	GROUP_MEAN_DESCRIPTION_2_psoriasis	GROUP_MEDIAN_DESCRIPTION_2_healthy	GROUP_MEDIAN_DESCRIPTION_arm	GROUP_MEDIAN_Sex_male	GROUP_MEDIAN_Body_side_right	GROUP_MEDIAN_Batch_3	GROUP_MEDIAN_DESCRIPTION_2_psoriasis	GROUP_SUM_DESCRIPTION_2_healthy	GROUP_SUM_DESCRIPTION_arm	GROUP_SUM_Sex_male	GROUP_SUM_Body_side_right	GROUP_SUM_Batch_3	GROUP_SUM_DESCRIPTION_2_psoriasis
848.629_C48H85N3O9_7.23_1934	6119.5	9679.47468879668	3024.201037344398	11808.603630705395	8489.854045643153	7315.46867219917	1896.7910788381741	10832.276763485477	1837.1196058091286	9040.862966804978	6778.1432803135085	6778.1432803135085	6778.1432803135085	6778.1432803135085	2252.7039073305673	9084.664367219917	7315.46867219917	7315.46867219917	7315.46867219917	7315.46867219917	1896.7910788381741	54245.17780082987	61003.28952282158	61003.28952282158	61003.28952282158	61003.28952282158	6758.111721991701
842.603__9.17_950	1198482.8985148515	10753.499999999998	3247.3440594059402	5696.160891089108	258563.11633663366	4631.457920792079	3247.3440594059402	8943.50495049505	6441.452970297029	247845.10643564354	166667.4199669967	166667.4199669967	166667.4199669967	166667.4199669967	4312.047029702971	9848.502475247524	6441.452970297029	6441.452970297029	6441.452970297029	6441.452970297029	3247.3440594059402	1487070.6386138613	1500006.7797029703	1500006.7797029703	1500006.7797029703	1500006.7797029703	12936.14108910891
837.332_C38H52N4O17_3.22_820	7332.85394736842	9908.009210526316	5012.186842105263	6610.069736842105	6032.031578947368	5315.869736842104	6106.769736842105	5752.0	4765.267105263158	6825.139035087719	6315.006432748538	6315.006432748538	6315.006432748538	6315.006432748538	5294.741228070175	6321.050657894737	6032.031578947368	6032.031578947368	6032.031578947368	6032.031578947368	5012.186842105263	40950.834210526315	56835.05789473684	56835.05789473684	56835.05789473684	56835.05789473684	15884.223684210525
834.613_C37H83N7O13_6.82_486	6357.939740488234	9696.933362656697	6738.707719375412	4967.061359137892	4155.557510446448	5449.030129755883	6675.457224543655	5752.0	4626.773696943039	6063.087017080859	6046.606749260807	6046.606749260807	6046.606749260807	6046.606749260807	6013.646213620702	5600.515064877942	5752.0	5752.0	5752.0	5752.0	6675.457224543655	36378.522102485156	54419.46074334726	54419.46074334726	54419.46074334726	54419.46074334726	18040.938640862107
823.574_C36H70N16O6_7.55_2517	4699.381824586121	10604.158858753082	4283.0	13974.437830221908	10598.124339556181	10110.83691440648	3777.609017259598	13678.746389573793	2511.868615709757	10610.947692849593	8248.684865562991	8248.684865562991	8248.684865562991	8248.684865562991	3524.1592109897847	10601.141599154631	10110.83691440648	10110.83691440648	10110.83691440648	10110.83691440648	3777.609017259598	63665.68615709756	74238.16379006692	74238.16379006692	74238.16379006692	74238.16379006692	10572.477632969354
820.598_C43H89N2O7Se_6.61_1980	5216.711521547933	10788.557607739667	3928.0035180299037	7794.127528583994	8811.103781882146	6118.0	2884.123131046614	8937.553210202288	1904.8126649076519	7944.342274992671	6264.776995993355	6264.776995993355	6264.776995993355	6264.776995993355	2905.646437994723	8302.61565523307	6118.0	6118.0	6118.0	6118.0	2884.123131046614	47666.053649956026	56382.992963940196	56382.992963940196	56382.992963940196	56382.992963940196	8716.939313984169
818.617_C42H83N5O10_7.5_2257	6119.5	9408.4066406698	3207.4911113659823	12485.352161945177	7957.666131437091	8724.796937722214	2606.7006537446955	10840.196983599037	1593.9195435256336	9255.986475895554	6993.781129334403	6993.781129334403	6993.781129334403	6993.781129334403	2469.370436212104	9066.601789196007	7957.666131437091	7957.666131437091	7957.666131437091	7957.666131437091	2606.7006537446955	55535.91885537332	62944.03016400963	62944.03016400963	62944.03016400963	62944.03016400963	7408.111308636311
817.345__4.75_5292	474.6901763224181	225164.96977329973	4283.0	25568.539042821158	19030.76070528967	3193.3702770780856	12395.886649874055	798.3425692695214	1596.6851385390428	45705.1120906801	32500.693814721522	32500.693814721522	32500.693814721522	32500.693814721522	6091.857262804366	11112.06549118388	4283.0	4283.0	4283.0	4283.0	4283.0	274230.6725440806	292506.2443324937	292506.2443324937	292506.2443324937	292506.2443324937	18275.571788413097
812.391__4.86_5942	2466.481751824818	258498.62773722628	4337.605839416059	21177.72262773723	12190.65693430657	4904.613138686132	3884.0000000000005	2438.1313868613142	1899.4744525547446	50279.372262773715	34644.14598540147	34644.14598540147	34644.14598540147	34644.14598540147	3373.6934306569347	8547.635036496351	4337.605839416059	4337.605839416059	4337.605839416059	4337.605839416059	3884.0000000000005	301676.2335766423	311797.3138686132	311797.3138686132	311797.3138686132	311797.3138686132	10121.080291970804
809.558_C29H74N20O2Se_7.24_1271	6119.5	8795.803069053709	3017.777144850035	10753.58777028598	7448.403278307371	8058.7881887933045	1967.744361776331	9996.653568937456	1434.1911183445711	8528.78931256297	6399.160944483196	6399.160944483196	6399.160944483196	6399.160944483196	2139.904208323646	8427.295628923506	7448.403278307371	7448.403278307371	7448.403278307371	7448.403278307371	1967.744361776331	51172.735875377824	57592.44850034876	57592.44850034876	57592.44850034876	57592.44850034876	6419.712624970937
