index	V15-leg-psoriasis-BF3	V15-leg-psoriasis-BD7	V15-leg-psoriasis-BE4	V15-leg-psoriasis-BF10	V15-leg-psoriasis-BE10	V15-leg-healthy-BD11	V15-leg-psoriasis-BD8	V15-leg-healthy-BF7	V15-leg-psoriasis-BE2	V15-leg-healthy-BF6	V15-leg-psoriasis-BE9	V15-leg-healthy-BE5	V15-leg-psoriasis-BE3	V15-leg-psoriasis-BD9	V15-leg-psoriasis-BF1	V15-leg-psoriasis-BF9	V15-leg-psoriasis-BF2	V15-leg-psoriasis-BE7	V15-leg-healthy-BE12	V15-leg-healthy-BF11	V15-leg-psoriasis-BE8	V15-leg-psoriasis-BE1	V15-leg-healthy-BD12	V15-leg-psoriasis-BF8	V15-leg-healthy-BE6	V15-leg-healthy-BD6	V15-leg-psoriasis-BF4	V15-leg-healthy-BF5	V15-leg-healthy-BE11	V15-leg-healthy-BD10	GROUP_MEAN_DESCRIPTION_2_healthy	GROUP_MEAN_Batch_4	GROUP_MEAN_DESCRIPTION_leg	GROUP_MEAN_Sex_male	GROUP_MEAN_Body_side_right	GROUP_MEAN_DESCRIPTION_2_psoriasis	GROUP_MEDIAN_DESCRIPTION_2_healthy	GROUP_MEDIAN_Batch_4	GROUP_MEDIAN_DESCRIPTION_leg	GROUP_MEDIAN_Sex_male	GROUP_MEDIAN_Body_side_right	GROUP_MEDIAN_DESCRIPTION_2_psoriasis	GROUP_SUM_DESCRIPTION_2_healthy	GROUP_SUM_Batch_4	GROUP_SUM_DESCRIPTION_leg	GROUP_SUM_Sex_male	GROUP_SUM_Body_side_right	GROUP_SUM_DESCRIPTION_2_psoriasis
284.294_C18H37NO_5.66_3111	6.146341463414633	3.4146341463414633	6.829268292682927	8.195121951219512	15.70731707317073	4.097560975609756	12.292682926829267	4.097560975609756	19.121951219512194	3.4146341463414633	2.7317073170731705	3.4146341463414633	7.512195121951219	4.780487804878049	4.097560975609756	8.878048780487804	10.243902439024389	8.195121951219512	2.048780487804878	2.048780487804878	6.146341463414633	2.048780487804878	1.3658536585365852	7.512195121951219	2.048780487804878	1.3658536585365852	15.70731707317073	6.146341463414633	6.829268292682927	4.097560975609756	3.414634146341463	6.351219512195123	6.351219512195123	6.351219512195123	6.351219512195123	8.308943089430892	3.4146341463414633	5.463414634146341	5.463414634146341	5.463414634146341	5.463414634146341	7.512195121951219	40.975609756097555	190.53658536585368	190.53658536585368	190.53658536585368	190.53658536585368	149.56097560975607
283.263_C18H34O2_7.76_145	5.661927330173776	4.436018957345971	6.559241706161138	7.178515007898894	9.66824644549763	3.2606635071090047	8.139020537124802	3.0331753554502368	6.243285939968405	2.5781990521327014	4.9794628751974725	3.778830963665087	7.039494470774091	5.194312796208531	4.372827804107425	3.3617693522906795	6.458135860979463	5.282780410742496	3.0458135860979465	2.3886255924170614	5.9399684044233805	3.9304897314375986	2.6287519747235386	4.739336492890995	3.424960505529226	2.4897314375987363	8.454976303317535	4.056872037914692	5.497630331753554	4.865718799368088	3.4207477619799893	4.956292785676672	4.956292785676672	4.956292785676672	4.956292785676672	5.979989468141127	3.1532385466034754	4.802527646129542	4.802527646129542	4.802527646129542	4.802527646129542	5.800947867298579	41.04897314375987	148.68878357030016	148.68878357030016	148.68878357030016	148.68878357030016	107.6398104265403
283.263_C18H34O2_7.08_1115	10.588235294117647	5.735294117647059	3.9705882352941178	6.61764705882353	3.088235294117647	3.5294117647058822	7.5	4.411764705882353	5.735294117647059	5.735294117647059	5.735294117647059	5.294117647058823	4.852941176470589	8.382352941176471	3.088235294117647	12.794117647058824	7.5	5.294117647058823	5.294117647058823	3.9705882352941178	4.852941176470589	1.7647058823529411	7.9411764705882355	4.411764705882353	6.61764705882353	1.7647058823529411	5.294117647058823	4.852941176470589	5.294117647058823	4.411764705882353	4.926470588235294	5.5441176470588225	5.5441176470588225	5.5441176470588225	5.5441176470588225	5.955882352941177	5.0735294117647065	5.294117647058823	5.294117647058823	5.294117647058823	5.294117647058823	5.514705882352941	59.117647058823536	166.32352941176467	166.32352941176467	166.32352941176467	166.32352941176467	107.20588235294117
283.263_C18H34O2_6.55_521	0.8347826086956522	4.747826086956523	3.704347826086957	3.286956521739131	4.382608695652174	3.7565217391304353	4.800000000000001	3.339130434782609	7.565217391304349	4.9565217391304355	3.2347826086956526	6.834782608695653	4.22608695652174	6.365217391304348	3.0260869565217394	3.0260869565217394	3.3913043478260874	5.269565217391305	3.9652173913043485	6.156521739130436	1.2000000000000002	6.104347826086958	2.8173913043478263	6.834782608695653	6.62608695652174	6.208695652173914	7.982608695652175	7.930434782608697	6.000000000000001	8.869565217391305	5.621739130434783	4.914782608695654	4.914782608695654	4.914782608695654	4.914782608695654	4.443478260869565	6.078260869565218	4.773913043478261	4.773913043478261	4.773913043478261	4.773913043478261	4.304347826086957	67.4608695652174	147.4434782608696	147.4434782608696	147.4434782608696	147.4434782608696	79.98260869565217
283.174__3.7_4918	2.5348189415041786	11.8941504178273	11.6991643454039	4.289693593314763	11.309192200557105	4.094707520891365	19.303621169916436	15.208913649025071	7.2144846796657385	3.7047353760445687	10.919220055710307	5.264623955431755	6.629526462395543	2.1448467966573816	11.6991643454039	17.158774373259053	3.3147632311977717	1.16991643454039	5.459610027855153	14.23398328690808	0.9749303621169917	1.754874651810585	4.094707520891365	5.264623955431755	3.8997214484679668	6.629526462395543	4.484679665738162	2.1448467966573816	6.044568245125348	0.19498607242339835	5.914577530176417	6.824512534818942	6.824512534818942	6.824512534818942	6.824512534818942	7.431135871247291	4.67966573816156	5.264623955431755	5.264623955431755	5.264623955431755	5.264623955431755	5.947075208913649	70.97493036211701	204.73537604456828	204.73537604456828	204.73537604456828	204.73537604456828	133.76044568245123
283.169_C19H22O2_3.72_98	5.521472392638037	5.030674846625766	5.644171779141104	5.276073619631902	3.9263803680981595	3.312883435582822	6.319018404907975	4.785276073619632	4.601226993865031	5.214723926380368	4.785276073619632	4.785276073619632	5.153374233128834	2.9447852760736195	4.969325153374233	6.441717791411043	4.110429447852761	4.9079754601226995	4.662576687116564	6.6871165644171775	4.294478527607362	3.8650306748466257	4.417177914110429	6.134969325153374	5.0920245398773005	4.9079754601226995	4.355828220858895	4.9079754601226995	5.276073619631902	5.398773006134969	4.953987730061349	4.924335378323109	4.924335378323109	4.924335378323109	4.924335378323109	4.904567143830948	4.9079754601226995	4.9079754601226995	4.9079754601226995	4.9079754601226995	4.9079754601226995	4.938650306748466	59.44785276073619	147.73006134969327	147.73006134969327	147.73006134969327	147.73006134969327	88.28220858895706
282.279_C18H35NO_5.58_277	8.437333333333333	3.541333333333333	6.794666666666667	11.189333333333334	15.328	1.3226666666666667	8.106666666666667	1.696	9.44	1.5893333333333333	6.016	1.472	7.754666666666667	5.472	5.1626666666666665	5.6	9.28	7.434666666666667	1.5786666666666667	1.1306666666666667	6.944	3.9466666666666668	0.544	5.8133333333333335	1.9626666666666666	0.5333333333333333	13.322666666666667	4.757333333333333	5.472	3.8186666666666667	2.1564444444444444	5.515377777777777	5.515377777777777	5.515377777777777	5.515377777777777	7.754666666666667	1.584	5.472	5.472	5.472	5.472	7.189333333333334	25.877333333333333	165.46133333333333	165.46133333333333	165.46133333333333	165.46133333333333	139.584
281.248_C18H32O2_7.37_448	6.098654708520179	5.321375186846039	5.142002989536621	9.357249626307922	9.20777279521674	3.7668161434977576	9.566517189835574	3.9760837070254107	8.281016442451419	4.783258594917787	5.949177877428998	2.8998505231689085	6.666666666666666	6.63677130044843	5.0523168908819125	3.82660687593423	7.115097159940209	5.919282511210762	3.4678624813153958	2.959641255605381	5.5007473841554555	3.8863976083707024	2.7204783258594913	5.560538116591927	0.08968609865470852	3.82660687593423	9.147982062780269	3.4678624813153958	6.188340807174887	5.4708520179372195	3.634778276033881	5.395117090184355	5.395117090184355	5.395117090184355	5.395117090184355	6.568676299618002	3.6173393124065765	5.39611360239163	5.39611360239163	5.39611360239163	5.39611360239163	6.023916292974588	43.61733931240657	161.85351270553065	161.85351270553065	161.85351270553065	161.85351270553065	118.23617339312405
281.247_C18H32O2_6.28_541	5.142857142857143	6.642857142857144	7.500000000000001	6.42857142857143	9.214285714285715	2.3571428571428577	19.28571428571429	4.500000000000001	11.142857142857144	2.1428571428571432	1.9285714285714288	6.857142857142858	5.357142857142858	3.8571428571428577	2.3571428571428577	1.7142857142857144	2.785714285714286	5.571428571428572	2.785714285714286	2.1428571428571432	4.500000000000001	3.214285714285715	7.92857142857143	3.214285714285715	7.071428571428572	3.6428571428571432	4.2857142857142865	7.071428571428572	3.8571428571428577	14.35714285714286	5.392857142857143	5.62857142857143	5.62857142857143	5.62857142857143	5.62857142857143	5.7857142857142865	4.178571428571429	4.500000000000001	4.500000000000001	4.500000000000001	4.500000000000001	4.821428571428572	64.71428571428572	168.8571428571429	168.8571428571429	168.8571428571429	168.8571428571429	104.14285714285715
281.247_C18H32O2_5.78_661	7.6	6.2	5.4	6.2	7.8	5.0	21.2	2.8	11.6	5.0	4.6	6.6	3.0	2.0	3.6	4.8	1.8	1.2	2.0	6.0	4.2	4.8	1.8	7.4	1.8	1.8	4.0	2.4	1.6	1.6	3.1999999999999997	4.860000000000001	4.860000000000001	4.860000000000001	4.860000000000001	5.966666666666667	2.2	4.4	4.4	4.4	4.4	4.8	38.4	145.80000000000004	145.80000000000004	145.80000000000004	145.80000000000004	107.4
