index	V19-leg-healthy-GG9	V19-leg-psoriasis-GF8	V19-leg-psoriasis-GF9	V19-leg-healthy-GH2	V19-leg-psoriasis-GG8	V19-leg-psoriasis-GG1	V19-leg-psoriasis-GH6	V19-leg-psoriasis-partial-GF7	V19-leg-healthy-GG4	V19-leg-psoriasis-GH4	V19-leg-healthy-GF2	V19-leg-healthy-GF11	V19-leg-psoriasis-GG12	V19-leg-psoriasis-partial-GF4	V19-leg-psoriasis-GH1	V19-leg-psoriasis-GG2	V19-leg-psoriasis-GG10	V19-leg-psoriasis-GF10	V19-leg-healthy-GF1	V19-leg-psoriasis-GG5	V19-leg-psoriasis-GG6	V19-leg-psoriasis-GG7	V19-leg-psoriasis-partial-GF3	V19-leg-psoriasis-GF12	V19-leg-psoriasis-GG11	V19-leg-psoriasis-GG3	V19-leg-healthy-GH3	V19-leg-psoriasis-GH5	V19-leg-psoriasis-partial-GF5	GROUP_MEAN_DESCRIPTION_2_healthy	GROUP_MEAN_Batch_4	GROUP_MEAN_Sex_female	GROUP_MEAN_DESCRIPTION_leg	GROUP_MEAN_Body_side_right	GROUP_MEAN_DESCRIPTION_2_psoriasis	GROUP_MEDIAN_DESCRIPTION_2_healthy	GROUP_MEDIAN_Batch_4	GROUP_MEDIAN_Sex_female	GROUP_MEDIAN_DESCRIPTION_leg	GROUP_MEDIAN_Body_side_right	GROUP_MEDIAN_DESCRIPTION_2_psoriasis	GROUP_SUM_DESCRIPTION_2_healthy	GROUP_SUM_Batch_4	GROUP_SUM_Sex_female	GROUP_SUM_DESCRIPTION_leg	GROUP_SUM_Body_side_right	GROUP_SUM_DESCRIPTION_2_psoriasis
390.191__4.28_5070	2.4125874125874125	7.395104895104895	6.101398601398601	2.1503496503496504	5.0874125874125875	16.258741258741257	3.9685314685314683	5.506993006993007	3.0069930069930066	8.251748251748252	2.692307692307692	2.1153846153846154	5.034965034965035	26.888111888111887	3.9335664335664333	96.62587412587412	0.4195804195804196	3.2517482517482517	1.2762237762237763	4.300699300699301	92.0104895104895	36.53846153846154	29.248251748251747	2.7797202797202796	3.846153846153846	6.625874125874126	5.0	3.6538461538461537	3.1118881118881117	2.6648351648351647	13.430793344586446	13.430793344586446	13.430793344586446	13.430793344586446	16.856325492689127	2.4125874125874125	4.300699300699301	4.300699300699301	4.300699300699301	4.300699300699301	5.297202797202797	18.653846153846153	389.49300699300693	389.49300699300693	389.49300699300693	389.49300699300693	370.8391608391608
390.015__3.14_1050	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	8.0	4.0	16.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	6.285714285714286	4.551724137931035	4.551724137931035	4.551724137931035	4.551724137931035	4.0	4.0	4.0	4.0	4.0	4.0	4.0	44.0	132.0	132.0	132.0	132.0	88.0
389.214_C19H38O3Se_3.67_3178	66.0	6.0	2.0	36.0	4.0	8.0	2.0	22.0	56.0	2.0	2.0	22.0	2.0	20.0	2.0	8.0	2.0	4.0	2.0	2.0	2.0	4.0	6.0	2.0	4.0	6.0	14.0	2.0	22.0	28.285714285714285	11.448275862068966	11.448275862068966	11.448275862068966	11.448275862068966	6.090909090909091	22.0	4.0	4.0	4.0	4.0	4.0	198.0	332.0	332.0	332.0	332.0	134.0
389.178_C17H26N4O5_3.38_4317	11.0	2.5	2.0	6.0	7.0	5.5	3.5	8.0	5.5	2.0	7.0	2.5	4.0	2.5	1.0	11.0	4.5	4.0	4.0	6.0	10.0	6.0	4.5	4.0	6.5	4.0	3.0	3.0	5.5	5.571428571428571	5.0344827586206895	5.0344827586206895	5.0344827586206895	5.0344827586206895	4.863636363636363	5.5	4.5	4.5	4.5	4.5	4.25	39.0	146.0	146.0	146.0	146.0	107.0
388.442__8.9_6233	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	28.0	116.0	116.0	116.0	116.0	88.0
388.394_C27H49N_7.31_3618	7.5	7.5	6.0	1.5	34.5	9.0	7.5	48.0	4.5	1.5	1.5	1.5	9.0	3663.0	1.5	67.5	1.5	25.5	1.5	1.5	75.0	55.5	31.5	1.5	3.0	253.5	1.5	1.5	4.5	2.7857142857142856	149.27586206896552	149.27586206896552	149.27586206896552	149.27586206896552	195.88636363636363	1.5	6.0	6.0	6.0	6.0	8.25	19.5	4329.0	4329.0	4329.0	4329.0	4309.5
388.342_C22H45NO4_5.96_732	11.247466007416564	3.0674907292954265	1.4398022249690976	11.223733003708281	7.596538936959209	0.8029666254635353	8.0	11.472929542645241	13.31619283065513	1.6158220024721879	1.0027194066749072	8.498393077873919	1.131273176761434	62.736217552533994	4.9700865265760195	0.9888751545117429	4.776266996291718	6.134981458590853	1.6098887515451175	3.120889987639061	0.8781211372064277	0.47861557478368355	3.2632880098887513	7.068479604449938	3.908034610630408	16.42521631644005	6.57008652657602	1.4259579728059333	4.944375772558715	7.638354229207134	7.231541707514601	7.231541707514601	7.231541707514601	7.231541707514601	7.102101359703338	8.498393077873919	4.776266996291718	4.776266996291718	4.776266996291718	4.776266996291718	3.58566131025958	53.46847960444994	209.7147095179234	209.7147095179234	209.7147095179234	209.7147095179234	156.24622991347343
388.254_C19H41N2OSe_2.57_838	2.1043165467625897	2.514388489208633	3.960431654676259	2.7625899280575537	4.133093525179856	10.694244604316546	7.812949640287769	3.593525179856115	2.4280575539568345	3.4208633093525176	3.3776978417266186	1.4784172661870503	5.0071942446043165	13.856115107913668	6.0647482014388485	20.68705035971223	1.0359712230215827	3.1402877697841727	3.0	2.9028776978417263	29.503597122302157	17.859712230215827	8.201438848920862	2.41726618705036	3.755395683453237	4.76978417266187	2.7949640287769784	3.302158273381295	5.719424460431655	2.563720452209661	6.286157281071695	6.286157281071695	6.286157281071695	6.286157281071695	7.470568999345978	2.7625899280575537	3.593525179856115	3.593525179856115	3.593525179856115	3.593525179856115	4.451438848920863	17.946043165467625	182.29856115107916	182.29856115107916	182.29856115107916	182.29856115107916	164.3525179856115
387.31_C22H42O5_6.8_4304	11.278195488721805	3.7218045112781954	0.8120300751879699	15.8796992481203	7.7142857142857135	3.0	7.556390977443608	13.804511278195488	9.789473684210526	1.8045112781954886	2.3684210526315788	8.616541353383457	0.8345864661654135	30.69924812030075	5.774436090225564	1.263157894736842	4.669172932330826	4.466165413533834	2.0977443609022557	3.8120300751879697	1.3082706766917294	0.9699248120300752	4.082706766917293	7.330827067669173	3.834586466165413	11.097744360902254	8.909774436090226	1.37593984962406	4.37593984962406	8.419978517722877	6.318900700025926	6.318900700025926	6.318900700025926	6.318900700025926	5.650375939849624	8.909774436090226	4.37593984962406	4.37593984962406	4.37593984962406	4.37593984962406	3.958646616541353	58.93984962406014	183.24812030075185	183.24812030075185	183.24812030075185	183.24812030075185	124.30827067669173
387.285__6.85_3366	2.6666666666666665	8.0	5.333333333333333	2.6666666666666665	2.6666666666666665	8.0	5.333333333333333	8.0	8.0	2.6666666666666665	13.333333333333334	8.0	10.666666666666666	2.6666666666666665	2.6666666666666665	2.6666666666666665	8.0	10.666666666666666	2.6666666666666665	2.6666666666666665	45.333333333333336	8.0	8.0	2.6666666666666665	2.6666666666666665	5.333333333333333	2.6666666666666665	8.0	2.6666666666666665	5.7142857142857135	6.988505747126436	6.988505747126436	6.988505747126436	6.988505747126436	7.393939393939392	2.6666666666666665	5.333333333333333	5.333333333333333	5.333333333333333	5.333333333333333	5.333333333333333	39.99999999999999	202.66666666666666	202.66666666666666	202.66666666666666	202.66666666666666	162.66666666666663
