index	V10-arm-healthy-BC3	V10-arm-healthy-BC6	V10-back-healthy-BC9	V10-arm-psoriasis-BC7	V10-back-healthy-BC8	V10-back-healthy-BE12	V10-arm-healthy-BC4	V10-arm-healthy-BC5	V10-back-psoriasis-BD11	V10-back-healthy-BC10	V10-back-psoriasis-BD12	V10-back-healthy-BC11	V10-back-psoriasis-BE11	V10-back-healthy-BC12	GROUP_MEAN_DESCRIPTION_2_healthy	GROUP_MEAN_Sex_female	GROUP_MEAN_DESCRIPTION_arm	GROUP_MEAN_DESCRIPTION_back	GROUP_MEAN_Body_side_left	GROUP_MEAN_Body_side_middle	GROUP_MEAN_Batch_3	GROUP_MEAN_DESCRIPTION_2_psoriasis	GROUP_MEDIAN_DESCRIPTION_2_healthy	GROUP_MEDIAN_Sex_female	GROUP_MEDIAN_DESCRIPTION_arm	GROUP_MEDIAN_DESCRIPTION_back	GROUP_MEDIAN_Body_side_left	GROUP_MEDIAN_Body_side_middle	GROUP_MEDIAN_Batch_3	GROUP_MEDIAN_DESCRIPTION_2_psoriasis	GROUP_SUM_DESCRIPTION_2_healthy	GROUP_SUM_Sex_female	GROUP_SUM_DESCRIPTION_arm	GROUP_SUM_DESCRIPTION_back	GROUP_SUM_Body_side_left	GROUP_SUM_Body_side_middle	GROUP_SUM_Batch_3	GROUP_SUM_DESCRIPTION_2_psoriasis
98.013_CH6O3P_5.96_3396	2559.716129032258	263.1483870967742	382.76129032258063	717.6774193548387	1028.6709677419356	478.4516129032258	23.92258064516129	645.9096774193548	574.141935483871	550.2193548387097	550.2193548387097	334.9161290322581	574.141935483871	598.0645161290322	686.578064516129	662.9972350230415	842.0748387096774	563.5096774193548	842.0748387096774	563.5096774193548	662.9972350230415	604.0451612903225	514.3354838709678	562.1806451612904	645.9096774193548	550.2193548387097	645.9096774193548	550.2193548387097	562.1806451612904	574.141935483871	6865.78064516129	9281.96129032258	4210.374193548387	5071.587096774194	4210.374193548387	5071.587096774194	9281.96129032258	2416.18064516129
979.617__7.57_3001	1348.6591638111865	1894.9514833296419	1121.03736401183	224.7765273018644	953.1662866598048	398.33814964887364	2392.874170390734	637.3410394381979	153.64471486456554	2620.4959701900902	170.7163498495173	671.4843094081012	284.52724974919545	771.0688468203197	1280.941678370878	974.5058303909943	1299.720476854325	793.8310268002555	1299.720476854325	793.8310268002555	974.5058303909943	208.41621044128567	1037.1018253358175	721.2765781142105	1348.6591638111865	671.4843094081012	1348.6591638111865	671.4843094081012	721.2765781142105	197.74643857569083	12809.416783708779	13643.08162547392	6498.602384271625	7144.479241202299	6498.602384271625	7144.479241202299	13643.08162547392	833.6648417651427
973.655__5.42_3754	116.72327964860908	2296.462664714495	584.9736456808199	597.1888726207907	489.9663250366032	367.81405563689606	2647.989751098097	1539.1185944363103	570.0439238653001	663.6939970717423	435.6764275256223	578.1874084919473	192.72913616398245	850.9941434846266	1013.5923865300147	852.2544446768459	1439.4966325036605	526.00878477306	1439.4966325036605	526.00878477306	852.2544446768459	448.9095900439239	624.3338213762811	581.5805270863837	1539.1185944363103	570.0439238653001	1539.1185944363103	570.0439238653001	581.5805270863837	502.8601756954612	10135.923865300147	11931.562225475842	7197.483162518302	4734.07906295754	7197.483162518302	4734.07906295754	11931.562225475842	1795.6383601756957
971.158__9.75_6081	2499.8973526516656	708.0634120227261	173.40328457699414	606.9114960194795	1849.6350354879376	476.8590325867339	1314.9749080422057	563.560674875231	823.6656017407222	187.85355829174367	1502.8284663339493	231.2043794359922	823.6656017407222	534.660127445732	854.0111765416963	878.3702093751309	1138.6815687222613	733.7527875156142	1138.6815687222613	733.7527875156142	878.3702093751309	939.2677914587183	549.1104011604815	657.4874540211028	708.0634120227261	534.660127445732	708.0634120227261	534.660127445732	657.4874540211028	823.6656017407222	8540.111765416963	12297.182931251833	5693.407843611307	6603.775087640527	5693.407843611307	6603.775087640527	12297.182931251833	3757.071165834873
968.569__6.23_4939	2403.693426444278	540.1558261672535	952.0246436197842	634.6830957465228	499.64413920470946	1606.9635828475791	3585.2842961851447	445.6285565879841	573.9155653027068	702.2025740174295	459.1324522421654	715.7064696716109	243.07012177526406	459.1324522421654	1191.0435966987939	987.2312287181857	1521.8890402262366	690.1991112137127	1521.8890402262366	690.1991112137127	987.2312287181857	477.70030876666476	708.9545218445202	604.2993305246148	634.6830957465228	573.9155653027068	634.6830957465228	573.9155653027068	604.2993305246148	516.5240087724361	11910.43596698794	13821.237202054599	7609.445201131183	6211.792000923415	7609.445201131183	6211.792000923415	13821.237202054599	1910.801235066659
967.688__8.07_678	3268.766892419088	6512.0802721513055	215.68502855716113	310.8007864923067	968.5731406635248	1708.06466714522	723.4156237320932	1793.8028151430979	373.76473892824816	937.7609937267875	230.42127274429635	1854.0874504541055	76.36053806060984	988.6680191005274	1897.0904903092912	1425.8751599513125	2521.7732779875782	817.0428721533867	2521.7732779875782	817.0428721533867	1425.8751599513125	247.8368340563653	1348.3663431228738	953.1670671951562	1793.8028151430979	937.7609937267875	1793.8028151430979	937.7609937267875	953.1670671951562	270.61102961830153	18970.904903092913	19962.252239318375	12608.866389937892	7353.38584938048	12608.866389937892	7353.38584938048	19962.252239318375	991.3473362254612
965.514__3.3_5490	1654.3691802859516	1530.2914917645053	1033.9807376787198	268.83499179646714	496.3107540857855	1985.243016343142	1675.048795039526	351.55345081076473	475.63113933221115	1033.9807376787198	599.7088278536575	785.8253606358271	268.83499179646714	992.621508171571	1153.9225032494512	939.4453559480941	1096.019581939443	852.459674841789	1096.019581939443	852.459674841789	939.4453559480941	403.25248769470073	1033.9807376787198	889.223434403699	1530.2914917645053	785.8253606358271	1530.2914917645053	785.8253606358271	889.223434403699	372.23306556433914	11539.225032494513	13152.234983273316	5480.097909697215	7672.137073576101	5480.097909697215	7672.137073576101	13152.234983273316	1613.009950778803
964.583__5.02_189	1559.0202058917205	379.22113116285095	589.8995373644348	1938.2413370545714	1559.0202058917205	421.35681240316774	516.1620951938804	1148.197313798632	4245.169884961914	495.0942545737221	2686.149679070194	579.3656170543557	1453.6810027909287	505.62817488380125	775.2965348218285	1291.1576608639923	1108.168416620331	1392.8183521104709	1108.168416620331	1392.8183521104709	1291.1576608639923	2580.810475969402	547.7638561241181	869.0484255815334	1148.197313798632	589.8995373644348	1148.197313798632	589.8995373644348	869.0484255815334	2312.195508062383	7752.965348218285	18076.207252095894	5540.842083101656	12535.365168994238	5540.842083101656	12535.365168994238	18076.207252095894	10323.241903877608
963.622__7.98_3912	608.1001260691156	2529.9259961932075	828.966681292332	467.54868183615963	917.8869827458349	140.55144423295596	2007.8777747565139	1009.6756810204183	140.55144423295596	1365.3568868344294	215.12976158105505	737.1779830177486	473.2854754783211	490.4958564048055	1063.6015412567363	852.3236268354182	1324.625651975083	589.9336128689376	1324.625651975083	589.9336128689376	852.3236268354182	324.12884078212295	873.4268320190835	672.6390545434322	1009.6756810204183	490.4958564048055	1009.6756810204183	490.4958564048055	672.6390545434322	341.33922170860734	10636.015412567362	11932.530775695854	6623.128259875415	5309.402515820439	6623.128259875415	5309.402515820439	11932.530775695854	1296.5153631284918
962.733__8.07_615	1667.0707548150338	5932.136655020507	274.9807430622736	160.40543345299292	1024.4942267563179	1295.6557928316156	1135.2503593786225	1616.4666597376015	310.3081301918018	794.3888132910126	110.75613262230465	1282.2886733771995	94.52463042765655	801.0723730182207	1582.3805051288405	1178.5570984273686	2102.265972480952	665.3855017309338	2102.265972480952	665.3855017309338	1178.5570984273686	168.998581673689	1208.769516377911	912.7832998872693	1616.4666597376015	794.3888132910126	1616.4666597376015	794.3888132910126	912.7832998872693	135.58078303764879	15823.805051288404	16499.79937798316	10511.329862404758	5988.469515578404	10511.329862404758	5988.469515578404	16499.79937798316	675.994326694756
