index	V7-arm-healthy-BA7	V7-arm-healthy-BB3	V7-arm-healthy-BB7	V7-arm-healthy-BB6	V7-arm-psoriasis-BB9	V7-arm-healthy-BA5	V7-arm-healthy-BA3	V7-arm-healthy-BA4	V7-arm-healthy-BB4	V7-arm-healthy-BA6	V7-arm-healthy-BA8	V7-arm-healthy-BB8	V7-arm-psoriasis-BB10	V7-arm-psoriasis-BA10	V7-arm-psoriasis-BA9	V7-arm-healthy-BB12	GROUP_MEAN_DESCRIPTION_2_healthy	GROUP_MEAN_Sex_female	GROUP_MEAN_DESCRIPTION_arm	GROUP_MEAN_Body_side_right	GROUP_MEAN_Body_side_left	GROUP_MEAN_Batch_3	GROUP_MEAN_DESCRIPTION_2_psoriasis	GROUP_MEDIAN_DESCRIPTION_2_healthy	GROUP_MEDIAN_Sex_female	GROUP_MEDIAN_DESCRIPTION_arm	GROUP_MEDIAN_Body_side_right	GROUP_MEDIAN_Body_side_left	GROUP_MEDIAN_Batch_3	GROUP_MEDIAN_DESCRIPTION_2_psoriasis	GROUP_SUM_DESCRIPTION_2_healthy	GROUP_SUM_Sex_female	GROUP_SUM_DESCRIPTION_arm	GROUP_SUM_Body_side_right	GROUP_SUM_Body_side_left	GROUP_SUM_Batch_3	GROUP_SUM_DESCRIPTION_2_psoriasis
920.686__7.8_1762	3183.9273191092107	3853.747611806468	304.3731214675665	403.188441164326	291.0116150706283	4451.675023069453	2753.666870580939	4562.804865452943	1553.5244004798317	2086.6883908113887	3851.753357120358	924.8854670507495	973.4455686575325	1945.6447281362462	1552.5272731367766	0.24928183576377272	2327.540345829083	2043.3195834343865	2043.3195834343865	1038.0531884416082	3048.5859784271647	2043.3195834343865	1190.657296250296	2420.1776306961638	1749.5845643080388	1749.5845643080388	664.0369541075378	2968.7970948450748	1749.5845643080388	1262.9864208971544	27930.484149948996	32693.113334950183	32693.113334950183	8304.425507532866	24388.687827417318	32693.113334950183	4762.629185001184
919.579__6.12_4756	17434.24240766711	1338.070731745643	580.5588521818851	1049.1566839524	421.62881832964746	3350.092191235826	3509.568376407143	1963.9601434111557	1462.0470811767698	4045.88897174356	4204.272854276718	296.56016626036086	504.09766751070543	3478.9839025386714	2014.7522160855822	2.730756595399271	3269.762434721164	2853.5382388199114	2853.5382388199114	706.8563447191013	5000.22013292072	2853.5382388199114	1604.8656511161516	1713.0036122939628	1713.0036122939628	1713.0036122939628	542.3282598462953	3494.2761394729073	1713.0036122939628	1259.424941798144	39237.14921665397	45656.61182111858	45656.61182111858	5654.850757752811	40001.76106336576	45656.61182111858	6419.462604464607
918.671__8.11_3974	13115.725444534812	2141.1767795857577	675.7325958388512	2686.6476702026616	944.3973628591174	2279.5798413840766	716.4393787207098	4428.897977546206	757.1461616025682	1644.5540284270837	3020.4432898339014	1033.952285199206	911.8319365536306	1611.9886021215968	1685.2608113089423	48.84813945823021	2712.4286326945053	2356.4138940735843	2356.4138940735843	1149.9666164125028	3562.861171734666	2356.4138940735843	1288.3696782108218	1892.8654040064207	1628.2713152743404	1628.2713152743404	928.1146497063739	1982.4203263465095	1628.2713152743404	1278.192982490357	32549.143592334065	37702.62230517735	37702.62230517735	9199.732931300023	28502.88937387733	37702.62230517735	5153.478712843287
917.581__6.53_4296	11964.89858287026	131.4710261312098	1025.8880857955035	857.6672846433648	810.0478578556825	1607.673256549361	1928.586784901133	1297.111777499259	620.6053556351203	3334.9126825330113	2698.2616504803023	557.457854894933	900.6282892452956	2713.2721219677237	1452.3925170243099	1.5528073952505097	2168.8405957773925	1993.9017459638576	1993.9017459638576	613.164820199545	3374.6386717281703	1993.9017459638576	1469.085196523253	1161.4999316473813	1161.4999316473813	1161.4999316473813	715.3266067454015	2313.4242176907173	1161.4999316473813	1176.5104031348028	26026.08714932871	31902.42793542172	31902.42793542172	4905.31856159636	26997.109373825362	31902.42793542172	5876.340786093012
917.558__7.56_4102	2275.5912986652565	820.4529193835871	233.59116509690878	358.7979521498815	258.82477861046374	6367.281809920369	4200.1950493633985	6739.77800940618	2598.7017117031105	3332.0385844327575	5678.284000935968	1162.1881423957313	388.71780817309667	1664.216891251125	1569.4106004787684	0.36048019305078516	2813.938426970517	2353.0269501349785	2353.0269501349785	727.7043697132289	3978.3495305567276	2353.0269501349785	970.2925196283634	2437.1465051841833	1616.8137458649467	1616.8137458649467	373.7578801614891	3766.116816898078	1616.8137458649467	979.0642043259326	33767.2611236462	37648.431202159656	37648.431202159656	5821.634957705831	31826.79624445382	37648.431202159656	3881.1700785134535
916.531__3.22_3758	3639.304678850721	6086.978622148551	2226.9148340578104	1528.917862667616	2385.6037428218565	2321.191270629808	2079.937283874137	1901.9246334524767	3070.7182197736415	1267.7545663253115	2077.0094442290438	1322.7979516530618	1640.1757691811536	1041.1397777951056	958.5746998034804	1.1711358580372393	2293.718375293351	2096.8821558201134	2096.8821558201134	2282.9097672702164	1910.8545443700104	2096.8821558201134	1506.373497400399	2078.4733640515906	1989.4670388407603	1989.4670388407603	1933.545301619482	1989.4670388407603	1989.4670388407603	1340.6577734881296	27524.62050352021	33550.114493121815	33550.114493121815	18263.27813816173	15286.836354960084	33550.114493121815	6025.493989601596
913.608__7.61_4058	2291.288528355745	650.5531765908771	86.65100042839312	229.63856460280033	251.10011269652	6622.765472370715	4257.702872442808	7079.091638713429	2223.9529212116995	3242.83991696104	6230.555680957988	1128.6091603784826	353.31073549285986	1719.3382716581161	1575.2776300790229	1.6096161070289743	2837.104879093417	2371.5178311904706	2371.5178311904706	615.6781609385827	4127.357501442358	2371.5178311904706	974.7566874816297	2257.620724783722	1647.3079508685696	1647.3079508685696	302.20542409468993	3750.2713947019242	1647.3079508685696	964.2941827859413	34045.258549121005	37944.28529904753	37944.28529904753	4925.425287508661	33018.86001153886	37944.28529904753	3899.0267499265187
912.602__7.6_3741	2500.7624224648434	745.5501730221077	310.62303859441516	374.1470963988384	305.1349990432771	7377.022764639803	4420.7530594305	7504.345282226207	2695.587826530245	3454.9952994189766	6591.409902894387	1140.6890207040494	614.5232287386862	1699.508647998684	1718.305183461332	1.3720098877845193	3093.104824684346	2590.9206222158837	2590.9206222158837	773.4534241149254	4408.387820316842	2590.9206222158837	1084.368014810495	2598.175124497544	1708.906915730008	1708.906915730008	494.33516256876226	3937.874179424738	1708.906915730008	1157.015938368685	37117.257896212155	41454.72995545414	41454.72995545414	6187.627392919403	35267.10256253474	41454.72995545414	4337.47205924198
911.498__7.06_3782	11600.391825671766	1130.2345800601104	1115.7796920081844	1005.6472116125586	726.8743706111306	1760.7430303250683	1358.759476881034	1614.8174938008642	1162.5859961763254	3615.0986689864185	3355.599012054225	794.3305148534515	891.3847632020968	3116.7491951962115	1886.0187267750928	2.7533120098906463	2376.3950678699916	2196.110491889027	2196.110491889027	853.6988050667185	3538.522178711335	2196.110491889027	1655.2567639461329	1260.6727365286797	1260.6727365286797	1260.6727365286797	948.5159874073277	2501.3839609856523	1260.6727365286797	1388.7017449885948	28516.7408144399	35137.76787022443	35137.76787022443	6829.590440533748	28308.17742969068	35137.76787022443	6621.0270557845315
910.651__8.37_1805	5119.638644314562	3540.211276121491	430.28163531736845	527.4838119703884	241.7094126105097	5048.033040846838	3440.525043842894	6073.732009373205	1734.0868314898764	2678.7839861387274	4095.5597120657453	1079.3761705225352	754.3968932459384	1681.1656464232324	1130.8933241486359	4.2120943216308655	2814.327021360438	2348.7555957970985	2348.7555957970985	1038.9697656999674	3658.54142589423	2348.7555957970985	952.0413191070791	3059.6545149908106	1707.6262389565545	1707.6262389565545	640.9403526081634	3768.04237795432	1707.6262389565545	942.6451086972871	33771.924256325256	37580.089532753576	37580.089532753576	8311.75812559974	29268.33140715384	37580.089532753576	3808.1652764283162
