index	V12-leg-healthy-BH8	V12-leg-healthy-BH9	V12-leg-healthy-BH7	V12-leg-healthy-BH10	V12-leg-psoriasis-BA11	V12-leg-psoriasis-BA12	V12-leg-psoriasis-BB11	V12-leg-healthy-BH11	V12-leg-healthy-BH12	GROUP_MEAN_DESCRIPTION_2_healthy	GROUP_MEAN_Sex_female	GROUP_MEAN_DESCRIPTION_leg	GROUP_MEAN_Body_side_left	GROUP_MEAN_Batch_3	GROUP_MEAN_DESCRIPTION_2_psoriasis	GROUP_MEDIAN_DESCRIPTION_2_healthy	GROUP_MEDIAN_Sex_female	GROUP_MEDIAN_DESCRIPTION_leg	GROUP_MEDIAN_Body_side_left	GROUP_MEDIAN_Batch_3	GROUP_MEDIAN_DESCRIPTION_2_psoriasis	GROUP_SUM_DESCRIPTION_2_healthy	GROUP_SUM_Sex_female	GROUP_SUM_DESCRIPTION_leg	GROUP_SUM_Body_side_left	GROUP_SUM_Batch_3	GROUP_SUM_DESCRIPTION_2_psoriasis
99.013__0.88_2719	4.666666666666667	4.666666666666667	154.0	242.66666666666669	70.0	4.666666666666667	4.666666666666667	121.33333333333334	252.0	129.88888888888889	95.40740740740742	95.40740740740742	95.40740740740742	95.40740740740742	26.444444444444446	137.66666666666669	70.0	70.0	70.0	70.0	4.666666666666667	779.3333333333334	858.6666666666667	858.6666666666667	858.6666666666667	858.6666666666667	79.33333333333334
989.614__8.21_4778	122.57142857142857	160.28571428571428	132.0	249.85714285714286	120.21428571428571	23.57142857142857	37.714285714285715	89.57142857142857	28.285714285714285	130.42857142857142	107.11904761904763	107.11904761904763	107.11904761904763	107.11904761904763	60.5	127.28571428571428	120.21428571428571	120.21428571428571	120.21428571428571	120.21428571428571	37.714285714285715	782.5714285714286	964.0714285714287	964.0714285714287	964.0714285714287	964.0714285714287	181.5
987.559__3.37_5387	105.0	78.75	131.25	105.0	122.5	105.0	61.25	87.5	35.0	90.41666666666667	92.36111111111111	92.36111111111111	92.36111111111111	92.36111111111111	96.25	96.25	105.0	105.0	105.0	105.0	105.0	542.5	831.25	831.25	831.25	831.25	288.75
985.675__9.92_5179	161.8695652173913	37.69565217391304	107.54347826086956	75.39130434782608	57.65217391304348	191.80434782608694	65.41304347826087	90.91304347826087	51.0	87.40217391304346	93.2536231884058	93.2536231884058	93.2536231884058	93.2536231884058	104.95652173913042	83.15217391304347	75.39130434782608	75.39130434782608	75.39130434782608	75.39130434782608	65.41304347826087	524.4130434782608	839.2826086956521	839.2826086956521	839.2826086956521	839.2826086956521	314.86956521739125
983.647__7.58_4359	150.16666666666666	141.66666666666666	107.66666666666666	121.83333333333333	51.0	34.0	48.166666666666664	118.99999999999999	51.0	115.22222222222223	91.6111111111111	91.6111111111111	91.6111111111111	91.6111111111111	44.388888888888886	120.41666666666666	107.66666666666666	107.66666666666666	107.66666666666666	107.66666666666666	48.166666666666664	691.3333333333334	824.4999999999999	824.4999999999999	824.4999999999999	824.4999999999999	133.16666666666666
982.62__7.48_4896	151.97368421052633	124.3421052631579	182.3684210526316	105.0	135.39473684210526	44.21052631578947	24.86842105263158	138.1578947368421	19.342105263157894	120.19736842105264	102.85087719298247	102.85087719298247	102.85087719298247	102.85087719298247	68.15789473684211	131.25	124.3421052631579	124.3421052631579	124.3421052631579	124.3421052631579	44.21052631578947	721.1842105263158	925.6578947368422	925.6578947368422	925.6578947368422	925.6578947368422	204.47368421052633
98.513__6.8_3090	138.6	139.04	132.0	51.03999999999999	64.24	46.199999999999996	89.32	38.72	71.27999999999999	95.11333333333333	85.60444444444444	85.60444444444444	85.60444444444444	85.60444444444444	66.58666666666666	101.63999999999999	71.27999999999999	71.27999999999999	71.27999999999999	71.27999999999999	64.24	570.68	770.4399999999999	770.4399999999999	770.4399999999999	770.4399999999999	199.76
98.513__3.11_2260	163.74846625766872	131.04907975460122	124.76073619631902	76.21472392638037	69.67484662576688	89.04294478527608	49.5521472392638	82.0	133.06134969325154	118.47239263803681	102.12269938650307	102.12269938650307	102.12269938650307	102.12269938650307	69.42331288343559	127.90490797546012	89.04294478527608	89.04294478527608	89.04294478527608	89.04294478527608	69.67484662576688	710.8343558282209	919.1042944785277	919.1042944785277	919.1042944785277	919.1042944785277	208.26993865030676
98.513__10.04_5	67.5	48.0	43.5	75.0	72.0	91.5	73.5	117.0	51.0	67.0	71.0	71.0	71.0	71.0	79.0	59.25	72.0	72.0	72.0	72.0	73.5	402.0	639.0	639.0	639.0	639.0	237.0
98.513__1.96_2602	113.36334405144694	133.92926045016077	151.81993569131834	42.30225080385852	43.47266881028939	58.855305466237944	52.0	39.29260450160772	117.20900321543408	99.65273311897107	83.5827081100393	83.5827081100393	83.5827081100393	83.5827081100393	51.442658092175776	115.28617363344051	58.855305466237944	58.855305466237944	58.855305466237944	58.855305466237944	52.0	597.9163987138264	752.2443729903538	752.2443729903538	752.2443729903538	752.2443729903538	154.32797427652733
