index	V8-arm-healthy-BD3	V8-arm-healthy-BE3	V8-arm-healthy-BD4	V8-arm-healthy-BE4	V8-arm-healthy-BE5	V8-arm-healthy-BD6	V8-arm-healthy-BE7	V8-arm-healthy-BD5	V8-arm-healthy-BD8	V8-arm-healthy-BE8	V8-arm-psoriasis-BE10	V8-arm-psoriasis-BE9	V8-arm-healthy-BD7	V8-arm-healthy-BE6	V8-arm-psoriasis-BD10	V8-arm-psoriasis-BD9	GROUP_MEAN_DESCRIPTION_2_healthy	GROUP_MEAN_Sex_female	GROUP_MEAN_DESCRIPTION_arm	GROUP_MEAN_Body_side_right	GROUP_MEAN_Body_side_left	GROUP_MEAN_Batch_3	GROUP_MEAN_DESCRIPTION_2_psoriasis	GROUP_MEDIAN_DESCRIPTION_2_healthy	GROUP_MEDIAN_Sex_female	GROUP_MEDIAN_DESCRIPTION_arm	GROUP_MEDIAN_Body_side_right	GROUP_MEDIAN_Body_side_left	GROUP_MEDIAN_Batch_3	GROUP_MEDIAN_DESCRIPTION_2_psoriasis	GROUP_SUM_DESCRIPTION_2_healthy	GROUP_SUM_Sex_female	GROUP_SUM_DESCRIPTION_arm	GROUP_SUM_Body_side_right	GROUP_SUM_Body_side_left	GROUP_SUM_Batch_3	GROUP_SUM_DESCRIPTION_2_psoriasis
954.78__10.01_3173	1774.4064886626013	767.7720383636256	1467.297673317151	767.7720383636256	784.8336392161506	580.0944289858504	2456.870522763602	528.9096264282754	921.3264460363507	818.9568409212006	341.23201705050025	375.3552187555503	1006.6344502989758	1040.7576520040259	614.2176306909005	733.6488366585755	1076.3026537801195	936.2553467823102	936.2553467823102	919.193745929785	953.3169476348351	936.2553467823102	516.1134257888816	870.1416434787757	776.302838789888	776.302838789888	776.302838789888	827.4876413474631	776.302838789888	494.7864247232254	12915.631845361433	14980.085548516963	14980.085548516963	7353.54996743828	7626.5355810786805	14980.085548516963	2064.4537031555265
953.674__8.39_629	670.2631390148828	403.365564740488	1059.1365277766706	1140.05117699108	884.0227347007103	987.8833292147282	1638.8235669246774	391.28875142490455	968.5604279097946	510.84920324918096	600.2176217844986	375.58889411464605	1393.664256618333	1292.2190247674316	333.32004751010385	568.8179071639817	945.0106419444068	826.129510869132	826.129510869132	855.6422234090892	796.6167983291748	826.129510869132	469.4861176433076	978.2218785622614	777.1429368577965	777.1429368577965	742.1201782426044	819.4117834623387	777.1429368577965	472.2034006393138	11340.12770333288	13218.072173906112	13218.072173906112	6845.1377872727135	6372.934386633398	13218.072173906112	1877.9444705732303
933.427__5.47_4312	1086.9767133870432	5555.658757311555	1026.5891181988743	754.8449398521134	951.1046242136629	573.6821542876062	332.1317735349299	603.8759518816908	634.0697494757753	528.3914578964794	618.972850678733	875.6201302284516	664.2635470698598	573.6821542876062	800.1356362432402	513.2945590994372	1107.1059117830998	1005.8308823529412	1005.8308823529412	1273.8008360004414	737.8609287054409	1005.8308823529412	702.0057940624655	649.1666482728176	649.1666482728176	649.1666482728176	686.9088952654232	649.1666482728176	649.1666482728176	709.5542434609866	13285.270941397197	16093.29411764706	16093.29411764706	10190.406688003532	5902.887429643527	16093.29411764706	2808.023176249862
919.596__8.0_3571	1427.107289612696	573.8160560317715	579.7623364051577	663.010261632565	597.6011775253164	978.1631214220354	225.95865418867686	330.01856072293594	371.64252333663956	573.8160560317715	850.3180933942313	585.708616778544	3600.472766085364	338.9379812830153	1691.7167662283832	880.0494952611625	855.0255653564955	891.7562347462666	891.7562347462666	551.1458621082364	1232.366607384297	891.7562347462666	1001.9482429155803	576.7891962184647	591.6548971519302	591.6548971519302	579.7623364051577	929.106308341599	591.6548971519302	865.1837943276969	10260.306784277946	14268.099755940266	14268.099755940266	4409.166896865891	9858.932859074375	14268.099755940266	4007.792971662321
910.651__8.37_1805	3374.746014132366	3984.6825967216128	502.37024728765516	663.1287264197048	948.0022078228221	398.3500549080936	1338.077929246178	334.5194823115445	633.577535402784	627.6672971993997	775.4232522840042	165.48666969475698	1678.5076497611067	1819.17131900165	628.8493448400766	379.43729265726427	1358.5667550179098	1140.7498512306888	1140.7498512306888	1290.204999798766	991.2947026626114	1140.7498512306888	487.29913986902545	805.5654671212635	648.3531309112443	648.3531309112443	861.7127300534132	565.6097960638658	648.3531309112443	504.1433187486704	16302.801060214917	18251.99761969102	18251.99761969102	10321.639998390128	7930.357621300891	18251.99761969102	1949.1965594761018
909.648__8.42_423	256.9184341467658	183.20646000437893	854.4863798641735	900.2879948652683	898.1410441620919	533.8750748565104	1477.102083785305	453.72224860459465	1077.7692529945105	596.8522954830157	545.3254786067841	453.72224860459465	1902.9139732486076	1694.659755040505	706.3467813450078	516.6994692310999	902.4945830879773	815.7518109277007	815.7518109277007	843.662170068993	787.8414517864088	815.7518109277007	555.5234944468716	876.3137120131328	651.5995384140117	651.5995384140117	747.4966698225538	620.1109281007591	651.5995384140117	531.0124739189421	10829.934997055727	13052.028974843211	13052.028974843211	6749.297360551944	6302.7316142912705	13052.028974843211	2222.0939777874864
909.647__8.12_1748	422.523597248617	564.7487995384856	403.12238865599693	406.8969428568958	423.8069456769226	2364.833697947146	1979.9046605394817	588.3020177520945	546.3289750380992	340.16282458500416	382.89077813917913	188.95418329699632	3423.445169131237	1508.6138230152515	1340.042232403109	524.1345963368141	1081.0574868321025	963.0444770100833	963.0444770100833	724.497369706027	1201.5915843141393	963.0444770100833	609.0054475440246	555.5388872882925	535.2317856874566	535.2317856874566	415.3519442669092	567.3154963950968	535.2317856874566	453.5126872379966	12972.689841985231	15408.711632161332	15408.711632161332	5795.978957648216	9612.732674513114	15408.711632161332	2436.0217901760984
906.633__10.01_4702	1687.521590603769	16868.18456607684	639.8519364372625	499.2251372202817	527.3504970636778	928.136874832073	457.03709745518745	2460.968986297163	956.2622346754691	1778.9290100948065	639.8519364372625	393.7550378075461	963.2935746363182	738.290695889149	900.0115149886768	576.569876789621	2375.4210167735	1938.452535456569	1938.452535456569	2737.8279972555943	1139.0770736575441	1938.452535456569	627.5470915057766	942.199554753771	819.151105438913	819.151105438913	583.6012167504701	942.199554753771	819.151105438913	608.2109066134417	28505.052201282	31015.240567305103	31015.240567305103	21902.623978044754	9112.616589260353	31015.240567305103	2510.1883660231065
905.398__4.79_2102	881.9511778491562	4860.11393750918	1263.504524294536	356.5334548751908	362.788427767738	237.68896991679387	1776.412301483407	437.8481024783045	1582.5081418144434	550.4376145441543	750.5967471056649	1175.934903798875	237.68896991679387	1682.5877080951986	562.9475603292486	356.5334548751908	1185.8386108787415	1067.2547497908672	1067.2547497908672	1439.425636897426	695.0838626843084	1067.2547497908672	711.5031665272448	716.1943961966552	656.7721537174568	656.7721537174568	963.26582545227	500.39783140377654	656.7721537174568	656.7721537174568	14230.063330544897	17076.075996653875	17076.075996653875	11515.405095179409	5560.670901474467	17076.075996653875	2846.0126661089794
904.692__8.41_246	162.62926058457134	134.02346230585195	727.85864509186	945.0508172080628	987.4297776209803	784.0107676389758	1758.726857136081	378.76195869045114	1002.7921507706629	660.0523084311918	507.4880509446884	432.7951332169211	1677.6770953463758	1769.8513342444717	376.6430106698053	445.5088213407964	915.7387029224615	796.9562157026091	796.9562157026091	899.4272176385311	694.4852137666874	796.9562157026091	440.6087540430528	864.5307924235193	693.9554767615259	693.9554767615259	802.5515628196273	586.6837332163282	693.9554767615259	439.15197727885874	10988.864435069538	12751.299451241746	12751.299451241746	7195.417741108249	5555.881710133499	12751.299451241746	1762.4350161722111
