#SampleID	V7-arm-healthy-BA7	V7-arm-healthy-BB3	V7-arm-healthy-BB7	V7-arm-healthy-BB6	V7-arm-psoriasis-BB9	V7-arm-healthy-BA5	V7-arm-healthy-BA3	V7-arm-healthy-BA4	V7-arm-healthy-BB4	V7-arm-healthy-BA6	V7-arm-healthy-BA8	V7-arm-healthy-BB8	V7-arm-psoriasis-BB10	V7-arm-psoriasis-BA10	V7-arm-psoriasis-BA9	V7-arm-healthy-BB12
955.525__7.06_3916	14637.885881892847	1161.0111849824013	1063.5975752835352	510.9244427062965	1435.3597184200235	1809.1098944075088	1568.5579194368402	1383.6708642940948	1359.8144700821276	3164.948298787642	3840.879468126711	278.3245991396168	906.5429800547518	3498.937817755182	1552.653656628862	7.952131403989051
954.678__8.37_2186	4965.108946697096	4115.511550509962	331.1008439911447	514.9872692708053	313.37896521896363	5201.810080000781	3344.8730201394756	6292.495213148082	1661.6454650747962	2651.789642415564	4072.522834676454	1049.626522922643	622.7222550739652	1590.5824858398125	1161.5726482360244	3.333818778925145
953.674__8.39_629	4996.302737520128	4119.136876006441	348.1266774020397	538.1084272678476	277.27321524422973	5263.184111647879	3610.881374127751	6059.388083735909	1658.3488996242618	2762.3403113258178	4150.501341921631	1019.5340848094472	710.8019323671498	1635.2979066022544	1192.6054750402575	0.3778851315083199
952.672__6.62_2982	12181.613603432028	1642.8940458366249	725.0202406045349	1710.2108561311486	814.169529913499	2834.5835253748187	2370.643346317965	2116.840777775097	405.720235018347	3542.3197200929217	1983.1168438116515	919.6931784832933	960.6290766353688	2418.8567374748536	1670.184644604675	3.6387465024067
948.718__8.39_340	5567.928198305392	3006.8432303673158	402.7650836374894	545.8264437909046	292.35361578389546	5570.60748336053	3518.586675898673	6457.2639097468955	1843.721971663569	2890.2631759914266	4280.313647969884	942.0490871774756	663.652677262206	1816.0567957454	1103.1177352596092	0.934634321559768
945.588__8.23_4782	2645.185092977943	836.2182978771809	182.97380561979062	365.2474563711381	260.3409185827506	9551.86279273467	4250.6402063179185	10685.763602178233	2628.848146047604	3512.9103599350624	7190.707191388469	937.3906763672056	312.7358412379075	2092.646209298281	1277.315864996319	0.7001548684430764
940.632__8.28_4703	2360.515140030371	852.4260920074292	343.41190591895304	362.6866620977529	290.0850804909397	10473.420638655442	4626.262728848308	11794.06268283955	2729.1448519499204	3831.018413504653	7919.033576059972	954.2610538187556	515.7603507510561	2005.5383804041378	1363.8496226182554	0.8031148407833325
939.599__7.91_3785	1040.2867939486027	3788.3010239809737	349.8309572570522	543.1585915306863	837.7530818524147	34403.112822884315	3507.5156503930766	44331.86775450882	1785.9790975754772	1845.8186034220785	36354.801321265775	911.4017044328467	842.3561207636916	1325.6752064477769	1132.3475721741431	50.63342802404704
936.681__7.2_2484	9444.667130694792	3304.751640735643	766.1115377956207	1328.2941050988825	432.10895369191854	2269.6743256419904	1815.5189967617086	1858.509428379017	616.1961865147513	2578.3235782790757	3263.965846637171	1087.9886155457234	585.3312612510427	2156.1354934219203	1602.771476194004	6.613912556508957
931.69__8.48_3471	4310.868610689462	13653.51122473436	567.9860669489493	274.8906926579851	185.68775265638732	6986.956810737396	4150.667412319245	10398.514148757688	1172.381497163857	2759.829735559639	6016.647279699609	309.4795877606455	285.8135016377726	1474.5792122713108	1161.4586881840696	38.22983142925621
929.491__6.01_4603	16582.764940937424	828.4572135541043	290.0401463313208	914.1873120553513	800.4146579695844	2625.5844185849132	1932.532687710348	1318.8013283462822	776.3781817542815	3615.086022781546	3955.602769165003	430.2529242539207	261.99759074680094	3523.7474131633953	1349.2475315523322	4.006079369217138
927.494__6.39_3864	13927.458809840136	271.9158916647129	665.767160757548	1105.9538732730698	1191.3086374727554	2181.423902189109	2411.88176552826	1664.4179018938705	1091.3216279816952	5031.053672684328	3511.7388699299236	790.1412457342329	653.5736230147359	3644.6484313265773	1874.1467510702407	3.6580613228436714
927.133__10.01_6149	5606.067598598073	485.6741731458728	2012.078717318616	2150.842766788865	666.0674374571969	1457.0225194376185	388.53933851669814	2025.955122265641	832.5842968214963	888.089916609596	1248.8764452322446	2525.5057003585384	2664.269749828788	2192.47198162994	1026.8539660798453	7396.123836764291
925.623__8.48_2415	4724.843784846324	2261.855091985535	106.85222546497765	428.30681972096085	354.67755511484177	3404.006611241431	2725.180708287455	3416.577461296134	1481.5644707328836	2502.497078746997	2840.114194501885	1058.645158178224	1082.8889404265803	1727.5939646606469	1163.701547921101	6.285425027351628
