index	V14-arm-healthy-BD5	V14-arm-healthy-BC4	V14-arm-healthy-BC9	V14-arm-healthy-BD1	V14-arm-healthy-BC6	V14-arm-healthy-BC5	V14-arm-healthy-BC3	V14-arm-psoriasis-BC7	V14-arm-healthy-BD2	V14-arm-psoriasis-BD4	V14-arm-healthy-BC2	V14-arm-psoriasis-BC8	V14-arm-healthy-BC10	V14-arm-healthy-BD3	V14-arm-psoriasis-BC11	V14-arm-psoriasis-BC12	GROUP_MEAN_DESCRIPTION_2_healthy	GROUP_MEAN_Sex_female	GROUP_MEAN_DESCRIPTION_arm	GROUP_MEAN_Batch_4	GROUP_MEAN_Body_side_left	GROUP_MEAN_DESCRIPTION_2_psoriasis	GROUP_MEDIAN_DESCRIPTION_2_healthy	GROUP_MEDIAN_Sex_female	GROUP_MEDIAN_DESCRIPTION_arm	GROUP_MEDIAN_Batch_4	GROUP_MEDIAN_Body_side_left	GROUP_MEDIAN_DESCRIPTION_2_psoriasis	GROUP_SUM_DESCRIPTION_2_healthy	GROUP_SUM_Sex_female	GROUP_SUM_DESCRIPTION_arm	GROUP_SUM_Batch_4	GROUP_SUM_Body_side_left	GROUP_SUM_DESCRIPTION_2_psoriasis
98.512__5.67_2114	8.181818181818182	3.6363636363636362	1.8181818181818181	4.363636363636363	10.0	9.090909090909092	8.181818181818182	5.454545454545454	3.8181818181818183	5.2727272727272725	7.636363636363637	6.545454545454546	20.545454545454547	7.636363636363637	24.181818181818183	39.81818181818182	7.719008264462811	10.386363636363637	10.386363636363637	10.386363636363637	10.386363636363637	16.254545454545458	7.636363636363637	7.636363636363637	7.636363636363637	7.636363636363637	7.636363636363637	6.545454545454546	84.90909090909092	166.1818181818182	166.1818181818182	166.1818181818182	166.1818181818182	81.27272727272728
98.512__2.39_1840	4.990619136960601	3.151969981238274	6.829268292682928	7.354596622889306	3.414634146341464	10.24390243902439	5.5159474671669795	4.727954971857411	5.253283302063791	9.193245778611633	16.54784240150094	8.667917448405253	29.681050656660414	31.78236397748593	26.26641651031895	28.630393996247655	11.342316220365001	12.640712945590995	12.640712945590995	12.640712945590995	12.640712945590995	15.49718574108818	6.829268292682928	8.01125703564728	8.01125703564728	8.01125703564728	8.01125703564728	9.193245778611633	124.76547842401501	202.2514071294559	202.2514071294559	202.2514071294559	202.2514071294559	77.4859287054409
98.512__1.43_3070	6.8999999999999995	2.1	7.5	3.0	4.8	7.199999999999999	5.7	6.0	3.5999999999999996	9.0	9.299999999999999	6.0	24.599999999999998	8.7	12.899999999999999	19.2	7.581818181818181	8.53125	8.53125	8.53125	8.53125	10.62	6.8999999999999995	7.049999999999999	7.049999999999999	7.049999999999999	7.049999999999999	9.0	83.39999999999999	136.5	136.5	136.5	136.5	53.099999999999994
98.013__3.33_3707	17.217391304347824	5.739130434782608	51.65217391304348	5.739130434782608	11.478260869565217	5.739130434782608	5.739130434782608	11.478260869565217	5.739130434782608	5.739130434782608	5.739130434782608	5.739130434782608	11.478260869565217	11.478260869565217	17.217391304347824	22.956521739130434	12.521739130434781	12.554347826086955	12.554347826086955	12.554347826086955	12.554347826086955	12.626086956521737	5.739130434782608	8.608695652173912	8.608695652173912	8.608695652173912	8.608695652173912	11.478260869565217	137.7391304347826	200.86956521739128	200.86956521739128	200.86956521739128	200.86956521739128	63.13043478260869
98.013__0.85_3287	2.896551724137931	2.896551724137931	39.10344827586207	5.793103448275862	8.689655172413794	2.896551724137931	4.344827586206897	5.793103448275862	2.896551724137931	11.586206896551724	26.06896551724138	15.931034482758621	4.344827586206897	13.03448275862069	7.241379310344827	8.689655172413794	10.26959247648903	10.13793103448276	10.13793103448276	10.13793103448276	10.13793103448276	9.848275862068965	4.344827586206897	6.517241379310345	6.517241379310345	6.517241379310345	6.517241379310345	8.689655172413794	112.96551724137933	162.20689655172416	162.20689655172416	162.20689655172416	162.20689655172416	49.241379310344826
979.617__7.57_3001	9.891304347826088	29.67391304347826	2.282608695652174	9.130434782608695	2.282608695652174	22.82608695652174	10.652173913043478	2.282608695652174	5.326086956521739	1.5217391304347827	6.8478260869565215	8.369565217391305	12.173913043478262	7.608695652173913	3.8043478260869565	5.326086956521739	10.790513833992094	8.75	8.75	8.75	8.75	4.260869565217392	9.130434782608695	7.228260869565217	7.228260869565217	7.228260869565217	7.228260869565217	3.8043478260869565	118.69565217391303	140.0	140.0	140.0	140.0	21.304347826086957
978.691__7.53_4572	5.6000000000000005	36.400000000000006	8.4	16.8	2.8000000000000003	25.200000000000003	25.200000000000003	2.8000000000000003	2.8000000000000003	2.8000000000000003	2.8000000000000003	2.8000000000000003	19.6	8.4	5.6000000000000005	14.000000000000002	14.000000000000002	11.375	11.375	11.375	11.375	5.6	8.4	7.0	7.0	7.0	7.0	2.8000000000000003	154.00000000000003	182.0	182.0	182.0	182.0	28.0
975.718__8.45_3720	5.0	17.5	2.5	30.0	5.0	10.0	2.5	7.5	7.5	2.5	2.5	7.5	10.0	15.0	2.5	10.0	9.772727272727273	8.59375	8.59375	8.59375	8.59375	6.0	7.5	7.5	7.5	7.5	7.5	7.5	107.5	137.5	137.5	137.5	137.5	30.0
974.658__7.53_3150	21.48837209302326	42.97674418604652	10.74418604651163	14.325581395348838	3.5813953488372094	46.55813953488372	7.162790697674419	10.74418604651163	3.5813953488372094	3.5813953488372094	7.162790697674419	3.5813953488372094	10.74418604651163	3.5813953488372094	3.5813953488372094	3.5813953488372094	15.627906976744187	12.311046511627907	12.311046511627907	12.311046511627907	12.311046511627907	5.013953488372093	10.74418604651163	7.162790697674419	7.162790697674419	7.162790697674419	7.162790697674419	3.5813953488372094	171.90697674418607	196.97674418604652	196.97674418604652	196.97674418604652	196.97674418604652	25.069767441860463
973.655__5.42_3754	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	7.0	77.0	112.0	112.0	112.0	112.0	35.0
