index	V22-back-psoriasis-BB10	V22-back-healthy-BB4	V22-back-healthy-BB3	V22-back-psoriasis-BB1	V22-back-healthy-BA1	V22-back-healthy-BB8	V22-back-psoriasis-BB5	V22-back-psoriasis-BA8	V22-back-healthy-BA6	V22-back-psoriasis-BC3	V22-back-healthy-BA2	V22-back-psoriasis-BB2	V22-back-healthy-BA5	V22-back-psoriasis-BA7	V22-back-psoriasis-BC4	V22-back-healthy-BC5	V22-back-healthy-BA11	V22-back-healthy-BC1	V22-back-psoriasis-BB11	V22-back-healthy-BC2	V22-back-psoriasis-BB7	V22-back-psoriasis-BB12	V22-back-healthy-BA10	V22-back-psoriasis-BA9	V22-back-healthy-BA3	V22-back-healthy-BB9	V22-back-psoriasis-BA12	V22-back-healthy-BA4	V22-back-healthy-BC6	V22-back-psoriasis-BB6	GROUP_MEAN_DESCRIPTION_2_healthy	GROUP_MEAN_Sex_female	GROUP_MEAN_Batch_4	GROUP_MEAN_DESCRIPTION_back	GROUP_MEAN_Body_side_middle	GROUP_MEAN_DESCRIPTION_2_psoriasis	GROUP_MEDIAN_DESCRIPTION_2_healthy	GROUP_MEDIAN_Sex_female	GROUP_MEDIAN_Batch_4	GROUP_MEDIAN_DESCRIPTION_back	GROUP_MEDIAN_Body_side_middle	GROUP_MEDIAN_DESCRIPTION_2_psoriasis	GROUP_SUM_DESCRIPTION_2_healthy	GROUP_SUM_Sex_female	GROUP_SUM_Batch_4	GROUP_SUM_DESCRIPTION_back	GROUP_SUM_Body_side_middle	GROUP_SUM_DESCRIPTION_2_psoriasis
545.334_C28H48O10_6.36_1609	1.0	11.0	8.0	3.0	1.0	2.0	6.0	2.0	2.0	4.0	1.0	4.0	4.0	3.0	15.0	10.0	3.0	9.0	7.0	6.0	2.0	7.0	4.0	5.0	5.0	1.0	2.0	7.0	7.0	11.0	5.0625	5.1	5.1	5.1	5.1	5.142857142857143	4.5	4.0	4.0	4.0	4.0	4.0	81.0	153.0	153.0	153.0	153.0	72.0
544.405__2.52_6341	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	64.0	120.0	120.0	120.0	120.0	56.0
544.368_C25H55BN4O3Se_4.46_4174	3.4482758620689657	4.827586206896552	5.517241379310345	4.827586206896552	2.0689655172413794	7.586206896551724	2.7586206896551726	2.7586206896551726	5.517241379310345	6.206896551724138	0.6896551724137931	0.6896551724137931	3.4482758620689657	2.0689655172413794	4.827586206896552	9.655172413793103	3.4482758620689657	8.275862068965518	21.379310344827587	2.0689655172413794	2.7586206896551726	8.275862068965518	2.0689655172413794	2.7586206896551726	4.827586206896552	11.03448275862069	3.4482758620689657	0.6896551724137931	13.793103448275863	1.3793103448275863	5.344827586206897	5.1034482758620685	5.1034482758620685	5.1034482758620685	5.1034482758620685	4.8275862068965525	4.827586206896552	3.4482758620689657	3.4482758620689657	3.4482758620689657	3.4482758620689657	3.1034482758620694	85.51724137931035	153.10344827586206	153.10344827586206	153.10344827586206	153.10344827586206	67.58620689655173
544.34_C20H41N13O5_5.79_2987	3.0	3.0	3.0	3.0	3.0	3.0	6.0	3.0	3.0	3.0	3.0	6.0	3.0	3.0	3.0	3.0	3.0	3.0	12.0	3.0	3.0	12.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	6.0	3.0	3.9	3.9	3.9	3.9	4.928571428571429	3.0	3.0	3.0	3.0	3.0	3.0	48.0	117.0	117.0	117.0	117.0	69.0
543.891__7.21_4407	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	8.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	12.0	4.0	4.75	4.4	4.4	4.4	4.4	4.0	4.0	4.0	4.0	4.0	4.0	4.0	76.0	132.0	132.0	132.0	132.0	56.0
543.512__6.14_4875	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	64.0	120.0	120.0	120.0	120.0	56.0
543.388__7.41_2562	4.0	8.88888888888889	4.888888888888889	1.3333333333333333	2.2222222222222223	5.333333333333333	7.111111111111111	1.7777777777777777	7.111111111111111	6.222222222222222	1.3333333333333333	0.8888888888888888	8.88888888888889	0.8888888888888888	5.777777777777778	5.333333333333333	4.888888888888889	3.5555555555555554	5.777777777777778	23.11111111111111	4.0	3.111111111111111	2.2222222222222223	1.7777777777777777	0.8888888888888888	4.888888888888889	3.5555555555555554	2.6666666666666665	24.0	3.5555555555555554	6.888888888888888	5.333333333333332	5.333333333333332	5.333333333333332	5.333333333333332	3.5555555555555562	4.888888888888889	4.0	4.0	4.0	4.0	3.5555555555555554	110.22222222222221	159.99999999999997	159.99999999999997	159.99999999999997	159.99999999999997	49.777777777777786
543.383_C26H50N6O6_7.87_1792	7.656249999999999	5.468749999999999	4.375	1.6406249999999998	1.09375	5.468749999999999	3.8281249999999996	1.09375	1.6406249999999998	4.921875	1.6406249999999998	1.09375	10.937499999999998	1.09375	7.656249999999999	22.421874999999996	8.203125	4.921875	5.468749999999999	30.624999999999996	5.468749999999999	7.109374999999999	3.2812499999999996	4.375	1.6406249999999998	4.921875	3.2812499999999996	4.375	24.062499999999996	4.921875	8.4423828125	6.489583333333333	6.489583333333333	6.489583333333333	6.489583333333333	4.2578125	4.921875	4.921875	4.921875	4.921875	4.921875	4.6484375	135.078125	194.6875	194.6875	194.6875	194.6875	59.609375
543.368_C26H55O9P_7.54_3058	3.333333333333333	8.88888888888889	3.333333333333333	2.2222222222222223	3.333333333333333	4.444444444444445	2.2222222222222223	2.2222222222222223	4.444444444444445	6.666666666666666	8.88888888888889	5.555555555555555	4.444444444444445	4.444444444444445	11.11111111111111	4.444444444444445	3.333333333333333	5.555555555555555	2.2222222222222223	4.444444444444445	2.2222222222222223	10.0	4.444444444444445	1.1111111111111112	3.333333333333333	1.1111111111111112	2.2222222222222223	3.333333333333333	3.333333333333333	2.2222222222222223	4.444444444444445	4.296296296296296	4.296296296296296	4.296296296296296	4.296296296296296	4.126984126984127	4.444444444444445	3.333333333333333	3.333333333333333	3.333333333333333	3.333333333333333	2.2222222222222223	71.11111111111111	128.88888888888889	128.88888888888889	128.88888888888889	128.88888888888889	57.77777777777778
543.367_C28H50N2O8_6.69_1688	2.3076923076923075	9.807692307692307	7.5	2.8846153846153846	2.3076923076923075	3.4615384615384612	1.7307692307692306	3.4615384615384612	4.615384615384615	1.7307692307692306	0.5769230769230769	1.1538461538461537	5.769230769230769	5.769230769230769	5.1923076923076925	5.769230769230769	0.5769230769230769	2.3076923076923075	9.23076923076923	1.7307692307692306	2.8846153846153846	2.8846153846153846	7.5	4.615384615384615	4.615384615384615	0.5769230769230769	4.038461538461538	4.038461538461538	1.7307692307692306	2.8846153846153846	3.9302884615384617	3.788461538461538	3.788461538461538	3.788461538461538	3.788461538461538	3.626373626373627	3.75	3.173076923076923	3.173076923076923	3.173076923076923	3.173076923076923	2.8846153846153846	62.88461538461539	113.65384615384613	113.65384615384613	113.65384615384613	113.65384615384613	50.769230769230774
542.889__8.11_3868	4.715025906735751	10.155440414507773	3.626943005181347	1.8134715025906736	3.2642487046632125	6.528497409326425	12.694300518134716	3.626943005181347	3.626943005181347	3.989637305699482	6.16580310880829	3.2642487046632125	11.968911917098445	5.4404145077720205	6.89119170984456	4.352331606217617	7.616580310880829	1.8134715025906736	4.352331606217617	2.901554404145078	3.626943005181347	6.89119170984456	2.538860103626943	2.901554404145078	7.979274611398964	10.155440414507773	2.1761658031088085	2.538860103626943	5.077720207253886	5.077720207253886	5.644430051813471	5.259067357512953	5.259067357512953	5.259067357512953	5.259067357512953	4.818652849740934	4.715025906735752	4.352331606217617	4.352331606217617	4.352331606217617	4.352331606217617	4.17098445595855	90.31088082901553	157.77202072538861	157.77202072538861	157.77202072538861	157.77202072538861	67.46113989637307
542.565_C38H71N_9.4_445	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	64.0	120.0	120.0	120.0	120.0	56.0
