index	V11-arm-healthy-BF3	V11-arm-healthy-BH1	V11-arm-healthy-BF4	V11-arm-healthy-BH2	V11-arm-healthy-BF5	V11-arm-healthy-BH3	V11-arm-psoriasis-BF11	V11-arm-healthy-BF6	V11-arm-psoriasis-BH5	V11-arm-healthy-BH4	V11-arm-healthy-BF8	V11-arm-psoriasis-BF9	V11-arm-psoriasis-BF10	V11-arm-healthy-BF7	V11-arm-healthy-BF12	GROUP_MEAN_DESCRIPTION_2_healthy	GROUP_MEAN_DESCRIPTION_arm	GROUP_MEAN_Sex_male	GROUP_MEAN_Body_side_right	GROUP_MEAN_Body_side_left	GROUP_MEAN_Batch_3	GROUP_MEAN_DESCRIPTION_2_psoriasis	GROUP_MEDIAN_DESCRIPTION_2_healthy	GROUP_MEDIAN_DESCRIPTION_arm	GROUP_MEDIAN_Sex_male	GROUP_MEDIAN_Body_side_right	GROUP_MEDIAN_Body_side_left	GROUP_MEDIAN_Batch_3	GROUP_MEDIAN_DESCRIPTION_2_psoriasis	GROUP_SUM_DESCRIPTION_2_healthy	GROUP_SUM_DESCRIPTION_arm	GROUP_SUM_Sex_male	GROUP_SUM_Body_side_right	GROUP_SUM_Body_side_left	GROUP_SUM_Batch_3	GROUP_SUM_DESCRIPTION_2_psoriasis
967.688__8.07_678	358.6440677966102	1593.6271186440679	552.0	2024.0000000000002	221.42372881355934	842.0338983050848	112.27118644067798	146.5762711864407	168.40677966101697	424.135593220339	1066.5762711864406	143.45762711864407	645.5593220338983	2245.4237288135596	221.42372881355934	881.442218798151	717.7039548022599	717.7039548022599	1010.4406779661018	571.3355932203391	717.7039548022599	267.42372881355936	552.0	424.135593220339	424.135593220339	842.0338983050848	290.0338983050848	424.135593220339	155.93220338983053	9695.864406779661	10765.559322033898	10765.559322033898	5052.203389830509	5713.355932203391	10765.559322033898	1069.6949152542375
964.583__5.02_189	291.96999999999997	227.465	162.96	339.5	322.525	74.69	1636.3899999999999	1347.815	353.08	342.895	2434.215	1310.47	196.91	614.495	166.355	574.9895454545454	654.7823333333333	654.7823333333333	267.52599999999995	848.4105	654.7823333333333	874.2124999999999	322.525	339.5	339.5	339.5	468.51	339.5	831.775	6324.884999999999	9821.735	9821.735	1337.6299999999999	8484.105	9821.735	3496.8499999999995
959.965__0.81_1674	691.1486486486486	590.8783783783783	2316.959459459459	249.48198198198196	415.40540540540536	1000.3153153153153	198.15315315315314	168.3108108108108	265.0	267.3873873873874	288.87387387387383	96.68918918918918	167.11711711711712	841.5540540540541	514.4819819819819	667.7088452088452	538.1171171171171	538.1171171171171	474.6126126126126	569.8693693693693	538.1171171171171	181.73986486486487	514.4819819819819	288.87387387387383	288.87387387387383	267.3873873873874	352.1396396396396	288.87387387387383	182.63513513513513	7344.7972972972975	8071.756756756757	8071.756756756757	2373.063063063063	5698.693693693694	8071.756756756757	726.9594594594595
956.655__7.73_4299	461.37179487179486	490.3888888888889	1410.2307692307693	339.5	1088.1410256410256	591.9487179487179	104.46153846153847	342.4017094017094	220.52991452991452	1146.1752136752136	397.53418803418805	278.56410256410254	142.18376068376068	191.51282051282053	980.7777777777778	676.3620823620823	545.7148148148149	545.7148148148149	557.708547008547	539.7179487179486	545.7148148148149	186.43482905982904	490.3888888888889	397.53418803418805	397.53418803418805	490.3888888888889	369.96794871794873	397.53418803418805	181.3568376068376	7439.982905982906	8185.722222222223	8185.722222222223	2788.5427350427353	5397.179487179486	8185.722222222223	745.7393162393162
955.525__7.06_3916	963.6666666666666	290.0833333333333	186.83333333333331	196.66666666666666	240.91666666666666	295.0	206.5	393.3333333333333	339.25	378.5833333333333	295.0	393.3333333333333	235.99999999999997	545.75	501.49999999999994	389.75757575757575	364.16111111111115	364.16111111111115	299.91666666666663	396.2833333333333	364.16111111111115	293.7708333333333	295.0	295.0	295.0	295.0	344.16666666666663	295.0	287.625	4287.333333333333	5462.416666666667	5462.416666666667	1499.5833333333333	3962.833333333333	5462.416666666667	1175.0833333333333
954.678__8.37_2186	300.41379310344826	246.4331896551724	253.47413793103448	532.7650862068965	790.9331896551724	302.76077586206895	61.02155172413793	793.2801724137931	185.41163793103448	628.9913793103449	544.5	1067.8771551724137	272.25	805.0150862068965	105.61422413793103	482.198275862069	459.3827586206897	459.3827586206897	379.27241379310345	499.4379310344827	459.3827586206897	396.6400862068965	532.7650862068965	302.76077586206895	302.76077586206895	302.76077586206895	422.4568965517241	302.76077586206895	228.83081896551724	5304.181034482759	6890.741379310345	6890.741379310345	1896.3620689655172	4994.379310344827	6890.741379310345	1586.560344827586
953.674__8.39_629	383.64406779661016	251.5	418.8114406779661	825.9004237288136	126.8156779661017	378.3156779661017	135.34110169491527	335.6885593220339	233.3834745762712	564.8093220338983	579.728813559322	1245.7775423728813	468.89830508474574	928.2055084745763	43.692796610169495	439.7374807395994	461.3675141242938	461.3675141242938	450.781779661017	466.66038135593215	461.3675141242938	520.8501059322034	383.64406779661016	383.64406779661016	383.64406779661016	378.3156779661017	401.22775423728814	383.64406779661016	351.14088983050846	4837.112288135593	6920.512711864407	6920.512711864407	2253.908898305085	4666.603813559322	6920.512711864407	2083.4004237288136
948.718__8.39_340	96.05940594059405	96.05940594059405	470.69108910891083	423.5346534653465	548.4118811881187	208.71089108910888	227.04950495049502	816.5049504950495	221.80990099009898	440.99999999999994	967.5801980198019	1601.5722772277227	550.1584158415841	1442.637623762376	41.91683168316831	504.827902790279	543.579801980198	543.579801980198	278.22297029702963	676.2582178217821	543.579801980198	650.1475247524752	440.99999999999994	440.99999999999994	440.99999999999994	221.80990099009898	549.2851485148515	440.99999999999994	388.60396039603955	5553.1069306930685	8153.697029702969	8153.697029702969	1391.1148514851482	6762.582178217821	8153.697029702969	2600.5900990099008
946.704__8.02_2967	1082.7413793103449	675.9310344827586	516.3362068965517	422.4568965517241	406.8103448275862	363.0	1470.7758620689656	14538.775862068966	262.8620689655172	162.72413793103448	5078.870689655172	181.5	2077.862068965517	200.27586206896552	134.5603448275862	2143.862068965517	1838.3655172413794	1838.3655172413794	377.3948275862069	2568.8508620689654	1838.3655172413794	998.25	422.4568965517241	422.4568965517241	422.4568965517241	363.0	799.5387931034484	422.4568965517241	866.8189655172414	23582.48275862069	27575.482758620692	27575.482758620692	1886.9741379310344	25688.508620689656	27575.482758620692	3993.0
940.632__8.28_4703	613.1428571428571	725.0	464.0	2166.714285714286	609.0	265.1428571428571	459.85714285714283	339.7142857142857	285.85714285714283	252.7142857142857	310.7142857142857	468.1428571428571	236.14285714285714	319.0	62.14285714285714	557.0259740259739	505.1523809523809	505.1523809523809	739.0857142857143	388.1857142857143	505.1523809523809	362.49999999999994	339.7142857142857	339.7142857142857	339.7142857142857	285.85714285714283	399.7857142857143	339.7142857142857	372.85714285714283	6127.285714285714	7577.285714285714	7577.285714285714	3695.4285714285716	3881.857142857143	7577.285714285714	1449.9999999999998
936.681__7.2_2484	1244.9874581939798	581.5033444816054	775.507525083612	532.1112040133779	609.0	506.1421404682274	22.913879598662206	438.9280936454849	135.44648829431438	604.4172240802676	382.4071906354515	144.10284280936455	65.1772575250836	462.3511705685619	1033.161371237458	651.8651565825477	502.54381270902996	502.54381270902996	471.92408026755857	517.8536789297659	502.54381270902996	91.9101170568562	581.5033444816054	506.1421404682274	506.1421404682274	532.1112040133779	450.63963210702343	506.1421404682274	100.31187290969899	7170.516722408025	7538.157190635449	7538.157190635449	2359.620401337793	5178.536789297659	7538.157190635449	367.6404682274248
932.649__10.05_2901	25518.590673575127	2837.937823834197	3023.020725388601	1201.8963730569947	552.9637305699482	920.8445595854922	358.74093264248705	351.88601036269426	246.77720207253884	441.0	25.134715025906733	116.53367875647668	148.52331606217615	127.95854922279793	297.0466321243523	3208.934526613283	2411.256994818653	2411.256994818653	1129.6911917098446	3052.0398963730563	2411.256994818653	217.64378238341968	552.9637305699482	358.74093264248705	358.74093264248705	920.8445595854922	324.4663212435233	358.74093264248705	197.6502590673575	35298.279792746114	36168.854922279796	36168.854922279796	5648.4559585492225	30520.398963730564	36168.854922279796	870.5751295336787
931.461__7.42_6167	12055.078125	12.65625	47922.890625	23.90625	43871.484375	25.3125	180.0	33414.609375	15.46875	16.171875	104.765625	5897.8125	3606.328125	629.296875	10.546875	12553.338068181818	9852.421875	9852.421875	18.703125	14769.28125	9852.421875	2424.90234375	104.765625	180.0	180.0	16.171875	4752.0703125	180.0	1893.1640625	138086.71875	147786.328125	147786.328125	93.515625	147692.8125	147786.328125	9699.609375
