#SampleID	V16-back-psoriasis-BG9	V16-back-healthy-BG3	V16-back-healthy-BH8	V16-back-healthy-BG10	V16-back-healthy-BG2	V16-back-healthy-BH9	V16-back-healthy-BH10	V16-back-healthy-BG4	V16-back-psoriasis-BH7	V16-back-psoriasis-BG12	V16-back-psoriasis-BH1	V16-back-psoriasis-BG6	V16-back-healthy-BG1	V16-back-healthy-BG5	V16-back-healthy-BH11	V16-back-psoriasis-BH2	V16-back-healthy-BH12	V16-back-psoriasis-BH5	V16-back-psoriasis-BG7	V16-back-healthy-BH3	V16-back-healthy-BF12	V16-back-healthy-BH4	V16-back-psoriasis-BG8	V16-back-psoriasis-BG11	V16-back-psoriasis-BH6
967.654__8.04_3935	2026714.9319844837	1814505.6441043369	2174330.4979244373	1148838.3887027295	1197221.2688195074	1782387.292983762	2965357.301786626	3201443.95976435	2513241.513584872	3663827.4197618593	1795862.7733536146	1770264.729368173	1806852.537623371	2882354.2482973407	2587423.764585046	2952577.0703043817	1139910.2118680424	3264231.1083402177	1939352.480064791	1855227.3646642303	2986026.8633101056	2083489.1172080657	4461294.0	5735948.278132011	9581603.41469314
965.799__6.18_5877	16.00234316753648	16.00234316753648	2305281.5543721374	2929692.9847694114	3363836.554904676	3151661.486846309	2253690.0	3060928.2010863777	16.00234316753648	2963954.001491106	2972099.1941633825	16.00234316753648	4048576.819043562	3677498.4833315583	16.00234316753648	5988396.860155501	16.00234316753648	16.00234316753648	16.00234316753648	16.00234316753648	3457706.299925445	16.00234316753648	16.00234316753648	9504671.73607413	7971087.178613272
963.622__7.98_3912	3790276.697998862	2172106.443636191	1252308.1830899091	1858381.624620637	6619806.635479894	998487.4848254931	813314.7242697269	3538186.813941578	2892926.456676783	3846683.291966995	1150414.509673748	2937319.9179628217	6307471.596168437	2224250.106316388	1856811.07098824	4601779.8367317915	4881915.321367602	2674851.559085736	2027745.0	1.282084597875569	2663851.273235963	3524578.768019726	6360881.958431335	3100849.808421851	3337348.26168437
962.733__8.07_615	1359765.4364146153	3186925.8215166787	3384200.0734336926	2330538.6102066766	1332014.9958124592	1693785.9836625203	1333497.8907537272	3997847.84311286	1567309.1972817397	2605834.056543944	1818792.1812841187	4234926.440984497	1668810.58712058	1668718.2907549408	3199607.342155492	3316294.560687485	2541712.694788939	1963205.2280540986	2027745.0	2165881.893906521	3927210.357943735	2390475.8700527083	6422713.339002698	2555040.289987225	4540175.134517173
962.696__7.24_5526	2420298.690978025	2434252.9723878177	1432126.8023247109	1208633.0534933028	1086566.0540270882	2615768.506946696	2771353.2508543064	2202524.0	3376057.091317253	1223054.3088872815	1311729.9215784092	1216549.6359781495	1820759.0333990168	3657395.182260357	3808420.0625576815	4675233.653438428	3130566.120924896	2760008.529944377	6833752.2226933725	1776061.3823950512	3401103.3783043576	3581630.0267790775	3017855.082577137	3516478.915267765	2736577.423561397
958.665__8.09_4410	1245812.0453250324	1488155.4524732453	1471983.0496921225	5076368.0936129615	1387869.7325668584	3880519.358660335	1128797.480693463	1460757.1569834815	1153064.172684102	3110704.5749471723	2403440.98302697	1703294.6717865989	1447651.6551498491	2474435.857808275	2933451.934743587	4465770.113835176	2847624.0	5187979.995183023	1557856.2762218537	3.2351275817409286	3441205.2086978257	7683812.986816932	2422622.0544591127	6354874.338279068	6226436.538156372
957.631__7.62_4085	1835654.9291244019	1284864.3920353414	3327738.9724646695	1607366.2070296584	6238799.446719993	2522308.204091699	3576553.6542214407	1337009.128583989	1502324.2671184402	1493009.4561557763	4232622.79417126	3975300.3827925627	2688215.0	3122449.034440608	2839178.6545431158	4465420.248868778	1802279.384958504	2411182.812721151	6680813.017091635	1491932.3363213313	1278158.9417983743	3314613.2811863357	2735820.6625420856	8024251.489138127	2735823.6966824643
956.655__7.73_4299	1978321.0945573584	821598.8025195557	662417.7039005971	3168411.47139981	2126215.985999655	759036.0575695268	3546870.2112324177	1400269.9136739557	1982790.0	1557983.2646108018	2974574.1462604543	1119244.5137232402	4061207.623983504	2765785.107233057	1723000.5915131066	2961084.3863136736	4707858.627783096	4179817.0866737636	3783291.5316225262	1357212.7629204171	1253213.1834080229	1400712.1692255395	6001996.865311695	7890329.576979981	2241519.1539112623
955.525__7.06_3916	2105162.1214384898	3984172.8656772664	3026762.9939709892	4749939.090208626	5932385.278513893	1782276.49876487	2544868.4152206886	877149.6060309024	1428502.1639690031	1482655.991179071	1736830.6595467124	3220858.021916459	1582770.469476	4313772.949532068	3582301.958211616	2335129.678533023	1660553.0661151854	1943403.8509140485	3810779.8469201117	1043379.0724022592	4711251.525947711	1959253.4844037262	3411504.905686012	5760876.252127314	4168079.0
954.678__8.37_2186	1261253.5238313766	1861727.4583618375	3267558.205269483	3551874.856221133	1784668.58429694	741877.1219228993	2070193.660826477	2035787.8098049369	404597.45967828424	1896822.9612373118	2653557.2714675046	3192585.681546085	3207739.6043305905	2620711.8345071645	3280434.435135805	3829255.0829623737	1936438.0371674213	2582684.799641305	2131207.385452898	289923.9093486179	2767049.0	1090764.2183381713	2560051.1215863917	1109142.3147009336	1430551.7985263937
