index	V22-back-psoriasis-BB10	V22-back-healthy-BB4	V22-back-healthy-BB3	V22-back-psoriasis-BB1	V22-back-healthy-BA1	V22-back-healthy-BB8	V22-back-psoriasis-BB5	V22-back-psoriasis-BA8	V22-back-healthy-BA6	V22-back-psoriasis-BC3	V22-back-healthy-BA2	V22-back-psoriasis-BB2	V22-back-healthy-BA5	V22-back-psoriasis-BA7	V22-back-psoriasis-BC4	V22-back-healthy-BC5	V22-back-healthy-BA11	V22-back-healthy-BC1	V22-back-psoriasis-BB11	V22-back-healthy-BC2	V22-back-psoriasis-BB7	V22-back-psoriasis-BB12	V22-back-healthy-BA10	V22-back-psoriasis-BA9	V22-back-healthy-BA3	V22-back-healthy-BB9	V22-back-psoriasis-BA12	V22-back-healthy-BA4	V22-back-healthy-BC6	V22-back-psoriasis-BB6	GROUP_MEAN_DESCRIPTION_2_healthy	GROUP_MEAN_Sex_female	GROUP_MEAN_Batch_4	GROUP_MEAN_DESCRIPTION_back	GROUP_MEAN_Body_side_middle	GROUP_MEAN_DESCRIPTION_2_psoriasis	GROUP_MEDIAN_DESCRIPTION_2_healthy	GROUP_MEDIAN_Sex_female	GROUP_MEDIAN_Batch_4	GROUP_MEDIAN_DESCRIPTION_back	GROUP_MEDIAN_Body_side_middle	GROUP_MEDIAN_DESCRIPTION_2_psoriasis	GROUP_SUM_DESCRIPTION_2_healthy	GROUP_SUM_Sex_female	GROUP_SUM_Batch_4	GROUP_SUM_DESCRIPTION_back	GROUP_SUM_Body_side_middle	GROUP_SUM_DESCRIPTION_2_psoriasis
851.569__7.61_2392	1046689.968969842	1102398.296448616	1389691.1921943503	994041.8066737277	845782.2923828242	1915882.9567040917	1759564.1440240303	1238373.9796012242	2382247.9368447317	2398122.3124597394	1750910.3274494465	4791434.208066446	1899398.0281808143	3509167.024841627	1504697.1581883924	1808223.3606527837	850167.1723603962	2088817.4425706153	1674874.9051660625	2320235.496408047	4709484.4399342695	4023826.123306277	1947392.4205316743	1571031.5731514937	3047138.820510029	1304361.7978628636	892184.3134113083	3166893.531346167	870919.8040404666	3045541.5154267782	1793153.804780495	2061649.8116569712	2061649.8116569712	2061649.8116569712	2061649.8116569712	2368502.390944373	1853810.6944167991	1783893.752338407	1783893.752338407	1783893.752338407	1783893.752338407	1717219.5245950464	28690460.87648792	61849494.34970914	61849494.34970914	61849494.34970914	61849494.34970914	33159033.47322122
851.536__8.55_5698	1162688.20623542	1824820.6680205686	1468187.461097119	1047281.8530202475	1370091.0830100179	1380532.6102056764	3653300.4664743785	2644057.1420092084	2885217.5016315794	1806642.3583589005	3114465.6413347227	1379007.1576466553	4650379.284635561	1186418.7720702428	1403416.3542994016	3674668.5365511277	1202211.1174729292	1654977.1712408422	2281627.2153614787	2619016.2515403545	1399309.3666404989	2668710.8022130798	1591162.4058551267	1843431.1892406258	1567224.5349289495	1590722.3714631014	943433.7365022734	2448642.7577817887	1538536.2482773082	3217529.5187806874	2161303.477815423	2040590.3261299955	2040590.3261299955	2040590.3261299955	2040590.3261299955	1902632.4384895074	1623069.7885479843	1623069.7885479843	1623069.7885479843	1623069.7885479843	1623069.7885479843	1605029.356329151	34580855.64504677	61217709.783899866	61217709.783899866	61217709.783899866	61217709.783899866	26636854.138853103
851.482__7.91_2883	1487258.629399434	1329752.9069845043	1069641.4494500032	1337671.382603079	1121194.5514261764	2034838.9032600487	1005506.8497498771	1096219.231790562	957625.4566141611	2102327.6065798323	1366279.91347663	1228939.7164823252	2793253.7034280556	1999984.1363774366	1219604.0478709394	5352538.227533649	1450878.39501692	3264115.473764434	3207921.0045843013	1296274.4293920242	6720415.791514907	2571856.397428915	2492142.2992084995	1558380.5439571538	2093028.0294708102	1719180.217487802	1313947.2350494028	1793685.1088670704	4986580.017967324	1481228.9424045542	2195063.067709257	2115075.686638028	2115075.686638028	2115075.686638028	2115075.686638028	2023661.536842337	1756432.6631774362	1522819.586678294	1522819.586678294	1522819.586678294	1522819.586678294	1484243.785901994	35121009.08334811	63452270.59914084	63452270.59914084	63452270.59914084	63452270.59914084	28331261.51579272
850.573__6.29_5602	1573044.2147885577	2586949.0534579563	3244170.756699684	1204161.6747910138	1229512.5245777725	1149865.8372710184	1954100.3287957837	2126869.8756685704	1156507.981319951	1331085.6674060582	1373683.951239878	2353529.351258362	1043919.9496105191	1959432.4944350657	989675.7732109042	861925.2026697706	2164228.2458637883	1289162.668217213	2187973.910838722	5133528.631418512	1086802.3696064323	2572244.0845496254	6461606.883602415	1146983.8847697873	2369212.1913738973	1133035.382267029	987244.0104729895	1655000.8921923295	1102761.965724006	2251686.8325880924	2122192.007344109	1922663.553022857	1922663.553022857	1922663.553022857	1922663.553022857	1694631.0337985686	1331423.3097285456	1473364.083014218	1473364.083014218	1473364.083014218	1473364.083014218	1763572.2717921706	33955072.117505744	57679906.59068571	57679906.59068571	57679906.59068571	57679906.59068571	23724834.473179962
849.626__8.71_4294	1014759.8310779775	1012736.0754289425	2017722.1451281193	1389051.63604011	1000856.1663136141	1294250.956870847	2597874.0136939688	1235347.4803209833	4562417.215851132	2710253.388030126	3986687.055980715	943406.566807629	3173381.028327427	1832355.396786345	935673.726096091	2379035.479808356	1031600.4304610849	2367056.0135873077	1830801.9626367462	2417570.945729339	1263068.9847585722	1905143.6565805217	1902560.3213372666	1438514.3525647884	2198898.9125205344	1623336.9698287477	2787477.088534317	1857347.663325744	1971333.6833680056	2314881.2241826667	2174799.441491699	1966513.3457326004	1966513.3457326004	1966513.3457326004	1966513.3457326004	1728472.0934364889	1994527.9142480623	1879953.9923315053	1879953.9923315053	1879953.9923315053	1879953.9923315053	1634658.1576007674	34796791.06386718	58995400.371978015	58995400.371978015	58995400.371978015	58995400.371978015	24198609.308110844
849.181__2.51_6299	2185532.0936549176	2291927.7696687547	3211843.3249073667	2875694.894684476	1944234.7105875146	1020951.9719318838	968060.0038471634	951720.7986015376	1625005.8541805744	2755961.1986445296	1058095.5604326602	1971470.2050273435	1578158.0849003159	1602340.108663842	1959026.2663122746	1580693.929554437	1481194.7052906735	1642124.1127323117	2928926.7182383053	2791363.681434332	1829253.7625694156	2555917.040981283	1069363.076370044	2041433.3747526938	1062728.0519039002	1612378.9163667546	2194415.3927628594	1061185.6309287131	1508090.3442613934	1026698.1436326656	1658708.7328407266	1812859.6575941646	1812859.6575941646	1812859.6575941646	1812859.6575941646	1989032.1430266646	1579426.0072273766	1633564.983456443	1633564.983456443	1633564.983456443	1633564.983456443	2006451.7898900188	26539339.725451626	54385789.72782494	54385789.72782494	54385789.72782494	54385789.72782494	27846450.002373304
848.629_C48H85N3O9_7.23_1934	1703781.0635322956	1657040.3651820573	1934404.6068948738	1185285.230317789	483558.95356113126	2302523.1243659356	1705062.532817553	342073.2658157757	1055047.6815630752	3247599.665694449	335437.28720423277	1277017.5437574035	1876664.2541635656	926467.4809331639	4624239.6854657475	5809599.809289488	839390.513952085	3183043.627572241	2476099.644451175	2431643.8566437033	2299048.4796739705	3756172.673894242	829197.5642444217	1175648.3366656227	743275.2368425411	2170249.149678027	1262494.2251911513	703859.6126284586	7428582.8888823725	1879243.0934909976	2111469.908291763	2054791.7151456517	2054791.7151456517	2054791.7151456517	2054791.7151456517	1990016.637264381	1766852.3096728115	1704421.7981749242	1704421.7981749242	1704421.7981749242	1704421.7981749242	1704421.7981749242	33783518.53266821	61643751.45436955	61643751.45436955	61643751.45436955	61643751.45436955	27860232.921701334
848.593__6.26_6010	1618763.819709194	1693537.6939033852	1359343.2001247401	1242432.787828039	813752.6516358441	1029905.6997266153	1687379.8454403342	1616268.893111019	1997678.4866897925	2117656.7346553607	2133620.5686961273	2405770.858212603	1442714.4065668646	1028405.0475801575	697282.0856579323	1115657.2509527763	2224565.263434045	1973705.0142219958	933505.4321606884	2628466.1582719213	1266716.7400502749	1419923.7141159805	851897.3071812744	1921348.5175358506	1121829.8841660386	2691597.04167463	1465834.0597099522	1421106.4941328932	3886315.7443829053	2976391.988809411	1774105.8041101154	1692779.1130112882	1692779.1130112882	1692779.1130112882	1692779.1130112882	1599834.323184057	1568126.0502351248	1541051.4764104856	1541051.4764104856	1541051.4764104856	1541051.4764104856	1541051.4764104856	28385692.865761846	50783373.390338644	50783373.390338644	50783373.390338644	50783373.390338644	22397680.524576798
848.557__5.82_5543	1529347.796601197	1689090.241113873	2170602.7869406515	973718.4896154205	1018659.5442634623	2206882.712570643	1444393.7214392507	1576970.9229240129	2422364.2759049227	2855446.893360376	1065628.5067631626	901437.7482533004	1215392.7724272488	905362.731191994	2335077.016440531	1787302.0364242955	1072082.9231512365	1846922.5272630516	1411423.8647542242	2294981.1351756984	2098557.5445548533	2328779.5993700046	891555.5134321008	901437.7482533004	2534143.4289067625	3347705.170254867	1421476.1821694341	5091008.1479364075	1142689.0051261806	3404137.7027289732	1987313.17047841	1862819.2896437144	1862819.2896437144	1862819.2896437144	1862819.2896437144	1720540.5686897766	1817112.2818436734	1633030.582018943	1633030.582018943	1633030.582018943	1633030.582018943	1486870.7590202237	31797010.72765456	55884578.68931143	55884578.68931143	55884578.68931143	55884578.68931143	24087567.961656872
848.038__7.62_5860	1129453.2041950559	5.25855372930505	1215404.264900547	1173498.850231715	1218454.226063544	984895.56217646	1766895.0872614142	4164716.7095185774	2210795.9003207	1169076.4065453694	5.25855372930505	2897673.446996255	1941216.1433878765	1582824.67252082	2924145.0064695766	1772763.6332233185	4238604.647969043	3665206.690771891	2384301.8806191203	1303853.138627458	1418463.3171576615	1354808.5242644239	1582298.8171478896	4889561.0141197145	1826137.9535757648	1489085.6937422284	1205497.1496745362	2519267.9206354637	4597153.875447978	2318385.9096222813	1910321.811568601	2031481.672143138	2031481.672143138	2031481.672143138	2031481.672143138	2169950.084228323	1677531.225185604	1674859.879891117	1674859.879891117	1674859.879891117	1674859.879891117	1674859.879891117	30565148.985097617	60944450.16429414	60944450.16429414	60944450.16429414	60944450.16429414	30379301.17919652
847.538_C40H74N6O13_7.61_2127	471100.94142241223	2575840.2969063376	1389440.9393666252	598246.5595537117	2066578.0495657686	1424879.5682611123	1842967.9129306069	1499896.2968994763	865048.3357407748	2971165.1296663727	959958.3165747493	549159.662359561	2098647.320921437	2518373.3862316473	1368306.2036924162	1421623.8046717043	1068851.9809133403	1322497.431101337	2698035.1866125343	2683818.054125271	2406715.006163699	2623733.1159708565	2970852.075475083	1773786.514417874	764603.5568048066	1373323.1207179627	1012018.3341456011	1914003.4866963185	2705323.9826262943	1998833.1225707799	1725330.6450293078	1731254.2564368823	1731254.2564368823	1731254.2564368823	1731254.2564368823	1738024.0980455393	1423251.6864664084	1636841.4056586751	1636841.4056586751	1636841.4056586751	1636841.4056586751	1808377.2136742403	27605290.320468925	51937627.69310647	51937627.69310647	51937627.69310647	51937627.69310647	24332337.37263755
846.649_C15H23Br5N2O6P4_7.64_1510	1259909.8052363691	3726679.2048854125	1648127.776217036	786884.2928803252	1124019.7973962242	1403406.6268357544	2083544.9137054835	1753173.2872559682	2019067.7791562243	1434310.6912714776	2035389.1768507236	490030.3279113443	4058499.90795733	1511838.638393404	1495450.696674767	1732012.0192575024	2357048.9025917603	920354.7009718342	1855806.0407745529	2518470.618209221	3063034.8471921203	2337120.5772985877	680940.4375155342	455698.44126449584	1712408.498566018	5135867.782947502	1689316.648899525	5198360.134647784	1739225.8744548492	1521978.4182327245	2375617.452403794	1991599.2288483952	1991599.2288483952	1991599.2288483952	1991599.2288483952	1552721.2590707957	1879146.8268055366	1722210.25891176	1722210.25891176	1722210.25891176	1722210.25891176	1516908.5283130642	38009879.238460705	59747976.86545186	59747976.86545186	59747976.86545186	59747976.86545186	21738097.62699114
846.614_C43H83N5O11_7.59_2590	1556528.495821725	1114112.046866092	1707678.6088907856	1847625.7969395209	1186544.4167512332	969035.5279027435	2142776.0466512116	1792710.8692991338	2632104.50126341	3543539.9745091014	1486495.6424818668	739039.4383768986	1234923.3333322424	893628.534672802	8438487.66732158	8282274.282902716	952334.1155762232	1502853.1564857028	1083569.2127836235	3716645.178235407	1363933.7775482668	7952541.851013298	1422340.147481669	1892548.2439382966	1520193.792248173	1289443.84651215	956793.1362008585	1725473.8898934147	13715889.153526515	2759607.2330590785	2778646.3525218964	2714055.7306161914	2714055.7306161914	2714055.7306161914	2714055.7306161914	2640237.877009671	1494674.3994837848	1538361.1440349491	1538361.1440349491	1538361.1440349491	1538361.1440349491	1820168.3331193272	44458341.64035034	81421671.91848575	81421671.91848575	81421671.91848575	81421671.91848575	36963330.2781354
