index	V13-leg-psoriasis-BB3	V13-leg-healthy-BA2	V13-leg-psoriasis-BA9	V13-leg-psoriasis-BA12	V13-leg-psoriasis-BB2	V13-leg-psoriasis-BA8	V13-leg-psoriasis-BA7	V13-leg-psoriasis-BB7	V13-leg-psoriasis-BA10	V13-leg-healthy-BA1	V13-leg-healthy-BB9	V13-leg-psoriasis-BA6	V13-leg-psoriasis-BB12	V13-leg-healthy-BC1	V13-leg-psoriasis-BB4	V13-leg-healthy-BB8	V13-leg-psoriasis-BB6	V13-leg-psoriasis-BA5	V13-leg-psoriasis-BB5	V13-leg-psoriasis-BB1	V13-leg-psoriasis-BA11	V13-leg-healthy-BA4	V13-leg-psoriasis-BB10	V13-leg-psoriasis-BA3	V13-leg-psoriasis-BB11	GROUP_MEAN_DESCRIPTION_2_healthy	GROUP_MEAN_Sex_female	GROUP_MEAN_DESCRIPTION_leg	GROUP_MEAN_Batch_4	GROUP_MEAN_Body_side_left	GROUP_MEAN_DESCRIPTION_2_psoriasis	GROUP_MEDIAN_DESCRIPTION_2_healthy	GROUP_MEDIAN_Sex_female	GROUP_MEDIAN_DESCRIPTION_leg	GROUP_MEDIAN_Batch_4	GROUP_MEDIAN_Body_side_left	GROUP_MEDIAN_DESCRIPTION_2_psoriasis	GROUP_SUM_DESCRIPTION_2_healthy	GROUP_SUM_Sex_female	GROUP_SUM_DESCRIPTION_leg	GROUP_SUM_Batch_4	GROUP_SUM_Body_side_left	GROUP_SUM_DESCRIPTION_2_psoriasis
99.013__3.79_3477	846027.1832052774	572424.6597470433	476088.46984079434	509984.7363019512	1370617.5	1725423.2777587327	753583.269324551	2161300.2464421415	1178964.3439961472	1769531.996088355	826709.9947226961	2355538.5205679657	1735476.7145420238	1109862.407194503	1049948.7573059646	1406690.116991296	1425525.31907164	3117310.617583835	2166185.2437621136	2169821.0293536405	2053041.9679042262	1233027.2269796156	3628155.562609257	3010525.699157139	2687927.6632686867	1153041.066953918	1653587.7009487837	1653587.7009487837	1653587.7009487837	1653587.7009487837	1811655.0590524257	1171444.8170870594	1425525.31907164	1425525.31907164	1425525.31907164	1425525.31907164	1735476.7145420238	6918246.401723508	41339692.523719594	41339692.523719594	41339692.523719594	41339692.523719594	34421446.12199609
99.013__0.88_2719	474058.31357106933	354567.0846978805	447238.76706502214	453680.7600852593	2570586.2916632737	3366219.935255658	355599.8914812597	1224442.0	2611998.2660950786	5800535.553370854	2222205.4908672017	3315549.6485680756	2095536.225525087	4839940.203951622	2035016.4458675608	1438991.3341827327	693851.4441480063	885128.9025984912	1182343.8336678243	903233.2254810203	1628238.954883487	621601.8884157586	2106978.622085978	3643520.052505329	3271571.7856199257	2546306.925914342	1941705.396866138	1941705.396866138	1941705.396866138	1941705.396866138	1750778.598219337	1830598.4125249672	1628238.954883487	1628238.954883487	1628238.954883487	1628238.954883487	1628238.954883487	15277841.555486051	48542634.92165345	48542634.92165345	48542634.92165345	48542634.92165345	33264793.366167404
99.013_C4H4NS_4.21_3548	715704.6975147392	958806.2931076317	525303.4478196068	1004468.1963072434	1198728.4217680108	1903786.4896370266	1448245.9486845797	1348524.6819209645	1300838.1298640938	1056660.5213779067	912169.9811801445	1224634.510169497	2127757.259956641	1442347.9507895045	1158485.7378108152	1552104.7353161012	1572887.0000000002	3439558.2314544464	2390111.6058213147	1238945.8285913705	2158947.2605900094	1295914.0450668188	3254185.6445024596	2905829.5679862364	3474027.3206654466	1203000.5878063513	1664358.9403161043	1664358.9403161043	1664358.9403161043	1664358.9403161043	1810051.051634974	1176287.2832223629	1348524.6819209645	1348524.6819209645	1348524.6819209645	1348524.6819209645	1448245.9486845797	7218003.526838107	41608973.50790261	41608973.50790261	41608973.50790261	41608973.50790261	34390969.981064506
989.614__8.21_4778	1168032.0	1194480.135848164	1450008.8613492579	887298.2401702832	1117776.1680127713	1727172.1573700705	1005298.5008928044	1446944.846307574	1534134.6056642819	1266119.6160113523	3472212.7480636197	956221.3133092887	2001899.8952285224	1140649.235972329	2493613.3053627387	922989.0660202211	1367409.3694554486	1118791.3675870632	1110504.0241234554	1547546.2898362207	1462992.3661089104	1109661.4775379885	3032315.952935612	1915317.8743924792	3700022.611718796	1517685.3799089456	1605976.4811711702	1605976.4811711702	1605976.4811711702	1605976.4811711702	1633857.8815697674	1167564.6859102466	1367409.3694554486	1367409.3694554486	1367409.3694554486	1367409.3694554486	1450008.8613492579	9106112.279453674	40149412.029279254	40149412.029279254	40149412.029279254	40149412.029279254	31043299.749825582
987.717__8.03_4706	1314897.9415692294	677767.160883253	1001070.9221868509	615264.9998379223	1539277.8179057096	899788.9356481083	792718.3778013457	992314.6343298176	1886550.5317293515	1573430.1115253097	3628885.5566487974	1669317.0055141652	945595.9592445066	1399343.4708233725	1751947.544721993	1728421.9485491405	1572887.0	1036342.6905831099	1464527.937769212	1591092.3200065535	4188470.541233799	3572537.7358979196	6336310.365203328	1694754.575934281	3088752.8317968254	2096730.9973879654	1878490.756693756	1878490.756693756	1878490.756693756	1878490.756693756	1809572.7859482162	1650926.0300372252	1572887.0	1572887.0	1572887.0	1572887.0	1539277.8179057096	12580385.984327793	46962268.9173439	46962268.9173439	46962268.9173439	46962268.9173439	34381882.93301611
987.559__3.37_5387	1224442.0	260217189398.0	1224442.0	1224442.0	1224442.0	1224442.0	233034576998.0	1224442.0	1224442.0	646505376000.0	1224442.0	202472504678.0	1224442.0	1224442.0	1224442.0	1224442.0	256189999660.0	1224442.0	339072478640.0	1224442.0	293131414800.0	258969483000.0	1224442.0	282295103100.0	1224442.0	194282620287.33334	110876308693.84	110876308693.84	110876308693.84	110876308693.84	84537473453.78947	129485353721.0	1224442.0	1224442.0	1224442.0	1224442.0	1224442.0	1165695721724.0	2771907717346.0	2771907717346.0	2771907717346.0	2771907717346.0	1606211995622.0
987.044__3.24_6202	1170270.5024070307	861610.6381690532	1035703.4758811715	1463062.2136245116	1370617.5	1511059.9067987544	1305479.425793413	1397600.2995603634	2138725.1621528687	952089.1812298007	2130866.262752411	1285638.4516631928	1662946.5828495363	2201179.991825377	3780853.468444902	1498476.415190664	1262686.301758546	1512679.1060865603	898736.5646966002	1879942.4188339084	1825242.3971790695	1232089.2180736158	2496336.8905739742	1529449.3844245486	5.78285459930637	1479385.2845401533	1536133.9017129792	1536133.9017129792	1536133.9017129792	1536133.9017129792	1554054.517662292	1365282.81663214	1463062.2136245116	1463062.2136245116	1463062.2136245116	1463062.2136245116	1463062.2136245116	8876311.70724092	38403347.54282448	38403347.54282448	38403347.54282448	38403347.54282448	29527035.83558355
983.647__7.58_4359	1168032.0	2193293.1505937367	801578.3518353471	1040517.3965895901	1257804.9979314373	3119439.786477037	1381263.2347594204	995063.4481121706	1332139.5033085186	2297231.676481505	1563258.5139161085	2323143.82352677	1019501.0548204606	1019503.816131953	1519936.2979108698	1000823.5438854466	2078367.3662774616	909876.988569713	1383290.0373948875	1674749.2267357607	2017770.3855753797	1484481.0583476557	5341588.642167003	1387559.024962234	3183540.8714630534	1593098.626559401	1739750.167910941	1739750.167910941	1739750.167910941	1739750.167910941	1786061.1809693219	1523869.786131882	1387559.024962234	1387559.024962234	1387559.024962234	1387559.024962234	1383290.0373948875	9558591.759356406	43493754.19777352	43493754.19777352	43493754.19777352	43493754.19777352	33935162.438417114
982.62__7.48_4896	1869822.3479352912	1079722.8866314394	1436359.6061161002	747332.8589756174	1748427.4952355484	728907.0947169594	2853115.275018025	1146631.2749774046	1166307.8392915777	1429164.1434311497	1691364.1137781509	985738.0394493208	837632.5533060046	1589279.9999999998	1555833.8755047948	1074663.1986649379	875664.9446714305	770812.9314155921	2971494.75812157	1893684.3851234016	2443280.5497313966	1830956.089866189	2592784.780022815	1923162.918044662	3551973.579584113	1449191.7387286443	1631764.7015845396	1631764.7015845396	1631764.7015845396	1631764.7015845396	1689419.32143377	1509222.0717155747	1555833.8755047948	1555833.8755047948	1555833.8755047948	1555833.8755047948	1555833.8755047948	8695150.432371866	40794117.53961349	40794117.53961349	40794117.53961349	40794117.53961349	32098967.10724163
98.513__6.8_3090	734188.3060803261	1228230.109399776	1030304.4097128864	637751.7918710576	1029704.121845115	1949291.3656924197	1021949.8571142594	1000289.4202092495	1022162.5509685006	1414628.732126291	1038490.1425258602	1319177.0	1382876.6633310092	859772.5816005463	3348428.9749168195	1616882.2271657335	2391059.839195701	1146126.4665262813	1292764.8107101042	1757709.5224989008	2696087.6245641466	1436394.5621743216	3308839.1852819556	2756354.261251168	5804191.619870427	1265733.0591654212	1728946.245865314	1728946.245865314	1728946.245865314	1728946.245865314	1875224.0942968593	1321429.4207630334	1319177.0	1319177.0	1319177.0	1319177.0	1319177.0	7594398.3549925275	43223656.14663285	43223656.14663285	43223656.14663285	43223656.14663285	35629257.79164033
