#SampleID	V4-forehead-healthy-3A6	V4-temple-psoriasis-3A9	V4-forehead-healthy-3A7	V4-temple-healthy-3B3	V4-temple-psoriasis-3B2	V4-temple-healthy-3B4	V4-abdomen-healthy-3B7	V4-behind-ear-healthy-3A12	V4-eyebrow-psoriasis-3A3	V4-eyebrow-psoriasis-3A4	V4-temple-psoriasis-3A10	V4-abdomen-psoriasis-3B5	V4-temple-healthy-3A11	V4-eyebrow-healthy-3A8	V4-eyebrow-psoriasis-3A5	V4-abdomen-healthy-3B6	V4-temple-psoriasis-3B1
4721_838.697_9.92	1894770728.6937387	21686585.04687115	20970146.2856715	69840170.48818417	254490554.229754	17824407.034051385	1522099549.060004	53253151.45363617	1350008878.454079	17455718.539047	23814684.60366942	180734003.0571392	84992817.75149342	45920674.23653049	20671242.960479826	22026189.246812765	52628729.5
4720_399.187_2.56	163799645.14981908	17249299.621519905	98408443.086381	33786702.93884177	45712756.30895437	34837670.132943295	32291255.29935645	44904321.21566928	74320979.5	34085163.33437052	170642057.3309972	23292996.80450342	17069336.30756333	110028266.27621612	69650458.08071974	34415048.891696624	94091338.34783272
4719_732.51_10.03	34049275.308243684	30749849.5	45775494.04174705	58273754.5774274	44714110.25317721	27655349.54416899	53131809.84543202	56170790.66871818	44023782.40793128	22915322.138200626	33433028.30774117	60274841.1853317	118921182.63232929	32752230.32467072	40928049.71831564	61353434.06050099	20501500.2736256
4717_674.432_4.91	35563208.597171195	48838540.65810897	40439935.19511005	35034705.56631242	32551602.024866626	37539416.72927555	27909398.45641956	86882805.61309758	37501633.86390697	59330093.58377147	127486019.63126571	42648455.7308125	37488389.5	63223897.78951047	21052527.260969155	18387310.25304265	58621809.60147271
4716_403.282_7.12	42211939.5	37383753.55100991	20314139.795388367	62721437.55999435	64834903.94596551	50469448.10713175	2227304.453074936	6808646.820017015	38135248.02729169	35668203.46098324	60337898.15055048	1090002.286234293	128984024.26842064	75523650.8409728	36213901.24634454	1355116.1395044818	78305919.20089789
4715_710.49_9.43	81845812.79819748	27785978.84220265	84257342.42653044	48192415.18178377	58374170.43457999	51070241.78305472	36559919.30371638	56996207.73038135	60961180.98905368	30844115.115330417	26018873.25100143	68148821.91022329	72580898.75770907	58644182.361512	48580609.10893284	21897974.93886174	52628729.50000001
4712_410.324_5.98	127601904.10486796	109126484.75677359	165341598.92684305	31209330.45174473	68562898.56078024	20311708.88442749	19562798.529074706	24681539.5	95924149.63554566	48682664.54805844	89042493.29558297	18389736.394847848	40718315.22054999	201402891.00545537	53677829.34477256	26147819.964028936	22908566.47579333
4711_331.137_2.5	1808474753.4833305	28708276.534799345	1354653875.5812142	18205228.60636715	28035741.26218323	22005840.408677008	15996847.999536075	42268918.6663455	7776949038.731621	11701373429.056206	32511369.000000004	30800067.95454302	30875039.09968711	2248755206.656461	6285966612.9923115	29986802.3135959	73999237.17371751
4710_668.48_8.96	61314273.42645253	19751341.56287729	142145449.76120198	72964975.44652696	49200469.5	52720240.57900334	2.2238747719137604	21263801.01913061	57316011.22764944	16438882.313986516	57240624.09675634	43295281.38565107	155543403.48819885	18526564.770993505	180979415.9669169	2.2238747719137604	44979913.22674596
4708_640.389_5.21	64219668.41143064	56837459.04624061	89494116.55854098	35688656.65720879	50762514.60716004	29099409.5	39872443.30810744	62233319.12019954	42201615.46913542	41179413.53019826	30033918.04813365	38925767.6940614	53302440.13706044	32362288.193225194	33563251.274782784	70950455.59370574	31994834.382556185
