#SampleID	V8-arm-healthy-BD3	V8-arm-healthy-BE3	V8-arm-healthy-BD4	V8-arm-healthy-BE4	V8-arm-healthy-BE5	V8-arm-healthy-BD6	V8-arm-healthy-BE7	V8-arm-healthy-BD5	V8-arm-healthy-BD8	V8-arm-healthy-BE8	V8-arm-psoriasis-BE10	V8-arm-psoriasis-BE9	V8-arm-healthy-BD7	V8-arm-healthy-BE6	V8-arm-psoriasis-BD10	V8-arm-psoriasis-BD9
2427_454.373_6.38_C21H49N4O6	211061268.3894699	104555407.09441918	37116304.781611785	35752447.62122261	26455629.884841833	64807594.09583044	304841258.62618446	35863836.86071365	91917325.65295015	31593570.087058466	82487521.16640776	23188931.2487115	126957366.89190586	90237552.36396691	39960216.40285606	20381526.88761643
2426_559.35_6.94_C26H54N5O3Se	30613142.42280013	1.2910431309554429	834070558.756312	54992910.42305825	47351124.13852564	57592283.75249263	43675245.47937921	77788414.86750145	41641718.27963876	48260806.03902815	44625009.10492536	23651910.159103714	58676282.29653675	203654040.40350732	23989840.6986313	24545454.02046929
2424_444.403_6.97_C22H49N7O2_Amino acids, peptides, and analogues_2,5-diamino-N-[6-[6-(2,5-diaminopentanoylamino)hexylamino]hexyl]pentanamide	3656263.7703584633	1113830.018566555	100407316.44512624	109615297.25256003	86520828.82646795	45517346.09717229	90056413.02769013	58695490.04944248	141097521.0252047	106254249.85069925	8560308.474910395	9160735.188912187	92657146.95777412	158694480.25548407	15186266.482120467	8482286.582002899
2423_272.222_5.83_C15H29NO3_N-Lauroylsarcosine_Amino acids, peptides, and analogues_N-Lauroylsarcosine_Amino acids, peptides, and analogues_Sarkosyl	12277932.489458952	40931993.89693172	19121621.875904176	39296351.90547041	25788108.36767824	75297891.76394191	776265137.2001966	31107264.79412392	29556786.98677076	30591505.86363065	95910005.25696436	24014244.83806534	114567941.46399207	87148803.08768196	66367485.437990196	43683314.28955589
2422_759.486_7.58_C37H62N10O7	19547165.291715827	9885046.00434459	16083092.357894352	17920106.541612606	24834810.040437434	127880591.29169	68146893.95092946	52757985.92728917	26053450.217434626	37453547.75227521	35874439.55472171	40670638.87438186	249343679.26855248	30495285.28163226	94675694.43839358	90285858.75759122
2420_743.398_6.31_C28H59N10O9PS	621202.3838682533	597182.9591139329	45020573.82565426	18571770.23663858	46182943.25607412	72014374.30259624	47883604.71089858	54835881.87769941	57503363.64246176	78254039.6892152	55888124.95518253	61655168.95964717	89506035.67934807	49541619.95427734	107754302.98405029	75154922.4961562
241_240.092_2.79_C12H16O3P	17539914.871372044	74759143.12243877	103640460.96081764	11910260.317413142	21434770.82215776	28203830.64138237	65109813.84007135	21616801.98029584	126829631.22519471	21894683.67555704	101562855.38934182	186979742.10343543	9324752.86725422	126407942.50544004	115905104.88436818	23040857.178575985
2416_325.198_6.76_C16H30O5	3229907.381770058	1151322.9017491494	99239440.43159494	20413472.615173187	38347974.01260725	50671880.68430173	34563987.55791029	56549908.18600713	66978207.84401629	80849079.71235314	237342963.1275171	451195748.25293297	35475954.45909602	71599690.49942154	330459001.3940404	170108179.97637194
2413_183.077_2.44	37639756.47033367	37639756.47033367	37639756.47033367	37639756.47033367	37639756.47033367	324178048564219.25	37639756.47033367	37639756.47033367	37639756.47033367	288789337729593.94	37639756.47033367	404849456619261.94	37639756.47033367	37639756.47033367	1100767112383857.6	261072173859969.6
2411_477.286_7.69_C22H48O5P2_5-Hydroxyrosiglitazone sulfate	77647482.42549741	62391355.86248118	120957769.62669148	112347837.67469642	110891304.90785572	33673701.64583245	66474442.07058848	33875209.4862976	69003814.77920447	18286552.16264241	25899027.78151891	13939985.854365427	106056081.97316007	152518303.54408655	18284932.106129352	22409256.116387308
240_217.107_2.93_C10H16O5_Tetraethylene glycol_Medium-chain keto acids and derivatives	14273201.843426514	80381958.28708595	138508573.06731498	6333163.263626556	18601014.147879947	18750050.653653827	6072747.953231879	23339794.45065433	143413563.00209513	22156934.79434424	95479595.60852964	166056558.10075048	11321051.658385744	139025094.43100348	176719396.4297557	29362598.10005557
2409_632.442_7.78_C30H53N11O4	112344297.1494357	81512721.79657757	18731557.372935906	21933582.69972914	15527687.236649105	190386752.9059031	59727277.73977123	30203112.14028744	16058238.96344025	32002447.17425336	62500115.78525321	30191549.82353654	525292528.0256707	44646907.39639273	173555135.94033888	113291959.61036883
2406_445.183_3.28_C22H30O8	20593639.03017304	27393508.770413604	44814882.6858185	36487082.24535293	43616285.29570149	74566156.40030032	55858369.57387687	42889855.06073912	44627919.02526684	49041266.01813193	52000233.30511067	47524406.26876494	22542493.49732986	35622412.13850145	25629175.358211685	38736455.31072875
2402_266.284_7.98_C18H35N_Diradylglycerols_Hexadecylacetylglycerol_Amines_octadec-9-yn-1-amine	27807670.73778432	35389184.32242403	32377890.481295485	51666525.38087615	21673829.4309182	60573993.00279919	33.540435516741255	33850986.40919076	152996004.68660042	55387970.86320066	33530373.386086237	33.540435516741255	48814749.85106522	141777433.35539627	35241572.86571485	57349449.0726552
2400_609.309_2.98_C29H50N4O5Se	31573017.55005273	40305199.76847863	15936258.403893612	36777371.87513644	39493508.67016804	79988749.57417566	27776237.06561069	42610818.01170694	38227658.48435743	15240237.262298414	20789605.31269638	56533587.85787671	168566046.9847667	43392573.50812734	105180004.05068313	60598638.9063167
239_554.462_7.66_C32H67N2Se	12464266.634341482	6091220.224421625	68362854.83102292	71660061.37377861	52905738.31198163	59864048.3679257	76421534.9285578	55545664.38034455	73173182.37286265	37575408.74458646	25111103.524172567	13590281.718661886	90050485.27916291	71788345.89094797	26182539.63858732	27996307.335124314
2398_561.346_4.4_C22H44N10O7	36007763.886710435	44737740.32979176	92798331.74941435	45003613.23981676	18300948.6804574	73040652.32160209	76741378.19457059	51934831.68538239	54316479.09801903	55020433.12855342	30912494.73640634	36917167.43200444	45022324.70403222	56644765.550318	16407429.189097615	14866797.512470342
2394_518.32_5.93_C26H45N3O6_Incorrect annotation_Glycerophosphocholines_1-Myristoyl-sn-glycero-3-phosphocholine	28186678.47979429	4586987.700509407	39189163.27964623	20825190.84197499	51465502.89569851	52836244.83670902	69272923.86697279	68567925.91949697	39722624.87433016	79431119.58742653	64584496.1599949	62200711.00318986	55335453.20681825	40791394.46006161	64036731.3044181	41508138.84221585
2393_497.236_2.81_C17H34N10O5_Amino acids, peptides, and analogues_2-[[2-[[2-(2-aminopropanoylamino)-5-(diaminomethylideneamino)pentanoyl]amino]-5-(diaminomethylideneamino)pentanoyl]amino]acetic acid	22019951.548088398	30155511.18781759	82379895.54540099	12088796.248926075	81860926.3151025	35588890.52888767	67055461.23108504	16857799.390820213	48007534.84154136	44804881.43883152	128116237.70624296	146479785.87071192	22160735.92233106	40768955.419981584	177831783.18677148	18933641.8257626
238_693.53_9.48	5379771.473557296	14515929.900350925	31533233.80497596	50034200.68962259	50771541.06427065	109317529.46032088	183753133.28423053	5260246.01906201	58268370.86792857	23332280.056111533	2779402.500469382	5309567.292443174	384503052.17581135	166210913.34975392	85024233.32689619	64280153.31774225
2389_595.349_7.37_C25H50N6O8S	12781875.59676035	33119431.46237885	61361519.2478036	62681502.49271344	41849232.151999705	81957859.1627199	95626239.01242682	45994056.68794482	61364772.16919511	41985846.14114895	17132291.73208433	5599664.669895123	84793483.4309301	96093052.82802065	20009248.13334341	11754825.108323807
2387_380.337_6.39_C18H43N4O4	20313581.02532561	49793245.55607265	88416871.34447649	152984397.795708	26536595.02206132	32616852.315393884	53898806.56485128	33585763.27423451	124521700.30947287	27072372.534722816	20106533.392762106	21376255.520089306	72287261.74712873	147848339.38819933	48785997.27563676	64263168.60602556
2385_521.312_7.74_C23H50N4O4Se	58722008.68111876	174195208.99576217	131878854.34476449	388328386.3229392	6.809845814351625	34428877.97590823	20774381.225247826	46379306.14936854	355369481.66451687	36675718.503895395	36640783.99486778	6.809845814351625	6.809845814351625	121254922.84732752	31868437.23832435	21191559.189680826
2382_425.366_6.52_C25H48N2O3_CocamidopropylBetaine_Carboxylic acid derivatives	25683610.039150685	61740544.79966945	25309338.051797554	2678564485.190186	25393417.05938683	20679701.660130084	27947193.967592586	1831089704.237816	24892405.888669603	19386333.177875686	1062999171.4082364	603176288.4771436	21536500.324801434	86283576.80484687	41964799.30810427	45464829.6540821
237_550.904_8.51	10715679.857569797	17295506.372552887	34262814.32915926	42171030.069303215	39487691.12905061	149504486.21860987	167705691.42411044	49421626.73899772	49134704.50663578	29270831.174569905	27547551.736623786	12825807.236374065	291784092.39961255	141029377.81952164	103386804.83665429	46021392.9085146
2378_351.25_6.83_C17H30N6O2	23282275.33147277	16509451.461498147	88941988.37606832	121234142.17182462	106774688.56456436	55457915.38851424	70046317.14379086	47076345.43638623	56295905.90739923	43310459.960853	13427849.329070374	34011668.691591896	53698189.59758632	85591640.94190124	15712942.189325174	6392503.030555997
2376_440.358_6.0_C20H47N4O6	58886722.91549007	66720102.03304044	18012890.96012547	7741463.171951612	37444143.91943564	63093892.42504746	267493467.284452	36435873.95853733	17070211.89266311	34487160.37451692	58001640.5910999	30770509.8397867	90855719.47019948	49586566.96740552	47905601.26011534	23380014.01134459
2375_433.208_1.5_C17H24N10O4_2-[6-amino-2-[(2-hydroxycyclopentyl)amino]purin-9-yl]-5-(2-ethyltetrazol-5-yl)oxolane-3,4-diol	39761016.45150931	358842774.5631081	242499198.27739042	102215920.29160409	29409547.94000048	21864456.564547416	390532473.245977	70373988.6551836	59095214.6929934	38093098.47832662	6968693.052318295	22914438.26528236	17152853.876440912	257659712.4972368	8238764.385129261	4662829.311125998
2372_505.386_8.89_C26H52N2O7	3830280.3685436076	2259690.6497199237	48858453.1594309	38727025.02023324	68767445.76438119	40308188.18616561	53501292.83451831	34690517.375767194	82170764.57728717	43382043.820864215	69183357.4402032	69459435.82416198	52457732.927628	88335503.41110748	81631700.36932899	91711744.06786442
2371_291.243_5.82_C18H30N2O_Carboxylic acid derivatives	6.7240497938585175	6.7240497938585175	92984531.18184158	135604719.07872	27820924.12333447	62105610.07300719	150690797.19622096	34857474.13136256	201738976.3452196	127040666.67902108	6.7240497938585175	29924166.55455465	63765576.24561704	41193210.04962575	6.7240497938585175	33955167.16547489
2368_471.236_6.81_C22H34N2O9_bis[2-[(2-methylpropan-2-yl)oxycarbonylamino]ethyl] (2S,3R)-7-oxabicyclo[2.2.1]hept-5-ene-2,3-dicarboxylate	38065339.76498976	64032368.76759202	50855877.52220821	115471810.66923478	61657866.30789148	51913663.09322438	70293578.12328555	33734105.62613782	69467699.20695564	37225027.83620549	9760552.854849512	6210446.283024443	96397050.24252394	127784952.29015616	16049657.200607235	11263557.902079966
