#SampleID	V9-arm-healthy-BG3	V9-arm-healthy-BG5	V9-arm-psoriasis-BG9	V9-arm-healthy-BG6	V9-arm-healthy-BG4	V9-arm-healthy-BG8	V9-arm-psoriasis-BG10	V9-arm-healthy-BG7	V9-arm-psoriasis-BG11
5778_647.52_7.45	69486000.72464241	18.410672160593126	111179655.79044098	18.410672160593126	36545349.93482679	52991990.0	14691716.38415331	155271540.2438949	62244181.24094527
5775_1095.682_6.3	56506163.64893793	70974885.0	55056936.87864404	28616893.815221995	25225491.14181692	39377766.20706069	65676948.24436001	48861061.3212724	77083506.34652005
5774_729.295_4.78	2174622.9893308063	1165466436.6013234	31034179.0	129655488.79577167	114427318.87371092	8970870.410902033	73926172.31538817	4922258.8377929935	2264878.345704215
5769_742.351_3.51	23220833.56281625	7116996753.34015	21243555.76985144	134821966.1411488	205753520.95713103	21541081.09861401	32834468.812935602	29118610.05510144	22762799.0
5767_596.292_4.24	3053996.5312667307	2336517127.3850694	31034179.000000004	234269559.10106385	189554970.19516996	25396414.00831153	78024091.88049966	3717463.0051219882	3412751.459861295
5761_763.481_8.65	34771105.0	56380798.41910946	214727873.00245208	39029500.94091837	51714904.6240672	56119954.20512163	70773821.03208102	61776663.21666667	84649326.88953824
5760_835.491_8.28	17157038.796688527	49966918.48994073	31034179.0	815521922.5937238	213768194.58115137	32572722.66865491	36052944.73184299	36526184.91646653	35918914.5015501
575_788.608_7.86_C42H89BNO6Se	67355974.20968647	56509955.45999707	17947423.159042686	82855842.74816656	83366650.0	72758419.31926574	4976124.618309991	141604150.9925887	2924067.151868638
5755_601.247_4.18	5365068.708555523	1135001141.0736892	31034179.0	165457813.40165845	125805772.56582436	10253819.418965558	55292423.0781545	3617934.5144078764	6236648.523225337
5754_875.487_3.93	38772637.37626969	46075950.27258308	61110299.70702077	23760907.042652115	45150456.74126027	30691537.98004357	70024663.8278345	63070179.00000001	38163723.948071264
5747_777.944_3.8	57597571.03500916	70974885.0	27960578.656527475	49599324.88336801	70616165.4086693	221862026.03990737	60467515.38050389	44033542.77227128	37222786.04603213
5745_781.319_4.89	34771105.0	42060884.7300221	80184411.02612971	43891569.72456829	54684529.75560754	46191479.93245458	112440083.50126362	87944378.12269272	41910353.26134247
573_641.354_6.19_C26H52N6O10S	10714392.155325212	70974885.0	70919772.1064357	68131523.41502753	54210210.61040064	54990609.36231463	65206235.95107556	60045238.52761486	43688025.21152447
5739_845.569_4.83	51870001.18689483	45143897.33377577	31034179.0	55182718.66718434	37687163.38510269	43703215.67558253	47748418.31514346	68965277.50287364	28294330.544341065
5738_481.27_7.77	55376690.95388631	25149277.432617784	472418852.6406718	43254790.67384555	44867101.11215752	52991990.0	98607009.27982546	56063879.24078373	197855156.40978324
5737_276.984_3.09_4-Hydroxyquinoline-2-carbaldehyde	52440349.42920918	161032356.80538902	31034179.0	20195247.280612245	23991572.31957908	31423995.493526787	38410074.43409864	43923673.22503188	25909796.93877551
5732_681.427_8.31	34771105.0	68676127.66952384	85518795.12951063	387397283.04816735	41953992.07712071	66118288.77768098	5761937.352166978	53144695.44664179	46000337.54591844
5721_345.154_4.18	21472233.68582259	3416246499.7603154	31034179.0	269010567.5187957	288841923.1040004	25804546.096191984	134588424.32335117	22481363.761180494	12033592.742983084
5718_304.347_8.82	283172280.9727696	60291123.70647347	72270395.51568082	77931989.0	106222425.0756517	206.25112875479687	206.25112875479687	51975284.44620881	36299992.409715496
5713_855.479_3.23	83437732.20843269	17670813.40692516	66841314.29853768	24245349.42404518	24313853.48296561	75482809.18168704	30999084.0	30168683.84224232	41929823.34624918
5710_525.197_2.33_Flavans_NCGC00385833-01![(2S,3R)-2-(3,4-dihydroxyphenyl)-3,5-dihydroxy-3,4-dihydro-2H-chromen-7-yl] 3,4,5-trihydroxybenzoate	20658540.43356659	2707220911.0797386	25488489.144541066	192159837.80904055	171276268.6356712	43814746.66179402	34233262.05430005	20140981.491700068	22762799.0
570_311.221_4.57_C18H30O4_ trans-EKODE-(E)-Ib _15-Hydroperoxy-5Z,8Z,11Z,13E-eicosatetraenoic acid	150018724.39303112	37349711.21185544	33346467.898509026	77931989.0	38707617.90920554	39377290.83307193	133863067.82054144	40956246.05138027	75703808.60318115
5706_1006.728_7.57	106572885.40083118	112884383.10913213	28007003.320076626	31015914.22375595	205889537.51518196	26695172.86571925	31260365.224011164	22217762.92138695	22762799.0
56_105.033_5.51_C7H4O	48434453.12644357	64022620.31432585	62310178.03629325	59639110.97540949	50995376.8398257	52991990.0	59225666.31494805	51553512.50468546	46955846.11612201
569_397.329_8.04_C20H40N6O2	23038907.838012114	78654805.94365549	18106240.107682552	155845489.40991548	99372827.2979037	90096891.44894303	30999084.0	27595347.48132036	10192492.097944647
5699_557.22_4.17	2061563.541562991	1136187187.7963881	31034179.0	152462821.0283232	121833120.1258125	6598230.540655471	62731965.12793552	2441663.863398031	6856138.227968488
5696_444.3_8.73	34771105.0	80056489.51755342	10131411.160729423	108342035.71216351	98535819.55909312	70367599.76384436	17924737.176866375	51691813.508188	22240630.991585724
5694_802.445_3.88	25248644.68851319	43257506.00262616	47209052.68528402	41104003.486725695	40046465.88553309	63125346.54916368	44481526.50115031	63070179.00000001	54086683.13604903
568_243.133_2.47_C11H18N2O4_ PyroGlu-Ile _Amino acids, peptides, and analogues_Amino acids, peptides, and analogues_PyroGlu-Val	18034597.34458028	70974885.0	14650550.947650965	129146663.12152238	61941023.23542208	69133047.00239547	26791793.271812133	141132473.74385995	23597086.871833604
5682_319.139_3.32_Lipothiazole B	5555281.929601003	5943750976.010247	31034179.000000004	377495810.1430028	407191827.35061985	18242753.03294927	79865794.00246751	18894343.39831244	12456827.466422195
567_548.426_8.58	15953356.257531324	181558351.31741413	15937398.59436835	156351559.76687345	251554878.92817345	52812960.05461368	24440610.11921101	217816573.2335091	22762799.0
5679_807.509_8.54	45083319.99341828	38723609.03317984	81162138.10624409	43350704.807670705	83366650.0	27132240.724724393	33291111.896944515	49702539.47716639	36135971.85400844
5677_435.38_9.33	27907015.75190597	105487214.28123346	21831710.17299237	63944182.78014798	276527259.4591373	41053698.68637595	90155839.7924654	105707131.94822532	22762799.0
5675_400.168_3.08_Quetiapine sulfoxide_Dibenzothiazepines_Quetiapine sulfoxide	39567835.157049395	70974885.0	28454725.783810057	26675225.913628664	30223542.273015376	89330125.04710189	47053421.70551797	45588672.61673051	33429990.44116765
5674_503.307_7.63	82151784.43777819	45923858.17432698	33881336.43202	313892616.8614516	83366650.0	55374348.54197371	27696250.29213109	47679697.81589336	21715399.324643586
566_317.268_5.64_C18H36O4_Fatty acids and conjugates_12,13-dihydroxy stearic acid	33635376.987487525	76421744.76423925	54877681.69915555	54272077.87826408	64582003.17196584	52991990.0	53591177.96112824	61955525.36920986	40419992.15757068
5668_535.239_4.19	3591793.0601731967	3605115291.4119577	31034179.0	230532934.14258257	235696296.004654	18622582.238671813	75285419.46822464	9364044.170512568	2344924.65838865
5666_555.848_7.58	47964480.63508424	34503142.84431113	31034179.0	299453373.600992	179071757.2775626	25306131.62453157	52123258.7465596	31656666.14374429	20909967.209195398
565_455.225_4.46_C19H30N6O7	85743178.39070696	65413517.03758184	62186997.87492273	64065352.39209671	63539324.78950688	52991990.0	58473040.36672738	34710857.23529281	54350913.49899166
5658_280.226_5.85	39778238.69109144	69399556.8999536	34345890.09213161	79095844.43719852	105254961.9759111	52991990.0	18120697.547119148	36334260.15657397	20254309.201448802
5657_430.352_6.36_Sorbitane Monooleate - Polysorbate 80 in-source fragment	2099685.9140632018	34161740.78700774	46209004.83300092	77931989.0	239685249.4032879	44063724.15576159	36096679.714078814	111500909.268585	15344363.907562988
5651_259.201_2.26	64100570.99182849	69944915.31567103	38470642.123055056	36506895.98588163	54686593.11154964	31560416.03719925	41591040.94941014	67484958.59249505	22762799.0
5650_695.272_3.31	50254192.62196393	47740361.20819296	85104008.69222999	40134006.23941005	83366650.0	37355149.66917829	51072713.52698589	40460933.888210095	98916413.85277492
564_308.331_6.18_C21H41N_Amines_hept-2-ynyldiheptylamine	13682787.130127812	134838112.23858628	31034179.0	46993458.35080706	68655391.50555897	32060002.640730035	46285026.17962885	118121000.99649829	24124263.24253558
5648_537.486_7.68	36551260.96459592	58946096.09104969	56642001.27304146	77931989.0	36445632.4364152	114510776.39423172	66937786.132668704	44135242.41717736	23.68883789655297
5646_640.317_4.4	5987751.727916604	2816154723.560834	31034179.0	242788878.83233264	206687950.40483996	14619162.577864164	104255006.51501648	6748533.287189429	7648604.601357761
563_309.149_4.91_C20H20O3	41342638.56233017	67311848.63480663	49799220.75261273	48116474.1542528	45131978.976704404	52991990.0	45583885.37144632	43666906.48964769	44932766.26892746
562_489.354_8.44_C21H44N8O5	29559634.30656433	64825226.82380954	81353773.05454278	77931989.0	77846346.02316247	72484182.07952651	83949091.78348996	46612668.48817318	40831831.28906795
5620_702.997_8.4	108542368.77506971	240243734.36588615	31034179.0	167088636.6671124	864121514.0677508	48353212.62400234	24174786.612557355	32557073.09764206	8245181.8488346925
561_447.257_4.69_C22H38O9	121543528.98864104	70974885.0	47138117.048865795	34111028.67956044	84235483.68993591	34747127.88496942	23712359.137369704	60004706.68803398	36751660.570127465
5618_554.659_3.79_ Decaethylene glycol 	34771105.0	29763757.819482904	31278240.56955683	35062570.33504484	17253319.69895014	65831539.55134921	38087076.74195374	33876221.683317475	35059796.8096969
5615_410.215_4.82	38402083.826752	48278329.74762867	95060837.41027486	32002475.523602307	42219883.782639146	52991990.0	53406998.83186518	46753388.62719768	55822907.34495243
