index	V4-forehead-healthy-3A6	V4-temple-psoriasis-3A9	V4-forehead-healthy-3A7	V4-temple-healthy-3B3	V4-temple-psoriasis-3B2	V4-temple-healthy-3B4	V4-abdomen-healthy-3B7	V4-behind-ear-healthy-3A12	V4-eyebrow-psoriasis-3A3	V4-eyebrow-psoriasis-3A4	V4-temple-psoriasis-3A10	V4-abdomen-psoriasis-3B5	V4-temple-healthy-3A11	V4-eyebrow-healthy-3A8	V4-eyebrow-psoriasis-3A5	V4-abdomen-healthy-3B6	V4-temple-psoriasis-3B1	GROUP_MEAN_DESCRIPTION_2_healthy	GROUP_MEAN_DESCRIPTION_abdomen	GROUP_MEAN_DESCRIPTION_behind_ear	GROUP_MEAN_DESCRIPTION_temple	GROUP_MEAN_Sex_male	GROUP_MEAN_Body_side_right	GROUP_MEAN_Body_side_left	GROUP_MEAN_Body_side_middle	GROUP_MEAN_Batch_2	GROUP_MEAN_DESCRIPTION_forehead	GROUP_MEAN_DESCRIPTION_2_psoriasis	GROUP_MEAN_DESCRIPTION_eyebrow	GROUP_MEDIAN_DESCRIPTION_2_healthy	GROUP_MEDIAN_DESCRIPTION_abdomen	GROUP_MEDIAN_DESCRIPTION_behind_ear	GROUP_MEDIAN_DESCRIPTION_temple	GROUP_MEDIAN_Sex_male	GROUP_MEDIAN_Body_side_right	GROUP_MEDIAN_Body_side_left	GROUP_MEDIAN_Body_side_middle	GROUP_MEDIAN_Batch_2	GROUP_MEDIAN_DESCRIPTION_forehead	GROUP_MEDIAN_DESCRIPTION_2_psoriasis	GROUP_MEDIAN_DESCRIPTION_eyebrow	GROUP_SUM_DESCRIPTION_2_healthy	GROUP_SUM_DESCRIPTION_abdomen	GROUP_SUM_DESCRIPTION_behind_ear	GROUP_SUM_DESCRIPTION_temple	GROUP_SUM_Sex_male	GROUP_SUM_Body_side_right	GROUP_SUM_Body_side_left	GROUP_SUM_Body_side_middle	GROUP_SUM_Batch_2	GROUP_SUM_DESCRIPTION_forehead	GROUP_SUM_DESCRIPTION_2_psoriasis	GROUP_SUM_DESCRIPTION_eyebrow
455.826__7.51_5105	37379910.255475536	29554859.975662272	71139916.51923019	39412239.0	44224674.5956438	33869926.86851048	44496515.395003475	41648212.50568638	43138533.77166546	104923573.05210915	130616627.52869092	15183999.815635733	34762348.07235828	89281710.22667198	36615222.649345726	56776142.582162246	22744118.363473956	49862991.269455396	38818885.93093382	41648212.50568638	47883542.05776282	51515795.9516074	36672516.66006138	63817635.97277377	54259913.38735286	51515795.9516074	54259913.38735286	53375201.219028376	68489759.92494807	41648212.50568638	44496515.395003475	41648212.50568638	34762348.07235828	41648212.50568638	39412239.0	42393373.13867592	54259913.38735286	41648212.50568638	54259913.38735286	39876878.21050559	66210121.999168724	448766921.42509854	116456657.79280145	41648212.50568638	335184794.40433973	875768531.1773257	256707616.6204297	510541087.78219014	108519826.77470572	875768531.1773257	108519826.77470572	427001609.752227	273959039.69979227
455.372_C17H46N10O4_8.38_2881	21552799.01341399	20352863.064245053	101762461.79974332	39412239.0	48906436.15525809	27415170.582404666	255329850.6357226	11020422.33804373	174979581.53290933	72328522.43520606	11203256.822397914	83333075.67762057	30129178.343293365	80261317.43487914	187465648.85279742	380966776.0267593	51706946.50487693	105316690.5749178	239876567.4467008	11020422.33804373	32732298.638925143	94007443.89526892	126724356.36894889	73467598.8529715	61657630.40657866	94007443.89526892	61657630.40657866	81284541.38066392	128758767.56394798	39412239.0	255329850.6357226	11020422.33804373	30129178.343293365	51706946.50487693	51706946.50487693	51228850.38924971	61657630.40657866	51706946.50487693	61657630.40657866	62017734.47004149	127620449.48389423	947850215.1742601	719629702.3401024	11020422.33804373	229126090.472476	1598126546.2195716	887070494.5826422	587740790.823772	123315260.81315732	1598126546.2195716	123315260.81315732	650276331.0453113	515035070.2557919
455.334_C21H46N2O8_7.01_3984	36930192.56642493	67791391.43732199	52365709.956118144	138226709.60943553	40717373.38042776	33239725.168365087	30977632.926124845	24716398.42351189	28968298.52551424	38476740.327883266	32511369.0	27877012.814135022	21146131.542974245	42262636.28168513	73200949.38961157	55790891.23249791	72684861.89090817	48406225.30079308	38215178.99091926	24716398.42351189	58045366.00420468	48110824.96899645	57073458.1459849	41134239.36606279	44647951.26127154	48110824.96899645	44647951.26127154	47778499.59572525	45727156.13117355	36930192.56642493	30977632.926124845	24716398.42351189	40717373.38042776	38476740.327883266	40717373.38042776	35494054.66394164	44647951.26127154	38476740.327883266	44647951.26127154	39597056.85415551	40369688.30478419	435656027.7071377	114645536.97275779	24716398.42351189	406317562.0294328	817884024.4729396	399514207.02189434	329073914.9285023	89295902.52254307	817884024.4729396	89295902.52254307	382227996.765802	182908624.5246942
455.304_C22H46O7S_7.6_2506	30498874.819448903	76934353.34866785	1.3198999270976755	30320000.661428697	81786409.75277314	120444166.7775807	33728617.14505983	49823369.944194786	64881316.27249591	26056012.4708425	49648984.76582664	22550304.148574065	357300605.9851366	58662159.0	68198780.46716167	32888921.889538903	160526755.7736902	79296301.94914316	29722614.39439093	49823369.944194786	125280182.43787198	74367625.56131297	68892168.02123508	93938197.78179075	15249438.069674416	74367625.56131297	15249438.069674416	68822864.625004	54449567.052625015	33728617.14505983	32888921.889538903	49823369.944194786	81786409.75277314	49823369.944194786	33728617.14505983	61771737.636247955	15249438.069674416	49823369.944194786	15249438.069674416	66540048.36982879	61771737.636247955	713666717.5422884	89167843.18317279	49823369.944194786	876961277.0651039	1264249634.5423205	482245176.1486455	751505582.254326	30498876.13934883	1264249634.5423205	30498876.13934883	550582917.000032	217798268.21050006
455.277__7.74_5057	33471184.735451747	22610644.69978733	29016344.06485665	39412239.0	25330568.431590796	11327103.302584162	166948729.07774264	33896738.92764097	96368049.93026984	43620804.743315555	49921556.15369816	83304045.37882644	21513699.196223624	38845861.78698116	84525874.85385926	74754533.6382486	179904322.58097658	49909603.74774773	108335769.36493921	33896738.92764097	50002876.19498009	60868958.853061974	82997363.05856703	48912903.786471985	31243764.400154196	60868958.853061974	31243764.400154196	73198233.3465405	65840147.82860646	33896738.92764097	83304045.37882644	33896738.92764097	25330568.431590796	39412239.0	74754533.6382486	41233333.26514836	31243764.400154196	39412239.0	31243764.400154196	66612800.7662623	64073339.79858741	449186433.72972953	325007308.09481764	33896738.92764097	350020133.36486065	1034772300.5020536	580981541.4099692	391303230.2917759	62487528.80030839	1034772300.5020536	62487528.80030839	585585866.772324	263360591.31442583
455.242_C18H42N3O5Se_7.44_2991	15204506.219266579	10643359.235443378	9589112.87314621	45019875.76194186	63376927.418582276	64660457.28166065	49278270.0166654	38450413.034810945	21861377.354679555	36515955.69258379	32511369.0	22006793.095667873	145345627.08812246	23320713.43914849	18232064.39699031	54097443.68955729	77397401.24805976	49440713.267146654	41794168.933963515	38450413.034810945	62707859.57625862	42794803.93213687	53691024.07316215	40860109.90522237	12396809.546206394	42794803.93213687	12396809.546206394	35318155.93025087	24982527.72085054	45019875.76194186	49278270.0166654	38450413.034810945	63376927.418582276	36515955.69258379	54097443.68955729	27916041.219574243	12396809.546206394	36515955.69258379	12396809.546206394	27259081.047833934	22591045.39691402	444966419.4043199	125382506.80189055	38450413.034810945	438955017.0338104	727511666.8463268	375837168.5121351	326880879.24177897	24793619.09241279	727511666.8463268	24793619.09241279	282545247.44200695	99930110.88340215
455.19_C22H36O5Se_2.88_129	464219700.8079026	9096189.676709365	182873254.84752983	9216661.812191403	36439430.72106934	6475530.46658112	6149033.4098854	24681539.500000004	576082871.7929415	2032722860.8037899	92185528.87602933	10395861.32464863	2557296.8624700154	345000965.50540924	1259291667.8832316	4555149.063329101	183815419.64096862	116192125.80836652	7033347.932621043	24681539.500000004	48540865.43657417	308574056.6467462	36721012.348381944	542702365.1125726	323546477.82771623	308574056.6467462	323546477.82771623	525003728.8399235	1053274591.496343	9216661.812191403	6149033.4098854	24681539.500000004	9216661.812191403	36439430.72106934	9216661.812191403	218593247.19071928	323546477.82771623	36439430.72106934	323546477.82771623	138000474.25849897	917687269.8380866	1045729132.2752987	21100043.79786313	24681539.500000004	339786058.0560192	5245758962.994686	257047086.43867362	4341618920.90058	647092955.6554325	5245758962.994686	647092955.6554325	4200029830.719388	4213098365.985372
455.19_C16H36N4O6Se_4.16_4	121920327.0965074	1253863.9664547201	90727200.39939202	1399450.9837188479	1386072.501942559	921430.811152343	202854.47089688937	24681539.5	263420259.06836638	294987760.30745506	92472706.62287433	380468.96261048684	895776.3029604998	115403351.34018475	268126940.83086208	152491.0684585548	130429985.61012909	39589380.21925237	245271.50065531034	24681539.5	32679898.114176057	82868381.16729213	19267536.344129827	132655274.74239475	106323763.74794972	82868381.16729213	106323763.74794972	131557257.23383683	235484577.88671708	1399450.9837188479	202854.47089688937	24681539.5	1386072.501942559	24681539.5	921430.811152343	103938028.98152953	106323763.74794972	24681539.5	106323763.74794972	111451346.11650172	265773599.94961423	356304421.9732713	735814.501965931	24681539.5	228759286.7992324	1408762479.8439662	134872754.40890878	1061242197.939158	212647527.49589944	1408762479.8439662	212647527.49589944	1052458057.8706946	941938311.5468683
455.19_C16H26N10O4S_3.58_2452	46449454.182944305	58041044.02794785	26949479.646374952	38476125.863134935	46494985.82475812	26631106.408584308	21335814.7844261	24712382.567948792	155493894.2370219	259869552.16806203	32511369.0	20407038.29748903	57007866.30945365	49101878.020088576	96841821.3909297	17001202.053806752	54691454.713605314	34185034.42630693	19581351.711907294	24712382.567948792	44836278.87821203	60706851.14685743	32148246.84940065	91697475.96518156	36699466.91465963	60706851.14685743	36699466.91465963	90543894.95747674	140326786.45402554	26949479.646374952	20407038.29748903	24712382.567948792	46494985.82475812	46449454.182944305	26631106.408584308	57524455.168700755	36699466.91465963	46449454.182944305	36699466.91465963	56366249.37077658	126167857.8139758	307665309.8367624	58744055.13572188	24712382.567948792	313853952.1474842	1032016469.4965763	225037727.94580457	733579807.7214525	73398933.82931925	1032016469.4965763	73398933.82931925	724351159.6598139	561307145.8161021
455.191_C18H26N6O8_4.67_2963	68684085.39376232	42542019.65239569	55882991.266994245	25278951.777102847	45134248.66086083	49851725.57493192	25033349.797327008	32645872.095908836	435752324.83351886	398420035.3175743	28617931.721222494	23143145.527378816	23297312.685197614	40416552.69400721	161100964.78545323	37775039.0	48348188.89565507	39873986.69835911	28650511.44156861	32645872.095908836	37581482.70962378	90701455.27525245	36366378.46189378	145349126.7231598	62283538.33037828	90701455.27525245	62283538.33037828	147882357.42425743	258922469.4076384	37775039.0	25033349.797327008	32645872.095908836	42542019.65239569	42542019.65239569	37775039.0	41479286.17320145	62283538.33037828	42542019.65239569	62283538.33037828	46741218.77825795	279760500.0515138	358865880.285232	85951534.32470582	32645872.095908836	263070378.96736646	1541924739.6792915	254564649.2332565	1162793013.7852783	124567076.66075656	1541924739.6792915	124567076.66075656	1183058859.3940594	1035689877.6305536
454.3__4.55_5407	19602141.333289746	28424688.01741535	55394441.095933564	38552461.598344654	30218755.57256296	49298843.328046754	64341879.08484488	37841455.82686583	32864515.997842956	39912554.726482116	48298374.9863252	38724651.90386913	40120950.71040713	58662159.0	51448753.57812078	39989903.22124691	31584575.171215117	44867137.24433105	47685478.06998698	37841455.82686583	38071235.626331024	41487123.83251842	41815867.12573291	42196681.60543242	37498291.21461166	41487123.83251842	37498291.21461166	37684608.744229205	45721995.825611465	40120950.71040713	39989903.22124691	37841455.82686583	38552461.598344654	39912554.726482116	38724651.90386913	40016752.71844462	37498291.21461166	39912554.726482116	37498291.21461166	35794583.950856045	45680654.152301446	403804235.19897944	143056434.20996094	37841455.82686583	266498649.38431716	705281105.1528132	292711069.8801304	337573452.84345937	74996582.42922331	705281105.1528132	74996582.42922331	301476869.95383364	182887983.30244586
