#SampleID	V11-arm-healthy-BF3	V11-arm-healthy-BH1	V11-arm-healthy-BF4	V11-arm-healthy-BH2	V11-arm-healthy-BF5	V11-arm-healthy-BH3	V11-arm-psoriasis-BF11	V11-arm-healthy-BF6	V11-arm-psoriasis-BH5	V11-arm-healthy-BH4	V11-arm-healthy-BF8	V11-arm-psoriasis-BF9	V11-arm-psoriasis-BF10	V11-arm-healthy-BF7	V11-arm-healthy-BF12
499.355__8.35_1878	34037374.97520372	14567195.942080036	9070810.359035477	14261791.623603715	36407127.1655881	256702926.5699249	41345210.49548672	22547325.81431451	58620098.71684272	10079565.677486744	10140614.546854066	15467988.861991825	24445992.28952393	38905152.0	128852823.01767737
499.215_C22H36O11_4.24_597	10520603.840008728	9793689.530454086	12759219.819044042	7527821.804536748	33521227.0	9557178.475122353	895156015.7241963	267351551.6831419	45328834.35964147	75753949.30701244	506280056.7170012	90187354.61505052	31400605.01884632	37342966.88744635	13965620.660362093
498.399_C23H53N4O7_6.34_2631	55236380.10173336	36274463.63076002	31462951.07395577	42065986.46698251	57388318.11710489	13214676.690392295	2700086.407927141	29257854.09586617	11309378.02025728	44539799.46357608	33637516.45337745	4209163.632821668	3467151.917964892	38905152.0	84176768.86766377
498.29_C22H43NO11_3.8_554	4178405.276312972	3960623.230469188	4064177.2916919123	6400903.174693722	33521227.0	3824098.4113673437	523554939.3119121	154421407.11881742	61711696.97986191	50431284.17976873	359234767.3165085	90407402.8764655	32794010.48584236	8262794.505300861	4268334.04993662
497.417_C26H52N6O3_9.09_2217	13476325.342210393	15448095.19426	35728796.67383252	7215622.766942874	41195417.4617434	69091284.456511	13692341.635076553	20570385.394446574	33295229.021017395	19774744.23197882	94070760.13768315	121300516.9201476	33536503.76348571	27489452.71443231	15613457.5
497.375__8.62_2979	27069759.56192641	16729580.0	61771820.01024703	19509514.497733086	24115791.36116201	15423812.647837095	38769131.58246616	22772697.88751295	28864230.34807376	16695585.412753945	179952807.2766548	31145287.441415746	29731767.157012407	33102994.583966304	12008399.020507235
497.36_C23H44N8O4_7.73_1423	83736376.77899344	16175398.785561053	96031855.88622281	6067240.2458307585	308934060.44376284	40784041.04239007	3953219.037837635	25097712.08574626	23949771.40153865	233763830.5076168	6745672.066106441	82794232.17492995	21535560.0	10348463.464067264	9085105.633132234
497.361_C17H44N12O5_8.59_3362	101080386.62957928	19050291.121060364	144768044.29287168	9831856.192187537	222048609.881654	35080544.86821564	2423364.2935448317	21086993.963139813	42260393.1208256	237655989.50195524	18043139.542772986	9152489.967686543	21535560.0	22974649.63875529	13639128.13593595
497.236_C17H34N10O5_2.81_2393	19545025.29426976	36379514.73293773	13986461.410091234	45561725.46226722	19394516.92487038	9085322.182142144	17388913.561605662	36787989.33360917	40591167.468826	14488380.517347887	72163656.36431843	21728095.42078209	10114971.72574115	25408613.528129525	15613457.5
497.213_C23H32N2O10_4.08_1982	14786280.601530133	24205133.91109953	20459825.48814835	21295982.60164876	20747723.340932254	23259294.07500195	770238507.2399503	17384973.930509407	43094563.97569613	17375694.272076335	129477629.37943073	58560352.65961295	24784421.064999945	23555638.08396446	15613457.499999998
496.42_C24H55N4O6_7.35_176	30150586.841622844	20455751.41752128	43898049.702444665	22600907.72830816	41483248.06860965	29047672.20375086	3480180.8295106287	33698817.5	11290302.38275458	48212838.74787111	20707677.5168472	14048082.817790475	10618210.527601045	27746293.199938957	46930499.17924178
496.339_C24H50NO7P_5.98_748	3079772.0666579073	1838988.5693666497	28091052.5	1341157.1251645521	21287243.691415276	23529599.97335797	18353204.776107714	39606205.66034538	39897649.635626376	33412082.49302916	31881781.463848326	2731399.456418765	41054113.577577785	30934135.31766336	16032564.723715447
496.202_C20H33NO13_2.42_854	18280651.5	27992292.21080401	24866737.16697529	32939277.82728642	22400838.104266502	13830517.86644135	18014644.384027835	30669407.88387268	32038876.48744969	16001726.35946782	23746439.03794567	27414193.703796115	28504180.15139872	11308744.212634599	36866172.17818657
495.402_C28H56O5_9.12_3744	8944535.481273063	17979237.245994896	103378622.74135809	9897834.745643737	30421809.50580967	17073357.280210048	20855990.17657714	55749699.26076724	13479424.274742795	37776453.018757984	10801271.452819908	22960332.0	37029853.4326809	42164719.52027065	4228443.919209553
495.3_C24H44N2O7_4.51_3089	18139926.534276813	19479665.89983176	55574345.23732272	43143064.37255083	21791646.320498846	18029456.14473433	18386060.702062383	25696707.13871791	41771330.41750469	28837850.91467151	29929065.444937136	22960332.0	22975254.92052937	22046342.73314428	24691780.59860089
495.38__8.75_5052	21788251.98064842	11604965.44478169	36670797.09261337	20099855.629103214	41087810.63211414	11992993.953859298	20310298.75680042	30832755.56805796	56069017.99825829	17804514.503695395	28425233.000602696	38032446.35663188	21535560.0	6437024.998895605	16171251.959464716
495.388_C26H54O8_6.69_593	34870548.52213307	25160590.28623833	39326107.56780329	26078468.132129434	34416333.61597933	22746610.0	3500934.9090491845	26324480.27701327	10293357.614172373	34540560.47553717	20782719.591420308	9693208.007362973	5546624.322576678	24591551.96990733	61381168.55382772
495.34__8.01_2241	10665057.656355835	6084115.951771418	13022390.14273728	22936165.54801643	45817169.17206685	22746610.0	29152369.48754812	36994825.25480064	57942560.12285983	18529739.41802472	16247982.58595951	23242013.899323795	136135506.81108356	28012620.25143364	19654997.814910773
495.33_C26H48O7_7.72_2168	8947779.875369387	10381233.71957751	15132266.366574895	0.7954727592212735	18772747.449151054	20530949.069947466	23713687.28532113	76720518.92576003	47216784.29425706	30837997.0	68413178.94167624	45687229.38600741	68090388.02807564	76912991.5145812	5820306.334469862
494.84_C8H16O4P2S8_6.72_956	16736464.450261215	44589596.45899579	35484343.73787428	12804603.00746554	28476955.62874783	8613613.37174032	14997474.5	16498437.672644667	39399331.39179423	17816055.656687442	46725567.16979597	26131527.18685684	52340900.78334906	29065918.963050377	153502765.22781444
494.26_C22H39NO11_4.24_1254	8302551.408910489	16944573.29022475	26297081.089635067	31202706.44447656	13900192.948691387	11653193.570751775	535661842.0267083	158908513.04765865	77241395.6031448	17915466.098880958	329471465.97597706	19711040.4345841	34099949.177315585	15305843.868201232	15613457.5
493.851__7.79_1666	26926795.98263418	35566748.19094212	11337302.79809284	128583970.13868564	13274489.572433986	28702160.102723356	14997474.499999998	15418110.227250688	18800175.70685933	69672995.47240639	34388154.7365916	12551894.402706508	19096432.419770326	76504740.4864293	37536144.20723347
493.409_C27H56O7_7.68_1164	36474621.533600055	20576352.982708845	51400653.29711448	17151085.206415452	52699944.09755701	31217702.59575937	500488.9991543967	33698817.5	13382812.701381993	60715637.86047834	19708717.42067698	11574240.508187635	7834904.975459453	27337586.08947825	35061901.967432596
493.35_C21H52N7OSe_8.97_2721	13668989.43939742	1969778.4673546904	33758960.115916945	3885474.1552287806	22215072.10876181	52824650.87342203	14997474.5	43429948.57282	3822535.291990986	45955401.46225309	41703035.13396398	41430961.436287664	59600928.57548808	36974550.32773155	2875365.4964789767
493.349_C23H46N6O4_8.07_2769	7063534.680834222	6508234.089309576	30489525.64559435	1904291.737975715	31637433.590963315	21775253.022349346	23852411.88491683	33698817.5	32969520.02690709	20919223.48918301	68150216.14610335	46262117.21275024	49850645.38827154	57994450.77748801	2583433.5708969533
493.28_C20H40N6O6S_6.88_967	31588642.24971896	36448060.15601995	28091052.5	42258936.97547493	33368466.514836624	34986496.36592294	2548726.2005753205	29314505.491754506	8078587.011548735	39282877.76681379	33151454.50331254	14467230.743130092	11454135.073341893	49588395.80558386	59840026.5059284
493.239_C21H36N2O11_4.19_3189	25750825.937879216	16729580.0	34201932.173361346	21119529.365645327	20098606.849629045	19295851.186580226	126445815.61897545	90321928.1662986	26439836.00110973	22084908.92480067	48311753.80355224	16881129.593370434	19503901.347368967	16986281.410702877	17008043.88288581
492.861__8.1_1235	44472294.08071671	18115348.90088453	30507114.960769355	100350003.1978635	22357882.52537212	22746610.0	8737561.853471313	14954736.58811897	15464679.830180913	18948629.420338847	32436771.627086394	14282018.407951415	22228731.187174316	211853340.1702974	39142575.10446006
492.404_C28H51N4O3_8.01_3130	68754649.34590024	11646045.034275085	181650858.1005428	11589313.93114295	166897470.50070393	50650222.81235975	7554585.576462015	63443116.40056007	25253835.184364274	65094270.08579704	5773876.978867216	15782986.67249746	21535560.0	15743975.720582316	6390673.173216717
