index	V12-leg-healthy-BH8	V12-leg-healthy-BH9	V12-leg-healthy-BH7	V12-leg-healthy-BH10	V12-leg-psoriasis-BA11	V12-leg-psoriasis-BA12	V12-leg-psoriasis-BB11	V12-leg-healthy-BH11	V12-leg-healthy-BH12	GROUP_MEAN_DESCRIPTION_2_healthy	GROUP_MEAN_Sex_female	GROUP_MEAN_DESCRIPTION_leg	GROUP_MEAN_Body_side_left	GROUP_MEAN_Batch_3	GROUP_MEAN_DESCRIPTION_2_psoriasis	GROUP_MEDIAN_DESCRIPTION_2_healthy	GROUP_MEDIAN_Sex_female	GROUP_MEDIAN_DESCRIPTION_leg	GROUP_MEDIAN_Body_side_left	GROUP_MEDIAN_Batch_3	GROUP_MEDIAN_DESCRIPTION_2_psoriasis	GROUP_SUM_DESCRIPTION_2_healthy	GROUP_SUM_Sex_female	GROUP_SUM_DESCRIPTION_leg	GROUP_SUM_Body_side_left	GROUP_SUM_Batch_3	GROUP_SUM_DESCRIPTION_2_psoriasis
98.513__1.96_2602	12390298.921084138	15347090.467777425	17441304.51760896	5370546.466735897	5632613.727010832	8082993.688903212	7270119.5	5562732.11433761	17299962.036682937	12235322.420704493	10488629.048904557	10488629.048904557	10488629.048904557	10488629.048904557	6995242.305304681	13868694.694430782	8082993.688903212	8082993.688903212	8082993.688903212	8082993.688903212	7270119.5	73411934.52422696	94397661.440141	94397661.440141	94397661.440141	94397661.440141	20985726.915914044
98.512__6.24_2325	38738901.62979973	15016312.5	7260978.621889179	11402788.646697372	5316403.224897799	9219718.281265674	7900509.995785783	5698212.856851755	19112624.58528651	16204969.806754092	13296272.260274867	13296272.260274867	13296272.260274867	13296272.260274867	7478877.167316419	13209550.573348686	9219718.281265674	9219718.281265674	9219718.281265674	9219718.281265674	7900509.995785783	97229818.84052455	119666450.3424738	119666450.3424738	119666450.3424738	119666450.3424738	22436631.50194926
98.512__5.67_2114	17107553.772554073	10444023.92509054	18131054.922700055	7893696.207716182	8887799.5	7063219.567884503	7406614.698051895	4642016.9880443895	17092165.056699306	12551751.812134093	10963127.182082327	10963127.182082327	10963127.182082327	10963127.182082327	7785877.921978799	13768094.490894923	8887799.5	8887799.5	8887799.5	8887799.5	7406614.698051895	75310510.87280455	98668144.63874094	98668144.63874094	98668144.63874094	98668144.63874094	23357633.765936397
98.512__5.19_2012	12817260.992640376	12544238.65352645	13913700.96253992	13431034.5	14880947.56394698	9557244.332352804	19029633.529292773	3466216.6824881164	28636174.49073826	14134771.046988852	14252939.078613963	14252939.078613963	14252939.078613963	14252939.078613963	14489275.141864186	13124147.746320188	13431034.5	13431034.5	13431034.5	13431034.5	14880947.56394698	84808626.28193311	128276451.70752567	128276451.70752567	128276451.70752567	128276451.70752567	43467825.42559256
98.512__4.61_1741	16033300.970238855	4517436.380719379	15224434.5	5620737.78950038	14673801.657075707	8314145.320658997	4543328.857389675	9671907.767352829	12848141.271265578	10652659.779846169	10160803.834911266	10160803.834911266	10160803.834911266	10160803.834911266	9177091.94504146	11260024.519309204	9671907.767352829	9671907.767352829	9671907.767352829	9671907.767352829	8314145.320658997	63915958.679077014	91447234.5142014	91447234.5142014	91447234.5142014	91447234.5142014	27531275.83512438
98.512__3.65_1856	9893802.933122957	10912527.772518408	48482894.236893095	8546310.785085533	11641886.189171232	14851201.948790343	5478194.457509826	11481061.999999998	16982979.77855284	17716596.251028806	15363428.900182694	15363428.900182694	15363428.900182694	15363428.900182694	10657094.198490467	11196794.886259202	11481061.999999998	11481061.999999998	11481061.999999998	11481061.999999998	11641886.189171232	106299577.50617284	138270860.10164425	138270860.10164425	138270860.10164425	138270860.10164425	31971282.5954714
98.512__2.39_1840	14307289.35160089	30397371.546990614	15224434.5	8008359.229731352	11943443.663547348	9920305.997866543	5862271.328062386	6233142.837680379	32437769.794999953	17768061.2101672	14926043.138942162	14926043.138942162	14926043.138942162	14926043.138942162	9242006.996492093	14765861.925800445	11943443.663547348	11943443.663547348	11943443.663547348	11943443.663547348	9920305.997866543	106608367.2610032	134334388.25047946	134334388.25047946	134334388.25047946	134334388.25047946	27726020.98947628
98.512__10.13_1904	15701190.69540871	16502399.914349742	9489833.539752977	9274554.278341195	6326131.875834485	13611533.900257446	6634152.342134613	11481062.0	23225835.111925893	14279145.92329642	12471854.850889452	12471854.850889452	12471854.850889452	12471854.850889452	8857272.706075514	13591126.347704355	11481062.0	11481062.0	11481062.0	11481062.0	6634152.342134613	85674875.53977852	112246693.65800506	112246693.65800506	112246693.65800506	112246693.65800506	26571818.118226543
98.512__1.43_3070	9805788.362193221	15904472.95817109	11298066.185339488	13431034.5	12828195.90339477	7285757.342119155	12302949.234253379	5016791.418405641	8224230.7468504775	10613397.361826653	10677476.294525247	10677476.294525247	10677476.294525247	10677476.294525247	10805634.159922434	10551927.273766354	11298066.185339488	11298066.185339488	11298066.185339488	11298066.185339488	12302949.234253379	63680384.17095992	96097286.65072723	96097286.65072723	96097286.65072723	96097286.65072723	32416902.4797673
98.013__7.04_2832	22491869.36214215	13070469.896263894	15224434.500000002	12834675.26227994	6491250.340724901	14048029.224817134	11277323.778734446	10262584.345603034	11825487.054361513	14284920.070108421	13058458.196103001	13058458.196103001	13058458.196103001	13058458.196103001	10605534.44809216	12952572.579271916	12834675.26227994	12834675.26227994	12834675.26227994	12834675.26227994	11277323.778734446	85709520.42065053	117526123.76492701	117526123.76492701	117526123.76492701	117526123.76492701	31816603.34427648
98.013__4.17_3873	15067714.5	9452400.091245744	10895531.212834822	27700434.830354936	6201039.78254409	25602318.258138523	7827378.454393948	6189401.982379393	16070057.953828447	14229256.76177389	13889586.340635546	13889586.340635546	13889586.340635546	13889586.340635546	13210245.498358853	12981622.85641741	10895531.212834822	10895531.212834822	10895531.212834822	10895531.212834822	7827378.454393948	85375540.57064334	125006277.0657199	125006277.0657199	125006277.0657199	125006277.0657199	39630736.49507656
98.013__3.33_3707	9636062.220631368	8597947.614710871	15224434.5	9765963.11253925	9594927.220501196	27164975.638259515	8992194.026808787	6653694.253606644	8671947.421924662	9758341.520568801	11589127.334331367	11589127.334331367	11589127.334331367	11589127.334331367	15250698.9618565	9154004.821278015	9594927.220501196	9594927.220501196	9594927.220501196	9594927.220501196	9594927.220501196	58550049.1234128	104302146.0089823	104302146.0089823	104302146.0089823	104302146.0089823	45752096.8855695
98.013__2.41_3525	15067714.499999998	8454416.151893279	21467679.354254324	6041847.5107107	21123972.061826777	9690855.282723589	15351020.260919088	7625314.719458703	7051873.80844765	10951474.34079411	12430521.516692678	12430521.516692678	12430521.516692678	12430521.516692678	15388615.868489817	8039865.435675991	9690855.282723589	9690855.282723589	9690855.282723589	9690855.282723589	15351020.260919088	65708846.04476466	111874693.6502341	111874693.6502341	111874693.6502341	111874693.6502341	46165847.60546945
