#SampleID	V10-arm-healthy-BC3	V10-arm-healthy-BC6	V10-back-healthy-BC9	V10-arm-psoriasis-BC7	V10-back-healthy-BC8	V10-back-healthy-BE12	V10-arm-healthy-BC4	V10-arm-healthy-BC5	V10-back-psoriasis-BD11	V10-back-healthy-BC10	V10-back-psoriasis-BD12	V10-back-healthy-BC11	V10-back-psoriasis-BE11	V10-back-healthy-BC12
3028_323.256_7.22_C20H34O3_Ethyl (Z,13S)-13-hydroxyoctadec-9-en-11-ynoate	116967343.84255032	16561885.592660867	48708354.666710295	34533345.609561816	67033248.17396284	13498064.937630238	104302425.18571591	35860250.54273988	53573459.87541905	62566814.77036828	76356130.22554833	52945415.41364194	62484410.33072546	72745763.06321341
3027_555.423_8.46_C30H56N3O6	37696311.762978815	484958173.4970561	55541071.66048189	132314878.36978167	94217537.18987492	4153863.166831348	1211906717.412167	469529535.50846016	28280405.17814567	51345884.88666267	13085076.390984844	84020704.95783103	14963231.40756196	31313130.014843315
3025_169.047_1.1_C6H10O4	42237958.67836586	313082201.58880246	12544526.926819865	21620400.030419946	30635273.109082397	118421456.8649305	138750481.4862219	145387458.87528998	60893863.53665553	27436433.63414041	12171063.779385772	77333035.49312988	24899836.32832847	58458373.44021878
3022_464.341_8.2	56238689.5380792	223041133.82447177	77732582.65477446	32156963.08362532	38121345.79188521	79411781.21208124	40698365.96833383	129102218.48496136	31170609.34928592	55025033.07032205	27367020.69990026	58033543.99516994	41137542.18913898	51187026.12505714
3021_717.33_5.02_C26H38N20O4	88946670.36155327	112672944.42826822	42393531.68048053	130426146.87458736	25512893.737626106	205692508.5418443	57665720.13531061	37864895.78405432	339124178.4093572	22627629.8129394	61781273.88643835	37090140.77309412	337386148.344736	54323826.698432
3020_570.421_6.41_C29H55N5O6	1145188.482142028	170948788.85974953	34633472.43283705	38901026.64908938	67232845.26615539	90143750.34320524	233385752.99742705	163272712.79626957	19101533.553416856	86809697.17838219	9516669.18876188	80830325.08213107	6902365.8890250875	89788599.42389207
3019_1057.72_7.82	34290765.5423487	192626562.57168782	58315867.37269017	63461033.16365583	44104148.49790392	26140044.59512552	137512213.62664825	61613483.44828618	22449017.62275748	111499818.71675578	24840521.225836106	75143655.48144357	20810309.8526256	57938850.97538938
3017_353.352_6.43_C22H44N2O	16889968.29748251	161311405.95775253	32539604.56667964	15687082.70446126	142658223.24803495	12118385.29823568	176276273.55739382	177907632.90763268	63107687.28409103	122498959.82084005	17319806.354763664	213628686.76778883	16995144.28207293	30596668.23473721
3016_784.49_3.34_C36H65N9O10_Amino acids, peptides, and analogues	111208615.27216025	124371220.66345382	144480629.95682052	11032570.872522077	20383069.21388756	55091087.8817999	167262442.33618793	60552256.01305121	15153786.848676952	163637834.46496803	8813993.513881344	48402330.30673095	54525969.03957241	48496532.4318636
3015_606.384_6.36_C28H55N5O7S	7157700.6342252465	222746406.07515144	2049493.7482393703	26145829.12576856	52566830.37493816	39975514.24438381	151110592.18692932	123737770.50247271	20113113.091100223	120411434.93363494	35670891.26801358	74662167.89907053	3420498.5792901358	107014783.14047159
3013_384.235_3.36_ Decaethylene glycol 	2019708.8719969837	170484501.87635085	146384836.78337458	16854272.32190111	39472334.47591273	74262266.88747476	195638293.8758663	66121839.23366399	23735107.63568373	185479386.52962524	21566424.09877384	66804161.90274594	57484823.03491368	63748132.97502576
3012_369.351_8.78_C27H44_Cholestane steroids	45086845.59368146	61885451.487503506	73186798.46878302	29792813.29358243	107782763.33407786	5095953.517019215	92138906.60251378	69706388.83074309	154986750.05647284	152349280.13999796	11717158.783915207	86664324.67240071	60153062.04192974	11274450.461665625
300_860.667_8.43	9230561.80150043	172198277.27347922	29239898.593147084	27510918.62241325	130857295.47457317	7704360.277123918	239209902.77712235	136807503.02219197	21213389.547294553	102168091.76512836	10165281.16542184	135077673.42251742	35709756.49874219	50143926.54165071
3009_685.487_9.99_C24H60N16O7	434878419.03939104	62191410.38104561	56216811.00445631	125425629.5787755	46687973.54223687	69667141.46546452	61237868.42570485	29987017.31072124	112070267.94349256	54014356.53753241	58286488.91269817	72156819.02905114	124518596.03853522	55831170.87097309
3007_628.194_8.2_C17H29N11O15_NCGC00385199-01!2-[3,4-bis[[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy]phenyl]-5,7-dihydroxychromen-4-one_Flavonoid glycosides_Flavonoid glycosides_NCGC00385199-01!2-[3,4-bis[[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy]phenyl]-5,7-dihydroxychromen-4-one	19261738.41801972	108021386.61776732	109121014.36921258	35883757.761796206	137043991.466351	37671372.37621545	63955849.31895254	159425120.8474117	65215642.37296349	75506751.48128353	22569053.63301964	40827886.13977815	76679692.94330789	40013743.48153698
3006_167.055_2.98_C6H6N4O2_Purines and purine derivatives_Oprea1_233226_map00232	56021210.77632689	56021210.77632689	56021210.77632689	490667936917644.5	56021210.77632689	56021210.77632689	56021210.77632689	56021210.77632689	337002596076341.44	56021210.77632689	56021210.77632689	56021210.77632689	56021210.77632689	56021210.77632689
3005_300.29_7.77_C18H37NO2_Carboximidic acids_Impulsin	5904639.770823263	56762439.87900821	201685737.4160421	15904972.818267599	111474702.72942436	6607646.637800507	101929621.7567951	89441387.98193385	91259431.97465512	118554844.52092196	16993783.485453825	112440565.65159433	29177669.26373511	14262063.674274934
3004_645.469_8.39_C26H56N14O5	2091721430.5697691	139668437.47686753	45323752.0237365	96678307.39225268	43184341.53308746	16637149.245265922	441139703.41380215	47642210.79252474	61063004.5884345	33576947.556174256	48434014.11958518	40584100.72980896	30821990.49211135	54759017.41305763
3002_312.362_7.86_C21H45N	34308571.29765745	107168870.52247868	63130003.69898955	34872279.828486234	66392169.54125229	25723963.20592996	34777241.83847881	73384164.3776422	48243656.81561772	62071615.67608708	38969468.087649904	206551133.82596263	133396551.10209048	30518047.118873674
3001_979.617_7.57	38569090.65629222	145773024.36846358	86846758.15760107	17830665.366720807	75389015.61881508	31537950.262784574	192210666.8049478	51907783.7619758	13258166.796005445	225410721.88515362	15320536.048380788	61838393.62470173	26274234.564812943	72402385.25437108
299_582.404_8.69	31118498.56745709	398062938.6713313	12180390.554323433	7082242.915584762	72673423.17162697	33041470.05253483	121002708.67987119	171976089.50742796	19797660.578032017	21490505.8914512	4608236.26993636	157003955.29636392	9990002.747380586	120387413.36590163
2999_314.305_7.19_C19H39NO2_Amines_Margaroyl-EA	8520839.862254513	322807175.99688166	72090898.05805969	110106451.9647236	79480371.26911967	8652709.826984303	45923573.80853125	38777424.97896953	19256710.757632874	97804750.57763655	24345324.33159956	97088072.41437829	41325696.99217834	52673218.01300622
2998_477.225_7.3_C18H38N6O4Se	7859736.59109205	81421703.68496262	215129782.80402336	6964272.591598764	159689670.79019225	36471825.05303306	157787244.75740775	74758716.46230112	42815742.17025594	262118376.9611725	11066469.320357187	187027788.21489468	24293571.13109709	77606406.29389337
2997_593.442_8.81_C23H58N10O6	9355780.8783404	92603597.26487212	39835400.13449996	144032202.01402587	138524536.24574566	27959839.749892835	105346199.4624307	73204156.36085665	16292878.04136494	133618722.02056845	125892406.39682199	14160091.554068733	35317745.57066262	457196608.91273636
2995_709.557_9.25_C38H72N6O6_N-[(2S)-3-methyl-1-[[(2R)-3-methyl-1-[[(2S)-3-methyl-1-[[(2R)-1-[[(2S)-1-(methylamino)-1-oxopropan-2-yl]amino]-1-oxopropan-2-yl]amino]-1-oxobutan-2-yl]amino]-1-oxobutan-2-yl]amino]-1-oxobutan-2-yl]hexadecanamide	85630559.68767704	374312981.98881847	60330472.53359734	43537436.40694452	49662213.04438594	34389553.71016923	353578083.1992029	554384510.5244498	38313249.80272479	35621530.29915512	22627996.98372917	45251228.19184504	98781977.0150049	26499552.659921426
2993_752.587_9.28_C39H79N5O7	106129952.82275228	891919067.3059807	29459606.15709861	90565168.99596868	35055854.57214131	17146355.97912677	1737791361.472348	1094811641.9839585	26018632.52591937	26538595.482239146	28570918.42203069	145122162.33047608	26886486.87514312	23968745.03697469
2992_398.362_6.4_C24H47NO3_Sorbitane Monooleate - Polysorbate 80 in-source fragment	267324.8839218794	151915248.62698403	6194690.273118967	7992048.100263035	247625550.7323188	32123317.49456469	109523974.90464649	109225619.91818523	75355272.38153659	133184609.87473635	19085162.253490254	119309831.55624633	14111991.06238423	42953723.82872684
2991_455.242_7.44_C18H42N3O5Se	27715011.453674905	41492417.44762878	106541560.66928998	5572499.467911671	98129766.62262894	36080214.38936082	98993571.39292936	43908810.32868955	18005780.935345985	160462694.51462084	16472456.791913195	119210329.26193336	18786799.69857847	111732150.60624003
2990_373.306_5.24_C20H40N2O4_Amino acids, peptides, and analogues	12746437.415630255	83576939.77406266	64086990.9685951	15542932.827941235	143996621.17592892	7580127.212429636	41827332.83630438	72424073.7738946	46465771.40883267	216633956.09722245	31123261.75877429	206907431.72459832	11637204.265010608	92526380.50221685
2988_352.305_6.0_C16H39N4O4	38663972.86209221	489186740.2616323	41441314.86878301	58403310.09442256	87239072.76545544	62211496.33986349	104640968.75371136	140456824.219128	12308638.102146218	86714332.57189631	13296699.433776796	72681824.86372358	4464977.970950222	49384054.58185008
