index	V14-arm-healthy-BD5	V14-arm-healthy-BC4	V14-arm-healthy-BC9	V14-arm-healthy-BD1	V14-arm-healthy-BC6	V14-arm-healthy-BC5	V14-arm-healthy-BC3	V14-arm-psoriasis-BC7	V14-arm-healthy-BD2	V14-arm-psoriasis-BD4	V14-arm-healthy-BC2	V14-arm-psoriasis-BC8	V14-arm-healthy-BC10	V14-arm-healthy-BD3	V14-arm-psoriasis-BC11	V14-arm-psoriasis-BC12	GROUP_MEAN_DESCRIPTION_2_healthy	GROUP_MEAN_Sex_female	GROUP_MEAN_DESCRIPTION_arm	GROUP_MEAN_Batch_4	GROUP_MEAN_Body_side_left	GROUP_MEAN_DESCRIPTION_2_psoriasis	GROUP_MEDIAN_DESCRIPTION_2_healthy	GROUP_MEDIAN_Sex_female	GROUP_MEDIAN_DESCRIPTION_arm	GROUP_MEDIAN_Batch_4	GROUP_MEDIAN_Body_side_left	GROUP_MEDIAN_DESCRIPTION_2_psoriasis	GROUP_SUM_DESCRIPTION_2_healthy	GROUP_SUM_Sex_female	GROUP_SUM_DESCRIPTION_arm	GROUP_SUM_Batch_4	GROUP_SUM_Body_side_left	GROUP_SUM_DESCRIPTION_2_psoriasis
99.013__4.62_3713	1563895.173852283	1341625.7652488218	2684560.434384119	2578476.0013897005	1204219.5927097655	2661306.197937791	3214440.2160223546	1295620.8827098527	1681988.1893748706	3882746.281900412	1907662.041182507	4888799.119297132	5674076.796215457	3573849.993411856	7948515.68907715	4169677.8413390303	2553281.854702684	3141966.2635033187	3141966.2635033187	3141966.2635033187	3141966.2635033187	4437071.962864715	2578476.0013897005	2672933.316160955	2672933.316160955	2672933.316160955	2672933.316160955	4169677.8413390303	28086100.401729524	50271460.2160531	50271460.2160531	50271460.2160531	50271460.2160531	22185359.814323574
99.013__3.79_3477	965330.6944458709	1049888.6329735522	2387552.871125465	1127446.0235244862	1099645.6069425081	2771697.8965749303	1040072.6153454948	1741062.3835669206	2516363.5404537907	2995711.9124937765	2225241.045727435	3689194.348201219	4363960.3628454	5059515.68808362	4201034.999685856	4604395.605505513	2236974.088912959	2614882.1392184896	2614882.1392184896	2614882.1392184896	2614882.1392184896	3446279.849890657	2225241.045727435	2451958.2057896275	2451958.2057896275	2451958.2057896275	2451958.2057896275	3689194.348201219	24606714.97804255	41838114.227495834	41838114.227495834	41838114.227495834	41838114.227495834	17231399.249453284
99.013__10.0_32	1983039.8334163271	435830511548.4069	1983039.8334163271	1983039.8334163271	1983039.8334163271	759405104206.7825	1983039.8334163271	3842407387621.645	661343784444.3451	530661459422.2091	1983039.8334163271	1983039.8334163271	1983039.8334163271	1983039.8334163271	1983039.8334163271	430872911964.86615	168781387683.47293	416283811850.4118	416283811850.4118	416283811850.4118	416283811850.4118	960789145017.6774	1983039.8334163271	1983039.8334163271	1983039.8334163271	1983039.8334163271	1983039.8334163271	430872911964.86615	1856595264518.2021	6660540989606.589	6660540989606.589	6660540989606.589	6660540989606.589	4803945725088.387
99.013__0.88_2719	417552.27517270425	756544.4000176453	8664945.839425214	1237231.463441555	9860376.929033155	1035122.7473525385	2422022.0333183417	1992642.7576376884	1595310.69469106	974008.4235544116	3085350.4098703177	3169710.638672081	8140253.349327594	4403845.242729032	3833939.7175944443	3072429.2227790835	3783505.0349435597	3416330.384038554	3416330.384038554	3416330.384038554	3416330.384038554	2608546.152047542	2422022.0333183417	2747225.6280487124	2747225.6280487124	2747225.6280487124	2747225.6280487124	3072429.2227790835	41618555.384379156	54661286.144616865	54661286.144616865	54661286.144616865	54661286.144616865	13042730.760237709
99.013_C4H4NS_4.21_3548	1519359.9521056528	1249240.4578485533	2840899.07080415	2505048.4453679044	1169926.8936276007	2585519.876934644	2756575.758657906	2071653.602944403	2994168.1838068715	3755831.3304823944	1853337.3310343083	4328263.079208626	5192584.880430131	3472077.058366771	5693444.514362456	5478673.731371347	2558067.082634954	3091662.7604596075	3091662.7604596075	3091662.7604596075	3091662.7604596075	4265573.251673846	2585519.876934644	2798737.414731028	2798737.414731028	2798737.414731028	2798737.414731028	4328263.079208626	28138737.908984493	49466604.16735372	49466604.16735372	49466604.16735372	49466604.16735372	21327866.25836923
989.614__8.21_4778	2113897.673022789	2098932.3853353737	1604397.3435001853	6115568.199273864	1340781.430818183	2195830.9302055393	6397470.880915081	4335210.222037261	3971844.9110387582	3877817.5344850924	1646181.645615658	2817926.4276116244	3994814.2575707547	3133903.91814111	3174432.084118114	4620563.04579465	3146693.0523124817	3339973.305592752	3339973.305592752	3339973.305592752	3339973.305592752	3765189.862809349	2195830.9302055393	3154168.001129612	3154168.001129612	3154168.001129612	3154168.001129612	3877817.5344850924	34613623.5754373	53439572.88948403	53439572.88948403	53439572.88948403	53439572.88948403	18825949.314046744
987.717__8.03_4706	1771115.96481902	2483324.6736997534	1243527.2674250023	4064769.570504824	2217059.981804014	1190078.9089925515	2551692.4767332086	5231073.455072275	1330735.9008466718	4206692.57267104	3885220.092627066	3609099.997378705	3262115.7864558585	2694391.3159881197	2864754.103652465	2727680.8948356616	2426730.17635419	2833333.31021914	2833333.31021914	2833333.31021914	2833333.31021914	3727860.2047220296	2483324.6736997534	2711036.105411891	2711036.105411891	2711036.105411891	2711036.105411891	3609099.997378705	26694031.939896088	45333332.96350624	45333332.96350624	45333332.96350624	45333332.96350624	18639301.02361015
987.559__3.37_5387	2060930.4029662395	2427318.0301602376	2577633.8608383797	3111803.0261277654	2195545.5547838327	3633870.7864761404	1904846.5051093504	3072360.9827594943	11.536134357493644	11.536134357493644	11.536134357493644	2135511.511587436	5127811.721905924	11.536134357493644	6421058.527918392	11.536134357493644	2094526.7724337222	2166796.7869565613	2166796.7869565613	2166796.7869565613	2166796.7869565613	2325790.8189068073	2195545.5547838327	2165528.5331856343	2165528.5331856343	2165528.5331856343	2165528.5331856343	2135511.511587436	23039794.496770944	34668748.59130498	34668748.59130498	34668748.59130498	34668748.59130498	11628954.094534038
987.044__3.24_6202	1816522.371953658	2334032.747408058	1784856.212853156	2797194.041339066	1703657.3460653117	1862138.0287203954	2176361.4553768747	9.992476838277662	4169660.735076503	2073229.101929011	9.992476838277662	3650351.713791213	4593331.760542638	5473569.045226517	4154012.5163477603	7696095.743596234	2610121.2488217293	2892814.5503237545	2892814.5503237545	2892814.5503237545	2892814.5503237545	3514739.8136282116	2176361.4553768747	2255197.1013924666	2255197.1013924666	2255197.1013924666	2255197.1013924666	3650351.713791213	28711333.737039022	46285032.80518007	46285032.80518007	46285032.80518007	46285032.80518007	17573699.068141058
983.647__7.58_4359	2349045.607569216	6492453.717349963	980199.3329957848	3469197.476451885	398628.41191242886	3903336.9148059487	6453593.044131361	2441555.1504282723	1338052.695739154	2101690.3790741283	2672111.031405103	2722924.7981783785	4002486.4594041687	1770023.5530058714	934339.499573836	1914430.4716667647	3075375.2949791714	2746504.2839807663	2746504.2839807663	2746504.2839807663	2746504.2839807663	2022988.059784276	2672111.031405103	2395300.3789987443	2395300.3789987443	2395300.3789987443	2395300.3789987443	2101690.3790741283	33829128.244770885	43944068.54369226	43944068.54369226	43944068.54369226	43944068.54369226	10114940.29892138
