#SampleID	V5-leg-psoriasis-4B8	V5-leg-psoriasis-4B9	V5-leg-psoriasis-4A6	V5-forehead-psoriasis-4C6	V5-leg-psoriasis-4C1	V5-leg-psoriasis-4A11	V5-leg-healthy-4A3	V5-leg-psoriasis-4A9	V5-forehead-psoriasis-4C11	V5-leg-psoriasis-4B12	V5-forehead-psoriasis-4C5	V5-forehead-healthy-4C10	V5-leg-healthy-4B3	V5-leg-healthy-4B4	V5-forehead-healthy-4C9	V5-leg-healthy-4B10	V5-forehead-psoriasis-4C7	V5-leg-psoriasis-4B7	V5-leg-healthy-4A10	V5-leg-psoriasis-4A8	V5-forehead-healthy-4C4	V5-forehead-healthy-4C8	V5-leg-healthy-4B5	V5-leg-psoriasis-4A12	V5-leg-psoriasis-4A7	V5-leg-healthy-4B1	V5-leg-healthy-4B11	V5-leg-healthy-4B6	V5-leg-healthy-4A5	V5-leg-healthy-4A4	V5-leg-healthy-4B2	V5-forehead-healthy-4C2
3242_710.358_4.91	26947679.358115986	13209961.137297532	8340369.8569110995	134697957.30929145	14924948.82848746	6344842.806132153	44782212.79337419	24131224.70046245	137534903.36966094	46088704.54729101	109946893.30869892	151017648.400847	749764825.387996	160358618.51891306	234629487.26486188	35814115.70730825	41674069.40548549	17884793.16366834	26535905.514853474	14370354.825153755	124084502.5893781	127267453.32995968	47555320.51202949	12110529.765420958	8574193.069108212	16567958.793136548	21930193.898798045	127851249.88343324	63515729.90735512	53737990.04190643	8289060.899232212	10650051.268038442
3240_296.183_3.04_Ethers_Hexaethylene glycol	36852975.04770861	31484382.925846115	38745996.801220745	78670507.78306851	41907068.52117054	23074593.818821985	20738886.016537685	20070802.628574226	71232606.82699856	23492461.89200444	170380212.87151828	52356110.76336363	48934017.02333203	24370824.75376949	124614416.02846164	17706001.696959488	76542868.66480747	25514290.35507689	23216317.20568652	47075369.33021691	203766837.5764341	64546417.60317782	49968311.37695394	18627668.193470508	31509299.31878753	30465787.340031225	24165540.56067224	22306364.774450466	29180360.70996129	25034299.32916576	78754044.91127215	245619654.1325884
323_598.488_7.63_C29H65N4O8	23445540.22949577	26527279.965668406	43659251.25343988	12981470.127770934	31842885.75012553	31938062.52663409	92541600.2073225	29230850.0411291	24154861.95741844	34276706.46334665	19872932.00678119	23222806.35357803	68509418.83455451	71189554.66727734	15672000.024076516	33213450.39680496	22368986.255694315	28208036.51624929	33610408.87283296	32748360.0890182	25693054.729378603	19807332.50290914	53789627.47776013	42817543.72425249	16957004.15778994	67177804.29466659	35248575.31478302	69827017.01936121	58853630.978835404	100398821.5223984	64115907.46520163	37836258.753231816
3239_335.255_7.4_C19H32N3O2	12539330.944846973	28154796.097637534	84077402.40716918	10102749.773718076	19747479.088937644	60103562.35321023	46945653.20896904	19827996.76559046	20306765.435528226	98465159.81595136	17255085.67195437	23539520.09628357	109563174.37288582	148470475.63331768	62894255.84742067	12966017.962308332	19331880.25819208	51600585.0660577	19041582.46493332	73271260.46030101	22191565.492480077	9820577.050925683	78297352.2784779	57457609.53358484	56158518.29647248	38586230.31642826	4725719.8725873185	75176237.61153425	50126320.55775008	76333240.51005664	37274732.47565404	32157020.76839634
3238_430.264_3.17_C19H35N5O6_Amino acids, peptides, and analogues_2-[[2-[[2-[(2,5-diamino-5-oxopentanoyl)amino]-3-methylpentanoyl]amino]-3-methylpentanoyl]amino]acetic acid	34745664.19963502	13522556.608879112	14829335.361006213	76734807.31652898	31030694.04526925	24268399.579410374	38725198.80628725	15807167.799887635	109653990.8409069	21595397.236265104	55943054.81102272	65418657.34253039	51546715.19737455	416399557.38135386	108438364.54713058	27171600.544773	23205163.66675972	25291469.92975328	16103920.766098602	32982591.51363207	243748198.32879418	104809136.18424796	32256564.11611207	12468699.346569372	13990210.76827742	56602339.37325134	24439827.5816094	125321194.18599021	144642081.43156242	39433539.43703447	67844685.33795801	16517637.415677458
3237_423.288_4.66_C24H34N6O_CocamidopropylBetaine	42499147.54301788	28775463.22428755	25893479.388713866	30843423.82069247	61427083.07811858	3.8956308883543764	28076590.93854766	23109505.730660293	35219382.10195006	3.8956308883543764	70246016.17880611	48834066.66842423	50403616.35334221	38024006.49934279	89073674.27920969	38449872.972426794	72457799.5719782	22419273.954230774	26633957.01234138	37917418.14260653	149451048.44941407	30552650.03555481	50497660.77861797	46893111.43024144	25065346.17446749	75355214.00150064	52773951.92367031	29587784.07275809	46310948.35028575	42690423.01963608	3.8956308883543764	98521440.11789538
3236_439.254_3.64_C20H38O10_Carbohydrates and carbohydrate conjugates	28238977.14106912	14752850.71975461	28238977.14106912	131767646.71701871	29650598.54192836	23803106.14174237	38393861.51831519	61865648.38815718	134308255.5887448	19244464.72283432	206812821.42471665	56339063.05830429	27189244.632305916	28712958.66458847	39053903.047783	27719089.880755816	80078882.63170893	26264822.21489759	48416254.40315438	23007826.713077474	156569541.03058058	80626626.30375153	28592207.30670239	35338225.92268856	24359360.65680517	32330700.734361656	29070261.66095073	70941043.99537842	21624060.2149328	22983469.70648363	39494716.42775904	390141118.3863406
3233_833.598_10.07_C41H80N6O11	25379607.724363897	66458963.98336544	58719421.27667602	63220367.62460366	16258614.142796354	43667860.28325053	13056619.292129636	18828795.958420973	85792972.3172979	38617863.32966626	94548267.972529	63476518.48157702	17876886.233719513	36375880.571286336	55456124.17031351	37028060.52940677	62784113.99029804	58975346.39418869	42931727.63313367	31555912.12815689	121623272.32753012	41998733.382746704	27203955.689907625	64716926.96828577	31153687.31834049	43266120.533432335	23690328.446550164	28223439.8692047	37193355.91748623	35541838.56053249	52617068.00083961	30518482.594541736
3232_770.598_8.28_C43H87N2O4Se	36601235.890742175	68338504.82657412	24588064.305385396	61061897.44871964	19231067.7908862	95813148.70992002	102175137.02450912	92762892.86337829	40386191.91571514	33355396.86320292	27179174.89213137	32837014.68554611	20147386.764717873	17232303.016282264	102538663.77535482	44642803.02343142	71310135.42821172	38458283.03531715	21084382.1421558	35962685.80841407	57590513.58624973	38848386.22300609	20987937.04439083	21582902.821787115	19079302.57950317	69763745.47922371	62252243.75832391	23707268.20493402	36925325.88477314	64672192.04421814	105830470.48758896	1336200540.5599313
3230_597.455_7.4_C31H64O10_ Decaethylene glycol tridecyl ether _Ethers_3,6,9,12,15,18,21,24,27-Nonaoxatetracontan-1-ol	28790836.174722254	49369154.31259	318756995.16349334	19132966.176390287	86671487.31994717	46402702.61561051	255980233.2394861	34551149.19325463	38317564.06993987	29199326.37654656	15398590.161171235	14276298.480101194	30330224.62426308	79052647.599829	32906853.207398005	37554975.40047155	54835025.18127345	90849156.2568375	45995364.82172816	76310840.54501414	57695303.6138809	21734488.691751294	43016507.45325355	37690654.1495174	12075391.378961142	19801748.839383624	45989297.39391378	30352195.28167642	28036393.10872364	50564164.85547718	37749196.472968616	35904767.56187271
322_325.271_7.3_C20H36O3_Eicosanoids	44181352.26815473	43101279.22002835	39355527.70905755	17615586.158312447	49934868.40140028	42709933.48094572	11532073.154176705	23735019.439161226	27178768.78393031	35487507.40623624	16973943.62735671	20973917.660795007	20779254.11754675	152714041.65783602	17369830.237386893	30520221.49252384	55312969.35866221	57089097.80752382	23883983.75029119	51101913.88398682	14364353.490417998	13361109.798273224	107438490.77542314	38699155.59845036	26172280.24173473	36889055.49786768	40022356.286939226	110169266.82852928	41106049.63918527	50031575.28393181	28687776.77079193	30434653.795269106
3229_697.362_4.6_C23H49N14O9P	30295248.225764044	10507593.884614147	22778856.506396066	155138210.11408907	53551551.21079482	27302922.84424145	19550936.510892745	26246786.75986681	183150880.8432244	59485440.3982585	124602530.42425394	205131241.33868533	69421644.80291821	146630019.20264667	199418749.77947512	59600007.67844284	44876030.7145942	9117629.34276084	28761324.797815245	14988571.61806638	207155245.86835608	230614647.41647017	69269886.58380327	11434840.9012687	16025955.450703794	15593985.971072253	19997024.195109945	110132384.73865192	80065820.22672336	38130758.16944601	28373877.583351906	24626141.67524215
3228_708.501_9.07	26352991.18906297	33305602.73525864	30234522.23381529	84451619.50839323	29979298.842665054	56408354.73499493	58101365.79816899	16119629.52434761	106165994.0002718	38672548.26833607	77613477.10160024	46226288.90554869	41607897.65881367	24247737.074745394	35033669.47404733	24153598.36677667	57548235.60795567	66112850.1056701	52053452.47085527	44434889.39783973	34252637.52614233	60172122.36362549	67309209.41946848	40878372.83702021	20278497.739548966	49989790.75953472	26588148.594550554	27602025.708535645	13648591.09562505	23482545.29565488	23784491.86931496	137629272.14818147
3227_525.412_8.85_C23H48N12O2	24524354.86127587	35246061.75290877	45685657.75761566	33830730.92687021	18706202.176838502	39590953.75256136	76299796.69692387	36235439.49765556	29487412.24476692	51996778.62900216	36957480.07203872	16254070.41485606	63325543.61702737	43760691.194097936	22987465.396471296	30395909.76166257	15761785.067233024	20926976.826743785	41662312.00952054	48171944.72462434	42366222.503021136	32548901.46005606	34402058.41036251	31133779.666464265	14860910.266895995	78589092.18287802	44010666.12943344	28265115.91556566	79003395.18913686	70269823.76965861	87596160.95892599	20024096.011692654
3223_697.509_6.73_C36H72O12_Alcohols and polyols_Decapropylene glycol	43136849.00824198	3.940532258110196	15038332.0672711	3.940532258110196	47999146.63163706	42466245.28802454	41733542.71995153	38394891.29947734	13224111.015637167	128134047.06450148	27092022.25107212	35861992.03407701	29799802.33808738	76215879.54035124	22516197.3823094	24533749.89846182	75875732.79583117	78644591.13284715	34643579.45986933	42674782.19565599	43727294.42126496	62134939.19051059	33949100.054699995	26131876.10159325	9702532.20667699	54272001.12267752	29178853.26485437	37487067.53732165	74621386.5079618	50105676.36617761	3.940532258110196	61211045.93780634
3222_671.455_5.92_C33H66O13_Alcohols and polyols_Decapropylene glycol	61498394.64438387	27969145.00041237	60583145.37254454	26275990.60128835	137082035.10999224	14008346.027523493	64540397.18493295	9877678.31470861	50807683.76633724	39137782.60222961	53449762.92251445	64339867.16671267	26024349.075829715	12580419.377891306	17717393.071054835	8160058.307465405	119310095.35159132	59147463.94964486	30419834.649734404	8681057.996313175	216409851.63167912	236376617.66340265	67432568.17311038	84367075.97279595	126211353.27007449	31833066.80015408	31990211.70751412	46483108.88598245	3302660.034358352	1.5764938539329774	16941633.55190535	32773413.85414803
3221_464.311_6.46_C25H41N3O5_Fatty acids and conjugates_Benzoic acid, 4-[[(1R,2E,4E,6Z,9Z)-1-[(1S)-4-carboxy-1-hydroxybutyl]-2,4,6,9-pentadecatetraen-1-yl]thio]-	26721794.015614025	72621985.33368187	57646806.93998462	68096135.45771796	70261442.21361543	146879018.83074266	63889122.02045403	233171162.33079982	233554819.86550948	125366325.20914254	191435127.53352043	15106301.396530401	42300458.3168025	17279841.177143615	10196905.77487092	14477433.084861998	134751138.90371418	181412203.25245127	9176382.290503995	102970025.24082483	24676715.55715277	21075881.1979244	40296916.5623049	77215002.30045877	97177937.26572518	32433959.93083925	9441636.36534594	13634795.050078563	25249437.44285764	22788001.588564325	12117929.130278898	35887485.497584864
3220_508.4_8.2_C26H49N7O3	30881780.06284045	27752478.14068338	48739266.34832788	23451780.28953789	30171709.72414279	32689855.60129228	45535361.44541615	37135624.34255534	79672444.11874764	18910404.19367964	39154350.54375741	86205265.16650599	16493455.763775472	35081009.74653941	10731252.94537768	8633178.57334564	58815473.03554781	53768273.41331908	16913175.891640633	66646808.71915858	14252947.428187413	30853525.33883269	45163061.27491739	61490923.32128734	33394862.11463359	54379382.34183146	12976952.08128372	37891627.67397446	42356770.07919354	70334130.45992973	96920977.65431629	12195681.531085998
3219_394.212_2.56_C15H31N5O5S	28739677.613859225	15563158.002816094	18272580.87823085	73066114.67665029	14702484.703626756	13207785.742478324	47269126.6819846	44637043.37377718	101803274.51369044	22119615.148930106	94327575.74937718	83043595.65257324	52187683.96034312	23294625.87007239	63735473.84884033	22351957.79196941	61009013.67951076	17280249.977758966	16973516.502109732	7387598.2681508	43900540.86909703	68848916.5976987	52499594.71400058	26002661.87129444	22696317.641701944	45194368.67436122	20845628.755473997	57335692.99382519	17640345.57106903	28933463.99740761	52567564.56494666	85338518.13058025
3216_725.456_7.3_C32H65N6O10P	15973587.075772924	34099451.00552573	19355583.004548173	257594513.5246189	16240577.383520445	21028924.089297924	23939801.421308603	15355221.661774434	275621590.59117776	17223840.41018469	114148195.70757715	215212609.34228137	44376579.47044317	27522871.33648071	184150868.42144835	27873100.65800473	255062438.23993105	29443071.74065274	28842367.137906376	18762673.10790018	312758833.68363637	100948845.51853384	31527074.428044826	47231941.2857962	21031034.80449591	44809864.70485105	29807184.15378502	47393475.58924791	19184861.080232	25403124.65888109	16490538.184934014	231916892.54471037
3214_639.466_8.23	69755068.83364908	56474670.45370594	62292695.90272621	42651924.43161866	49562836.71364294	57365993.11077197	54535971.56291988	19175575.456625734	100753197.84640849	25065364.64132918	70725764.83115171	55149813.57420726	24668363.255876314	27286493.788065344	90073656.86928052	15247223.626941605	76016416.05056691	35372821.199129306	20108099.40951694	37958335.93277355	98223173.1811728	45792154.65985249	25504364.75980152	26174346.125094805	19149256.100952126	58059600.16633944	24674109.74206177	21149257.204426333	14618409.886656	63865975.51250716	16794464.471194718	98051978.96025282
3213_445.327_6.73_C19H40N8O4_Alcohols and polyols_Octapropylene glycol	22687714.567587584	80052430.81972228	36083853.98861415	50277233.68578697	28886270.74994644	32241692.91284389	33341745.88500481	47901589.75413118	47890726.98603457	72886825.39777736	41441243.03319769	121989144.25878882	39329692.546953015	37791309.501665	69386580.81061594	26041270.506926034	53341275.12981462	25006003.083693285	22863691.410752635	36441760.47186119	52920536.22334318	70581357.12057929	62864750.82225565	61753837.25455174	52442315.89321172	30447858.84044243	112015778.33541231	60134891.57595205	17683628.365131743	35808550.16652733	76746195.27076627	48229082.65926134
3212_494.283_3.65	37316588.49662173	46281108.32510837	38607205.92753884	131272761.60629047	39550589.23857145	23388413.772494685	70675004.66940673	26185968.42760993	168327469.14067084	48708046.72196336	110096512.0849668	35372786.46579279	31263623.270473104	67332862.34456562	28773342.007738966	25082620.714612864	29592602.729698744	60867533.18854278	21337226.356211968	21731871.02253103	70114521.8027768	26156542.06467894	35653837.84544681	18261016.41269575	19128232.70748074	61812976.80057537	22907172.343424395	65330472.50782309	29638298.889715616	20323409.77405701	43128358.45255093	77431779.51643486
3211_648.379_3.06_C32H57NO10S	36657847.57958522	26527624.55179964	52935583.40883947	21289234.578794006	27662080.66912909	34409371.095533	51532043.62477633	34798275.86197408	54785216.980052896	37151724.50299247	25873521.242314354	30094397.32104402	29874425.502869107	105858660.6045225	35124393.144469395	24494927.83746139	74694529.44169214	40667920.73204715	46426214.0720559	75350260.61800332	100127326.13779508	97018764.85648848	27858512.522869427	49262513.6554508	37213109.45728633	26167858.21302969	29332369.16058855	19439915.702599414	25764430.85423732	27392604.604902767	23757372.071125977	62238434.38083614
320_629.455_9.08	26354225.80311255	26050343.42639129	39486957.8605867	35796352.58026676	25886595.59510937	45893146.26050679	76210849.30614927	30580675.01405168	40567535.39203784	29792002.20460017	41154939.88083585	37147637.96521745	49031277.25715511	57979274.62067229	20744877.33592481	25005792.57710371	31642806.20018788	24716193.80647644	34485599.43502044	40954630.02098341	41126640.07694496	41723020.006762296	46954652.59130577	47615626.32717251	11906252.556107912	74555948.83503821	29544069.531951357	64097549.96714529	37685241.875111856	72485258.04318804	68745430.32747261	70742287.9666083
3209_132.102_2.42_C6H13NO2	68221013.33754137	83210077.88192226	36655521.2933578	105380844.69915237	52823259.19717227	47293499.72985066	15925748.909316	37170177.15119971	64971719.66022799	119466020.70625512	68664255.5933809	48002641.79169258	28629335.81184544	52378583.82173719	48658590.87876222	72228284.13160917	35499948.65058296	32927751.11453003	30033989.845755056	153054993.0311342	58908794.1558616	23678452.552550323	17235530.751339704	99839535.6868496	24802109.410461783	31615202.26180028	24182468.18874131	23150656.24057352	52348815.27622242	18809034.252784137	27078445.01811689	70047111.89450921
3208_522.434_8.47_C26H57N4O6	23073346.001890197	33742206.00631172	25191040.58651958	99146797.27757566	56520313.72869112	35856767.3769378	48219579.39015261	29381488.276921026	162278595.39502695	46241673.1482804	93132951.07984464	77832256.33832702	40408165.79653923	22110822.66007692	46747552.92921295	25487932.75542213	78656649.70279491	33514689.90947221	35768768.82364516	26281396.82165744	29616210.76596813	61230342.29725955	17474471.61879605	18994078.1723858	30126835.12810568	35850679.989731394	24430293.988508716	14282442.71263568	31765237.49063049	31209944.68685591	28317585.320011016	94349038.71691488
3206_923.627_8.07	26479285.64040149	30667833.98237902	20569675.297429234	55197407.02816024	28773283.140251264	51162090.96723514	53949758.02816334	18502573.69471832	122488651.28283356	20443727.70583591	80530588.08505738	82299525.83044922	25971451.43675749	27567683.32059877	34936958.21126752	50602307.28294165	90551981.1345726	27066051.286964685	26844314.83285005	20294419.666127507	193130827.6454066	42059345.99817912	43153758.97975089	18301316.17436043	20065092.608041707	31814495.434416953	31496519.76436962	66770403.99400339	45169884.68740291	60294060.32218602	27740499.434644245	314558777.04849994
3205_753.584_9.13_C40H76N6O7	26901729.493417114	56843883.44948518	19060360.78282256	364526449.00568485	26608225.77940309	121297154.68267164	29832992.34014835	36225497.40127737	181139541.42490983	23770136.203065574	57060985.13730107	103465971.18539444	106223247.29586709	9747810.258205527	189351983.2831299	16286457.792448007	206707042.23487735	23666720.008411024	30124608.21339876	74097361.29884978	47131026.00777073	42116393.454686016	11426989.092714075	12781903.513707316	35129718.27557287	14263914.03787462	11011108.877435027	49367062.3428178	74377955.51352437	29441987.20316637	75503912.32908256	155255885.58800125
3204_473.359_8.02	54838954.04313396	30038873.13137045	41944258.540704064	31455103.548228946	23516555.0688716	53743779.00943249	81729251.05747409	34283455.72396783	64167405.65049568	33919998.08333296	67666827.23679599	46902533.19891556	38229396.72793378	71644313.52205414	20274723.94668352	22752727.346237663	55875742.24568122	44917566.20140174	30488771.978516635	43056767.68395671	49724586.79526623	42104988.74251799	37261084.45479906	60122276.47477447	8202418.357851305	72221902.09979783	33240809.09834844	87680901.02607858	22395983.52679864	92304462.03982976	78787245.92131951	76504278.08522512
3203_1027.709_7.1	33437805.9719153	54139286.14099622	46030689.92453142	44600785.63278623	24124572.63577759	12129846.007211845	18006958.076394908	22802958.238786306	87272658.58101328	54541756.819238394	37594380.90108915	80001629.71941027	24621124.415961146	32821936.254808526	29233734.637228973	62876551.24236333	35388748.59454265	69883705.12154928	52218534.50320888	14633908.434596267	65807865.32843	87795811.34942095	70705835.94568051	90736039.04013143	48508925.52065671	15518606.147183875	91293271.76691392	61198347.18784463	14724464.33720076	27839434.74510684	49017025.99483038	54404931.11224511
3202_257.247_6.79_C16H32O2_Fatty acids and conjugates	36914491.123157	41454263.959885776	46988492.53755157	7355698.699065899	23740232.872588623	36967663.82576989	46179011.19597025	50682546.92471986	29954280.771490954	36694361.46543127	24499718.447260898	9227369.110426636	19548920.257346824	44344964.79910656	14884904.685250524	65690331.29710037	10776699.510170696	32193450.80567993	20867715.662873827	43786248.95716269	13234228.588603493	28145197.54017039	34364012.48802711	37056657.67958446	14396922.22749852	46562544.24135514	89916867.16904399	85333487.97742456	53608067.3609871	70085331.26594795	35581209.2988794	36391844.558530495
