#SampleID	V2-arm-psoriasis-2C7	V2-arm-healthy-2A11	V2-arm-healthy-2B3	V2-arm-healthy-2B12	V2-arm-healthy-2B9	V2-elbow-psoriasis-2B6	V2-elbow-psoriasis-2B7	V2-arm-healthy-2B10	V2-arm-healthy-2A5	V2-elbow-psoriasis-2A9	V2-arm-healthy-2C4	V2-elbow-psoriasis-2B8	V2-arm-healthy-2B11	V2-arm-psoriasis-2C5	V2-arm-healthy-2A12	V2-arm-healthy-2A3	V2-elbow-psoriasis-partial-2A7	V2-arm-healthy-2A4	V2-arm-healthy-2B5	V2-arm-healthy-2C1	V2-arm-healthy-2C10	V2-arm-healthy-2C3	V2-arm-healthy-2A6	V2-arm-healthy-2C11	V2-arm-healthy-2B2	V2-arm-psoriasis-2A10	V2-arm-healthy-2B4	V2-arm-healthy-2B1	V2-elbow-psoriasis-partial-2A8	V2-arm-healthy-2C9	V2-arm-healthy-2C8	V2-arm-healthy-2C2	V2-elbow-psoriasis-2C6
536.575__8.98_4758	46480969.0	60505692.59017023	58016585.15654122	38194146.662328005	41367211.02154992	107859443.61260538	41104183.67582993	32032545.39389143	112471752.66321255	23890113.89261361	96256939.41083068	37284642.16275222	47745019.89727954	44633043.96883977	82699599.11323868	49025990.01800194	80645052.5622191	48964775.3714537	33360840.11610509	23874469.44840814	15214048.443142787	36586157.80248364	33664767.680822924	23099372.11812971	57437261.10102767	99353132.05772229	34268836.33727623	25840911.08391639	38813619.95303123	6.310788303941758	6.310788303941758	72997891.72703463	78956159.39631821
536.503_C32H67NO3_9.19_1298	77544814.1464774	18597006.846997667	33676585.40618901	12221849.33711199	71086855.16800693	37703344.224366255	119058233.75877982	63521942.05313204	55883928.59657235	43835321.83406372	72987635.53098218	123846487.7681622	77522217.89280212	43978659.18922936	7727684.776021907	17380829.02628154	40424264.0522226	14973657.317968596	49169189.44314785	7390142.719625383	16325522.17235615	51830780.68325562	16895452.693670686	48268245.36058243	32353226.159318574	89688253.69805773	19736920.77572603	6790125.8840482915	53052300.0	117208416.36421096	146600198.31871295	34608834.32011273	123615669.32592916
536.49_C26H61N7O4_9.25_3826	29683449.619738005	37808387.84391618	23343969.63011604	49305279.5	64932855.87151063	13544210.723498648	65814970.52462692	63614733.12834489	37469318.20839315	61947190.42967407	72670460.35044996	65669055.70568771	64067939.61150588	19266292.798091333	6452004.426419637	52946377.6511959	40776738.80693093	21972466.15198721	52690279.78520877	13510919.702854887	98096596.40416417	66715204.38631936	82337645.44081579	21507219.219604626	33237267.05723667	66302352.44413967	26261183.853974104	8429003.099164957	12784184.789174674	123835630.66839586	91138024.43516454	30760253.781879123	50759912.15201765
536.414__7.53_5784	47759764.10000584	36789893.092105605	35581271.13927329	87438762.36261362	52902012.25495105	32759024.20433491	49560345.01245921	43327265.76365496	37320514.220934205	35817021.75849301	43447625.69988895	33654907.67076226	24721723.77616288	29808581.203040283	73841587.60243632	46692490.28898738	33688865.716215484	31091164.13445132	24211993.06796649	80303132.49186109	71280426.47769715	47742518.3910584	65441593.91392626	68001074.91547416	45987371.92109493	64493879.98047928	37784988.277454585	27534818.92895621	59765004.35737178	34075916.318056606	66693063.45290634	45627790.0	59078731.81575179
535.457_C30H62O7_8.58_2545	84033803.360865	29566365.50996455	7590005.6055912925	78380028.14426166	74450338.82396159	22287297.045831546	75261926.50364237	138475376.81483135	14837502.691696005	24507830.03819163	64854086.12262336	67222740.48033278	43776939.5	31089040.38845583	12194244.51203098	17449868.510913346	51114913.47411838	29815131.390216436	10306605.032637248	9660919.572613627	62295011.42560367	55731205.67748141	57181656.30720921	67053632.76859053	35625906.64144284	53649265.75831679	23722875.42686197	32018853.55338385	105826477.25180322	90282029.07459144	30612109.903768957	16064674.116205148	122096442.48628098
535.399__7.87_1592	104896659.644109	50972989.13894925	11578303.12280072	49305279.5	44898015.93029793	85799379.93244164	81868398.34407453	55215808.20061693	47799385.33492238	117450944.58909224	27893634.836556315	39971179.42539899	31393255.17453688	29757906.287557397	10242506.755026506	40330697.555283055	519420539.8345426	18462715.30760123	57684309.32035513	29746691.38398048	35464621.68669795	20631022.18340632	442559337.21045214	27051895.71577277	49152314.73431911	52066834.91211612	9491159.145906558	36161514.36891306	543922842.8344138	38200415.925434224	26774079.32984888	39705902.13693486	352335644.7120669
535.368__8.04_1607	60194627.54096656	26904192.800198235	35176867.678602085	38797001.85637779	78410055.19328547	52679380.31380004	48146991.93133874	89649193.43134135	25692832.881399304	103555168.09360369	48813790.2155354	86929315.39738174	67994014.61702168	30506868.55589989	13382338.319360714	36769256.45443116	233544811.6342681	32502188.008843176	58293050.38161796	18672507.74223041	43111506.98221714	43021430.96279702	223196113.85115576	29356880.37184451	38225519.5	74651212.99635366	13333948.928491386	13785966.358491205	199363340.99442	31720577.57105391	14537367.007266914	42640026.00663339	69441969.13975951
535.31_C23H38N10O5_4.08_709	65205288.39914817	21927246.80169922	26934040.6990758	47447531.0158075	49508248.2136625	65296266.0826722	81122083.0412253	1789138.7445828647	38707099.5	57520622.17514776	176671214.35455802	29604381.45312009	46243494.94051314	161517289.05537662	27902870.84764309	3505695.3973281933	57549482.83515686	22538850.428875785	42774742.772207946	21506963.355793167	59955330.81097333	35318594.20510259	28580351.10233617	65963540.53875336	2133237.080417689	71761065.22670712	51001222.89724302	42383524.58141057	38600460.63153338	67653937.99822927	61155160.03235533	160110667.70375893	31081949.198359564
534.473_C30H63NO6_9.38_4216	63083262.71008293	56519357.07287495	41975412.97757954	39107641.526987016	54305728.94415757	35384871.09506217	22604188.268138006	44460363.41196568	28205212.00723585	69066436.96679837	76957743.04999419	44664390.92776083	24603318.081179984	42507096.92705412	10507536.467308564	43120223.49279021	55726270.52288131	34039158.995833464	61893081.79036194	10058945.356649715	75405309.19406548	46772083.34108163	29819671.575086746	37154806.73294771	38225519.5	38824011.43900288	21699722.41146501	23100418.45661456	40500683.47865685	122394220.75687774	147819830.34713253	73522956.35442474	104677627.35950598
534.348_C19H47N7O10_3.14_2538	64682532.50900603	33030521.55547474	22174658.141407087	59519684.89277381	55118347.60617158	59292683.26927453	58328939.5	3056190.0707774265	40807797.74789507	50727765.53786709	220492201.94894004	25351432.491899494	35421470.99584953	135833638.4497509	43726123.964537024	4422029.1325059235	56270300.77252835	40256540.05589783	31358624.83725855	34291639.162930645	67614649.04339841	30264339.11435302	25260689.110617194	67665558.95976532	10553416.861308336	63569714.95623065	67276988.6907848	47472898.29999726	56777394.99823772	73856209.77463269	97111695.63135391	134170104.31668729	30782177.48135484
