index	V10-arm-healthy-BC3	V10-arm-healthy-BC6	V10-back-healthy-BC9	V10-arm-psoriasis-BC7	V10-back-healthy-BC8	V10-back-healthy-BE12	V10-arm-healthy-BC4	V10-arm-healthy-BC5	V10-back-psoriasis-BD11	V10-back-healthy-BC10	V10-back-psoriasis-BD12	V10-back-healthy-BC11	V10-back-psoriasis-BE11	V10-back-healthy-BC12	GROUP_MEAN_DESCRIPTION_2_healthy	GROUP_MEAN_Sex_female	GROUP_MEAN_DESCRIPTION_arm	GROUP_MEAN_DESCRIPTION_back	GROUP_MEAN_Body_side_left	GROUP_MEAN_Body_side_middle	GROUP_MEAN_Batch_3	GROUP_MEAN_DESCRIPTION_2_psoriasis	GROUP_MEDIAN_DESCRIPTION_2_healthy	GROUP_MEDIAN_Sex_female	GROUP_MEDIAN_DESCRIPTION_arm	GROUP_MEDIAN_DESCRIPTION_back	GROUP_MEDIAN_Body_side_left	GROUP_MEDIAN_Body_side_middle	GROUP_MEDIAN_Batch_3	GROUP_MEDIAN_DESCRIPTION_2_psoriasis	GROUP_SUM_DESCRIPTION_2_healthy	GROUP_SUM_Sex_female	GROUP_SUM_DESCRIPTION_arm	GROUP_SUM_DESCRIPTION_back	GROUP_SUM_Body_side_left	GROUP_SUM_Body_side_middle	GROUP_SUM_Batch_3	GROUP_SUM_DESCRIPTION_2_psoriasis
983.647__7.58_4359	36015346.539541125	93888711.58297676	180582020.38048163	36299895.40318979	44466026.91429046	30181801.667567957	140224787.6533751	87251647.69106363	24086414.33207977	122195532.46030806	24545136.62583038	60882465.05973219	38408193.08917541	38111712.723086506	83380005.26724234	68367120.86590706	78736077.77402928	62606589.2502836	78736077.77402928	62606589.2502836	68367120.86590706	30834909.86256884	74067056.3753979	41437110.00173293	87251647.69106363	38408193.08917541	87251647.69106363	38408193.08917541	41437110.00173293	30422516.014510088	833800052.6724234	957139692.1226988	393680388.8701464	563459303.2525524	393680388.8701464	563459303.2525524	957139692.1226988	123339639.45027536
98.513__6.8_3090	51179754.52028914	50004468.478640564	51321441.88247495	75723156.26888466	58019230.66913935	71602407.19421381	45375770.436654486	117007588.42389144	82139460.70198475	63330238.004644096	27978660.762280807	71800021.79479833	64494142.62715763	25803558.505118664	60544447.99098648	61127135.733583756	67858147.62567206	57387684.6824236	67858147.62567206	57387684.6824236	61127135.733583756	62583855.09007697	54670336.27580715	60674734.336891726	51179754.52028914	63330238.004644096	51179754.52028914	63330238.004644096	60674734.336891726	70108649.44802114	605444479.9098648	855779900.2701726	339290738.1283603	516489162.1418124	339290738.1283603	516489162.1418124	855779900.2701726	250335420.36030787
98.513__10.04_5	12695034.670727452	43017026.790976845	78394250.79518716	67701306.81259589	79006166.71172729	73333861.7418056	75271891.55718002	58114301.124136776	61413317.63950101	50911328.89040592	64073566.50443138	64070551.875124946	55999958.560468845	44517720.02625345	57933213.418352544	59180020.26432303	51359912.191123396	63524524.74943396	51359912.191123396	63524524.74943396	59180020.26432303	62297037.37924929	61092426.49963086	62741934.75731298	58114301.124136776	64070551.875124946	58114301.124136776	64070551.875124946	62741934.75731298	62743442.0719662	579332134.1835254	828520283.7005224	256799560.95561698	571720722.7449056	256799560.95561698	571720722.7449056	828520283.7005224	249188149.51699716
98.513__1.96_2602	60710018.54137835	36116217.42662732	40906183.29783935	93623901.88915299	45238785.8231966	150883607.890689	66359678.15923446	75529492.63909253	119920348.5470367	78396640.40422449	67117775.65861262	86347377.53555106	26973602.366812013	79446130.1910209	71993413.1908854	73397840.02646203	66467861.731097125	77247827.96833141	66467861.731097125	77247827.96833141	73397840.02646203	76908907.11540358	70944585.3991635	71323634.14885259	66359678.15923446	78396640.40422449	66359678.15923446	78396640.40422449	71323634.14885259	80370838.7738828	719934131.908854	1027569760.3704684	332339308.65548563	695230451.7149827	332339308.65548563	695230451.7149827	1027569760.3704684	307635628.4616143
98.512__6.24_2325	22984376.431879587	33083768.11332233	55140405.10425485	85849032.59295394	70568636.12087199	179412276.34371427	35485449.16481108	29219930.78872737	72932075.84347852	16681640.506366236	36873996.22299787	53079903.83255341	105586839.46776216	56876977.80766639	55253336.421416745	60983950.59581143	41324511.41833886	71905861.24996287	41324511.41833886	71905861.24996287	60983950.59581143	75310486.03179812	44282676.498682246	54110154.46840413	33083768.11332233	56876977.80766639	33083768.11332233	56876977.80766639	54110154.46840413	79390554.21821623	552533364.2141675	853775308.34136	206622557.0916943	647152751.2496657	206622557.0916943	647152751.2496657	853775308.34136	301241944.1271925
98.512__5.67_2114	34197342.7936966	37191243.98027564	51088043.26201824	72136722.94981965	159209616.00317842	49497931.34111793	45224601.329825796	53941814.89055557	41533531.52843643	34655109.97405132	66095695.18505277	35124914.66782123	57665322.998589285	56634376.65133713	55676499.48938779	56728304.82541258	48538345.18883465	61278282.401289195	48538345.18883465	61278282.401289195	56728304.82541258	59357818.165474534	47361266.33547187	50292987.30156809	45224601.329825796	51088043.26201824	45224601.329825796	51088043.26201824	50292987.30156809	61880509.09182103	556764994.8938779	794196267.5557761	242691725.94417325	551504541.6116028	242691725.94417325	551504541.6116028	794196267.5557761	237431272.66189814
98.512__3.65_1856	17936401.609465618	97990558.49133	44444580.146809265	55050803.852981895	40483591.193869464	106490896.32079168	42738695.089214705	55429438.475158736	55413527.249236435	31906432.22812975	88077832.56534603	148574028.523626	34113184.658978656	92520748.79456937	67851537.08729646	65083622.79996483	53829179.50363018	71336091.29792851	53829179.50363018	71336091.29792851	65083622.79996483	58163837.08163576	49937009.310984	55232165.551109165	55050803.852981895	55413527.249236435	55050803.852981895	55413527.249236435	55232165.551109165	55232165.551109165	678515370.8729645	911170719.1995076	269145897.5181509	642024821.6813567	269145897.5181509	642024821.6813567	911170719.1995076	232655348.32654303
98.512__10.13_1904	23971678.26811845	81227846.40061478	45631697.29107553	42097627.2048586	163870101.5132093	138474276.3945922	88180856.9729805	148911792.16442928	67552084.45601967	77954205.44681406	45468161.62041542	49955024.19061501	31166617.54272872	26937825.808352023	84511530.44508012	73671413.94820169	76877960.20220032	71889999.36264688	76877960.20220032	71889999.36264688	73671413.94820169	46571122.7060056	79591025.92371443	58753554.32331734	81227846.40061478	49955024.19061501	81227846.40061478	49955024.19061501	58753554.32331734	43782894.41263701	845115304.4508011	1031399795.2748235	384389801.0110016	647009994.263822	384389801.0110016	647009994.263822	1031399795.2748235	186284490.8240224
98.013__7.04_2832	102981705.97689182	36752602.655522496	51201956.79264856	74890454.41337258	72311809.22823085	69277971.9260352	34140476.894852765	72223252.71755353	81681029.79702984	23020303.7911462	110236523.33154503	66458748.220220074	114952565.35114874	36847062.933578305	56521589.11366798	67641176.00212684	64197698.53163864	69554219.04128698	64197698.53163864	69554219.04128698	67641176.00212684	95440143.22327405	58830352.50643432	70750612.32179436	72223252.71755353	69277971.9260352	72223252.71755353	69277971.9260352	70750612.32179436	95958776.56428742	565215891.1366798	946976464.0297759	320988492.6581932	625987971.3715827	320988492.6581932	625987971.3715827	946976464.0297759	381760572.8930962
98.013__0.85_3287	37720974.77686834	32828712.69926192	19577453.162203085	206961914.19766197	28894603.72427648	123079159.96050641	58858184.01870265	80849524.79677229	135980359.19421297	33170297.223817598	25103476.527333356	62267532.34929904	201422726.77776477	76770263.67695644	55401670.638866425	80248941.64897409	83443862.09785344	78473985.84404114	83443862.09785344	78473985.84404114	80248941.64897409	142367119.17424327	48289579.3977855	60562858.18400085	58858184.01870265	62267532.34929904	58858184.01870265	62267532.34929904	60562858.18400085	168701542.98598886	554016706.3886642	1123485183.0856373	417219310.4892672	706265872.5963702	417219310.4892672	706265872.5963702	1123485183.0856373	569468476.6969731
