index	V15-leg-psoriasis-BF3	V15-leg-psoriasis-BD7	V15-leg-psoriasis-BE4	V15-leg-psoriasis-BF10	V15-leg-psoriasis-BE10	V15-leg-healthy-BD11	V15-leg-psoriasis-BD8	V15-leg-healthy-BF7	V15-leg-psoriasis-BE2	V15-leg-healthy-BF6	V15-leg-psoriasis-BE9	V15-leg-healthy-BE5	V15-leg-psoriasis-BE3	V15-leg-psoriasis-BD9	V15-leg-psoriasis-BF1	V15-leg-psoriasis-BF9	V15-leg-psoriasis-BF2	V15-leg-psoriasis-BE7	V15-leg-healthy-BE12	V15-leg-healthy-BF11	V15-leg-psoriasis-BE8	V15-leg-psoriasis-BE1	V15-leg-healthy-BD12	V15-leg-psoriasis-BF8	V15-leg-healthy-BE6	V15-leg-healthy-BD6	V15-leg-psoriasis-BF4	V15-leg-healthy-BF5	V15-leg-healthy-BE11	V15-leg-healthy-BD10	GROUP_MEAN_DESCRIPTION_2_healthy	GROUP_MEAN_Batch_4	GROUP_MEAN_DESCRIPTION_leg	GROUP_MEAN_Sex_male	GROUP_MEAN_Body_side_right	GROUP_MEAN_DESCRIPTION_2_psoriasis	GROUP_MEDIAN_DESCRIPTION_2_healthy	GROUP_MEDIAN_Batch_4	GROUP_MEDIAN_DESCRIPTION_leg	GROUP_MEDIAN_Sex_male	GROUP_MEDIAN_Body_side_right	GROUP_MEDIAN_DESCRIPTION_2_psoriasis	GROUP_SUM_DESCRIPTION_2_healthy	GROUP_SUM_Batch_4	GROUP_SUM_DESCRIPTION_leg	GROUP_SUM_Sex_male	GROUP_SUM_Body_side_right	GROUP_SUM_DESCRIPTION_2_psoriasis
976.712__7.48_5753	4973664.299333295	3027447.834376788	1305853.3792646357	2379305.466649065	3585855.612748047	3472123.2708144253	2893436.059012021	1902459.5898184653	2278200.181201044	3108096.019267233	1158764.034343676	2293238.434402488	1891672.657142324	1919439.4909016148	2045576.805412799	3504769.605296041	5335629.343162989	2927567.1830502353	2370802.825598459	5280514.462442423	1416006.9976515847	2123528.2571342085	5214492.089209923	3093787.4703350575	3440333.545692385	3125158.4086590824	2482009.7562349606	2407859.1119682626	4609947.965257356	3485575.210387025	3392550.0777931274	2968437.1788922637	2968437.1788922637	2968437.1788922637	2968437.1788922637	2685695.246291688	3282745.977175734	2910501.621031128	2910501.621031128	2910501.621031128	2910501.621031128	2430657.6114420127	40710600.93351753	89053115.36676791	89053115.36676791	89053115.36676791	89053115.36676791	48342514.43325039
975.718__8.45_3720	1548544.4311549508	4852934.204245387	1946844.692323182	3265418.543358746	1069439.0559062287	10848478.832831863	2592914.29830129	1382933.6731106425	1785565.8453800809	2517818.5232758466	1967601.9327058329	4599651.155075356	1334787.5754429395	6509365.180816762	1352374.7352593613	1491215.4804616473	3989230.9815605464	2229995.9690951766	1849107.1957724427	1787342.527813295	4039237.605102132	5394283.352828505	2238056.9170337366	4010790.7234467394	3377589.089338853	6384817.7459760625	2194422.394982959	1556453.6623913483	3204492.3098062836	7002121.066715279	3895738.5582617503	3277460.9900504495	3277460.9900504495	3277460.9900504495	3277460.9900504495	2865275.944576248	2861155.416541065	2377937.7201547916	2377937.7201547916	2377937.7201547916	2377937.7201547916	2212209.182039068	46748862.699141	98323829.70151348	98323829.70151348	98323829.70151348	98323829.70151348	51574967.002372466
974.658__7.53_3150	1598977.1974808131	1881880.051121063	2522647.3130866378	1011015.7298731193	1546463.0343767756	1891696.9341729714	2430541.126661535	2597937.466367593	2146816.776531586	5834370.756906742	1971587.4677962435	3315600.907251485	2288520.813522293	1293852.8637941931	1870136.7588008093	3850518.3465192853	2096048.2934681594	1638885.4969504126	3861173.155990687	2887888.759889464	2014716.033505465	1750912.9732507274	2586789.759002371	3191674.054297874	1452405.7937886363	4997923.031094757	2330417.1344969654	3485769.797610279	6039412.173253277	3564432.1939814505	3542950.0607758095	2665033.739828123	2665033.739828123	2665033.739828123	2665033.739828123	2079756.1925296644	3400685.352430882	2309468.9740096293	2309468.9740096293	2309468.9740096293	2309468.9740096293	1993151.7506508543	42515400.729309715	79951012.19484368	79951012.19484368	79951012.19484368	79951012.19484368	37435611.46553396
973.655__5.42_3754	8.822189637478637	1473649.7348547939	3584367.427811195	3445947.2723991554	1484906.8488322166	1936647.0692193103	2566101.4776637736	4394950.211702732	2683260.15604949	2346605.399483305	1664306.0751103447	7888449.086247898	8.822189637478637	3506811.5587081206	1909827.6127213752	1361696.14835519	2386225.8531452217	1484898.0266425791	1750666.4894716232	1424289.583833101	3201387.35345861	8.822189637478637	4460269.703778625	4260226.553748796	5066354.1318734065	4502845.590969096	4078313.0034239865	3579338.7797178323	4996879.388478262	8.822189637478637	3528942.0214137356	2714641.8608819535	2714641.8608819535	2714641.8608819535	2714641.8608819535	2171775.087194098	3987144.4957102826	2476163.6654044976	2476163.6654044976	2476163.6654044976	2476163.6654044976	2148026.7329332987	42347304.256964825	81439255.8264586	81439255.8264586	81439255.8264586	81439255.8264586	39091951.56949376
970.671__7.82_2660	783776.8130381064	4838346.816229508	2421774.0027078064	1332603.657038763	703310.2154058865	2892694.580779681	4030144.4969520117	1239048.2246164412	3252838.8519555614	1588001.3528597124	1041300.1953926792	4204900.960920727	2951764.6056996547	3583513.5985039603	2280257.2221386684	547642.2418748902	459942.876963728	2286136.5742124966	1892287.8985737783	2901978.329953685	652039.5487897918	4118936.2959283767	2974462.20335101	1205460.2429669462	1047513.2928647579	4071067.115842124	845248.0584832825	3795810.598635169	2539791.8085937435	5767056.449218263	2909551.0680174245	2408321.6376830405	2408321.6376830405	2408321.6376830405	2408321.6376830405	2074168.684126784	2897336.455366683	2353955.2884601513	2353955.2884601513	2353955.2884601513	2353955.2884601513	1806430.4395887158	34914612.81620909	72249649.13049121	72249649.13049121	72249649.13049121	72249649.13049121	37335036.31428211
969.668__7.79_1917	1429807.1439722874	6839376.591746359	2705171.6069496917	2666401.7736019185	1735329.8844002334	4997050.564707663	3751060.309435713	3043275.534033499	2132589.121150501	1628877.0085911334	910768.6811204595	3229925.1182615594	4793473.734755462	1776114.9189881634	3813991.805317178	1652694.7750691308	482880.4607546293	1027841.5711149973	5055060.789447296	4204269.359212618	711441.6356151353	5021344.894038702	2362579.9845701326	1963172.1386270684	8290266.639167523	3950565.232211224	2779699.218536744	3646743.4431794384	4184713.976821469	3248572.585419464	3986825.0196352513	3134502.016693913	3134502.016693913	3134502.016693913	3134502.016693913	2566286.681399687	3798654.3376953313	2911487.376285122	2911487.376285122	2911487.376285122	2911487.376285122	2047880.6298887846	47841900.23562302	94035060.50081739	94035060.50081739	94035060.50081739	94035060.50081739	46193160.26519437
968.569__6.23_4939	1680371.2121694211	1912589.946214706	3650813.018641257	2911708.409963839	1572213.628071373	1740723.6330946626	2275504.65117995	1565178.7173917529	1093161.772076063	3391093.674048231	4060877.184204114	2480056.070632953	1551236.7024666602	1566290.0776886914	2929651.32195791	2922405.2528218715	1501836.737267747	2543514.7435881374	1456987.7924847968	11927363.206008555	4353803.974469661	2723944.0877960916	2771677.012549597	2525977.478102449	5437130.207917819	6441994.404402124	1801626.1773668886	4369390.802634222	2942320.8293430083	3469916.903108589	3999486.1044680257	3052378.654322104	3052378.654322104	3052378.654322104	3052378.654322104	2420973.6875581574	3166707.25169562	2633729.4156921143	2633729.4156921143	2633729.4156921143	2633729.4156921143	2400741.0646411995	47993833.25361631	91571359.62966312	91571359.62966312	91571359.62966312	91571359.62966312	43577526.37604683
967.688__8.07_678	604111.7523713926	2020378.8992495586	1372087.2465246364	1380215.9203295629	2069168.323896613	3726002.4990386134	4471665.756310582	1933179.0005946048	3258401.5244940952	3846264.6201643823	900027.1672610736	7651167.868535279	1877741.030755512	1929970.049672354	6130432.655851797	605903.416636316	1344590.5483096002	1744198.53253172	2579876.2058300334	4942172.168502622	1604809.05831501	5731811.42403827	4552006.5223692255	2987529.297426813	3977718.626162943	2867842.1133412803	2342690.6096005207	4035997.854631112	9201836.57654038	12505608.655886449	5151639.392633077	3473180.197505745	3473180.197505745	3473180.197505745	3473180.197505745	2354207.40075419	4006858.2403970277	2723859.1595856566	2723859.1595856566	2723859.1595856566	2723859.1595856566	1903855.540213933	61819672.71159692	104195405.92517236	104195405.92517236	104195405.92517236	104195405.92517236	42375733.21357542
967.654__8.04_3935	2823865.0732968105	2419128.4445685796	2837741.26724105	1417446.058726765	900343.2539851216	2520651.1618090705	1430640.3641026106	1647008.8521506735	3384644.5098021175	4597836.331585747	1304574.4268514665	4097637.6875081346	3260953.261411534	2396394.85191251	2435996.841846156	2590840.3840641333	2014599.2434817827	1599646.207356461	1282427.3537332464	2729721.534794708	2610059.627944634	3381545.0163094182	2079102.0872906235	2482572.6921383752	3224665.3452893132	2812694.9755942742	2050207.6552613731	2429669.1066695214	3040541.12646838	9613901.625496024	3339654.765699143	2713901.8789563538	2713901.8789563538	2713901.8789563538	2713901.8789563538	2296733.2877944945	2771208.255194491	2501611.926973723	2501611.926973723	2501611.926973723	2501611.926973723	2427562.6432073675	40075857.18838972	81417056.36869061	81417056.36869061	81417056.36869061	81417056.36869061	41341199.1803009
964.712__7.85_1165	397162.41885609215	6943571.620384973	2865942.6978725716	2036153.2029612083	349168.18421775143	2913646.3252186067	1328021.6075186913	1474117.8190141176	505551.0132326355	2135271.4247132046	2227531.31436679	4568522.760674935	3278842.822549247	2093878.3787509925	801881.507940287	427773.05364561	515681.75956803863	2109543.8730625785	1698031.6183637017	4149963.7194517273	280391.1250387714	3634809.4561506314	3795902.765185341	2346178.3461617194	5187362.183358016	6320012.030772321	3378907.719571633	3841771.1634490583	1256929.3769110106	5454790.461903644	3566360.1374179735	2610577.0583621976	2610577.0583621976	2610577.0583621976	2610577.0583621976	1973388.3389916793	3818836.9643172	2181401.3695399975	2181401.3695399975	2181401.3695399975	2181401.3695399975	2065015.7908561004	42796321.64901568	78317311.75086592	78317311.75086592	78317311.75086592	78317311.75086592	35520990.10185023
964.712__6.79_3416	1960125.9641947385	2593246.650629639	1184283.2170780268	1107464.9471479186	6.2226221085547255	2485931.309745504	3515532.586449078	1233628.6103988658	6.2226221085547255	3349817.937076157	3653457.0054851933	1025979.7106363946	1465800.863891151	2009278.4562302122	3076775.501574884	2019421.3302671565	1588349.1836970279	1137800.229927123	1282974.0037197047	2534903.34573983	2931315.4871653086	3490698.101613836	3946386.941245407	5287113.100754608	2148951.432078832	4204470.193197714	2476752.942135386	3898933.2250455683	3138995.5000383225	6315177.389797368	2963845.799893306	2502119.2537401724	2502119.2537401724	2502119.2537401724	2502119.2537401724	2194301.556304751	2836949.422889076	2481342.125940445	2481342.125940445	2481342.125940445	2481342.125940445	2014349.8932486842	35566149.59871967	75063577.61220518	75063577.61220518	75063577.61220518	75063577.61220518	39497428.01348551
962.733__8.07_615	949158.895229126	2459282.507322178	625139.2003694389	833353.0773061939	703984.9919209571	1728419.7669848772	7171720.839425593	3570426.2715896233	2712518.4362788913	4846721.165805071	728909.4301200621	3138029.3324464792	997596.9920740154	2574601.7461782075	952824.7239693054	1021860.0024655438	1863717.722518101	1629590.263077859	2504563.3354783333	5561588.743345551	1848619.7835448517	4663990.243901915	3311639.144900439	4355750.897671934	2588995.294510457	1993900.1034670463	1375364.1906811032	3596623.6086208317	4794031.74672266	9813769.23839906	3954058.9793558693	2830556.389877523	2830556.389877523	2830556.389877523	2830556.389877523	2081554.6635586263	3441032.708245031	2481922.9214002555	2481922.9214002555	2481922.9214002555	2481922.9214002555	1502477.2268794812	47448707.75227043	84916691.69632569	84916691.69632569	84916691.69632569	84916691.69632569	37467983.944055274
962.698__8.06_4795	1354922.2507837676	3002700.7099923654	2808179.274777984	1824078.5964773984	1820685.9094996846	1853040.4504555592	3284479.751144007	1549297.5258542006	1636019.2112636496	4421942.28230402	1893433.7993286017	2870049.306620915	1932431.9831912268	3836526.6148375273	1993088.442929858	2424331.7331022997	2036099.3871081604	1815729.7518912486	2013019.3716501095	2062983.9954041438	1367350.292114662	4283068.00007658	1466911.924715224	3048763.300812502	2591414.923111802	6427387.901040434	4769688.268424422	4970149.120397438	3240525.409672946	5830461.014964178	3274765.2688492476	2814292.01679823	2814292.01679823	2814292.01679823	2814292.01679823	2507309.84876422	2730732.114866358	2243657.864253222	2243657.864253222	2243657.864253222	2243657.864253222	2014593.9150190093	39297183.22619097	84428760.5039469	84428760.5039469	84428760.5039469	84428760.5039469	45131577.27775595
962.696__7.24_5526	1793840.12037144	2054082.8559041643	1886274.1622228622	3710486.959848984	1503036.7061429797	2123713.0192574016	6.963016335323727	3471474.461122662	1746324.4968991908	3440844.152263573	2316170.7907657493	1409098.6527631273	1925267.0537006753	2357322.2173075126	1838403.4249175116	3913284.8106152876	1339851.4553083328	4814152.901063137	3561582.8555180863	3426744.0441845423	1439255.4765114144	1468771.7027568517	2881811.4227657723	4977338.151897783	7551600.106148642	3039976.3388226507	3072430.9579615947	2956211.2523087063	3959442.645902149	4747628.242995453	3547510.5995043977	2824214.280042152	2824214.280042152	2824214.280042152	2824214.280042152	2342016.7337339893	3433794.098224058	2619566.8200366423	2619566.8200366423	2619566.8200366423	2619566.8200366423	1905770.6079617688	42570127.19405277	84726428.40126456	84726428.40126456	84726428.40126456	84726428.40126456	42156301.20721181
961.607__7.73_3285	2005549.7997366954	2500886.721795355	1198959.276411347	1802320.9400216485	1244933.2087185879	3394343.33828953	2298021.8457100242	1540546.7134037756	2568688.4723892733	2051425.7364513201	2207179.931355065	3238653.540489504	5014361.677430743	2328176.4894949803	3628759.9953231127	2637478.5785315754	1672585.974894468	2816043.3475222318	2113762.132851345	2391047.661843281	1821696.0686188536	2303285.6089705364	3094980.802218265	3425281.946815414	2144798.7369698444	6712026.124412662	2359313.889080171	3059559.5952987215	8150419.4321995275	4475315.921191309	3530573.3113015904	2873346.7836146383	2873346.7836146383	2873346.7836146383	2873346.7836146383	2435195.765156672	3077270.198758493	2375180.775461726	2375180.775461726	2375180.775461726	2375180.775461726	2315731.0492327586	42366879.73561908	86200403.50843915	86200403.50843915	86200403.50843915	86200403.50843915	43833523.77282009
961.584__7.56_4092	2777910.5734923272	3623071.275554539	1929449.253552822	1916219.4137362074	1216901.6851923182	1994615.9303987897	2930759.8337153527	2094072.3596366409	1892066.882420191	3047526.7174091586	2816198.83560123	2050376.1199775452	2173642.9766884097	2282735.786975971	1187289.176541973	2195701.8324852474	2428414.5506496523	4504248.670208113	2729783.404858656	2954406.0513437246	2217172.2696721195	2923126.8127702684	1431797.6352131234	3056903.099538187	3283389.5277599357	4546806.388277695	2156882.6252120035	3850718.120011755	2643064.185903495	4374547.524418048	2916758.6637673806	2640993.317307183	2640993.317307183	2640993.317307183	2640993.317307183	2457149.753000385	2842094.72810119	2535739.3682765737	2535739.3682765737	2535739.3682765737	2535739.3682765737	2249954.0283240452	35001103.96520857	79229799.5192155	79229799.5192155	79229799.5192155	79229799.5192155	44228695.554006934
957.631__7.62_4085	996993.9458036234	3392866.9928081566	1324585.486704737	2094821.8478014795	1628286.5753079404	2279579.0999929504	2607057.3505234635	1032462.1213409788	1534943.5994722128	3719679.3170139184	3669748.6585564543	2611757.51931351	1314718.1717433864	1804491.7861089383	2435712.5729392157	1229628.813882891	1724995.1041044423	2204326.6621163273	3440407.5007639215	5529039.825878919	2001730.3213248902	2601254.673004887	2751021.779759343	2475449.861222381	4235042.739236392	4015397.579259423	2297387.7936154385	2120295.6021080296	3832044.0223914934	3525375.2787145036	3257675.198814448	2547703.420093809	2547703.420093809	2547703.420093809	2547703.420093809	2074388.900946715	3482891.3897392126	2366550.183277327	2366550.183277327	2366550.183277327	2366550.183277327	2048276.084563185	39092102.385773376	76431102.60281426	76431102.60281426	76431102.60281426	76431102.60281426	37339000.21704087
956.655__7.73_4299	1916927.3106266537	1377105.816541862	1343106.913310523	1884407.943513112	1118681.442444834	6382277.613746939	3693283.4763235543	2109479.9982863213	1153102.5269334365	4549113.346622218	1802824.2681229985	6032894.097600748	3037419.1880125455	3060867.3632470467	2240770.762425777	1132468.8934140257	4615886.447095358	2101397.6994423126	1749576.181621293	3893762.5220024763	2446597.4373633703	1724819.62483275	3712171.3332926594	2883208.926068856	2993493.3200833886	7482911.758302445	1756274.0302162576	4686725.419316377	3245999.549709227	3221220.1723121833	4171635.442741357	2978292.512761052	2978292.512761052	2978292.512761052	2978292.512761052	2182730.5594408484	3802966.927647568	2664903.1817161134	2664903.1817161134	2664903.1817161134	2664903.1817161134	1900667.6270698828	50059625.31289628	89348775.38283157	89348775.38283157	89348775.38283157	89348775.38283157	39289150.06993527
955.525__7.06_3916	652336.2670962611	2446108.6090193465	2286146.9691759665	1678522.0399855939	949340.9979597072	2742014.8162648114	6157374.028981328	3921345.4165581977	1274845.0888957877	3356476.0122679104	1249573.8578493109	4741277.219619962	3811416.5342246937	1683399.8998760635	874065.5424843406	554449.6418972982	472611.5777950303	1003623.8875783493	3204652.785296824	4804795.748770653	932370.2995638566	2534514.4695814224	3176737.0564261866	1307878.6149288267	6185154.874196393	6527090.128906033	1446236.8215907258	1808412.4063856276	3594946.424445722	11044946.839610351	4592320.810729056	2880755.495907753	2880755.495907753	2880755.495907753	2880755.495907753	1739711.9526935506	3758145.9205019595	2366127.7890976565	2366127.7890976565	2366127.7890976565	2366127.7890976565	1291361.851912307	55107849.72874867	86422664.87723258	86422664.87723258	86422664.87723258	86422664.87723258	31314815.14848391
