#SampleID	V17-leg-psoriasis-GA6	V17-leg-psoriasis-GA4	V17-leg-healthy-GA5	V17-leg-psoriasis-GA3	V17-leg-healthy-GA8	V17-leg-healthy-GA2	V17-leg-healthy-GB4	V17-leg-psoriasis-GB3	V17-leg-healthy-GA1	V17-leg-healthy-GA12	V17-leg-psoriasis-GA7	V17-leg-psoriasis-GA10	V17-leg-psoriasis-GB2	V17-leg-psoriasis-GA11	V17-leg-healthy-GB1	V17-leg-healthy-GA9
1683_881.616_7.82	1782190.0456893619	4275529.885616434	1526276.9525545859	6246757.54030337	3750429.709467388	1850681.0330166884	4977155.110960613	4708591.459459322	2031396.1326128829	4946747.541362008	9883262.351199167	1612896.8572441875	1918849.7936968957	4431553.592135208	1712544.194378799	2249710.320977411
1681_537.435_7.64_C29H60O8_Ethers	3177666.5529416064	3791004.1815311685	749312.1767775555	4943191.827984425	2026418.6682613785	2035669.0841813881	4552938.648789615	5427359.868044701	1864491.4878140504	2359951.60113288	8535055.364222344	3236529.803461335	3337594.012681234	3864971.5026930417	1915391.0144965188	2437328.39156258
1680_409.183_2.52_C17H24N6O6_[4-acetyloxy-5-[8-(dimethylamino)-6-(methylamino)purin-9-yl]-2-(hydroxymethyl)oxolan-3-yl] acetate	557483.9118278519	1967048.9111021738	2637950.00009711	2812687.584393498	3452561.058741948	1629447.014023076	6018074.692033082	4121498.049598525	1841676.0002858303	2697631.3725934937	6867067.676177883	3548505.195234925	3961623.5873601986	4816298.962302236	5474155.402755061	5445992.430187909
1678_675.464_7.68_C29H54N16O3	759137.8919332501	2716049.1841218467	1544679.5795258994	4356888.407158767	1119023.2357976642	1077849.8154492388	6207694.169371705	4452950.1721845865	4744740.737709667	6084321.919694296	6993696.602028844	1056614.4812645507	2273979.3346092105	9094732.292581856	14315511.011273613	1850796.2130924303
1677_377.196_5.98_C18H32O6S_2-sulfonyl-3-tetradecylbutanedioic acid	1843323.356090771	2558822.6086001936	2683198.6442201347	3203990.3360939687	5477784.756242345	1154821.8957443594	3839190.69345316	2422352.2688041315	2382471.9157595104	8791617.305182973	1544478.9302803238	4491602.228257726	7092067.894983609	7569139.880031775	2897039.0977865495	11525636.761894608
1676_469.352_7.79_C20H48N6O4S	5493604.766591165	1644480.7829387581	3374495.7937237094	1748626.6674916588	3087493.2576033133	3071930.602101853	2951433.011766072	5305703.986975501	6200446.806136653	2971845.4567316137	3277373.4403741467	3823468.6570289857	3323579.0072365617	3497742.4733486036	2805851.337157461	4516800.098509518
1673_454.388_6.96_C26H49N5_Pyrimidines and pyrimidine derivatives_4-N-cyclohexyl-6-N-hexadecylpyrimidine-4,5,6-triamine	20062635.28791253	4247240.703062293	1147917.3911338642	1628222.3711634618	1347808.8417425477	896996.9590044805	4649381.710959657	2875593.749715792	4329215.643810067	2908551.3639305406	49995113.79150672	101935395.138174	8922358.186830942	12423654.868741095	2975157.260572475	2425161.8462531744
1672_691.97_7.65	1513266.8176386843	4581217.043459358	1248353.4209558794	7582210.560966448	2024052.2133303224	1511722.0299812988	7803416.352035647	6835555.763260199	3156378.174251126	8539784.114116907	17476385.315443095	1887409.978731837	1500682.709902705	6314946.816697112	2375922.6666826042	2930579.2080864576
1671_519.321_4.83_C21H42N8O7	1262872.1884440538	2967812.2814264237	2969370.9295102763	2019912.5663052413	1804637.8706293846	2173384.174876682	3413565.808084279	3212844.7882779967	2079713.2956956348	4310086.78022091	6337838.846034517	5365530.380938772	5326918.202483558	6656017.357451126	4037888.8593094638	5338302.658718067
1670_685.517_9.22_C32H64N10O6	1810441.0723567975	5115551.887047624	2627717.140970508	3959901.577395672	3587171.638590413	1894924.8288741559	8950986.00042068	2464268.5911990167	2076184.302897989	3285025.059806935	4266443.334935978	4353192.834878634	1740957.2642914115	4001642.14477616	3647601.560160858	4120411.930479277
