index	V2-arm-psoriasis-2C7	V2-arm-healthy-2A11	V2-arm-healthy-2B3	V2-arm-healthy-2B12	V2-arm-healthy-2B9	V2-elbow-psoriasis-2B6	V2-elbow-psoriasis-2B7	V2-arm-healthy-2B10	V2-arm-healthy-2A5	V2-elbow-psoriasis-2A9	V2-arm-healthy-2C4	V2-elbow-psoriasis-2B8	V2-arm-healthy-2B11	V2-arm-psoriasis-2C5	V2-arm-healthy-2A12	V2-arm-healthy-2A3	V2-elbow-psoriasis-partial-2A7	V2-arm-healthy-2A4	V2-arm-healthy-2B5	V2-arm-healthy-2C1	V2-arm-healthy-2C10	V2-arm-healthy-2C3	V2-arm-healthy-2A6	V2-arm-healthy-2C11	V2-arm-healthy-2B2	V2-arm-psoriasis-2A10	V2-arm-healthy-2B4	V2-arm-healthy-2B1	V2-elbow-psoriasis-partial-2A8	V2-arm-healthy-2C9	V2-arm-healthy-2C8	V2-arm-healthy-2C2	V2-elbow-psoriasis-2C6	GROUP_MEAN_DESCRIPTION_2_healthy	GROUP_MEAN_DESCRIPTION_arm	GROUP_MEAN_Sex_male	GROUP_MEAN_Body_side_right	GROUP_MEAN_Body_side_left	GROUP_MEAN_DESCRIPTION_elbow	GROUP_MEAN_Batch_2	GROUP_MEAN_DESCRIPTION_2_psoriasis	GROUP_MEDIAN_DESCRIPTION_2_healthy	GROUP_MEDIAN_DESCRIPTION_arm	GROUP_MEDIAN_Sex_male	GROUP_MEDIAN_Body_side_right	GROUP_MEDIAN_Body_side_left	GROUP_MEDIAN_DESCRIPTION_elbow	GROUP_MEDIAN_Batch_2	GROUP_MEDIAN_DESCRIPTION_2_psoriasis	GROUP_SUM_DESCRIPTION_2_healthy	GROUP_SUM_DESCRIPTION_arm	GROUP_SUM_Sex_male	GROUP_SUM_Body_side_right	GROUP_SUM_Body_side_left	GROUP_SUM_DESCRIPTION_elbow	GROUP_SUM_Batch_2	GROUP_SUM_DESCRIPTION_2_psoriasis
409.244_C19H36O9_3.9_3669	46480969.0	20475256.577030454	49150465.39809527	61142963.955087356	52893716.3866968	38942184.47988524	64403036.695067175	21543190.941541776	35419206.659707166	103538335.77600893	75822173.34782894	17199414.506790876	33623196.84509522	67127352.65766169	40048378.124846995	40303124.93954809	51235148.47295141	43657067.47826663	37470612.4680735	54546859.55134179	19024478.19313221	50648402.53620884	42524508.707003064	162367538.5305423	66534037.82482825	61960782.812932864	99955218.107826	18975128.148702566	57910154.248069264	23341790.010538653	57685600.477535866	82980451.88805902	45178086.5382746	51744929.004240744	52527018.13723583	52851782.79652057	54163967.03007158	51277161.71625937	54058051.53100679	52851782.79652057	55397546.51876421	43657067.47826663	47815717.19904764	49150465.39809527	51771059.46145282	43657067.47826663	51235148.47295141	49150465.39809527	54572651.360510334	1190133367.097537	1365702471.5681314	1744108832.2851787	974951406.5412884	769157425.7438905	378406360.7170475	1744108832.2851787	553975465.1876421
408.368_C20H47N4O4_7.39_191	49873837.51389971	49839532.813047096	18665683.256951377	45002557.904552236	61172495.09498917	28709200.992274992	51481880.84126729	38053259.265823856	35490752.58162263	63404374.969895385	59988087.612487264	46087529.0	45726545.1551959	22526481.565612737	28125682.02809093	49629732.33258916	48102347.24079455	21843586.36679818	32875663.19154046	69680872.89191423	99372192.04087263	63721172.98261196	77408443.33359994	20568590.97173735	54803150.91977911	60144691.96719236	12187628.48166108	37800498.68533146	39590110.82722999	39243542.27717501	70108187.23327173	38340442.01054859	85355571.5664171	46506447.80139963	46238204.24918831	47421949.27020533	51945135.94003621	41994125.26640824	51818716.49112562	47421949.27020533	49527602.64845841	45002557.904552236	45364551.52987407	46087529.0	47980683.25694986	39590110.82722999	48102347.24079455	46087529.0	48988092.37734713	1069648299.4321915	1202193310.4788961	1564924325.9167757	935012446.9206518	629911878.9961237	362731015.4378793	1564924325.9167757	495276026.4845841
407.366_C30H46_8.39_3407	39466660.32036117	74904771.17028135	26811969.25094486	136110544.4977853	68288895.53667277	22199357.557529736	15855710.50199129	46375781.651763484	25004397.55688004	70653923.41468379	85789794.80509023	33775671.03724688	59590724.19309343	9577035.944864854	26705359.0	57421443.23001957	46492309.0454597	22114184.106050745	30697816.564817864	38080812.09844681	74509610.11255404	70803439.84496142	32705001.19734021	9252259.04538381	42779678.4708874	72427147.63510676	10390386.881754933	31572109.417963814	22224494.16524963	66620005.909013346	46409521.69419946	49804819.714823924	25748146.817359075	49249709.82394473	48239006.532733135	45186781.28456308	49903266.182396725	39526999.4071627	33849944.64850288	45186781.28456308	35842045.64398529	46375781.651763484	44577730.061325446	39466660.32036117	46392651.67298147	31572109.417963814	25748146.817359075	39466660.32036117	29761908.92730298	1132743325.950729	1254214169.8510616	1491163782.3905816	898258791.283141	592904991.1074406	236949612.53952014	1491163782.3905816	358420456.4398529
407.336_C22H46O6_6.72_293	48647085.555340104	44081982.746461324	18122225.426385768	49305279.5	58950597.73328049	31292864.963684898	59499748.55782709	39687263.95340397	31448277.632074937	63981401.87535108	55039778.98915997	48932167.866688356	43133440.59119294	24243084.943582922	32535785.260361638	49578188.53911115	48148891.001489684	20605358.205035094	30640797.505372263	110861195.5929668	73969396.39376482	76847017.75784278	65845985.628785476	26510248.49066907	43716661.30486135	59200621.62528673	12569906.954645008	53677882.36096692	39341613.07379276	38089146.39638503	48482953.52351787	45364642.113611534	91922490.33536719	46481044.026080705	46198261.72015638	48008302.49691718	53932133.514349215	40899705.27599876	54731311.09631444	48008302.49691718	51520996.97984108	44081982.746461324	44723312.430036426	48148891.001489684	48789626.711014226	43716661.30486135	48932167.866688356	48148891.001489684	48789626.711014226	1069064012.5998563	1201154804.7240658	1584273982.398267	970778403.2582859	613495579.1399814	383119177.6742011	1584273982.398267	515209969.79841083
407.336_C22H46O6_6.39_1973	22272114.364587024	59005244.55307939	19174670.37724024	57041841.03414487	17960652.70954903	27057774.31062767	24086263.860453367	38658799.10964596	40114072.40959909	41504913.45642426	75230500.5983648	12552520.250245456	51499863.79781223	27004459.5	20877039.78093773	40594144.138778046	53088321.77425013	16260446.074301526	12286426.130836174	105871430.23016837	64882134.26556585	76576247.04134032	94655008.68161	8804406.493052216	40806066.31351957	69493682.53470847	9141540.771038027	56122698.94292817	45443084.0369965	57795873.65588637	41468696.85989501	21091767.95799296	98950568.12353575	44605198.77944722	44026531.85871467	43859796.18603377	46044773.00904818	41237823.9984165	43240492.258933306	43859796.18603377	42145370.22118286	40806066.31351957	40700105.22614881	40806066.31351957	40063747.98477049	40806066.31351957	41504913.45642426	40806066.31351957	34281343.88352597	1025919571.927286	1144689828.3265815	1447373274.1391144	828805914.1628672	618567359.9762474	302683445.81253314	1447373274.1391144	421453702.2118286
407.252_C17H34N4O7_5.1_2342	8910261.9696182	21739415.44071868	73833045.44174163	27124615.82253903	48912527.22230319	107750719.90129453	65701923.28448829	19379240.919129208	67608487.32907256	27191985.33900699	82173932.80748956	14202763.873287544	19490169.117438577	42997883.183536306	23824989.584355548	73991783.07765056	40830056.41133837	38826469.329161145	120615586.78573161	128336904.84223564	53917959.5	152376080.9173042	87414742.4848855	6923416.128176508	80185501.97411549	41324545.29794271	59036373.65287055	29686886.06725116	23319032.951001365	62901796.8035301	37065101.3112487	91279423.18310232	23855890.619029853	61158454.33661095	57687582.31512111	54628167.047654405	55183367.300319545	53961926.74445627	43264624.62563528	54628167.047654405	39608506.28305442	59036373.65287055	51415243.36115159	42997883.183536306	45955205.20291975	41324545.29794271	27191985.33900699	42997883.183536306	34011020.875172675	1406644449.7420518	1499877140.1931489	1802729512.5725954	993300611.4057518	809428901.166844	302852372.379447	1802729512.5725954	396085062.8305442
407.252_C16H35N6O4P_4.53_1655	17317549.177999146	18721337.236838374	89335004.43743046	11840006.364139166	19796088.167096436	86676584.57341193	53116704.594986334	21873915.57587579	112698191.49584194	36199529.26260443	62581203.94420144	21556308.417628963	17149934.7792167	32687128.935668528	14159669.890032869	82806000.733701	27157556.50489769	24410789.5	113069695.24914888	203229519.70975646	57727941.8380823	106713282.00921533	141498081.5724869	16472770.680517826	107122297.20476069	27594651.4694585	38580160.52815973	12886124.941614654	16547297.605000181	55354682.50582148	58662726.43250529	119189884.95244004	24589592.113718666	65473013.46734278	60903024.5896927	56040067.042553276	54807545.82068232	57519092.508798406	37977653.29603545	56040067.042553276	34344290.26553744	57727941.8380823	46967421.5169906	36199529.26260443	42901916.76532743	36199529.26260443	27157556.50489769	36199529.26260443	27376103.987178095	1505879309.748884	1583478639.33201	1849322212.404258	986535824.7722818	862786387.6319761	265843573.07224816	1849322212.404258	343442902.6553744
407.193__3.54_6002	3.7367350540692907	89620205.63663901	164022042.0961434	38982513.16372876	3.7367350540692907	3.7367350540692907	58328939.5	3.7367350540692907	3.7367350540692907	3.7367350540692907	197351174.06186965	42735095.71116236	38475811.89039697	221090352.92156753	3.7367350540692907	37977705.10768953	86875502.7414591	58154060.29946955	3.7367350540692907	3.7367350540692907	183560532.87745875	3.7367350540692907	3.7367350540692907	61984957.34016634	67232084.43982549	3.7367350540692907	101988574.46150513	60570079.97929354	92175908.20951918	3.7367350540692907	76396651.36403367	310105513.8917217	82476763.96847583	64627040.880024225	65673550.02444594	62730439.94665701	72860462.93598482	50574412.35946362	51798888.22915522	62730439.94665701	58368257.799912415	38982513.16372876	38729162.52706286	42735095.71116236	40858804.43744556	58154060.29946955	58328939.5	42735095.71116236	50532017.60558118	1486421940.2405572	1707512300.6355946	2070104518.2396812	1311488332.8477268	758616185.3919543	362592217.6040865	2070104518.2396812	583682577.9991242
407.189_C14H26N6O8_2.62_3842	39090426.43346299	40501971.41932502	57034697.63160734	48598283.53532472	32615282.10994805	71262527.801368	73278829.05919485	36200729.0	44938606.633551456	43844521.27506905	51671120.64433168	37257688.62419109	46720169.828585654	63162991.79195562	202180386.99112403	67831141.17556205	31450179.90472634	65992180.87650862	56136508.05272102	155455062.1516073	71892072.11236767	82445194.8490035	27384533.82264661	33343957.1202258	105439874.779307	51987078.29141921	42094928.8033951	101750582.04470287	40813525.04562751	47745909.719562545	33332048.56219564	40937223.85111194	49624672.49635641	64880107.20498762	63326267.77813666	60424694.13448749	56368566.093932964	65292047.78315289	49647420.60093333	60424694.13448749	50177244.07233711	48598283.53532472	50134702.0898282	48598283.53532472	48172096.627443634	51987078.29141921	43844521.27506905	48598283.53532472	46734596.88571273	1492242465.7147152	1646482962.2315533	1994014906.438087	1014634189.6907934	979380716.7472934	347531944.2065333	1994014906.438087	501772440.72337115
406.231__3.12_4866	49921648.777826935	28292674.09162266	48072025.91104134	30746710.404581133	44212567.80641739	81124023.6969697	109573353.81792969	32650180.565719996	36582979.98595215	47842180.863136865	20590967.44801389	207478622.13253415	44551247.61276819	74371172.89662719	40131258.190476194	71186925.78158508	34824159.0847248	30725310.612244897	36582979.98595215	68732066.24137767	42320466.413586415	47983528.98178013	78584775.13147329	45408552.35367966	31368658.591156464	53411803.022439465	26056212.624423195	34610120.0	68572109.07077208	23929565.556096286	26451114.73574045	44181779.10730698	176955907.74625376	40606637.744912855	42756049.724226505	55697807.55279425	65065748.6830672	44456278.1964667	103767193.77318871	55697807.55279425	90407498.11092146	36582979.98595215	41225862.30203131	44212567.80641739	44979899.98322392	36582979.98595215	81124023.6969697	44212567.80641739	71471640.98369963	933952668.1329956	1111657292.829889	1838027649.2422101	1171183476.2952096	666844172.9470005	726370356.412321	1838027649.2422101	904074981.1092145
406.182__1.97_4515	1060017018.8487122	34343331.592201985	48784253.3584303	25050519.83504516	54965218.27883695	52578414.25721248	123527872.84430683	33110953.0858114	30737016.365762454	182955839.55138907	22209047.17265063	950402085.1395382	42377272.59278362	85514901.12472078	40745322.04582316	117114026.6960432	32658057.93167296	27248623.185998596	41727384.977254935	93653300.0646387	171265646.3427929	31304113.05404864	44734524.1474343	57716196.56370363	29950506.78962367	27324730.735218816	46158477.30402545	38024315.26176447	44255894.390144825	27030983.784777623	39262534.84584394	45627790.0	1518025998.409784	49701798.145447634	89076846.46361335	158194005.1690302	246313325.90251154	52450820.288852535	414914880.3605784	158194005.1690302	407726081.32327	40745322.04582316	41236353.51153904	44255894.390144825	53771816.26802471	40745322.04582316	123527872.84430683	44255894.390144825	104521386.9845138	1143141357.3452957	2315998008.053947	5220402170.577996	4433639866.245208	786762304.332788	2904404162.524049	5220402170.577996	4077260813.2327003
405.357_C23H48O5_7.72_649	45885978.769561045	52760163.80792135	19732049.552719023	46575064.95326283	62577557.006146334	27058766.62783456	56447460.0972721	47577331.92086374	36529621.768372886	62514510.13944156	74146670.71336034	60104064.71519718	48278787.03660925	22960503.859690014	25212359.210673545	56572844.75104163	42373649.63970193	17701246.1030441	27899364.876127042	49416108.57971637	116282819.27469382	55385609.5	84106318.13904528	30442042.144280832	61145327.86606749	71862670.365413	11157067.464450767	32273692.680628404	40974905.331019446	66675663.124595836	80427421.94982156	43530082.445604965	98860853.20322746	49843704.99430641	49504398.7639889	50771169.01870927	57368488.10676323	42854386.11304449	55476315.67909918	50771169.01870927	52904336.27483583	48278787.03660925	47928059.47873649	48278787.03660925	52400859.039858185	40974905.331019446	56447460.0972721	48278787.03660925	51166719.433416575	1146405214.8690474	1287114367.8637114	1675448577.617406	1032632785.9217381	642815791.6956674	388334209.75369424	1675448577.617406	529043362.7483583
405.228_C23H32O6_6.7_1701	31565804.475753173	51248678.29436189	28246758.749622554	64572535.63753185	43911776.94481318	47350723.93692223	28782801.495925102	34906002.970412776	37687205.56489079	48927776.02925376	70905825.66191879	22582805.082808662	55192963.25232862	35789649.10711952	28296905.785902668	58364528.97571949	50221953.71590721	30773590.791760262	42329349.5	51771978.62275485	71066129.30516453	82680745.51339918	60162505.064178415	40435693.046357155	45212306.12121706	55150666.36533056	17012800.00986314	48666802.84220336	46305832.18010701	40344207.22717203	39845583.173913755	57871632.2883977	48150678.2516421	47891587.18886452	47077408.66508028	45949551.39347434	48207085.33301862	43240510.66602121	41760367.24179516	45949551.39347434	41482869.06407694	45212306.12121706	44562041.53301512	46305832.18010701	45631250.44086771	46305832.18010701	47350723.93692223	46305832.18010701	46828278.058514625	1101506505.343884	1224012625.2920873	1516335195.9846532	867727535.9943352	648607659.9903182	292322570.6925661	1516335195.9846532	414828690.64076936
405.209_C18H30N4O5_3.09_3083	15614430.930038556	44561277.26609104	35954025.47990334	188245146.78529105	70464758.89879236	76021160.20748414	15216441.653381683	83717170.79789054	47768228.48290235	95880284.24388294	14378220.246807579	17752814.49292265	14348347.262848118	19070631.257229805	52506965.15466087	34220016.45009662	31268248.87610312	12462216.384883722	19479288.92015317	55889573.52358921	110104856.44104724	13497379.131643198	14254144.698468668	69135448.67292829	31913561.670125276	35222400.29521978	22318999.0	63158197.617583156	60178838.223786704	54070126.00684295	72903652.6610024	25796685.08904071	40754035.57307745	50049925.50619965	46963682.65865692	47215987.04229451	53165604.423992105	40076446.18425738	48153117.61009125	47215987.04229451	40697928.57531269	44561277.26609104	35588212.88756156	35954025.47990334	47412080.7899602	35222400.29521978	40754035.57307745	35954025.47990334	33245324.58566145	1151148286.642592	1221055749.1250799	1558127572.3957188	956980879.6318579	601146692.7638607	337071823.2706387	1558127572.3957188	406979285.75312686
404.337_C22H45NO5_6.18_3896	57058765.09783269	54618867.95225347	25500350.096121646	59445884.634337604	75272032.90056211	38386750.32289176	24963355.651394434	65587310.28048207	29134045.789923087	65230153.331769764	88081150.42237112	31353782.97954296	123174382.09121281	18280989.66122445	131013793.8096126	86018868.12149946	59849543.37918155	31065510.434228975	81857627.88116811	43082172.71052867	53917959.5	32457091.154981628	46988998.92287468	30595668.63513958	29370611.61814837	65988359.329090826	25923685.27524163	27411935.704965036	23266720.253715556	27504558.21404425	165440655.70465544	33966957.20176581	54106089.17314668	59453483.43722253	58029162.813241005	54724685.70411845	56815308.68533967	52215938.12665297	42450913.58452039	54724685.70411845	43848450.91797907	46988998.92287468	50453479.211437345	46988998.92287468	48500066.105264336	46988998.92287468	38386750.32289176	46988998.92287468	46246419.74801922	1367430119.0561182	1508758233.1442661	1805914628.235909	1022675556.336114	783239071.8997946	297156395.09164274	1805914628.235909	438484509.1797907
