index	V8-arm-healthy-BD3	V8-arm-healthy-BE3	V8-arm-healthy-BD4	V8-arm-healthy-BE4	V8-arm-healthy-BE5	V8-arm-healthy-BD6	V8-arm-healthy-BE7	V8-arm-healthy-BD5	V8-arm-healthy-BD8	V8-arm-healthy-BE8	V8-arm-psoriasis-BE10	V8-arm-psoriasis-BE9	V8-arm-healthy-BD7	V8-arm-healthy-BE6	V8-arm-psoriasis-BD10	V8-arm-psoriasis-BD9	GROUP_MEAN_DESCRIPTION_2_healthy	GROUP_MEAN_Sex_female	GROUP_MEAN_DESCRIPTION_arm	GROUP_MEAN_Body_side_right	GROUP_MEAN_Body_side_left	GROUP_MEAN_Batch_3	GROUP_MEAN_DESCRIPTION_2_psoriasis	GROUP_MEDIAN_DESCRIPTION_2_healthy	GROUP_MEDIAN_Sex_female	GROUP_MEDIAN_DESCRIPTION_arm	GROUP_MEDIAN_Body_side_right	GROUP_MEDIAN_Body_side_left	GROUP_MEDIAN_Batch_3	GROUP_MEDIAN_DESCRIPTION_2_psoriasis	GROUP_SUM_DESCRIPTION_2_healthy	GROUP_SUM_Sex_female	GROUP_SUM_DESCRIPTION_arm	GROUP_SUM_Body_side_right	GROUP_SUM_Body_side_left	GROUP_SUM_Batch_3	GROUP_SUM_DESCRIPTION_2_psoriasis
98.013__0.85_3287	13106149.21146415	18991385.227833778	47354637.573355146	43723610.380718574	59004958.58693957	13064676.575453006	93227693.22667041	3.8097222130391684	75295917.46711586	58642859.72947905	21019094.636835024	120462959.20963293	58931621.43433857	61288597.51476836	72774090.89680564	33243860.804590352	45219342.56148823	49383257.26785766	49383257.26785766	59545144.81410971	39221369.72160562	49383257.26785766	61875001.38696599	52998748.6514171	52998748.6514171	52998748.6514171	58823909.15820931	40299249.18897275	52998748.6514171	53008975.850697994	542632110.7378588	790132116.2857226	790132116.2857226	476361158.5128777	313770957.772845	790132116.2857226	247500005.54786396
973.655__5.42_3754	31534136.37585749	7209926.880112864	27921532.04722284	41039248.726783834	48004425.09034484	171178178.48311526	117325343.25911222	32561245.988542996	80774373.6305705	49380783.970694706	16587876.591554673	9871382.490926085	108340868.70137344	86881508.25836241	15503616.137460575	24406765.039527267	66845964.28434112	54282575.72947262	54282575.72947262	47037561.908486456	61527589.55045879	54282575.72947262	16592410.06486715	48692604.53051977	36800247.357663415	36800247.357663415	44521836.90856434	32047691.182200246	36800247.357663415	16045746.364507623	802151571.4120934	868521211.671562	868521211.671562	376300495.26789165	492220716.4036703	868521211.671562	66369640.2594686
971.158__9.75_6081	19613348.008313213	29765631.577928476	81154354.4592003	43095860.94906571	27793939.03394379	43193949.396952204	23338403.861609727	31958909.533325847	173570284.0381893	50855216.41232145	4027415.1219950155	74236322.70603351	35019612.2980759	79229137.37750855	38430317.88261613	45640010.03805054	53215720.57886953	50057669.5434456	50057669.5434456	41542740.88005078	58572598.20684043	50057669.5434456	40583516.4371738	39057736.6235708	40763089.415840924	40763089.415840924	36430746.26349709	40812133.63978417	40763089.415840924	42035163.96033333	638588646.9464344	800922712.6951296	800922712.6951296	332341927.0404062	468580785.65472347	800922712.6951296	162334065.7486952
97.514__2.54_3455	37739786.37325723	17083615.701455563	34846830.015064165	42740650.062214926	32945750.58374532	51058412.929937035	42849052.17051333	43914093.25945923	72498639.72556442	38840565.23745435	48715768.327710345	104592931.56608656	60782579.84699466	34893901.75116807	24153082.59829246	53624427.07054171	42516156.471402355	46330005.451216206	46330005.451216206	45332779.42504355	47327231.477388866	46330005.451216206	57771552.390657775	40790607.64983463	42794851.11636413	42794851.11636413	40790607.64983463	47486253.09469813	42794851.11636413	51170097.69912603	510193877.6568282	741280087.2194593	741280087.2194593	362662235.4003484	378617851.81911093	741280087.2194593	231086209.5626311
967.688__8.07_678	14627395.003381588	21349527.11684935	27640622.122928094	27600361.83741876	29602658.11153436	162941621.12546182	132500249.0529356	39234559.210965216	43695450.28070182	25029608.830458846	28551010.042412356	11369792.613639316	256806139.8246061	115792864.84880565	102489624.73990057	43301494.52364613	74735088.11383726	67658311.20535284	67658311.20535284	48974509.05675678	86342113.35394892	67658311.20535284	46427980.4798996	34418608.66124979	34418608.66124979	34418608.66124979	28075685.93991556	43498472.40217398	34418608.66124979	35926252.28302924	896821057.3660471	1082532979.2856455	1082532979.2856455	391796072.45405424	690736906.8315914	1082532979.2856455	185711921.9195984
965.514__3.3_5490	26849490.07620712	125494002.58073263	70515989.94457586	65535089.74039067	23180768.78021898	73229063.1911277	24390096.283123285	26127477.051546834	62933804.43513649	32216419.093536172	30043083.079412468	42857913.22796513	38448508.19407672	33117162.838294443	41504508.0850744	57719077.18143468	50169822.68408057	48385153.36142835	48385153.36142835	47104316.952959225	49665989.769897476	48385153.36142835	43031145.39347167	35782835.51618558	39976508.139575556	39976508.139575556	32666790.965915307	49611792.63325454	39976508.139575556	42181210.65651977	602037872.2089669	774162453.7828536	774162453.7828536	376834535.6236738	397327918.1591798	774162453.7828536	172124581.5738867
964.583__5.02_189	24233469.783382203	72348746.72910847	193997002.86324897	32809466.60010205	36915480.68204981	28029559.4389366	101521516.62670377	37816231.05208429	49986754.38663574	58303471.9239437	33392033.576452024	184356520.0868259	53225150.59706249	96505430.28459251	39463136.20207445	29685212.387041744	65474356.74732089	67036823.95126529	67036823.95126529	77019083.31372228	57054564.58880831	67036823.95126529	71724225.56309853	51605952.49184912	44724945.294355094	44724945.294355094	65326109.32652608	38639683.62707937	44724945.294355094	36427584.88926324	785692280.9678507	1072589183.2202446	1072589183.2202446	616152666.5097783	456436516.7104665	1072589183.2202446	286896902.25239414
963.622__7.98_3912	87912151.02549209	138317607.56181377	35937491.55634492	44897863.96367763	22490926.339225654	54032146.037526384	36571355.400237694	22613234.19168981	22782951.51347928	38334717.1629697	32114550.51190071	27753664.53385054	264960994.77093577	37810919.66330073	194963172.05889806	49583708.54349102	67221863.26555778	69442340.92717712	69442340.92717712	47286450.64212205	91598231.21223217	69442340.92717712	76103773.91203508	38072818.413135216	38072818.413135216	38072818.413135216	37191137.531769216	51807927.2905087	38072818.413135216	40849129.527695864	806662359.1866934	1111077454.8348339	1111077454.8348339	378291605.1369764	732785849.6978574	1111077454.8348339	304415095.6481403
962.733__8.07_615	13678297.55713919	19292424.709219154	27106408.57757969	29172162.326658715	33076346.15811819	181753334.8064262	145337165.72753063	43063278.472933315	48413161.80774968	28120671.56830251	30666083.08660358	14190646.425119266	296919353.55034375	135482172.0180725	114442707.56663658	50828759.79496265	83451231.44000612	75721435.88458723	75721435.88458723	54417209.00245307	97025662.7667214	75721435.88458723	52532049.21833052	38069812.315525755	38069812.315525755	38069812.315525755	29919122.706631146	49620960.80135617	38069812.315525755	40747421.44078311	1001414777.2800734	1211542974.1533957	1211542974.1533957	435337672.01962453	776205302.1337712	1211542974.1533957	210128196.87332207
958.665__8.09_4410	35642121.960719936	30771960.585703146	47842550.86074562	28790179.263845135	26054135.32458925	86661450.3546507	47458769.24032076	41581170.503592856	21992198.986189593	27952907.33204458	27092417.171544284	41803898.08407041	260609245.05933583	18889928.860769104	107081163.0743	33986367.92798714	56187218.194375545	55263154.03690052	55263154.03690052	31101774.482860833	79424533.5909402	55263154.03690052	52490961.56447546	33207041.27321154	34814244.944353536	34814244.944353536	28371543.29794486	44711860.68216924	34814244.944353536	37895133.00602877	674246618.3325065	884210464.5904083	884210464.5904083	248814195.86288667	635396268.7275217	884210464.5904083	209963846.25790185
954.78__10.01_3173	57582392.20143983	30847736.26561231	84171852.66158138	45082882.15190877	48177585.915713646	35910145.276307926	156518501.91651106	33849175.17866944	60519780.193565436	54275642.32352195	23827533.24422322	26403462.350575585	69626138.95689881	72818218.54903981	43200101.66904914	55014389.72141447	62448337.63256421	56114096.16100205	56114096.16100205	57243945.33963829	54984246.9823658	56114096.16100205	37111371.746315606	55929017.262480885	51226614.1196178	51226614.1196178	46630234.03381121	56298390.96142715	51226614.1196178	34801782.00981236	749380051.5907705	897825538.5760328	897825538.5760328	457951562.71710634	439873975.8589264	897825538.5760328	148445486.98526242
954.678__8.37_2186	12339003.266342387	20018498.032655373	50396548.511906765	46648721.13198977	57304462.72085224	20869525.981648356	88769404.56168208	26923359.69174254	42454624.733690076	49855482.13689683	42937853.32191106	33404932.907044448	109431814.65291934	85955128.02374454	18679935.793536	27271524.807009883	50913881.12050586	45828801.26722323	45828801.26722323	53111810.35459704	38545792.179849416	45828801.26722323	30573561.707375348	48252101.6344433	42696239.02780057	42696239.02780057	48252101.6344433	27097442.24937621	42696239.02780057	30338228.857027166	610966573.4460703	733260820.2755717	733260820.2755717	424894482.8367763	308366337.4387953	733260820.2755717	122294246.82950139
953.674__8.39_629	20204660.96063911	15188259.796603242	56322002.831626415	62471903.69649543	49857365.07851884	56353032.98628658	97502140.27665341	23423550.80422042	58706858.05918843	31510355.41160936	37991144.82835333	23961163.41384273	89871581.18832329	84244456.7505581	21904526.601377945	39411053.52266699	53804680.65339356	48057753.51293522	48057753.51293522	50340848.6565793	45774658.36929115	48057753.51293522	30816972.09156025	56337517.9089565	44634209.300592914	44634209.300592914	43924254.953436084	47866528.1771467	44634209.300592914	30976154.12109803	645656167.8407227	768924056.2069635	768924056.2069635	402726789.2526344	366197266.9543292	768924056.2069635	123267888.366241
947.883__4.36_4569	39672746.70467909	23119459.80578244	35763974.3698868	23498296.442267966	25709480.652891412	80853867.2931994	27377307.41443457	45530105.99277874	47109005.802796364	73982835.99406905	40330897.98102986	20168340.094312854	93303827.57819645	76582941.6914849	36138797.47404109	36045244.75643888	49375320.811872266	45324195.62801811	45324195.62801811	38846195.00953413	51802196.2465021	45324195.62801811	33170820.07645567	42601426.34872891	37905772.08936009	37905772.08936009	26543394.03366299	42601426.34872891	37905772.08936009	36092021.115239985	592503849.7424672	725187130.0482898	725187130.0482898	310769560.076273	414417569.9720168	725187130.0482898	132683280.30582269
945.705__8.08_2558	16794723.599507846	13949018.371483186	26183894.130269717	27801108.415091813	41750083.49458224	165742805.62924427	138412131.04993537	46114579.70928851	50647261.82455636	23482399.06878704	22829766.69194901	13671912.959311983	304229125.8878599	127865979.56890604	117024786.52380411	42985680.958047055	81914425.89579268	73717828.61766402	73717828.61766402	51220299.952505834	96215357.28282222	73717828.61766402	49128036.78327804	43932331.60193537	42367882.22631465	42367882.22631465	25641753.741939425	48380920.76692243	42367882.22631465	32907723.824998032	982973110.7495122	1179485257.8826244	1179485257.8826244	409762399.6200467	769722858.2625778	1179485257.8826244	196512147.13311216
935.591__7.49_2794	97971646.97610454	18302321.947576948	40025261.78189809	32933170.121472504	31708403.96259046	72738255.35188486	63307240.062693626	40678252.40154594	40049067.209642276	36341957.651267834	30282162.733920246	30568028.239868652	324183127.6442152	26935641.119526874	156097023.71768332	103467825.98879194	68764528.85253493	71599336.68191771	71599336.68191771	33797365.72986464	109401307.63397077	71599336.68191771	80103760.17006604	40037164.495770186	40037164.495770186	40037164.495770186	31138216.101229556	85354951.1639947	40037164.495770186	67017927.1143303	825174346.2304192	1145589386.9106834	1145589386.9106834	270378925.83891714	875210461.0717661	1145589386.9106834	320415040.6802642
933.427__5.47_4312	31477740.66582742	199744364.72309545	52239763.024365276	39779330.496295854	51807085.7466473	31380961.04421462	19322964.505668398	34569457.73325457	36887622.147071995	31511019.20677332	37850918.72949464	53431228.53259726	41461162.3360433	36384263.123232305	51265686.069523536	34486730.09273413	50547144.562707484	48975018.63605246	48975018.63605246	58728896.88297556	39221140.389129356	48975018.63605246	44258640.856087394	36635942.635152146	37369270.43828332	37369270.43828332	38815124.61289525	35728539.940163285	37369270.43828332	44558302.39950909	606565734.7524898	783600298.1768394	783600298.1768394	469831175.0638045	313769123.11303484	783600298.1768394	177034563.42434958
