index	V18-leg-psoriasis-GD6	V18-leg-healthy-GC2	V18-leg-healthy-GD9	V18-leg-healthy-GC5	V18-leg-psoriasis-GD7	V18-leg-psoriasis-GC12	V18-leg-healthy-GD12	V18-leg-healthy-GC3	V18-leg-psoriasis-GC9	V18-leg-psoriasis-GC8	V18-leg-healthy-GD8	V18-leg-healthy-GD4	V18-leg-healthy-GC10	V18-leg-healthy-GE1	V18-leg-healthy-GC1	V18-leg-psoriasis-GD5	V18-leg-psoriasis-GC7	V18-leg-healthy-GC6	V18-leg-healthy-GC4	V18-leg-healthy-GC11	V18-leg-psoriasis-GD1	V18-leg-psoriasis-GD2	V18-leg-psoriasis-GD10	V18-leg-psoriasis-GD11	V18-leg-healthy-GD3	GROUP_MEAN_DESCRIPTION_2_healthy	GROUP_MEAN_DESCRIPTION_leg	GROUP_MEAN_Sex_male	GROUP_MEAN_Batch_4	GROUP_MEAN_Body_side_left	GROUP_MEAN_DESCRIPTION_2_psoriasis	GROUP_MEDIAN_DESCRIPTION_2_healthy	GROUP_MEDIAN_DESCRIPTION_leg	GROUP_MEDIAN_Sex_male	GROUP_MEDIAN_Batch_4	GROUP_MEDIAN_Body_side_left	GROUP_MEDIAN_DESCRIPTION_2_psoriasis	GROUP_SUM_DESCRIPTION_2_healthy	GROUP_SUM_DESCRIPTION_leg	GROUP_SUM_Sex_male	GROUP_SUM_Batch_4	GROUP_SUM_Body_side_left	GROUP_SUM_DESCRIPTION_2_psoriasis
315.686__3.06_4498	2559566.3747687754	4.927796275743002	1240025.727031693	879237.1227031694	2915432.110617832	3566393.9986434826	2099241.2134665186	1098647.2518806264	4873097.737082254	1383917.378283389	1602169.4753360464	1322226.2967073622	3619219.9747194475	5946396.404920459	37603323.488716245	1598380.0	8857437.849056603	1409665.113824146	2067821.5844123813	1613311.2227155012	2343906.2985571586	4464287.758046615	1663126.3152669873	8405189.345850289	2377193.5623998027	4491320.240473549	4220368.741312122	4220368.741312122	4220368.741312122	4220368.741312122	3875521.378743035	1607740.3490257738	2099241.2134665186	2099241.2134665186	2099241.2134665186	2099241.2134665186	2915432.110617832	62878483.36662968	105509218.53280306	105509218.53280306	105509218.53280306	105509218.53280306	42630735.16617338
315.325_C20H42O2_8.75_3106	1821641.4945054946	1644997.8571428573	1692107.076923077	1011025.0538461539	1317655.7142857143	2074590.5934065937	1766684.987912088	2065404.6142857145	2036724.7252747254	6.374725274725275	1341305.945054945	1663803.2967032967	1164145.954945055	6.374725274725275	1117521.2142857143	1692680.8021978023	6.374725274725275	2111564.0	2865113.9000000004	3924593.2406593408	2475305.8241758244	5756753.031868132	3831974.8571428573	2300000.8791208793	2701857.185714286	1790723.6215855575	1935098.8549450552	1935098.8549450552	1935098.8549450552	1935098.8549450552	2118849.151948052	1677955.1868131869	1766684.987912088	1766684.987912088	1766684.987912088	1766684.987912088	2036724.7252747254	25070130.702197805	48377471.37362638	48377471.37362638	48377471.37362638	48377471.37362638	23307340.671428572
315.253_C18H34O4_6.48_2745	559986.2765344458	2804463.876386472	1373607.0381175044	3972975.573934504	1183444.6895286557	1261773.5382159806	356190.1524042348	5890731.489404598	4875641.8743509	4210164.3902865155	1417630.7903109114	4903664.718020804	2019364.8526647203	1746844.977140097	1847799.9999999998	1577858.8722563353	1791270.6744194003	4922224.074068402	9083221.365263468	2213100.046461539	1787464.6838371502	1617505.2739106806	4856145.5076592285	3511877.8771431195	750563.2424907485	3093027.299762	2821420.6341924174	2821420.6341924174	2821420.6341924174	2821420.6341924174	2475739.4234674913	2116232.44956313	1847799.9999999998	1847799.9999999998	1847799.9999999998	1847799.9999999998	1787464.6838371502	43302382.196668	70535515.85481043	70535515.85481043	70535515.85481043	70535515.85481043	27233133.658142406
315.159_C19H22O4_3.47_807	2216161.606216162	1465834.67958792	1946079.521953078	1869463.886012881	1673294.1171686237	1028721.4560846356	534130.6775446077	2213514.263056533	3249005.119404251	1743482.4903412133	1841882.4887048726	2365457.090489933	2368133.2909446666	985126.2867599219	1108294.3374405883	1598380.0	1658499.6865109687	2271745.196172171	2299309.6072462713	868563.082201355	1835156.0365900232	2788275.8190835346	1883563.4252833934	2795426.8305333895	3396143.641509793	1823834.1464017567	1920145.7854736312	1920145.7854736312	1920145.7854736312	1920145.7854736312	2042724.2352014722	1907771.7039829795	1869463.886012881	1869463.886012881	1869463.886012881	1869463.886012881	1835156.0365900232	25533678.049624592	48003644.63684078	48003644.63684078	48003644.63684078	48003644.63684078	22469966.587216195
315.124_C11H18N6O3S_2.4_273	1407082.081951535	990776.4226350032	946079.7419146271	2184679.4513665326	1100341.4219210928	971644.6931127844	1580992.2161128249	1033877.7160522098	1655034.5499265885	1338607.4560540956	1242464.3790999341	1804488.5378305204	1307765.4545454546	1149658.482064683	2412328.9473187947	1598380.0	3621720.7969126743	3672329.668637778	1715878.8754158865	2352289.8510486404	3441504.4692142946	5756301.6421288	3159241.4856342357	3477231.6715203603	4352315.601934293	1910423.23899837	2170920.624574146	2170920.624574146	2170920.624574146	2170920.624574146	2502462.7516705873	1648435.5457643557	1655034.5499265885	1655034.5499265885	1655034.5499265885	1655034.5499265885	1655034.5499265885	26745925.34597718	54273015.61435365	54273015.61435365	54273015.61435365	54273015.61435365	27527090.268376462
315.123_C16H16N3O4_5.89_441	1295115.1051435652	2066952.439425148	1637515.7660105645	1549320.8423879363	2557263.923061941	1204768.6490394545	1082008.49907044	1304731.764594092	1837142.6757163513	2979422.2255968363	1733864.0	1283551.5774190691	1139580.5406439046	3569446.111134063	2427893.11919025	1633220.375955381	1531640.4131613893	1821434.6977897128	2336548.925074512	3978452.180033641	5708314.994776757	4138284.692891079	3245846.4160297457	4406750.408793933	2314892.8936170214	2017585.239742168	2351358.5294622714	2351358.5294622714	2351358.5294622714	2351358.5294622714	2776160.8981969487	1777649.3488948564	1837142.6757163513	1837142.6757163513	1837142.6757163513	1837142.6757163513	2557263.923061941	28246193.356390353	58783963.23655678	58783963.23655678	58783963.23655678	58783963.23655678	30537769.880166434
315.123_C11H22N3O4S_4.23_407	1918660.9655496823	1595322.3475799484	2507371.770250681	1212516.477280215	1106531.1935711775	922847.615173002	1104920.5200951034	1622110.0	1566975.9788927285	1152424.2539516648	1405538.9928562539	1225930.3441279614	1903823.4711779219	2018285.2023969893	1208315.3658172754	1946599.0990240723	1220488.197618019	2424099.209291812	1909700.5737509883	2415074.9843507484	2259580.4185213926	3519127.0768112866	4706148.893927358	3716801.9893219024	3881775.0345473248	1888198.8781088016	2018838.7990354202	2018838.7990354202	2018838.7990354202	2018838.7990354202	2185107.7893056627	1762966.7355889608	1903823.4711779219	1903823.4711779219	1903823.4711779219	1903823.4711779219	1918660.9655496823	26434784.293523222	50470969.9758855	50470969.9758855	50470969.9758855	50470969.9758855	24036185.68236229
315.123_C11H18N6O3S_2.87_360	1332181.5085240733	884801.0948714141	844885.2560050345	1951001.988290448	1002431.6876462811	1640700.5638545358	1651737.024119132	1656411.1765412982	2592854.829992293	1468029.9516486004	1378344.2915367375	1726858.0175926122	1143540.715315048	1359590.0	1555177.61044526	1427414.2396922708	4001043.709721898	2336343.6516125384	2282134.2507937183	1217433.0854245774	3073394.615373737	5140596.686606847	5396144.578123785	3105300.3682710733	3886783.659602752	1705360.1301536125	2162205.382464239	2162205.382464239	2162205.382464239	2162205.382464239	2743644.794495945	1603457.3172821961	1651737.024119132	1651737.024119132	1651737.024119132	1651737.024119132	2592854.829992293	23875041.822150573	54055134.56160597	54055134.56160597	54055134.56160597	54055134.56160597	30180092.739455394
314.341_C20H43NO_6.47_3275	1404526.4937831713	1773435.8229311886	2134107.764797606	2908409.40660511	832603.3091611391	1123040.4938646979	576903.3580084179	1468822.9662235484	6183181.991110173	2124554.0	1098546.2089079346	1703368.8036235552	1766210.33249361	836965.4050157712	1015109.3885963231	745644.9055085777	2188645.358215238	3382985.379975963	11402737.352515245	2399972.2653294597	3289813.382729844	5751269.776568324	1562997.7441259045	3224996.3759670015	5304550.138208965	2698008.8995166207	2648135.9369706707	2648135.9369706707	2648135.9369706707	2648135.9369706707	2584661.2573667336	1769823.0777123994	1773435.8229311886	1773435.8229311886	1773435.8229311886	1773435.8229311886	2124554.0	37772124.59323269	66203398.42426677	66203398.42426677	66203398.42426677	66203398.42426677	28431273.83103407
314.305_C19H39NO2_7.19_2999	2981756.1743431757	1549372.1085490645	1136478.4725434945	830952.5621789551	6785489.896786035	3046799.949875097	952165.4053347149	537497.7830443969	3086143.8514030157	6580820.408607038	624243.5151857751	3734281.2518629516	1099152.1580017835	520321.5453493142	683070.2186976962	6518379.817041696	7881519.189324792	1427175.309618781	2479965.0	578142.7989071711	14456189.874341058	11101321.013837555	2692167.481635314	8752644.373065064	2381965.3930996163	1323913.1087409798	3696720.622105343	3696720.622105343	3696720.622105343	3696720.622105343	6716657.45729635	1025658.7816682493	2479965.0	2479965.0	2479965.0	2479965.0	6580820.408607038	18534783.522373717	92418015.55263357	92418015.55263357	92418015.55263357	92418015.55263357	73883232.03025985
