#SampleID	V3-lower-leg-psoriasis-2E10	V3-lower-leg-healthy-2D7	V3-lower-leg-healthy-2F3	V3-lower-leg-healthy-2D8	V3-lower-leg-healthy-2E5	V3-lower-leg-healthy-2E7	V3-lower-leg-healthy-2F2	V3-lower-leg-healthy-2F1	V3-lower-leg-psoriasis-2D5	V3-lower-leg-psoriasis-2E2	V3-lower-leg-psoriasis-2E11	V3-lower-leg-psoriasis-2D4	V3-lower-leg-healthy-2E4	V3-lower-leg-healthy-2D11	V3-lower-leg-healthy-2D9	V3-lower-leg-healthy-2D12	V3-lower-leg-psoriasis-2E3	V3-lower-leg-healthy-2E9	V3-lower-leg-healthy-2D2	V3-lower-leg-psoriasis-2E12	V3-lower-leg-healthy-2D10	V3-lower-leg-psoriasis-2D6	V3-lower-leg-psoriasis-2E1	V3-lower-leg-healthy-2E8	V3-lower-leg-healthy-2E6	V3-lower-leg-healthy-2D3	V3-lower-leg-healthy-2D1
597.855__3.52_3670	152957123.66156942	211573129.5629584	38947212.56521536	74930762.40197559	111505416.21260922	33890816.08420947	148673567.51455906	63950539.33030151	87615646.43630177	70402594.35700819	41402841.33783959	73339068.82420917	88293296.90298024	161731259.93550152	38493197.39507928	81650486.22821315	28387980.919439144	97178004.14663433	58664353.58390208	74319259.0	64886424.14419993	146176356.4473775	44099339.20676695	146323782.2117637	10329963.706711033	163032125.07478678	51967020.18343707
597.513_C26H64N10O5_8.59_282	86125086.84286515	82667803.38388151	60301390.35709662	71502582.44863491	58854034.74284759	67205242.33035564	78125929.07332419	86948541.26401214	85582052.20595075	878303.7114591869	76287020.0	81788974.72832203	490708.62832476146	378120.1532057799	62240323.91293434	702644.5658849668	797396.7736591615	68493724.92104746	72672751.2060913	1549726.276872939	70457775.67540024	1182164.726621382	83921391.60788624	527116.8755262017	56538036.99610735	81088914.29056618	38342679.358245656
597.468_C31H60N6O5_9.19_3699	126359841.30636829	90353568.18395616	90368667.33474654	64871266.8782651	34534409.72048818	81895885.90858626	41212334.2520743	36883261.78283576	105211376.73750252	5.678507254750097	100410090.96197347	52306996.04789778	68573761.5	64457525.16117675	177315136.84435987	42624011.155605175	57228444.7154446	126310438.293252	93808934.16996431	127172208.55423288	110044700.65096287	46443369.45664283	29211377.019885443	88588114.5999471	60433854.16911318	40370779.47692034	41939183.18068231
597.456_C31H64O10_6.91_1094	111882257.61252987	93857803.65029858	26218762.313447256	55781365.54974703	77978073.00498883	46351706.2347452	112782111.87588271	126583330.3455176	24334959.038734574	71364727.40253623	76287020.0	93501947.08539726	75064381.98851062	79136968.70763154	68395521.48346038	56439257.73721262	56977968.61638217	35398287.91862608	71200763.4017836	119486622.769608	29243654.577231657	36600702.526307136	38573590.5209964	80863078.90169123	39826464.38658156	45304876.41527128	89301301.35975903
597.454_C23H56N12O6_9.13_2037	122431741.54815008	84072374.29492258	71238849.0	160547284.29880285	42339285.470010996	86319880.55439945	86854525.89047156	126906897.44882318	88671479.67607503	31256185.694891077	61500957.12571403	39157136.65529779	48689137.87119796	144912696.19172254	230763504.72466695	78682502.48704727	35989242.07858729	54460229.37479446	204865104.4778774	47069862.163800105	265270159.6251269	32175488.55094585	34375374.57806003	79262472.98947048	169596465.3793727	47088388.21676473	22438675.77149752
597.449__9.89_5067	52751929.20768838	70702079.0	408995589.7008959	35066986.383667305	68086837.34766284	61468620.96328417	52918584.10818838	119450652.94083014	354374660.5159642	124134198.06823754	280141598.9515217	55292992.36973371	153384161.550053	263304294.2068965	70957488.80919541	43266292.68284802	162001533.7184821	56103860.46624521	129516501.86530204	78311098.40151979	107135894.8474221	60539084.05163665	59210566.05926117	56245367.82012771	37587158.82924841	32737855.315570246	48592741.70850767
597.425_C26H52N12O4_8.65_4083	226964578.69791695	58657030.33635836	6623358.395820305	65936342.22215408	56955349.0	4922619.528284436	95482065.76306853	44859317.75457714	215096816.74939388	131476476.93964782	217026608.63688257	130863347.67052317	171867410.31052116	84928486.53536265	5709544.435432132	89704126.72308783	230549967.54385743	2339623.819965553	1567634.4844801074	128188436.04510748	2945305.314846996	67726053.18675505	67655042.64434576	6984813.853899453	2133912.393108065	62775774.56528562	3737752.650578904
597.422__5.98_5460	1635969.729837375	1336167.6748672386	199032.59603560227	81557049.4935851	46267308.03626644	65522439.0	93843831.50822891	91032269.54702571	2118297.943749367	85798175.83965062	1969769.7273086985	122638256.34917782	2632916.3901741933	153555684.46644765	51098226.85417979	135261351.64031354	2303554.422822807	69624420.54417913	72653101.07051839	1420001.2975786796	82711198.42164084	194855249.6733346	138845839.03007072	148298325.09672695	46314383.73675802	127373521.70748672	26719890.14793785
597.327_C23H55BN5O5PSe_6.25_1240	48072127.46252307	58490447.72680832	11060171.82818433	59652822.70900817	25022315.83797266	143645818.29291284	139097670.5103352	21656984.08082158	78115892.48027027	58004504.96920478	89607318.23562694	62133637.47335982	43211730.63720003	111286409.68521829	106882623.91489688	57624833.37954464	53100664.8896136	63535987.48340693	110867850.31294212	47610242.64708746	197756682.43674785	64411379.5	56623210.5129597	144379674.1321258	126855679.64546973	70651308.83648254	208630223.84602925
597.324_C12H40N18O10_5.27_1222	72027090.23095442	68749960.88530484	120288133.2923472	62300980.27316455	69417003.89422765	84293411.27593343	98438586.10103977	106910831.4586096	34496906.30391822	44404619.57911269	33633251.92342237	46486948.2011395	61809528.41490202	69186486.62427858	67382931.93400006	52761436.93347091	55153666.93518889	67755288.61175457	62678549.74015155	81242837.910429	85537977.86419144	64411379.5	34072051.65916979	79109175.29701133	73265642.62410599	61637657.07753518	93679409.5300222
