#SampleID	V9-arm-healthy-BG3	V9-arm-healthy-BG5	V9-arm-psoriasis-BG9	V9-arm-healthy-BG6	V9-arm-healthy-BG4	V9-arm-healthy-BG8	V9-arm-psoriasis-BG10	V9-arm-healthy-BG7	V9-arm-psoriasis-BG11
242_279.231_5.97_C18H30O2_9(10)-Epoxy-12Z-octadecenoic acid_Fatty acids and conjugates_Eicosanoids_11-Hydroxy-12E,14Z-eicosadienoic acid	4710.987403494514	6541.722876879317	4573.682242990654	40822.24461600975	4995.067045916294	3287.432750914262	3884.0	30380.739536773668	2623.002031694433
2420_743.398_6.31_C28H59N10O9PS	394.8635897435897	9300.900102564105	7159.69641025641	6535.364923076922	7264.0	6073.449025641025	6571.126153846154	7232.7089230769225	5624.94358974359
2413_183.077_2.44	3884.0	489384.0	3884.0	3884.0	679700.0	3884.0	3884.0	240808.0	3884.0
240_217.107_2.93_C10H16O5_Tetraethylene glycol_Medium-chain keto acids and derivatives	2132.050770134153	4850.869385850008	465.1488624900252	2289.542978454312	7264.0	10236.337323275668	3937.0864688257534	10244.75878163723	4382.330066097536
239_554.462_7.66_C32H67N2Se	6119.499999999999	8882.143612553778	3325.2839169709123	14020.694297320922	9246.223496340479	10685.655431000496	2544.048833581872	12009.076892751238	1587.5393376870468
2384_345.239_7.38_C20H34O3_Eicosanoids	176228.05882352946	8042.352941176471	6182.558823529412	2479.725490196079	10672.872549019608	6299.843137254902	2731.049019607843	3367.7352941176478	2563.5
237_550.904_8.51	4363.868165249089	17019.397326852977	2809.571081409477	12711.595990279462	18100.24119076549	4759.450789793438	3588.277035236938	14798.52794653706	2563.5
2371_291.243_5.82_C18H30N2O_Carboxylic acid derivatives	8153.942548490058	3383.208445863001	117.70783206481708	9190.128161060644	7264.0	15227.113184384973	151.59342008347656	12304.035354775351	42.80284802356985
2370_301.126_2.58_C14H26O2Se	1794.3925557238692	255200.4371348193	4283.0	30396.231335208828	31599.289980523696	994.5161220515041	6514.868426747457	2291.187188920147	2116.0114693789224
2361_345.152_2.81_C15H22N4O4	2127.7188160676533	417912.4312896406	2687.134249471459	79760.35306553912	134541.02854122626	6118.0	11573.108879492602	2690.3678646934463	1429.2579281183932
2346_511.391_8.32_C25H54N2O8	38456.893927125515	21818.01133603239	5714.74008097166	3374.3514170040485	24521.684210526317	3285.8591093117407	1462.4518218623484	5752.0	568.2137651821863
2342_407.252_5.1_C17H34N4O7_Amino acids, peptides, and analogues	7983.134020618557	8176.855670103093	1261.4432989690722	30315.185567010307	9875.298969072164	6118.0	815.4329896907216	32504.690721649484	964.1030927835053
233_482.405_7.0_C23H53N4O6	3397.1043121149896	9684.877618069815	4689.777138945928	13368.031485284053	9459.307871321012	10744.005338809036	3884.0	2831.3854893908283	2121.3126625598907
2328_728.463_6.7	4451.895561357704	8366.318537859008	5902.057441253264	7129.117493472585	31923.843342036558	7423.206266318538	3884.0	3823.154046997389	8498.151436031332
229_380.337_6.73_C18H43N4O4	6119.5	8373.840757447608	3014.3181326942963	11304.4837421295	8019.587209848697	8193.838549008551	2100.2174607649663	9479.445376374399	1504.1398599755662
2278_291.195_7.25_C18H26O3_MoNA:586455 [(2R)-2-ethylhexyl] 2-cyano-3,3-diphenylprop-2-enoate	15301.312967581047	10753.5	816.781795511222	9183.093516209476	6266.087281795511	10475.307980049876	347.6147132169576	10354.256857855362	45.11221945137157
226_579.331_7.65_C30H46N2O9	6180.561065020258	9158.703839475207	9290.908354234998	7005.6588848157435	6487.464402855489	6118.0	8585.030677213968	5443.993054215705	5083.9718309859145
225_531.385_6.91_C22H52N5O9	6449.946327875536	8597.323187716558	7267.278211835042	7167.822814049869	6541.585977308241	3562.6134927644543	6096.67450234391	5752.0	3851.4053943882063
2257_818.617_7.5_C42H83N5O10	6119.5	9408.4066406698	3207.4911113659828	12485.352161945175	7957.666131437091	8724.796937722214	2606.7006537446955	10840.196983599035	1593.9195435256336
2255_416.337_7.74_C19H41N7O3_Amino acids, peptides, and analogues_N-[2-[4-(3-aminopropylamino)butylamino]-2-oxoethyl]-9-(diaminomethylideneamino)-3-hydroxynonanamide	1418.4052747252747	9210.785054945056	8866.92923076923	6576.242637362638	6319.6149450549465	7269.010989010992	8653.283516483518	5752.0	6305.709010989011
223_302.269_4.7_C17H35NO3_PGD2-EA	9112.42857142857	5143.789115646258	2209.775510204081	10291.438775510203	7264.0	8986.574829931973	1939.5374149659867	11627.959183673467	667.8741496598639
219_420.332_7.41_C22H45NO6	6148.491508491507	9334.789210789211	7369.570429570428	6258.81958041958	5816.932667332667	5094.628571428571	6809.310689310689	5752.0	5727.291108891109
2199_494.238_2.88_C26H31N5O5	6119.5	6374.936235595391	5984.729961587707	5135.365300896287	5603.926248399489	6960.245646606914	4539.086235595391	4094.0316901408446	6120.283546734955
2198_331.194_5.81_C13H26N6O2S_Triazoles	10638.006072874494	4525.044534412956	5490.248987854251	4369.366396761134	3424.9190283400812	10160.593117408907	8183.48076923077	5.189271255060729	2563.5
217_452.394_7.37_C22H51N4O5	6119.5	8712.496387367439	3216.463684302529	12426.735505768556	9197.435205686983	10040.907834168509	2565.1837198461717	11191.032950705045	1550.3779279804214
2175_779.55_7.56_C32H68N16O5	6119.5	8470.46361442723	3271.142430784861	11980.199707899417	8143.2716535433065	8321.245427990856	2578.676784353569	9446.599250698502	862.6676403352808
2172_542.259_3.11_C26H39NO11	8344.517008887526	7974.212074777812	5847.068035550106	6150.811829604658	5871.442537542139	6117.999999999999	6327.995709469812	5696.133619368678	5616.4477474716505
2161_345.21_6.09_C12H30N3O8	5540.2585679806925	10753.5	2583.262349155269	20249.10868865648	11848.747868061142	12045.996299275945	1323.640788415125	18575.95752212389	866.85494770716
215_589.428_7.31_C23H58N9O6S	6119.5	9241.019727025367	3539.9424866145882	11854.684872290005	8719.199815676293	9206.374967085052	2767.2837707364174	10416.524488721143	2037.5952997454574
2159_771.485_6.47_C32H60N16O5	2789.8073929961092	8024.39299610895	9995.988326848248	7600.5	34976.10116731517	4051.628404669261	11050.791828793774	3617.877431906615	7452.630350194552
