#SampleID	V8-arm-healthy-BD3	V8-arm-healthy-BE3	V8-arm-healthy-BD4	V8-arm-healthy-BE4	V8-arm-healthy-BE5	V8-arm-healthy-BD6	V8-arm-healthy-BE7	V8-arm-healthy-BD5	V8-arm-healthy-BD8	V8-arm-healthy-BE8	V8-arm-psoriasis-BE10	V8-arm-psoriasis-BE9	V8-arm-healthy-BD7	V8-arm-healthy-BE6	V8-arm-psoriasis-BD10	V8-arm-psoriasis-BD9
1288_228.268_5.18_C15H33N	3526.225823262766	1682.0236187179817	2940.8383563260213	396.9513957856026	1305.151476415697	559.1299816124051	3204.957767529671	520.5160326060237	2639.6495540762453	514.3378007650026	319.7234977728395	239.40648383956582	1470.4191781630107	1360.7555629848869	347.52554105743417	403.1296276266237
1285_542.391_8.52	378.0809687763898	404.7585753541044	483.0128879820674	544.519592036243	544.2231741853794	2101.898980473053	2097.0080859338054	622.3292778879107	660.5671806493018	375.2649991931865	406.3888735338536	169.84742854478347	3584.5810704922624	1703.8098067633773	1202.1225941769098	584.8324197536783
1282_313.321_5.38_C19H40N2O_Cabergoline_Fatty amides_Aldox	438.93950141490745	451.92587719641364	638.929688450102	649.3187890753069	932.4217811121408	979.1727339255627	4324.4631352415445	218.17111312930308	1153.190169397745	472.70407844682336	179.2119857847847	485.6904542283296	2168.724755511525	1825.884434879763	477.8986287594259	316.8675690687498
1280_320.316_7.44_C16H39N4O2_Likely similar to laureth sulfate A +28 Da compared sodium laureth sulfate	501.4077644654627	359.2411991233554	1940.3932024967417	1194.3434804121198	1038.0324243050106	1088.4041312130266	1107.4558942842532	999.640235085721	1959.4449655679682	476.0054137038273	262.250405306202	322.5809883650861	1072.3833304485859	1890.454490203981	268.3123299197741	302.08590990967565
127_304.3_5.75_C21H37N_Benzalkonium chloride (C12)_Phenylmethylamines_Phenylmethylamines_Benzalkonium chloride (C12)	1284.7776460728446	1362.3404328351626	860.6141554287517	784.8432482285997	914.6265250883192	2240.6174010909767	2012.792713901331	592.6001694876741	1044.665784742634	753.8693300825917	1144.7550574293214	276.71740095731127	401.89298751431886	1272.7464547268746	476.6399635360903	571.6095803308752
1279_730.566_7.56_C33H75N7O10	606.075714803602	618.6788488656152	1085.219865125499	1158.5881098436475	848.6860454973572	1017.8156034902672	1405.361975897175	738.1835664893481	1104.1245662185186	564.7779451539693	430.19447784889917	139.7597545091113	1371.8286370536039	952.2117895781804	492.98509219357226	416.2410079945272
126_217.099_1.93_C12H12N2O2_Amino acids, peptides, and analogues_L-Abrine, 12	1.47538975628988	4870.261585512893	1088.8376401419314	1280.6383084596155	4086.829624922968	246.39008930040995	5156.4871982331315	1828.0079080431613	1686.370491439333	79.67104683965351	1.47538975628988	1.47538975628988	649.1714927675472	2928.6486662354114	523.7633634829074	1.47538975628988
1268_659.365_5.32_C33H54O13_(2E,6E,10E,14S)-14-[(2S,4R,5R)-4,5-dihydroxy-6-(hydroxymethyl)-3-[[(2S,4R,5R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]methyl]oxan-2-yl]oxy-4-hydroxy-2,6,10,14-tetramethylhexadeca-2,6,10,15-tetraenoic acid	116.6589434171261	295.27103313793634	1004.5761119506833	711.1753624747447	906.1524342380376	1075.8806765643574	782.0123561729195	928.1282672665144	823.6261676523752	733.8525518764707	944.0256783934973	782.2461416306693	856.82370265284	1128.2486191003018	895.6320886392987	908.7240742732847
1264_481.262_2.82_C18H36N6O9_Aminotriazines_1,3,5-Triazine-2,4,6-triamine, N,N'',N''''-tris(1,2,2-trimethoxyethyl)-	2887.9252367133386	2290.656972187507	429.7803384947786	563.8609693067	382.3780952784427	1499.7166853777883	1433.3535448749178	513.7500264780022	874.4585248575484	358.90269863797164	1243.7445720095745	434.746287784109	2241.9003791649898	309.6946556800611	2471.6883962803704	459.5760342307611
1262_524.452_7.98_C26H59N4O6	385.95758672778413	429.69517947471377	1016.4189846164529	1051.835767035918	805.1984147654268	1200.3302282645184	2159.7836652544825	489.43433054369086	1039.03452037828	553.0138556099594	490.0743928765728	209.08702874141983	1585.0076903265383	1247.2681326758573	263.4923270363811	399.398895718304
125_596.509_8.54_C26H63N10O5	247.72690447701663	374.1695956725496	1348.7620276199025	1465.8474798085554	1236.5951241399941	708.7508724698373	200.94070944261642	515.4878975969689	1289.9793723202713	733.2236514109084	397.4427285870974	398.4024454083159	1912.3557308804466	2632.9830990128626	272.1996834180876	360.9734893807957
1255_232.154_2.55_C11H21NO4_Ethylone_Fatty acids and conjugates_6-ammonioundecanedioate	461.1624005468899	862.2893927301187	1127.308712527239	348.90441093538664	378.9221151172172	790.9459451198776	471.85363765274735	574.2427930126901	744.2745831385382	619.8861514261582	1259.7155720690125	1868.910486389313	168.59258513082912	665.5295098396266	2811.1785566997883	1612.7319972758826
1251_410.238_3.56_C18H35NO9	297.663279466404	1958.6243788889385	2415.0414074040914	303.6165450557321	273.85021710909166	323.46076368682566	1990.3751286986883	420.6974349791843	2726.595639912261	319.491919960607	972.3667129235864	1831.6213796499396	204.39545190026408	2079.6741125386093	2270.178611397108	244.08388916245133
1250_359.352_8.66_C22H46O3_Monoradylglycerols_Di(2-nonyl) phthalate_Diradylglycerols	418.61250079746213	145.31453053160303	1350.4919213625128	2170.385832160089	1049.1975736547854	825.2265541198376	939.8783855484419	609.2544995682807	1586.4613883725474	619.919786212802	266.6321661130332	305.293830199423	1379.8214596349467	2910.290093123757	110.65234893690877	259.96636196020734
124_579.925_8.75	330.65105822504324	404.75652385870086	682.602484245857	767.0609193430403	719.6552170626859	2447.9571528636984	2729.666900897529	763.0980602182459	800.9433648600336	470.6885925474698	443.6916147598071	232.8179735816784	4965.71016206284	2411.003491524989	1509.2548976779954	729.2156147012528
1246_265.252_7.76_C18H32O_Oleic acid_Fatty acids and conjugates_Fatty acids and conjugates_17-Octadecynoic acid_map00061	86.52256116749365	304.9222518564091	1095.4872663948795	653.8035468866256	640.5460576754772	1313.1891944937345	886.1584893767496	688.6916763896471	1292.954079381982	1007.5691800472647	989.4273527056937	1091.3006908545171	695.6693022902515	914.7667555692275	530.9973310359893	1184.8008779226147
1244_384.194_7.35_C10H25N9O7	492.2816382011934	420.74952783846635	981.9834297991408	911.8585084927298	927.8066511309773	714.8520406084981	1555.412970247887	574.133134976904	1169.6086373079331	657.6263523183163	626.6681930793658	263.61341654985296	811.009959456754	1458.5514568714732	105.53917922369558	166.51737166405303
1241_504.32_6.19_C20H47N4O8S	262.36829917855783	458.78997180682944	846.6695924843189	2113.12846365433	1252.2768009441436	1062.2370599175124	1459.3350262418162	347.4607205337657	2386.133315502289	584.3012933057611	342.49699595471185	80.12869677615413	1635.192697042579	2936.397640265967	582.8830862831743	117.7111828747043
1240_597.327_6.25_C23H55BN5O5PSe	917.767498976668	373.6406058125256	676.8407695456407	1462.9152681129758	1151.5480966025375	331.7846909537454	1740.5935325419564	610.4838313548915	294.0122799836267	753.4064674580434	438.97666803110934	347.09783053622596	1720.1760130986493	2162.215309046255	657.4441260744985	194.9873106835857
1239_416.373_6.45_C24H49NO4_Sorbitane Monostearate - Polysorbate 60 in-source fragment	23.40994967946296	35.49250435273417	1741.7757721187522	1532.2189645042047	1023.2413488926552	712.8707257230011	1878.8372516936724	1149.3530132949236	2291.909589586132	976.4214495337293	474.2402709258948	85.71062221351761	992.2798025423978	1878.4596718601329	120.07038706563259	46.81989935892592
