id	SiriusMF	SiriusScore	connectedCompounds	ZodiacMF	ZodiacScore	2	3	4	5	6	7	8	9	10
2309	C16H37N7O3	0.999999579	6	C16H37N7O3	1									
2308	C38H76N4O6	0.685473457	5	C38H76N4O6	0.67957958	C34H72N10O4	0.213413413	C39H72N8O2	0.031531532	C43H76N2O4	0.026526527	C35H68N14	0.008408408	C24H68N20O3
3636	C30H67N7O7	0.449349552	7	C30H67N7O7	0.896096096	C31H63N11O3	0.067967968	C35H67N5O5	0.012412412	C26H63N13O5	0.008308308	C32H69N4O8	0.006606607	C32H71N5O5S
3637	C26H50O12	0.930962371	62	C26H50O12	1									
2307	C26H60N5O	0.999678655	0	C26H60N5O	0.9997998	C24H58N8	2.00E-04							
3650	C13H11NO	0.999952513	9	C13H11NO	0.9997998	C5H15N3O3S	2.00E-04							
2320	C34H64N14O5Se	0.820533418	7	C34H64N14O5Se	0.94954955	C36H70N8O7Se	0.016316316	C37H72N4O11Se	0.014314314	C29H64N16O7Se	0.01021021	C33H68N10O9Se	0.003603604	not_explainable
3649	C10H18N6O6	0.988487115	5	C10H18N6O6	0.986286286	C8H16N9O5	0.011311311	C12H24O8	0.001201201	C8H20N6O6	0.001001001	C10H22N3O7	2.00E-04	
2317	C21H43N7O2	0.640813052	5	C25H47NO4	0.93963964	C21H43N7O2	0.06036036							
2316	C32H60N4O5	0.772204772	82	C31H64O9	1									
1	C27H34N6O13	0.511092251	2	not_explainable	0.475875876	C27H34N6O13	0.247547548	C21H35N10O12P	0.068168168	C26H39N2O15P	0.039039039	C31H38O15	0.02002002	C32H34N4O11
2	C18H18O5	0.558265615	7	C16H16N3O4	0.565165165	C18H18O5	0.408908909	C11H18N6O3S	0.014414414	C12H19N4O4P	0.008908909	C13H20N3O4S	0.002002002	C15H22O5S
2315	C11H20N2O3	0.999999795	10	C11H20N2O3	1									
2314	C38H78O12	0.988403855	65	C38H78O12	0.9997998	C41H76NO9	2.00E-04							
3	C32H44N10O4Se	0.561370834	5	not_explainable	0.605205205	C32H44N10O4Se	0.213713714	C30H53ClN4O8Se	0.022522523	C31H48N6O8Se	0.017917918	C29H53N4O9PSe	0.015315315	C25H49N10O7PSe
2313	C4H6Br4N4O12P2S2Se	0.171294814	7	C36H73N9O7Se	0.546346346	C35H77N5O11Se	0.1998999	C4H6Br4N4O12P2S2Se	0.041141141	C9H6Br4N2O10P2S2Se	0.038638639	C38H78N7O3PSSe	0.025325325	not_explainable
4	C16H36N4O6Se	0.689667726	9	C16H36N4O6Se	0.809109109	C12H32N10O4Se	0.073673674	C16H32B2N4O5Se	0.050950951	C19H40O5SSe	0.021321321	C22H36O5Se	0.018118118	C15H34N8O2Se
6	C20H23N	0.999993703	6	C20H23N	1									
2310	C26H54N12O3	0.353017618	5	C26H54N12O3	0.355255255	C30H58N6O5	0.265365365	C28H56N9O4	0.154154154	C25H58N8O7	0.14954955	C31H54N10O	0.056356356	C24H59N10O4P
3641	C19H39N11O6	0.990699023	4	C19H39N11O6	0.991591592	C20H35N15O2	0.007907908	C23H43N5O8	2.00E-04	C14H39N13O8	2.00E-04	C21H41N8O7	1.00E-04	
8	C20H38O5Se	0.999998622	5	C20H38O5Se	1									
